S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.982582,0.000052,0.000063,0.017304,0.162829,31.281241,31.281241,0.142857,1.000000,0.028003
0.982573,0.000051,0.000062,0.017313,0.166646,30.875609,62.156850,0.000000,1.000000,0.027602
0.982565,0.000050,0.000062,0.017324,0.170495,30.526134,92.682985,0.000000,1.000000,0.027360
0.982555,0.000049,0.000061,0.017334,0.174385,30.224837,122.907822,0.000000,1.000000,0.027188
0.982546,0.000049,0.000061,0.017345,0.178324,29.965090,152.872912,0.428571,1.428571,0.027089
0.982536,0.000048,0.000060,0.017355,0.182323,29.741294,182.614206,0.714286,2.142857,0.027066
0.982527,0.000048,0.000060,0.017365,0.186394,29.548861,212.163067,1.714286,3.857143,0.027120
0.982517,0.000048,0.000059,0.017375,0.190549,29.383903,241.546969,2.714286,6.571429,0.027255
0.982508,0.000047,0.000059,0.017385,0.194801,29.243241,270.790210,3.857143,10.428571,0.027472
0.982499,0.000047,0.000059,0.017395,0.199167,29.124342,299.914552,6.285714,16.714286,0.027772
0.982490,0.000047,0.000059,0.017405,0.203661,29.025193,328.939745,11.000000,27.714286,0.028162
0.982481,0.000047,0.000059,0.017414,0.208301,28.944019,357.883764,15.142857,42.857143,0.028641
0.982471,0.000047,0.000058,0.017423,0.213107,28.879519,386.763283,18.571429,61.428571,0.029206
0.982462,0.000047,0.000058,0.017433,0.218097,28.830725,415.594008,21.000000,82.428571,0.029856
0.982453,0.000047,0.000058,0.017442,0.223290,28.797097,444.391105,24.285714,106.714286,0.030593
0.982443,0.000047,0.000058,0.017452,0.228708,28.778063,473.169168,23.714286,130.428571,0.031409
0.982433,0.000047,0.000058,0.017462,0.234371,28.773878,501.943046,27.142857,157.571429,0.032306
0.982423,0.000047,0.000058,0.017471,0.240302,28.784411,530.727457,26.714286,184.285714,0.033283
0.982413,0.000048,0.000058,0.017481,0.246523,28.810151,559.537608,25.714286,210.000000,0.034329
0.982403,0.000048,0.000058,0.017491,0.253056,28.851929,588.389536,27.571429,237.571429,0.035449
0.982392,0.000048,0.000058,0.017501,0.259924,28.910630,617.300166,30.285714,267.857143,0.036643
0.982382,0.000049,0.000059,0.017511,0.267153,28.987413,646.287579,33.428571,301.285714,0.037903
0.982372,0.000049,0.000059,0.017520,0.274766,29.083938,675.371517,41.142857,342.428571,0.039229
0.982361,0.000050,0.000059,0.017530,0.282787,29.201435,704.572952,42.428571,384.857143,0.040607
0.982350,0.000051,0.000059,0.017540,0.291237,29.341984,733.914935,43.714286,428.571429,0.042029
0.982339,0.000051,0.000060,0.017550,0.300139,29.508344,763.423279,53.285714,481.857143,0.043507
0.982328,0.000052,0.000060,0.017560,0.309515,29.702698,793.125976,58.142857,540.000000,0.045020
0.982316,0.000053,0.000061,0.017570,0.319382,29.927684,823.053660,56.857143,596.857143,0.046543
0.982305,0.000054,0.000061,0.017580,0.329750,30.186765,853.240425,56.857143,653.714286,0.048071
0.982293,0.000055,0.000062,0.017590,0.340630,30.483117,883.723542,50.142857,703.857143,0.049591
0.982280,0.000057,0.000062,0.017601,0.352026,30.821029,914.544571,45.857143,749.714286,0.051099
0.982267,0.000058,0.000063,0.017611,0.363942,31.205159,945.749730,44.285714,794.000000,0.052588
0.982254,0.000059,0.000064,0.017622,0.376373,31.639967,977.389698,36.857143,830.857143,0.054024
0.982241,0.000061,0.000065,0.017633,0.389303,32.130825,1009.520523,28.714286,859.571429,0.055400
0.982227,0.000063,0.000066,0.017644,0.402715,32.684313,1042.204835,28.142857,887.714286,0.056715
0.982212,0.000065,0.000067,0.017656,0.416587,33.306897,1075.511732,27.285714,915.000000,0.057947
0.982197,0.000067,0.000069,0.017667,0.430883,34.006025,1109.517757,29.428571,944.428571,0.059065
