S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.969687,0.000015,0.000017,0.030281,0.237163,126.747717,126.747717,6.428571,26.428571,0.000694
0.969684,0.000015,0.000017,0.030284,0.237288,126.285635,253.033351,6.428571,32.857143,0.000682
0.969681,0.000015,0.000017,0.030287,0.237409,125.891011,378.924363,4.428571,37.285714,0.000666
0.969679,0.000015,0.000017,0.030290,0.237529,125.554056,504.478418,4.142857,41.428571,0.000660
0.969676,0.000015,0.000017,0.030293,0.237649,125.266647,629.745065,3.142857,44.571429,0.000665
0.969673,0.000015,0.000017,0.030296,0.237770,125.022029,754.767094,2.571429,47.142857,0.000680
0.969670,0.000015,0.000017,0.030299,0.237895,124.814551,879.581645,1.285714,48.428571,0.000704
0.969668,0.000014,0.000017,0.030301,0.238025,124.639460,1004.221105,0.714286,42.000000,0.000737
0.969665,0.000014,0.000017,0.030304,0.238162,124.492767,1128.713872,0.571429,42.571429,0.000778
0.969662,0.000014,0.000017,0.030307,0.238307,124.371075,1253.084946,0.571429,43.142857,0.000826
0.969659,0.000014,0.000017,0.030310,0.238462,124.271503,1377.356450,0.714286,43.857143,0.000881
0.969657,0.000014,0.000017,0.030312,0.238627,124.191595,1501.548045,0.857143,44.714286,0.000942
0.969654,0.000014,0.000017,0.030315,0.238805,124.129246,1625.677290,2.142857,46.857143,0.001009
0.969651,0.000014,0.000017,0.030318,0.238994,124.082647,1749.759937,2.285714,49.142857,0.001081
0.969648,0.000014,0.000017,0.030321,0.239198,124.050247,1873.810184,2.285714,58.571429,0.001157
0.969646,0.000014,0.000017,0.030324,0.239415,124.030683,1997.840866,2.000000,60.571429,0.001237
0.969643,0.000014,0.000017,0.030326,0.239648,124.022783,2121.863649,2.000000,53.142857,0.001321
0.969640,0.000014,0.000017,0.030329,0.239897,124.025542,2245.889191,1.714286,45.428571,0.001409
0.969637,0.000014,0.000017,0.030332,0.240162,124.038076,2369.927268,1.571429,37.571429,0.001499
0.969635,0.000014,0.000017,0.030335,0.240444,124.059628,2493.986895,0.285714,37.857143,0.001592
0.969632,0.000014,0.000017,0.030337,0.240743,124.089514,2618.076409,0.142857,38.000000,0.001687
0.969629,0.000014,0.000017,0.030340,0.241061,124.127151,2742.203561,0.285714,38.285714,0.001784
0.969626,0.000014,0.000017,0.030343,0.241396,124.172033,2866.375594,0.428571,38.714286,0.001883
0.969624,0.000014,0.000017,0.030346,0.241750,124.223734,2990.599328,0.857143,49.000000,0.001984
0.969621,0.000014,0.000017,0.030348,0.242123,124.281863,3114.881192,1.000000,59.428571,0.002086
0.969618,0.000014,0.000017,0.030351,0.242516,124.346098,3239.227290,1.000000,69.857143,0.002189
0.969615,0.000014,0.000017,0.030354,0.242928,124.416153,3363.643443,1.142857,71.000000,0.002294
0.969613,0.000014,0.000017,0.030357,0.243360,124.491816,3488.135259,1.142857,72.142857,0.002399
0.969610,0.000014,0.000017,0.030360,0.243811,124.572905,3612.708163,1.142857,73.285714,0.002506
0.969607,0.000014,0.000017,0.030362,0.244284,124.659279,3737.367442,1.000000,74.285714,0.002613
0.969604,0.000014,0.000017,0.030365,0.244776,124.750835,3862.118276,0.571429,74.857143,0.002721
0.969601,0.000014,0.000017,0.030368,0.245290,124.847505,3986.965782,0.428571,75.285714,0.002830
0.969599,0.000014,0.000017,0.030371,0.245824,124.949240,4111.915022,0.428571,64.857143,0.002940
0.969596,0.000014,0.000017,0.030374,0.246380,125.056079,4236.971100,0.142857,65.000000,0.003050
0.969593,0.000014,0.000017,0.030376,0.246957,125.168036,4362.139136,0.285714,65.285714,0.003161
0.969590,0.000014,0.000017,0.030379,0.247555,125.285177,4487.424313,0.285714,65.571429,0.003272
0.969587,0.000014,0.000017,0.030382,0.248176,125.407598,4612.831911,0.285714,65.857143,0.003384
0.969584,0.000014,0.000017,0.030385,0.248818,125.535425,4738.367336,0.428571,66.285714,0.003497
0.969582,0.000014,0.000017,0.030387,0.249483,125.668812,4864.036148,0.428571,66.714286,0.003611
0.969579,0.000014,0.000017,0.030390,0.250170,125.807969,4989.844118,0.428571,78.000000,0.003725
0.969576,0.000014,0.000017,0.030393,0.250880,125.953037,5115.797155,0.428571,67.142857,0.003839
0.969573,0.000014,0.000017,0.030396,0.251614,126.104332,5241.901487,0.285714,67.428571,0.003955
0.969570,0.000014,0.000017,0.030399,0.252370,126.262099,5368.163586,0.285714,67.714286,0.004071
0.969567,0.000014,0.000017,0.030402,0.253150,126.426639,5494.590225,0.428571,68.142857,0.004188
0.969564,0.000014,0.000017,0.030404,0.253954,126.598282,5621.188507,0.285714,68.428571,0.004306
0.969562,0.000014,0.000017,0.030407,0.254782,126.777354,5747.965861,0.285714,57.142857,0.004425
0.969559,0.000014,0.000017,0.030410,0.255634,126.964270,5874.930131,0.285714,45.857143,0.004545
0.969556,0.000014,0.000017,0.030413,0.256511,127.159480,6002.089611,0.285714,45.857143,0.004666
0.969553,0.000014,0.000017,0.030416,0.257414,127.363400,6129.453010,0.428571,46.285714,0.004788
0.969550,0.000014,0.000017,0.030419,0.258342,127.576506,6257.029516,0.285714,46.571429,0.004911
0.969547,0.000014,0.000017,0.030421,0.259296,127.799306,6384.828823,0.142857,46.714286,0.005036
0.969544,0.000014,0.000017,0.030424,0.260276,128.032340,6512.861162,0.142857,46.857143,0.005162
0.969541,0.000015,0.000017,0.030427,0.261283,128.276214,6641.137377,0.142857,58.571429,0.005289
0.969538,0.000015,0.000017,0.030430,0.262318,128.531500,6769.668877,0.142857,70.285714,0.005418
0.969535,0.000015,0.000017,0.030433,0.263380,128.798833,6898.467710,0.142857,82.000000,0.005549
0.969532,0.000015,0.000017,0.030436,0.264471,129.078845,7027.546556,0.000000,82.000000,0.005681
0.969529,0.000015,0.000017,0.030439,0.265590,129.372282,7156.918838,0.142857,82.142857,0.005815
0.969526,0.000015,0.000017,0.030442,0.266739,129.679887,7286.598724,0.142857,82.285714,0.005951
0.969523,0.000015,0.000017,0.030444,0.267918,130.002441,7416.601166,0.142857,82.428571,0.006089
0.969520,0.000015,0.000017,0.030447,0.269128,130.340768,7546.941933,1.142857,83.571429,0.006229
0.969517,0.000015,0.000017,0.030450,0.270369,130.695726,7677.637660,1.285714,84.857143,0.006372
0.969514,0.000015,0.000017,0.030453,0.271642,131.068218,7808.705878,1.571429,86.428571,0.006517
0.969511,0.000015,0.000018,0.030456,0.272948,131.459191,7940.165069,2.428571,88.857143,0.006664
0.969508,0.000015,0.000018,0.030459,0.274287,131.869636,8072.034705,3.571429,92.428571,0.006815
0.969505,0.000015,0.000018,0.030462,0.275661,132.300590,8204.335295,4.142857,96.571429,0.006968
0.969502,0.000015,0.000018,0.030465,0.277069,132.753141,8337.088436,5.571429,102.142857,0.007124
0.969499,0.000015,0.000018,0.030468,0.278514,133.228423,8470.316859,5.428571,107.571429,0.007282
0.969496,0.000015,0.000018,0.030471,0.279996,133.727625,8604.044484,6.285714,113.857143,0.007444
0.969492,0.000016,0.000018,0.030474,0.281516,134.251996,8738.296480,7.571429,121.428571,0.007610
