S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.969121,0.000171,0.000249,0.030459,0.091237,367.989397,367.989397,1.857143,4.714286,0.006550
0.969094,0.000165,0.000241,0.030500,0.091780,355.558394,723.547791,2.428571,7.000000,0.006993
0.969066,0.000160,0.000233,0.030540,0.092403,344.081414,1067.629205,3.285714,10.142857,0.007871
0.969039,0.000156,0.000226,0.030579,0.093100,333.436695,1401.065900,5.142857,15.285714,0.008676
0.969012,0.000151,0.000219,0.030617,0.093868,323.521219,1724.587119,6.142857,21.428571,0.009421
0.968986,0.000147,0.000213,0.030654,0.094703,314.249190,2038.836309,9.714286,31.142857,0.010111
0.968960,0.000144,0.000207,0.030689,0.095602,305.546329,2344.382638,12.857143,44.000000,0.010754
0.968935,0.000140,0.000201,0.030723,0.096563,297.350306,2641.732944,16.285714,60.285714,0.011354
0.968911,0.000137,0.000196,0.030756,0.097583,289.607551,2931.340494,18.714286,79.000000,0.011916
0.968887,0.000134,0.000191,0.030789,0.098661,282.273205,3213.613700,25.714286,104.714286,0.012447
0.968863,0.000131,0.000186,0.030820,0.099797,275.307706,3488.921406,39.285714,144.000000,0.012949
0.968840,0.000128,0.000182,0.030850,0.100988,268.675726,3757.597131,51.857143,195.857143,0.013424
0.968817,0.000126,0.000178,0.030880,0.102234,262.349176,4019.946307,73.714286,269.571429,0.013875
0.968795,0.000123,0.000173,0.030908,0.103535,256.301395,4276.247702,100.428571,370.000000,0.014303
0.968774,0.000121,0.000170,0.030936,0.104889,250.509469,4526.757171,124.714286,494.714286,0.014706
0.968752,0.000118,0.000166,0.030964,0.106296,244.955209,4771.712380,153.857143,648.571429,0.015089
0.968731,0.000116,0.000162,0.030991,0.107756,239.621960,5011.334340,195.428571,844.000000,0.015453
0.968711,0.000114,0.000159,0.031017,0.109268,234.493091,5245.827432,233.000000,1077.000000,0.015797
0.968690,0.000112,0.000155,0.031043,0.110831,229.557214,5475.384646,284.142857,1361.142857,0.016122
0.968670,0.000110,0.000152,0.031068,0.112445,224.801078,5700.185724,330.857143,1692.000000,0.016424
0.968651,0.000108,0.000149,0.031092,0.114109,220.215683,5920.401407,379.142857,2071.142857,0.016706
