S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.984841,0.001344,0.002231,0.011583,0.001788,9491.880598,9491.880598,2324.571429,120310.000000,0.009109
0.984629,0.001291,0.002134,0.011947,0.001804,9076.613169,18568.493766,2339.571429,122618.428571,0.009714
0.984424,0.001239,0.002041,0.012296,0.001823,8681.449134,27249.942900,2261.571429,124843.857143,0.011018
0.984227,0.001190,0.001952,0.012630,0.001845,8305.114497,35555.057398,2265.857143,127075.285714,0.012373
0.984038,0.001143,0.001868,0.012950,0.001869,7946.403067,43501.460464,2334.285714,129374.142857,0.013790
0.983858,0.001097,0.001788,0.013257,0.001896,7604.101133,51105.561597,2347.000000,131684.000000,0.015279
0.983686,0.001053,0.001711,0.013550,0.001927,7277.151621,58382.713218,2313.571429,133962.714286,0.016844
0.983521,0.001011,0.001637,0.013831,0.001961,6964.640014,65347.353232,2280.714286,136202.857143,0.018486
0.983364,0.000970,0.001567,0.014099,0.001999,6665.778913,72013.132145,2286.285714,138444.714286,0.020209
0.983214,0.000930,0.001500,0.014356,0.002041,6379.831711,78392.963856,2312.857143,140715.428571,0.022024
0.983070,0.000892,0.001435,0.014602,0.002089,6106.082399,84499.046255,2323.571429,142994.285714,0.023939
0.982933,0.000855,0.001374,0.014838,0.002141,5843.872137,90342.918391,2308.000000,145252.571429,0.025961
0.982802,0.000819,0.001315,0.015064,0.002200,5592.615817,95935.534208,2294.714286,147480.142857,0.028095
0.982677,0.000785,0.001258,0.015280,0.002265,5351.773376,101287.307584,2261.142857,149671.428571,0.030344
0.982557,0.000752,0.001204,0.015487,0.002337,5120.896997,106408.204581,2271.000000,151873.142857,0.032724
0.982443,0.000719,0.001152,0.015686,0.002417,4899.470613,111307.675194,2210.714286,154011.285714,0.035243
0.982334,0.000688,0.001102,0.015876,0.002507,4687.118414,115994.793608,2176.571429,156117.142857,0.037906
0.982229,0.000659,0.001054,0.016058,0.002607,4483.446885,120478.240493,2133.714286,158170.142857,0.040730
0.982129,0.000630,0.001008,0.016233,0.002719,4288.107382,124766.347875,2074.000000,160164.571429,0.043726
0.982034,0.000602,0.000964,0.016400,0.002844,4100.774880,128867.122755,1990.000000,162089.714286,0.046906
0.981943,0.000576,0.000922,0.016560,0.002985,3921.156687,132788.279442,1917.714286,163944.428571,0.050298
0.981856,0.000550,0.000881,0.016713,0.003143,3748.916445,136537.195887,1772.000000,165646.000000,0.053896
0.981773,0.000526,0.000843,0.016859,0.003322,3583.886437,140121.082325,1750.428571,167331.714286,0.057726
0.981694,0.000502,0.000805,0.016999,0.003525,3425.739230,143546.821555,1659.285714,168924.428571,0.061828
0.981618,0.000480,0.000770,0.017132,0.003757,3274.222806,146821.044360,1558.714286,170425.285714,0.066212
0.981546,0.000458,0.000736,0.017260,0.004021,3129.083132,149950.127492,1465.571429,171840.857143,0.070899
0.981477,0.000438,0.000703,0.017382,0.004325,2990.083651,152940.211142,1417.857143,173212.714286,0.075913
0.981411,0.000418,0.000672,0.017499,0.004675,2856.979469,155797.190612,1412.000000,174580.285714,0.081286
0.981348,0.000399,0.000642,0.017611,0.005081,2729.526571,158526.717183,1442.285714,175987.285714,0.087087
0.981288,0.000381,0.000613,0.017718,0.005555,2607.418045,161134.135228,1401.285714,177351.285714,0.093339
0.981230,0.000364,0.000585,0.017820,0.006112,2490.445938,163624.581166,1421.714286,178737.714286,0.100077
0.981175,0.000348,0.000559,0.017918,0.006771,2378.363149,166002.944314,1434.142857,180137.285714,0.107365
0.981122,0.000332,0.000534,0.018011,0.007556,2270.947598,168273.891912,1436.428571,181539.285714,0.115254
0.981072,0.000317,0.000510,0.018101,0.008500,2167.993893,170441.885805,1410.857143,182915.714286,0.123777
0.981024,0.000303,0.000486,0.018187,0.009643,2069.348460,172511.234265,1400.714286,184282.285714,0.132980
0.980977,0.000290,0.000464,0.018268,0.011040,1974.865492,174486.099757,1355.428571,185608.142857,0.142893
0.980933,0.000277,0.000443,0.018346,0.012763,1884.456742,176370.556499,1314.428571,186897.571429,0.153522
0.980891,0.000265,0.000423,0.018421,0.014908,1798.066460,178168.622959,1274.000000,188146.714286,0.164848
0.980851,0.000254,0.000403,0.018492,0.017605,1715.697833,179884.320792,1275.428571,189399.285714,0.176886
0.980812,0.000244,0.000385,0.018559,0.021027,1637.356094,181521.676886,1234.285714,190612.428571,0.189580
0.980774,0.000235,0.000367,0.018624,0.025410,1563.128813,183084.805699,1246.857143,191839.571429,0.202911
0.980737,0.000226,0.000351,0.018685,0.031077,1493.102900,184577.908599,1229.000000,193051.571429,0.216815
0.980702,0.000219,0.000336,0.018744,0.038467,1427.441189,186005.349789,1280.857143,194316.857143,0.231324
0.980666,0.000213,0.000321,0.018800,0.048188,1366.306852,187371.656641,1307.142857,195609.285714,0.246543
0.980631,0.000208,0.000308,0.018854,0.061083,1309.920413,188681.577054,1306.285714,196900.714286,0.262534
0.980595,0.000204,0.000296,0.018905,0.078302,1258.593041,189940.170095,1337.714286,198224.571429,0.279477
0.980558,0.000202,0.000285,0.018955,0.101423,1212.739526,191152.909621,1373.857143,199586.142857,0.297614
0.980520,0.000202,0.000276,0.019002,0.132549,1172.956550,192325.866171,1391.428571,200965.142857,0.317042
0.980480,0.000204,0.000268,0.019048,0.174329,1140.133450,193465.999620,1410.714286,202360.857143,0.337634
0.980437,0.000209,0.000262,0.019092,0.229746,1115.563586,194581.563206,1379.142857,203723.285714,0.358658
0.980388,0.000217,0.000259,0.019136,0.301267,1101.078991,195682.642197,1372.142857,205079.142857,0.378788
