S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.830213,0.000011,0.000012,0.169764,0.371666,20.887872,20.887872,0.428571,2.714286,0.030804
0.830211,0.000011,0.000012,0.169767,0.378859,20.582699,41.470572,0.714286,3.428571,0.030359
0.830209,0.000011,0.000012,0.169769,0.385954,20.326297,61.796868,0.857143,4.285714,0.029725
0.830207,0.000010,0.000012,0.169771,0.392949,20.112484,81.909352,0.857143,5.142857,0.029111
0.830205,0.000010,0.000012,0.169773,0.399842,19.936179,101.845531,0.857143,6.000000,0.028520
0.830203,0.000010,0.000012,0.169775,0.406636,19.793183,121.638714,0.857143,6.857143,0.027955
0.830201,0.000010,0.000012,0.169777,0.413333,19.680028,141.318742,0.857143,7.714286,0.027420
0.830199,0.000010,0.000012,0.169779,0.419934,19.593837,160.912579,0.857143,8.571429,0.026917
0.830197,0.000010,0.000012,0.169781,0.426446,19.532229,180.444808,0.714286,9.285714,0.026447
0.830195,0.000010,0.000012,0.169783,0.432872,19.493232,199.938040,0.285714,9.571429,0.026010
0.830193,0.000010,0.000012,0.169786,0.439217,19.475222,219.413262,1.428571,11.000000,0.025608
0.830190,0.000010,0.000012,0.169788,0.445486,19.476859,238.890121,1.428571,12.428571,0.025239
0.830188,0.000010,0.000012,0.169790,0.451686,19.497053,258.387174,1.428571,13.857143,0.024903
0.830186,0.000011,0.000012,0.169792,0.457821,19.534928,277.922102,2.714286,16.571429,0.024599
0.830184,0.000011,0.000012,0.169794,0.463898,19.589789,297.511891,2.714286,19.285714,0.024325
0.830182,0.000011,0.000012,0.169796,0.469921,19.661102,317.172993,3.285714,22.571429,0.024081
0.830180,0.000011,0.000012,0.169798,0.475895,19.748477,336.921471,6.000000,28.571429,0.023865
0.830178,0.000011,0.000012,0.169800,0.481825,19.851650,356.773121,4.857143,33.428571,0.023675
0.830176,0.000011,0.000012,0.169802,0.487717,19.970466,376.743587,7.571429,41.000000,0.023511
0.830173,0.000011,0.000012,0.169804,0.493574,20.104887,396.848474,7.571429,48.571429,0.023372
0.830171,0.000011,0.000012,0.169806,0.499401,20.254959,417.103432,8.428571,57.000000,0.023255
0.830169,0.000011,0.000012,0.169808,0.505201,20.420828,437.524260,9.285714,66.285714,0.023159
0.830166,0.000011,0.000012,0.169810,0.510979,20.602728,458.126988,12.571429,78.857143,0.023085
0.830164,0.000012,0.000012,0.169812,0.516738,20.800985,478.927973,13.428571,92.285714,0.023032
