S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.966171,0.000018,0.000021,0.033791,0.183108,24.092426,24.092426,4.428571,10.714286,0.030036
0.966168,0.000017,0.000020,0.033794,0.187601,23.750107,47.842534,5.571429,16.285714,0.028855
0.966165,0.000017,0.000020,0.033798,0.191904,23.470591,71.313124,6.714286,23.000000,0.027188
0.966162,0.000017,0.000020,0.033801,0.196033,23.241606,94.554730,8.285714,31.285714,0.025710
0.966159,0.000017,0.000020,0.033805,0.200008,23.053791,117.608521,11.000000,42.285714,0.024410
0.966156,0.000016,0.000020,0.033808,0.203845,22.899905,140.508425,12.142857,54.428571,0.023275
0.966153,0.000016,0.000020,0.033811,0.207562,22.774317,163.282742,11.714286,66.142857,0.022285
0.966150,0.000016,0.000019,0.033815,0.211175,22.672599,185.955341,13.714286,79.857143,0.021424
0.966147,0.000016,0.000019,0.033818,0.214700,22.591215,208.546556,17.428571,97.285714,0.020681
0.966144,0.000016,0.000019,0.033821,0.218149,22.527338,231.073894,19.142857,116.428571,0.020040
0.966141,0.000016,0.000019,0.033824,0.221536,22.478712,253.552605,19.857143,136.285714,0.019488
0.966138,0.000016,0.000019,0.033827,0.224871,22.443512,275.996117,19.857143,156.142857,0.019014
0.966135,0.000016,0.000019,0.033830,0.228164,22.420257,298.416374,21.428571,177.571429,0.018607
0.966132,0.000016,0.000019,0.033833,0.231424,22.407741,320.824115,22.714286,200.285714,0.018259
0.966129,0.000016,0.000019,0.033836,0.234660,22.404988,343.229103,23.714286,224.000000,0.017964
0.966125,0.000016,0.000019,0.033840,0.237877,22.411206,365.640308,24.000000,248.000000,0.017713
0.966122,0.000016,0.000019,0.033843,0.241082,22.425756,388.066064,23.000000,271.000000,0.017500
0.966119,0.000016,0.000019,0.033846,0.244280,22.448124,410.514188,22.571429,293.571429,0.017320
0.966115,0.000016,0.000019,0.033849,0.247477,22.477894,432.992082,25.571429,319.142857,0.017170
0.966112,0.000016,0.000019,0.033853,0.250676,22.514746,455.506828,25.714286,344.857143,0.017045
0.966108,0.000016,0.000019,0.033856,0.253880,22.558434,478.065263,27.571429,372.428571,0.016943
0.966105,0.000016,0.000019,0.033859,0.257094,22.608780,500.674043,27.428571,399.857143,0.016860
0.966102,0.000016,0.000019,0.033863,0.260321,22.665666,523.339709,24.571429,424.428571,0.016793
0.966098,0.000016,0.000019,0.033866,0.263562,22.729006,546.068715,26.428571,450.857143,0.016741
0.966095,0.000017,0.000020,0.033869,0.266819,22.798775,568.867490,27.142857,478.000000,0.016702
0.966091,0.000017,0.000020,0.033872,0.270096,22.874985,591.742475,25.428571,503.428571,0.016675
0.966088,0.000017,0.000020,0.033876,0.273394,22.957681,614.700156,24.428571,527.857143,0.016657
0.966085,0.000017,0.000020,0.033879,0.276714,23.046941,637.747097,23.857143,551.714286,0.016649
0.966081,0.000017,0.000020,0.033882,0.280059,23.142882,660.889978,21.428571,573.142857,0.016648
0.966078,0.000017,0.000020,0.033885,0.283428,23.245634,684.135612,22.571429,595.714286,0.016655
0.966074,0.000017,0.000020,0.033889,0.286824,23.355383,707.490995,20.571429,616.285714,0.016669
0.966071,0.000017,0.000020,0.033892,0.290248,23.472321,730.963316,19.428571,635.714286,0.016689
0.966067,0.000017,0.000020,0.033895,0.293700,23.596677,754.559994,19.428571,655.142857,0.016713
0.966064,0.000018,0.000020,0.033899,0.297182,23.728706,778.288700,22.000000,677.142857,0.016743
0.966060,0.000018,0.000020,0.033902,0.300694,23.868699,802.157399,25.142857,702.285714,0.016778
0.966056,0.000018,0.000021,0.033905,0.304238,24.016974,826.174373,30.142857,732.428571,0.016818
0.966053,0.000018,0.000021,0.033909,0.307814,24.173897,850.348271,31.000000,763.428571,0.016862
0.966049,0.000018,0.000021,0.033912,0.311423,24.339833,874.688104,34.285714,797.714286,0.016909
0.966045,0.000018,0.000021,0.033916,0.315066,24.515211,899.203315,34.857143,832.571429,0.016959
0.966041,0.000019,0.000021,0.033919,0.318743,24.700467,923.903783,37.428571,870.000000,0.017012
0.966037,0.000019,0.000021,0.033923,0.322454,24.896096,948.799878,39.571429,909.571429,0.017068
0.966033,0.000019,0.000021,0.033927,0.326200,25.102617,973.902495,42.428571,952.000000,0.017125
0.966029,0.000019,0.000022,0.033930,0.329982,25.320590,999.223086,48.857143,1000.857143,0.017185
0.966025,0.000019,0.000022,0.033934,0.333799,25.550646,1024.773732,52.714286,1053.571429,0.017246
0.966020,0.000020,0.000022,0.033938,0.337652,25.793430,1050.567162,55.000000,1108.571429,0.017307
0.966016,0.000020,0.000022,0.033942,0.341540,26.049622,1076.616784,62.000000,1170.571429,0.017368
0.966012,0.000020,0.000023,0.033945,0.345464,26.320017,1102.936801,60.571429,1231.142857,0.017430
0.966007,0.000021,0.000023,0.033949,0.349423,26.605365,1129.542166,60.428571,1291.571429,0.017488
0.966003,0.000021,0.000023,0.033953,0.353415,26.906529,1156.448696,58.428571,1350.000000,0.017543
0.965998,0.000021,0.000023,0.033957,0.357440,27.224404,1183.673099,57.142857,1407.142857,0.017596
0.965994,0.000021,0.000024,0.033961,0.361498,27.559974,1211.233073,49.571429,1456.714286,0.017644
0.965989,0.000022,0.000024,0.033966,0.365585,27.914215,1239.147288,45.428571,1502.142857,0.017685
0.965984,0.000022,0.000024,0.033970,0.369701,28.288241,1267.435530,41.285714,1543.428571,0.017719
0.965979,0.000022,0.000025,0.033974,0.373843,28.683205,1296.118735,41.428571,1584.857143,0.017744
0.965974,0.000023,0.000025,0.033978,0.378009,29.100367,1325.219101,47.285714,1632.142857,0.017763
0.965969,0.000023,0.000025,0.033983,0.382196,29.541110,1354.760211,46.142857,1678.285714,0.017770
0.965964,0.000024,0.000026,0.033987,0.386401,30.006765,1384.766976,46.142857,1724.428571,0.017763
0.965958,0.000024,0.000026,0.033991,0.390619,30.498807,1415.265783,51.571429,1776.000000,0.017742
0.965953,0.000025,0.000027,0.033996,0.394847,31.018870,1446.284653,49.571429,1825.571429,0.017705
0.965947,0.000025,0.000027,0.034000,0.399080,31.568516,1477.853169,48.285714,1873.857143,0.017648
0.965942,0.000026,0.000028,0.034005,0.403312,32.149483,1510.002652,47.714286,1921.571429,0.017570
0.965936,0.000026,0.000028,0.034010,0.407537,32.763604,1542.766256,41.571429,1963.142857,0.017468
0.965930,0.000027,0.000029,0.034014,0.411747,33.412706,1576.178962,38.714286,2001.857143,0.017340
0.965924,0.000028,0.000029,0.034019,0.415937,34.098824,1610.277787,32.428571,2034.285714,0.017183
0.965918,0.000028,0.000030,0.034024,0.420096,34.823985,1645.101772,36.571429,2070.857143,0.016995
0.965911,0.000029,0.000030,0.034029,0.424217,35.590526,1680.692298,38.571429,2109.428571,0.016776
0.965905,0.000030,0.000031,0.034034,0.428291,36.400689,1717.092987,38.428571,2147.857143,0.016521
0.965898,0.000030,0.000032,0.034040,0.432308,37.256791,1754.349778,38.428571,2186.285714,0.016226
0.965891,0.000031,0.000033,0.034045,0.436256,38.161263,1792.511041,37.428571,2223.714286,0.015891
0.965884,0.000032,0.000033,0.034051,0.440124,39.116592,1831.627633,38.857143,2262.571429,0.015512
0.965876,0.000033,0.000034,0.034056,0.443901,40.125393,1871.753026,38.571429,2301.142857,0.015090
0.965868,0.000034,0.000035,0.034062,0.447574,41.190233,1912.943259,28.142857,2329.285714,0.014618
0.965860,0.000035,0.000036,0.034068,0.451129,42.313561,1955.256821,28.285714,2357.571429,0.014095
0.965852,0.000036,0.000037,0.034075,0.454554,43.498295,1998.755116,24.857143,2382.428571,0.013523
