S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.989115,0.000006,0.000007,0.010872,0.719869,12.719612,12.719612,1.714286,7.285714,0.036627
0.989114,0.000006,0.000007,0.010873,0.727255,12.711079,25.430690,1.428571,8.714286,0.036954
0.989112,0.000007,0.000007,0.010875,0.734529,12.745993,38.176684,1.714286,10.428571,0.037033
0.989111,0.000007,0.000007,0.010876,0.741698,12.818814,50.995498,1.857143,12.285714,0.037189
0.989109,0.000007,0.000007,0.010877,0.748779,12.926376,63.921874,1.285714,13.571429,0.037462
0.989108,0.000007,0.000007,0.010879,0.755792,13.067129,76.989004,2.000000,15.571429,0.037867
0.989106,0.000007,0.000007,0.010880,0.762757,13.240680,90.229684,2.285714,17.857143,0.038404
0.989105,0.000007,0.000007,0.010881,0.769691,13.447539,103.677223,2.285714,20.142857,0.039065
0.989103,0.000007,0.000007,0.010883,0.776607,13.688951,117.366174,2.857143,23.000000,0.039834
0.989101,0.000007,0.000007,0.010884,0.783513,13.966789,131.332962,3.428571,26.428571,0.040694
0.989100,0.000008,0.000007,0.010885,0.790412,14.283484,145.616446,6.428571,32.857143,0.041621
0.989098,0.000008,0.000008,0.010887,0.797303,14.641956,160.258402,10.142857,43.000000,0.042592
0.989096,0.000008,0.000008,0.010888,0.804179,15.045558,175.303960,9.428571,52.428571,0.043580
0.989094,0.000008,0.000008,0.010889,0.811028,15.498049,190.802009,10.000000,62.428571,0.044558
0.989092,0.000009,0.000008,0.010891,0.817837,16.003526,206.805535,11.285714,73.714286,0.045500
0.989090,0.000009,0.000009,0.010892,0.824586,16.566370,223.371904,11.857143,85.571429,0.046378
0.989088,0.000010,0.000009,0.010894,0.831253,17.191198,240.563102,12.000000,97.571429,0.047165
0.989086,0.000010,0.000009,0.010895,0.837817,17.882794,258.445896,10.142857,107.714286,0.047834
0.989083,0.000010,0.000010,0.010897,0.844253,18.646052,277.091948,7.000000,114.714286,0.048359
0.989080,0.000011,0.000010,0.010899,0.850535,19.485929,296.577877,9.571429,124.285714,0.048716
0.989078,0.000012,0.000010,0.010900,0.856639,20.407368,316.985245,12.285714,136.571429,0.048883
0.989075,0.000012,0.000011,0.010902,0.862541,21.415241,338.400486,12.428571,149.000000,0.048835
0.989072,0.000013,0.000012,0.010904,0.868219,22.514308,360.914794,13.571429,162.571429,0.048555
0.989069,0.000013,0.000012,0.010906,0.873652,23.709210,384.624003,20.142857,182.714286,0.048028
0.989065,0.000014,0.000013,0.010908,0.878822,25.004439,409.628442,19.428571,202.142857,0.047242
0.989061,0.000015,0.000014,0.010910,0.883714,26.404292,436.032734,19.428571,221.571429,0.046188
0.989058,0.000016,0.000014,0.010912,0.888315,27.912966,463.945700,20.428571,242.000000,0.044865
0.989053,0.000017,0.000015,0.010915,0.892616,29.534571,493.480271,21.000000,263.000000,0.043274
0.989049,0.000018,0.000016,0.010917,0.896611,31.273160,524.753432,22.857143,285.857143,0.041421
0.989044,0.000019,0.000017,0.010920,0.900296,33.132818,557.886250,26.714286,312.571429,0.039317
0.989039,0.000020,0.000018,0.010923,0.903669,35.117736,593.003986,25.285714,337.857143,0.036973
0.989034,0.000021,0.000019,0.010926,0.906733,37.232143,630.236129,28.142857,366.000000,0.034405
0.989028,0.000022,0.000020,0.010929,0.909489,39.480625,669.716754,31.142857,397.142857,0.031634
0.989023,0.000024,0.000022,0.010932,0.911941,41.868016,711.584770,31.428571,428.571429,0.028679
0.989016,0.000025,0.000023,0.010936,0.914095,44.399421,755.984190,33.428571,462.000000,0.025562
0.989010,0.000027,0.000024,0.010940,0.915955,47.080444,803.064635,34.857143,496.857143,0.022307
0.989002,0.000028,0.000026,0.010944,0.917529,49.917140,852.981775,30.285714,527.142857,0.018937
0.988995,0.000030,0.000027,0.010948,0.918821,52.915794,905.897569,33.000000,560.142857,0.015476
0.988987,0.000032,0.000029,0.010952,0.919838,56.083654,961.981222,34.000000,594.142857,0.011951
0.988979,0.000034,0.000031,0.010957,0.920584,59.428145,1021.409368,44.857143,639.000000,0.008386
0.988970,0.000036,0.000032,0.010962,0.921064,62.957865,1084.367233,49.428571,688.428571,0.004804
0.988960,0.000038,0.000034,0.010968,0.921282,66.681350,1151.048584,55.142857,743.571429,0.001226
0.988950,0.000040,0.000036,0.010974,0.921242,70.608029,1221.656613,59.428571,803.000000,-0.002324
0.988940,0.000042,0.000038,0.010980,0.920945,74.747795,1296.404408,63.428571,866.428571,-0.005828
0.988928,0.000045,0.000041,0.010986,0.920393,79.111258,1375.515665,62.571429,929.000000,-0.009265
0.988917,0.000047,0.000043,0.010993,0.919587,83.709138,1459.224804,66.285714,995.285714,-0.012617
0.988904,0.000050,0.000045,0.011000,0.918527,88.553532,1547.778336,60.285714,1055.571429,-0.015870
0.988891,0.000053,0.000048,0.011008,0.917212,93.655069,1641.433404,86.285714,1141.857143,-0.019009
0.988877,0.000056,0.000051,0.011016,0.915640,99.029009,1740.462414,92.000000,1233.857143,-0.022021
0.988862,0.000059,0.000054,0.011025,0.913810,104.687098,1845.149512,95.285714,1329.142857,-0.024895
0.988847,0.000063,0.000057,0.011034,0.911719,110.642152,1955.791664,107.000000,1436.142857,-0.027620
0.988830,0.000066,0.000060,0.011044,0.909364,116.908712,2072.700377,110.857143,1547.000000,-0.030188
0.988813,0.000070,0.000063,0.011054,0.906743,123.499159,2196.199536,130.571429,1677.571429,-0.032593
