S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.977594,0.000014,0.000018,0.022374,0.176078,622.501341,622.501341,876.428571,3344.571429,0.004399
0.977591,0.000014,0.000017,0.022377,0.176716,619.731160,1242.232502,885.000000,4229.571429,0.004446
0.977589,0.000014,0.000017,0.022380,0.177372,617.232227,1859.464728,780.285714,5009.857143,0.004539
0.977586,0.000014,0.000017,0.022383,0.178041,614.980277,2474.445006,722.571429,5732.428571,0.004604
0.977583,0.000014,0.000017,0.022386,0.178719,612.953013,3087.398019,491.285714,6223.714286,0.004647
0.977580,0.000014,0.000017,0.022388,0.179405,611.131614,3698.529633,381.000000,6604.714286,0.004669
0.977577,0.000014,0.000017,0.022391,0.180094,609.498446,4308.028079,292.142857,6896.857143,0.004675
0.977574,0.000014,0.000017,0.022394,0.180785,608.038093,4916.066171,226.857143,7123.714286,0.004665
0.977571,0.000014,0.000017,0.022397,0.181476,606.736808,5522.802980,184.285714,7308.000000,0.004644
0.977569,0.000014,0.000017,0.022400,0.182165,605.582330,6128.385310,169.285714,7477.285714,0.004612
0.977566,0.000014,0.000017,0.022403,0.182850,604.563663,6732.948973,168.571429,7645.857143,0.004571
0.977563,0.000014,0.000017,0.022406,0.183531,603.670933,7336.619906,155.714286,7801.571429,0.004525
0.977560,0.000014,0.000017,0.022409,0.184206,602.895288,7939.515194,124.428571,7926.000000,0.004473
0.977557,0.000014,0.000017,0.022411,0.184876,602.228856,8541.744050,120.571429,8046.571429,0.004419
0.977554,0.000014,0.000017,0.022414,0.185538,601.664450,9143.408500,114.714286,8161.285714,0.004363
0.977551,0.000014,0.000017,0.022417,0.186194,601.195646,9744.604146,110.571429,8271.857143,0.004308
0.977549,0.000014,0.000017,0.022420,0.186844,600.816659,10345.420805,109.857143,8381.714286,0.004254
0.977546,0.000014,0.000017,0.022423,0.187487,600.522268,10945.943073,106.285714,8488.000000,0.004202
0.977543,0.000014,0.000017,0.022426,0.188124,600.307790,11546.250863,102.142857,8590.142857,0.004155
0.977540,0.000014,0.000017,0.022429,0.188756,600.169019,12146.419882,98.714286,8688.857143,0.004112
0.977537,0.000014,0.000017,0.022432,0.189383,600.102181,12746.522063,90.000000,8778.857143,0.004076
0.977534,0.000014,0.000017,0.022434,0.190007,600.103939,13346.626003,88.142857,8867.000000,0.004047
0.977531,0.000014,0.000017,0.022437,0.190629,600.171313,13946.797316,82.714286,8949.714286,0.004026
0.977528,0.000014,0.000017,0.022440,0.191250,600.301729,14547.099045,88.714286,9038.428571,0.004014
0.977526,0.000014,0.000017,0.022443,0.191871,600.492965,15147.592010,107.571429,9146.000000,0.004011
0.977523,0.000014,0.000017,0.022446,0.192494,600.743104,15748.335114,126.142857,9272.142857,0.004019
0.977520,0.000014,0.000017,0.022449,0.193120,601.050536,16349.385649,137.857143,9410.000000,0.004038
0.977517,0.000015,0.000017,0.022452,0.193752,601.413959,16950.799609,139.000000,9549.000000,0.004070
0.977514,0.000015,0.000017,0.022454,0.194392,601.832506,17552.632115,167.142857,9716.142857,0.004113
0.977511,0.000015,0.000017,0.022457,0.195041,602.305471,18154.937586,168.142857,9884.285714,0.004170
0.977508,0.000015,0.000017,0.022460,0.195701,602.832530,18757.770116,164.285714,10048.571429,0.004240
0.977505,0.000015,0.000017,0.022463,0.196375,603.413674,19361.183790,150.571429,10199.142857,0.004324
0.977502,0.000015,0.000017,0.022466,0.197066,604.049245,19965.233035,130.714286,10329.857143,0.004424
0.977500,0.000015,0.000017,0.022469,0.197775,604.739992,20569.973027,120.571429,10450.428571,0.004538
0.977497,0.000015,0.000017,0.022472,0.198506,605.487045,21175.460072,119.285714,10569.714286,0.004669
0.977494,0.000015,0.000017,0.022475,0.199261,606.291789,21781.751860,92.857143,10662.571429,0.004816
0.977491,0.000015,0.000017,0.022477,0.200043,607.156221,22388.908081,102.142857,10764.714286,0.004980
0.977488,0.000015,0.000017,0.022480,0.200855,608.082625,22996.990706,99.285714,10864.000000,0.005162
0.977485,0.000015,0.000017,0.022483,0.201700,609.073750,23606.064456,98.714286,10962.714286,0.005362
0.977482,0.000015,0.000017,0.022486,0.202581,610.132837,24216.197292,102.285714,11065.000000,0.005580
0.977479,0.000015,0.000017,0.022489,0.203503,611.263604,24827.460896,104.714286,11169.714286,0.005818
0.977476,0.000015,0.000017,0.022492,0.204468,612.470300,25439.931196,107.285714,11277.000000,0.006076
0.977473,0.000015,0.000017,0.022495,0.205479,613.757736,26053.688932,111.000000,11388.000000,0.006354
0.977470,0.000015,0.000017,0.022498,0.206542,615.131321,26668.820253,115.142857,11503.142857,0.006653
0.977467,0.000015,0.000017,0.022501,0.207660,616.597099,27285.417352,120.571429,11623.714286,0.006973
0.977464,0.000015,0.000017,0.022504,0.208837,618.161753,27903.579105,119.571429,11743.285714,0.007316
0.977461,0.000015,0.000017,0.022507,0.210077,619.832695,28523.411800,117.000000,11860.285714,0.007682
0.977458,0.000015,0.000018,0.022510,0.211386,621.618109,29145.029909,111.285714,11971.571429,0.008071
0.977455,0.000015,0.000018,0.022513,0.212768,623.527022,29768.556931,106.714286,12078.285714,0.008468
0.977451,0.000015,0.000018,0.022516,0.214223,625.553982,30394.110913,87.571429,10401.142857,0.008887
0.977448,0.000015,0.000018,0.022519,0.215760,627.723354,31021.834267,62.571429,8699.000000,0.009345
0.977445,0.000016,0.000018,0.022522,0.217385,630.046873,31651.881140,48.857143,6983.142857,0.009827
0.977441,0.000016,0.000018,0.022525,0.219104,632.537350,32284.418490,39.000000,5257.428571,0.010335
0.977438,0.000016,0.000018,0.022528,0.220922,635.208679,32919.627169,23.714286,3516.428571,0.010869
0.977435,0.000016,0.000018,0.022532,0.222846,638.076095,33557.703264,14.000000,1765.714286,0.011429
0.977431,0.000016,0.000018,0.022535,0.224881,641.156150,34198.859414,0.285714,1.285714,0.012040
0.977428,0.000016,0.000018,0.022538,0.227043,644.489827,34843.349241,0.285714,1.571429,0.012680
0.977425,0.000016,0.000018,0.022541,0.229331,648.077026,35491.426267,0.285714,1.857143,0.013325
0.977422,0.000016,0.000018,0.022544,0.231753,651.939641,36143.365908,0.857143,2.714286,0.013996
0.977418,0.000016,0.000019,0.022547,0.234315,656.101563,36799.467471,1.714286,4.428571,0.014692
0.977415,0.000017,0.000019,0.022550,0.237025,660.588868,37460.056339,2.428571,6.857143,0.015413
0.977412,0.000017,0.000019,0.022553,0.239890,665.430035,38125.486374,3.285714,10.142857,0.016158
0.977408,0.000017,0.000019,0.022556,0.242918,670.656167,38796.142541,3.285714,13.428571,0.016925
0.977405,0.000017,0.000019,0.022559,0.246115,676.301287,39472.443827,4.571429,18.000000,0.017712
0.977401,0.000017,0.000019,0.022562,0.249490,682.402602,40154.846429,7.000000,25.000000,0.018517
0.977397,0.000018,0.000019,0.022566,0.253050,689.000795,40843.847225,10.000000,35.000000,0.019337
0.977393,0.000018,0.000020,0.022569,0.256800,696.140331,41539.987555,12.142857,47.142857,0.020169
0.977390,0.000018,0.000020,0.022572,0.260748,703.869844,42243.857399,14.571429,61.714286,0.021010
0.977386,0.000018,0.000020,0.022576,0.264900,712.242692,42956.100092,25.000000,86.714286,0.021854
0.977381,0.000019,0.000020,0.022579,0.269260,721.316908,43677.416999,29.857143,116.571429,0.022697
0.977377,0.000019,0.000021,0.022583,0.273832,731.155942,44408.572942,36.714286,153.285714,0.023533
0.977373,0.000019,0.000021,0.022587,0.278619,741.829278,45150.402220,53.714286,207.000000,0.024356
0.977369,0.000020,0.000021,0.022590,0.283622,753.412587,45903.814807,77.714286,284.714286,0.025159
0.977364,0.000020,0.000022,0.022594,0.288843,765.988375,46669.803182,115.142857,399.857143,0.025934
0.977360,0.000021,0.000022,0.022598,0.294277,779.645460,47449.448641,143.857143,543.714286,0.026674
0.977355,0.000021,0.000022,0.022601,0.299922,794.480819,48243.929460,192.285714,736.000000,0.027369
0.977350,0.000022,0.000023,0.022605,0.305770,810.598454,49054.527914,236.714286,972.714286,0.028011
0.977345,0.000022,0.000023,0.022609,0.311814,828.109722,49882.637637,272.857143,1245.571429,0.028589
0.977340,0.000023,0.000024,0.022613,0.318040,847.133000,50729.770637,286.428571,1532.000000,0.029096
0.977335,0.000024,0.000024,0.022617,0.324435,867.796864,51597.567501,327.714286,1859.714286,0.029525
0.977329,0.000025,0.000025,0.022621,0.330982,890.236569,52487.804071,359.000000,2218.714286,0.029866
0.977323,0.000025,0.000026,0.022625,0.337662,914.595597,53402.399668,396.428571,2615.142857,0.030113
0.977317,0.000026,0.000027,0.022630,0.344451,941.021557,54343.421225,387.142857,3002.285714,0.030257
0.977311,0.000027,0.000027,0.022634,0.351326,969.671436,55313.092661,384.000000,3386.285714,0.030300
0.977305,0.000028,0.000028,0.022639,0.358262,1000.719348,56313.812009,502.285714,3888.571429,0.030240
0.977298,0.000029,0.000029,0.022644,0.365231,1034.341054,57348.153063,628.714286,4517.285714,0.030067
0.977291,0.000031,0.000030,0.022648,0.372203,1070.712542,58418.865605,713.571429,5230.857143,0.029782
0.977283,0.000032,0.000031,0.022654,0.379149,1110.018835,59528.884440,805.571429,6036.428571,0.029384
0.977275,0.000033,0.000033,0.022659,0.386037,1152.452760,60681.337200,910.714286,6947.142857,0.028875
0.977267,0.000035,0.000034,0.022664,0.392837,1198.208250,61879.545450,982.000000,7929.142857,0.028257
0.977258,0.000037,0.000035,0.022670,0.399517,1247.489747,63127.035197,1068.142857,8997.285714,0.027534
0.977249,0.000038,0.000037,0.022676,0.406048,1300.506727,64427.541924,1142.857143,10140.142857,0.026713
0.977239,0.000040,0.000038,0.022683,0.412401,1357.489382,65785.031305,1299.000000,11439.142857,0.025796
0.977229,0.000042,0.000040,0.022689,0.418550,1418.664542,67203.695847,1421.000000,12860.142857,0.024787
0.977218,0.000044,0.000042,0.022696,0.424466,1484.265237,68687.961085,1511.714286,14371.857143,0.023690
0.977207,0.000047,0.000044,0.022703,0.430125,1554.519985,70242.481070,1492.714286,15864.571429,0.022513
0.977195,0.000049,0.000046,0.022710,0.435503,1629.703616,71872.184686,1577.000000,17441.571429,0.021266
0.977182,0.000052,0.000048,0.022718,0.440581,1710.087973,73582.272659,1624.857143,19066.428571,0.019952
0.977168,0.000055,0.000051,0.022726,0.445338,1795.956049,75378.228708,1649.285714,20715.714286,0.018580
0.977154,0.000058,0.000053,0.022735,0.449760,1887.634462,77265.863170,1770.428571,22486.142857,0.017157
