S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.979538,0.000011,0.000012,0.020439,0.251738,78.220671,78.220671,0.571429,2.428571,0.007667
0.979536,0.000011,0.000012,0.020441,0.253182,77.441041,155.661711,0.428571,2.857143,0.008860
0.979534,0.000011,0.000012,0.020443,0.255088,76.857784,232.519495,0.428571,3.285714,0.011147
0.979532,0.000011,0.000012,0.020446,0.257418,76.422876,308.942370,0.285714,3.571429,0.013236
0.979530,0.000010,0.000012,0.020448,0.260148,76.101705,385.044076,0.285714,3.857143,0.015183
0.979528,0.000010,0.000012,0.020450,0.263263,75.869171,460.913247,0.285714,4.142857,0.017030
0.979526,0.000010,0.000012,0.020452,0.266754,75.707009,536.620256,0.571429,4.714286,0.018809
0.979524,0.000010,0.000012,0.020454,0.270621,75.601945,612.222200,0.428571,5.142857,0.020544
0.979522,0.000010,0.000012,0.020456,0.274864,75.544413,687.766613,0.428571,5.571429,0.022255
0.979520,0.000010,0.000012,0.020458,0.279492,75.527662,763.294274,0.428571,6.000000,0.023959
0.979517,0.000010,0.000012,0.020460,0.284514,75.547134,838.841408,0.428571,6.428571,0.025672
0.979515,0.000010,0.000012,0.020462,0.289944,75.600033,914.441441,0.285714,6.714286,0.027405
0.979513,0.000010,0.000012,0.020464,0.295798,75.685028,990.126469,0.285714,7.000000,0.029170
0.979511,0.000011,0.000012,0.020466,0.302096,75.802056,1065.928525,0.000000,7.000000,0.030981
0.979509,0.000011,0.000012,0.020468,0.308862,75.952204,1141.880729,0.142857,7.142857,0.032849
0.979507,0.000011,0.000012,0.020470,0.316120,76.137642,1218.018371,0.142857,7.285714,0.034785
0.979505,0.000011,0.000012,0.020473,0.323902,76.361619,1294.379991,0.142857,7.428571,0.036804
0.979502,0.000011,0.000012,0.020475,0.332240,76.628497,1371.008487,0.142857,7.571429,0.038919
0.979500,0.000011,0.000012,0.020477,0.341171,76.943832,1447.952319,0.142857,7.714286,0.041145
0.979498,0.000011,0.000012,0.020479,0.350736,77.314511,1525.266830,0.142857,7.857143,0.043499
0.979495,0.000011,0.000012,0.020481,0.360982,77.748931,1603.015761,0.285714,8.142857,0.045998
0.979493,0.000012,0.000012,0.020483,0.371957,78.257247,1681.273008,0.142857,8.285714,0.048660
0.979490,0.000012,0.000013,0.020486,0.383716,78.851677,1760.124685,0.142857,8.428571,0.051503
0.979488,0.000012,0.000013,0.020488,0.396316,79.546885,1839.671570,0.285714,8.714286,0.054544
0.979485,0.000012,0.000013,0.020490,0.409815,80.360440,1920.032010,0.428571,9.142857,0.057794
0.979482,0.000013,0.000013,0.020492,0.424273,81.313349,2001.345359,0.428571,9.571429,0.061257
0.979479,0.000013,0.000013,0.020495,0.439741,82.430637,2083.775995,0.571429,10.142857,0.064925
0.979477,0.000013,0.000013,0.020497,0.456264,83.741963,2167.517958,0.714286,10.857143,0.068772
0.979474,0.000014,0.000014,0.020499,0.473864,85.282185,2252.800144,1.000000,11.857143,0.072746
0.979471,0.000014,0.000014,0.020502,0.492537,87.091804,2339.891948,1.571429,13.428571,0.076762
0.979467,0.000015,0.000014,0.020504,0.512236,89.217157,2429.109104,2.000000,15.428571,0.080699
0.979464,0.000015,0.000015,0.020506,0.532863,91.710246,2520.819350,1.857143,17.285714,0.084399
0.979460,0.000016,0.000015,0.020509,0.554253,94.628098,2615.447448,3.142857,20.428571,0.087665
0.979456,0.000017,0.000016,0.020512,0.576179,98.031644,2713.479093,3.142857,23.571429,0.090282
0.979452,0.000018,0.000016,0.020515,0.598346,101.984111,2815.463204,4.571429,28.142857,0.092026
0.979447,0.000019,0.000017,0.020517,0.620412,106.549253,2922.012457,5.428571,33.571429,0.092697
0.979442,0.000020,0.000018,0.020520,0.642007,111.789528,3033.801985,5.714286,39.285714,0.092136
0.979437,0.000021,0.000019,0.020523,0.662764,117.764657,3151.566641,6.142857,45.428571,0.090253
0.979431,0.000022,0.000020,0.020526,0.682351,124.530751,3276.097392,8.857143,54.285714,0.087034
0.979425,0.000024,0.000021,0.020530,0.700493,132.140185,3408.237577,8.857143,63.142857,0.082541
0.979419,0.000026,0.000022,0.020533,0.716986,140.641970,3548.879547,11.571429,74.714286,0.076905
0.979412,0.000028,0.000024,0.020537,0.731704,150.083018,3698.962565,15.571429,90.285714,0.070306
0.979404,0.000030,0.000025,0.020541,0.744590,160.509519,3859.472084,20.285714,110.571429,0.062948
0.979395,0.000032,0.000027,0.020546,0.755646,171.968598,4031.440683,27.571429,138.142857,0.055044
0.979386,0.000034,0.000029,0.020550,0.764917,184.510033,4215.950716,38.571429,176.714286,0.046793
0.979376,0.000037,0.000031,0.020555,0.772475,198.187769,4414.138485,49.571429,226.285714,0.038372
0.979365,0.000040,0.000034,0.020561,0.778405,213.060949,4627.199434,70.428571,296.714286,0.029925
0.979354,0.000043,0.000036,0.020567,0.782799,229.195290,4856.394723,86.142857,382.857143,0.021569
0.979341,0.000047,0.000039,0.020573,0.785740,246.662650,5103.057374,101.142857,484.000000,0.013389
0.979328,0.000050,0.000042,0.020579,0.787307,265.541633,5368.599007,125.571429,609.571429,0.005443
0.979314,0.000054,0.000045,0.020587,0.787563,285.917540,5654.516547,152.142857,761.714286,-0.002229
0.979298,0.000059,0.000049,0.020594,0.786561,307.880768,5962.397315,160.142857,921.857143,-0.009602
0.979282,0.000063,0.000053,0.020603,0.784339,331.524682,6293.921997,235.000000,1156.857143,-0.016669
0.979264,0.000068,0.000057,0.020612,0.780922,356.949611,6650.871608,316.857143,1473.714286,-0.023428
0.979244,0.000073,0.000061,0.020622,0.776323,384.252976,7035.124585,382.428571,1856.142857,-0.029872
0.979224,0.000079,0.000066,0.020632,0.770548,413.527667,7448.652252,452.285714,2308.428571,-0.036001
0.979202,0.000084,0.000071,0.020643,0.763593,444.861143,7893.513395,524.000000,2832.428571,-0.041819
0.979178,0.000091,0.000076,0.020656,0.755449,478.330393,8371.843788,617.571429,3450.000000,-0.047330
0.979153,0.000097,0.000082,0.020669,0.746105,513.998460,8885.842248,692.571429,4142.571429,-0.052529
0.979126,0.000104,0.000088,0.020683,0.735548,551.905268,9437.747516,765.000000,4907.571429,-0.057413
0.979097,0.000111,0.000094,0.020698,0.723769,592.066213,10029.813729,824.285714,5731.857143,-0.061979
0.979067,0.000118,0.000101,0.020714,0.710765,634.467519,10664.281247,960.285714,6692.142857,-0.066239
0.979035,0.000126,0.000108,0.020731,0.696534,679.067219,11343.348466,1098.714286,7790.857143,-0.070196
0.979001,0.000134,0.000115,0.020750,0.681090,725.773777,12069.122243,1168.571429,8959.428571,-0.073820
0.978966,0.000142,0.000123,0.020769,0.664466,774.445839,12843.568082,1240.857143,10200.285714,-0.077107
0.978929,0.000150,0.000131,0.020790,0.646708,824.904805,13668.472887,1370.571429,11570.857143,-0.080085
0.978891,0.000158,0.000139,0.020813,0.627871,876.920693,14545.393581,1379.857143,12950.714286,-0.082726
0.978850,0.000165,0.000148,0.020836,0.608050,930.203779,15475.597360,1413.142857,14363.857143,-0.085026
0.978809,0.000173,0.000156,0.020862,0.587343,984.428276,16460.025636,1381.857143,15745.714286,-0.086999
0.978766,0.000181,0.000165,0.020888,0.565878,1039.224086,17499.249721,1372.428571,17118.142857,-0.088650
0.978722,0.000188,0.000174,0.020917,0.543788,1094.196455,18593.446176,1390.857143,18509.000000,-0.090012
0.978676,0.000195,0.000182,0.020946,0.521217,1148.917969,19742.364145,1363.285714,19872.285714,-0.091076
0.978630,0.000201,0.000191,0.020977,0.498332,1202.937390,20945.301535,1297.428571,21169.714286,-0.091834
0.978583,0.000207,0.000199,0.021010,0.475301,1255.811354,22201.112888,1323.285714,22493.000000,-0.092330
0.978535,0.000213,0.000208,0.021044,0.452279,1307.097057,23508.209945,1331.428571,23824.428571,-0.092586
0.978487,0.000217,0.000215,0.021080,0.429430,1356.359763,24864.569708,1341.428571,25165.857143,-0.092587
0.978439,0.000222,0.000223,0.021116,0.406908,1403.191325,26267.761033,1368.142857,26534.000000,-0.092353
0.978391,0.000225,0.000230,0.021154,0.384854,1447.220997,27714.982030,1447.714286,27981.714286,-0.091912
0.978342,0.000228,0.000236,0.021193,0.363389,1488.104586,29203.086616,1492.142857,29473.857143,-0.091260
0.978294,0.000230,0.000242,0.021233,0.342630,1525.553371,30728.639987,1567.142857,31041.000000,-0.090404
0.978246,0.000232,0.000248,0.021274,0.322665,1559.321173,32287.961160,1630.714286,32671.714286,-0.089363
0.978199,0.000233,0.000252,0.021316,0.303569,1589.210672,33877.171832,1647.142857,34318.857143,-0.088126
0.978152,0.000233,0.000257,0.021359,0.285403,1615.100755,35492.272587,1727.857143,36046.714286,-0.086725
0.978106,0.000233,0.000260,0.021402,0.268194,1636.893123,37129.165710,1750.714286,37797.428571,-0.085174
0.978060,0.000232,0.000263,0.021445,0.251969,1654.553708,38783.719418,1712.714286,39510.142857,-0.083449
0.978015,0.000230,0.000265,0.021489,0.236737,1668.114940,40451.834358,1696.142857,41206.285714,-0.081582
0.977971,0.000229,0.000266,0.021534,0.222487,1677.639486,42129.473844,1688.428571,42894.714286,-0.079606
0.977928,0.000226,0.000267,0.021578,0.209196,1683.224690,43812.698534,1658.857143,44553.571429,-0.077520
0.977886,0.000224,0.000268,0.021622,0.196838,1685.015466,45497.714000,1651.428571,46205.000000,-0.075340
0.977845,0.000220,0.000267,0.021667,0.185375,1683.166808,47180.880808,1615.857143,47820.857143,-0.073078
0.977805,0.000217,0.000266,0.021711,0.174767,1677.871715,48858.752523,1572.428571,49393.285714,-0.070734
0.977766,0.000213,0.000265,0.021756,0.164972,1669.353465,50528.105988,1617.285714,51010.571429,-0.068346
0.977727,0.000210,0.000263,0.021800,0.155937,1657.803205,52185.909193,1645.428571,52656.000000,-0.065922
0.977690,0.000206,0.000261,0.021843,0.147618,1643.469149,53829.378342,1784.714286,54440.714286,-0.063475
0.977654,0.000201,0.000258,0.021887,0.139963,1626.521245,55455.899587,1766.142857,56206.857143,-0.060988
0.977618,0.000197,0.000255,0.021930,0.132935,1607.234700,57063.134286,1736.000000,57942.857143,-0.058441
0.977584,0.000193,0.000252,0.021972,0.126491,1585.843625,58648.977911,1701.428571,59644.285714,-0.055877
0.977550,0.000188,0.000248,0.022014,0.120588,1562.580651,60211.558563,1692.714286,61337.000000,-0.053311
0.977517,0.000183,0.000244,0.022055,0.115184,1537.648690,61749.207252,1623.428571,62960.428571,-0.050740
0.977486,0.000179,0.000240,0.022096,0.110245,1511.282484,63260.489736,1573.571429,64534.000000,-0.048170
0.977455,0.000174,0.000236,0.022135,0.105734,1483.657327,64744.147063,1376.428571,65910.428571,-0.045597
0.977425,0.000170,0.000231,0.022174,0.101622,1455.036314,66199.183377,1333.857143,67244.285714,-0.043044
0.977396,0.000165,0.000226,0.022213,0.097875,1425.556017,67624.739394,1315.285714,68559.571429,-0.040544
0.977368,0.000161,0.000222,0.022250,0.094463,1395.375029,69020.114422,1269.000000,69828.571429,-0.038071
0.977340,0.000156,0.000217,0.022287,0.091361,1364.661038,70384.775460,1226.285714,71054.857143,-0.035626
0.977314,0.000152,0.000212,0.022322,0.088548,1333.560362,71718.335822,1187.428571,72242.285714,-0.033217
0.977288,0.000148,0.000207,0.022357,0.086000,1302.211731,73020.547553,1184.000000,73426.285714,-0.030849
0.977263,0.000143,0.000202,0.022391,0.083698,1270.727992,74291.275545,1175.714286,74602.000000,-0.028522
0.977239,0.000139,0.000197,0.022425,0.081625,1239.223325,75530.498870,1161.857143,75763.857143,-0.026235
0.977216,0.000135,0.000192,0.022457,0.079765,1207.803371,76738.302241,1157.571429,76921.428571,-0.023990
0.977193,0.000131,0.000187,0.022489,0.078103,1176.557883,77914.860124,1150.000000,78071.428571,-0.021788
0.977171,0.000127,0.000182,0.022520,0.076627,1145.570987,79060.431111,1141.142857,79212.571429,-0.019630
0.977150,0.000124,0.000177,0.022550,0.075325,1114.918804,80175.349915,1146.857143,80359.428571,-0.017518
0.977129,0.000120,0.000172,0.022579,0.074187,1084.662137,81260.012053,1142.142857,81501.571429,-0.015449
0.977109,0.000116,0.000168,0.022607,0.073203,1054.859787,82314.871839,1119.714286,82621.285714,-0.013425
0.977089,0.000113,0.000163,0.022635,0.072365,1025.567555,83340.439395,1109.714286,83731.000000,-0.011445
0.977070,0.000110,0.000158,0.022662,0.071666,996.824404,84337.263798,1087.857143,84818.857143,-0.009511
0.977052,0.000106,0.000154,0.022688,0.071100,968.669441,85305.933239,1061.571429,85880.428571,-0.007623
0.977034,0.000103,0.000149,0.022713,0.070659,941.134375,86247.067614,1036.714286,86917.142857,-0.005779
