S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.969710,0.000122,0.000106,0.030061,0.530065,151.689618,151.689618,4.714286,10.142857,0.019239
0.969674,0.000132,0.000113,0.030082,0.534858,160.724725,312.414343,6.428571,16.428571,0.016860
0.969634,0.000143,0.000120,0.030103,0.538454,171.393005,483.807348,8.142857,24.428571,0.011719
0.969590,0.000156,0.000129,0.030124,0.540682,183.830940,667.638288,12.285714,36.714286,0.005873
0.969543,0.000171,0.000139,0.030147,0.541371,198.164894,865.803182,16.857143,53.571429,-0.000672
0.969491,0.000187,0.000150,0.030171,0.540349,214.501638,1080.304821,24.142857,77.714286,-0.007919
0.969434,0.000205,0.000163,0.030197,0.537438,232.919436,1313.224257,31.571429,109.285714,-0.015876
0.969373,0.000225,0.000178,0.030225,0.532455,253.457611,1566.681867,40.571429,149.857143,-0.024554
0.969307,0.000245,0.000194,0.030255,0.525213,276.108507,1842.790375,45.714286,195.571429,-0.033953
0.969235,0.000267,0.000211,0.030287,0.515522,300.808454,2143.598829,53.857143,249.428571,-0.044058
0.969158,0.000289,0.000230,0.030323,0.503204,327.436805,2471.035634,76.857143,326.285714,-0.054846
0.969077,0.000311,0.000250,0.030363,0.488100,355.814544,2826.850179,102.142857,428.428571,-0.066256
0.968991,0.000333,0.000271,0.030406,0.470095,385.694890,3212.545069,141.000000,569.428571,-0.078195
0.968900,0.000355,0.000292,0.030453,0.449143,416.771668,3629.316737,183.142857,752.571429,-0.090524
0.968807,0.000375,0.000315,0.030503,0.425301,448.673145,4077.989882,234.285714,986.857143,-0.103056
0.968710,0.000394,0.000337,0.030558,0.398765,480.971029,4558.960911,286.857143,1273.714286,-0.115553
0.968612,0.000411,0.000360,0.030617,0.369893,513.178712,5072.139623,323.571429,1597.285714,-0.127694
0.968513,0.000425,0.000382,0.030680,0.339241,544.768687,5616.908309,447.714286,2045.000000,-0.139266
0.968414,0.000437,0.000404,0.030746,0.307459,575.212165,6192.120475,572.285714,2617.285714,-0.149999
0.968316,0.000446,0.000424,0.030815,0.275363,603.923002,6796.043477,697.000000,3314.285714,-0.159488
0.968219,0.000452,0.000442,0.030887,0.243811,630.309237,7426.352714,765.142857,4079.428571,-0.167376
0.968125,0.000455,0.000459,0.030962,0.213645,653.808985,8080.161699,866.285714,4945.714286,-0.173474
0.968034,0.000454,0.000473,0.031039,0.185523,673.935743,8754.097442,905.285714,5851.000000,-0.177667
0.967947,0.000451,0.000484,0.031118,0.159953,690.289986,9444.387428,936.857143,6787.857143,-0.179832
0.967863,0.000445,0.000493,0.031199,0.137196,702.615606,10147.003034,994.285714,7782.142857,-0.180157
0.967784,0.000436,0.000499,0.031281,0.117301,710.786176,10857.789210,1017.142857,8799.285714,-0.178732
0.967708,0.000426,0.000502,0.031364,0.100183,714.820626,11572.609836,997.428571,9796.714286,-0.175612
0.967637,0.000414,0.000502,0.031447,0.085640,714.899590,12287.509426,1037.428571,10834.142857,-0.171127
0.967570,0.000401,0.000499,0.031531,0.073383,711.292613,12998.802039,1061.142857,11895.285714,-0.165556
0.967506,0.000387,0.000494,0.031614,0.063125,704.369782,13703.171821,1065.714286,12961.000000,-0.158972
0.967445,0.000372,0.000487,0.031696,0.054580,694.564600,14397.736421,1049.285714,14010.285714,-0.151584
0.967387,0.000357,0.000479,0.031777,0.047481,682.342324,15080.078745,1027.142857,15037.428571,-0.143621
0.967332,0.000343,0.000469,0.031857,0.041589,668.161833,15748.240578,1011.428571,16048.857143,-0.135313
0.967279,0.000328,0.000458,0.031935,0.036694,652.450051,16400.690629,1003.571429,17052.428571,-0.126841
0.967229,0.000314,0.000446,0.032011,0.032622,635.588501,17036.279131,969.714286,18022.142857,-0.118317
0.967180,0.000301,0.000434,0.032086,0.029227,617.922896,17654.202027,915.857143,18938.000000,-0.109847
0.967134,0.000288,0.000421,0.032158,0.026388,599.742970,18253.944996,882.142857,19820.142857,-0.101591
0.967089,0.000275,0.000408,0.032228,0.024006,581.266309,18835.211306,860.571429,20680.714286,-0.093649
0.967047,0.000263,0.000395,0.032295,0.022000,562.665061,19397.876367,806.428571,21487.142857,-0.086028
0.967006,0.000252,0.000382,0.032361,0.020305,544.088664,19941.965030,746.714286,22233.857143,-0.078752
0.966966,0.000241,0.000369,0.032424,0.018867,525.639367,20467.604397,689.428571,22923.285714,-0.071872
0.966928,0.000231,0.000356,0.032484,0.017644,507.387447,20974.991844,644.142857,23567.428571,-0.065396
0.966892,0.000222,0.000343,0.032543,0.016600,489.379897,21464.371741,555.857143,24123.285714,-0.059293
0.966857,0.000212,0.000331,0.032600,0.015708,471.664682,21936.036423,523.285714,24646.571429,-0.053571
0.966824,0.000203,0.000319,0.032654,0.014943,454.241488,22390.277911,514.428571,25161.000000,-0.048223
0.966792,0.000195,0.000307,0.032706,0.014288,437.122423,22827.400333,416.857143,25577.857143,-0.043154
0.966761,0.000187,0.000295,0.032757,0.013728,420.344808,23247.745141,375.428571,25953.285714,-0.038359
0.966732,0.000179,0.000283,0.032806,0.013249,403.895650,23651.640792,334.714286,26288.000000,-0.033842
0.966704,0.000171,0.000272,0.032852,0.012843,387.779609,24039.420400,300.571429,26588.571429,-0.029549
0.966678,0.000164,0.000261,0.032897,0.012500,371.996770,24411.417170,297.714286,26886.285714,-0.025455
0.966652,0.000157,0.000250,0.032941,0.012214,356.544413,24767.961583,281.571429,27167.857143,-0.021522
0.966628,0.000150,0.000240,0.032982,0.011981,341.433401,25109.394984,262.571429,27430.428571,-0.017715
0.966605,0.000144,0.000229,0.033022,0.011795,326.669314,25436.064298,267.142857,27697.571429,-0.014018
0.966583,0.000137,0.000219,0.033060,0.011654,312.258080,25748.322379,237.000000,27934.571429,-0.010402
0.966562,0.000131,0.000209,0.033097,0.011555,298.217624,26046.540003,212.428571,28147.000000,-0.006844
