S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.946448,0.000030,0.000040,0.053482,0.191815,116.767424,116.767424,0.571429,1.285714,0.023767
0.946443,0.000029,0.000039,0.053489,0.195499,113.561062,230.328486,0.571429,1.714286,0.027975
0.946438,0.000029,0.000038,0.053496,0.200615,111.066228,341.394714,0.714286,2.285714,0.036303
0.946432,0.000029,0.000037,0.053502,0.207143,109.143663,450.538377,1.000000,3.142857,0.043841
0.946426,0.000029,0.000037,0.053508,0.215015,107.681570,558.219947,1.428571,4.428571,0.050316
0.946421,0.000029,0.000036,0.053514,0.224128,106.592849,664.812796,2.000000,6.428571,0.055645
0.946415,0.000029,0.000036,0.053520,0.234368,105.812195,770.624992,2.285714,8.714286,0.059883
0.946410,0.000029,0.000036,0.053526,0.245619,105.292765,875.917757,2.857143,11.571429,0.063163
0.946404,0.000029,0.000036,0.053532,0.257775,105.002521,980.920278,4.142857,15.714286,0.065641
0.946397,0.000029,0.000036,0.053538,0.270737,104.920699,1085.840977,5.428571,21.142857,0.067461
0.946391,0.000029,0.000036,0.053544,0.284414,105.034815,1190.875792,7.714286,28.857143,0.068744
0.946384,0.000030,0.000036,0.053550,0.298718,105.338323,1296.214115,9.285714,38.142857,0.069585
0.946378,0.000030,0.000036,0.053556,0.313568,105.829267,1402.043381,20.142857,58.285714,0.070061
0.946371,0.000031,0.000036,0.053562,0.328879,106.508794,1508.552175,26.285714,84.571429,0.070229
0.946364,0.000031,0.000037,0.053567,0.344569,107.381008,1615.933183,30.714286,115.285714,0.070149
0.946357,0.000032,0.000037,0.053573,0.360564,108.452616,1724.385799,44.142857,159.428571,0.069875
0.946350,0.000033,0.000037,0.053579,0.376790,109.732004,1834.117803,55.857143,215.285714,0.069458
0.946342,0.000034,0.000038,0.053586,0.393184,111.229527,1945.347331,68.000000,283.285714,0.068944
0.946334,0.000035,0.000039,0.053592,0.409689,112.957089,2058.304419,79.571429,362.857143,0.068370
0.946326,0.000036,0.000039,0.053599,0.426254,114.927816,2173.232236,84.285714,447.142857,0.067774
0.946317,0.000037,0.000040,0.053606,0.442839,117.157493,2290.389729,103.000000,550.142857,0.067182
0.946309,0.000038,0.000041,0.053612,0.459406,119.663072,2410.052801,129.142857,679.285714,0.066593
0.946299,0.000040,0.000042,0.053619,0.475916,122.461862,2532.514662,137.714286,817.000000,0.066009
0.946290,0.000041,0.000043,0.053626,0.492334,125.576354,2658.091017,168.000000,985.000000,0.065425
0.946280,0.000043,0.000044,0.053633,0.508621,129.028935,2787.119952,196.000000,1181.000000,0.064817
0.946269,0.000045,0.000045,0.053641,0.524733,132.844433,2919.964384,215.285714,1396.285714,0.064165
0.946258,0.000047,0.000047,0.053648,0.540625,137.052256,3057.016640,243.285714,1639.571429,0.063448
0.946246,0.000049,0.000048,0.053656,0.556247,141.682225,3198.698865,259.428571,1899.000000,0.062640
