S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.972593,0.000029,0.000034,0.027344,0.142075,285.879501,285.879501,1.857143,4.428571,0.003379
0.972589,0.000028,0.000033,0.027350,0.142487,280.019865,565.899366,2.428571,6.857143,0.003972
0.972584,0.000027,0.000032,0.027356,0.143046,275.539309,841.438675,4.714286,11.571429,0.005080
0.972579,0.000027,0.000032,0.027362,0.143733,272.078506,1113.517182,7.571429,19.142857,0.006029
0.972575,0.000026,0.000032,0.027367,0.144530,269.386193,1382.903375,9.285714,28.428571,0.006833
0.972570,0.000026,0.000031,0.027373,0.145423,267.283668,1650.187043,13.000000,41.428571,0.007514
0.972565,0.000026,0.000031,0.027378,0.146398,265.641736,1915.828778,13.857143,55.285714,0.008091
0.972560,0.000025,0.000031,0.027383,0.147445,264.365904,2180.194682,17.000000,72.285714,0.008585
0.972556,0.000025,0.000031,0.027388,0.148556,263.386074,2443.580756,23.142857,95.428571,0.009011
0.972550,0.000025,0.000031,0.027394,0.149724,262.649723,2706.230480,26.142857,121.571429,0.009384
0.972545,0.000025,0.000031,0.027399,0.150945,262.117265,2968.347744,27.571429,149.142857,0.009717
0.972540,0.000025,0.000031,0.027404,0.152215,261.758608,3230.106352,36.142857,185.285714,0.010020
0.972535,0.000025,0.000031,0.027409,0.153531,261.550629,3491.656982,48.000000,233.285714,0.010301
0.972530,0.000025,0.000031,0.027414,0.154892,261.475572,3753.132553,55.142857,288.428571,0.010566
0.972525,0.000025,0.000031,0.027419,0.156297,261.519804,4014.652357,53.142857,341.571429,0.010821
0.972520,0.000025,0.000031,0.027424,0.157746,261.672918,4276.325275,53.285714,394.857143,0.011070
0.972516,0.000025,0.000031,0.027429,0.159239,261.926860,4538.252135,57.857143,452.714286,0.011316
0.972510,0.000025,0.000031,0.027434,0.160776,262.275493,4800.527628,67.285714,520.000000,0.011561
0.972505,0.000025,0.000031,0.027439,0.162359,262.714151,5063.241779,70.714286,590.714286,0.011806
0.972500,0.000025,0.000031,0.027443,0.163987,263.239485,5326.481264,70.714286,661.428571,0.012055
0.972495,0.000025,0.000031,0.027448,0.165664,263.849239,5590.330503,85.142857,746.571429,0.012307
0.972490,0.000025,0.000031,0.027453,0.167390,264.541798,5854.872301,97.857143,844.428571,0.012564
0.972485,0.000026,0.000031,0.027458,0.169166,265.316336,6120.188636,106.285714,950.714286,0.012827
0.972480,0.000026,0.000031,0.027463,0.170995,266.172680,6386.361316,116.428571,1067.142857,0.013096
0.972474,0.000026,0.000031,0.027469,0.172879,267.111058,6653.472374,114.000000,1181.142857,0.013373
0.972469,0.000026,0.000032,0.027474,0.174820,268.132335,6921.604709,114.714286,1295.857143,0.013658
0.972463,0.000026,0.000032,0.027479,0.176820,269.237743,7190.842452,118.714286,1414.571429,0.013954
0.972458,0.000026,0.000032,0.027484,0.178882,270.429081,7461.271533,145.142857,1559.714286,0.014258
0.972452,0.000027,0.000032,0.027489,0.181008,271.708179,7732.979712,156.285714,1716.000000,0.014573
0.972446,0.000027,0.000032,0.027495,0.183202,273.077562,8006.057274,177.000000,1893.000000,0.014898
0.972441,0.000027,0.000032,0.027500,0.185467,274.539890,8280.597165,190.857143,2083.857143,0.015233
0.972435,0.000027,0.000033,0.027505,0.187805,276.098138,8556.695303,189.857143,2273.714286,0.015579
0.972429,0.000027,0.000033,0.027511,0.190220,277.755744,8834.451046,186.857143,2460.571429,0.015936
0.972423,0.000028,0.000033,0.027516,0.192714,279.516523,9113.967570,187.571429,2648.142857,0.016303
0.972417,0.000028,0.000033,0.027522,0.195292,281.384281,9395.351851,157.714286,2805.857143,0.016682
0.972411,0.000028,0.000033,0.027527,0.197958,283.363823,9678.715674,152.142857,2958.000000,0.017073
0.972405,0.000029,0.000034,0.027532,0.200714,285.460039,9964.175713,147.285714,3105.285714,0.017474
0.972399,0.000029,0.000034,0.027538,0.203564,287.678269,10251.853983,141.142857,3246.428571,0.017887
0.972393,0.000029,0.000034,0.027543,0.206514,290.024616,10541.878599,156.857143,3403.285714,0.018311
0.972387,0.000030,0.000034,0.027549,0.209566,292.505432,10834.384030,172.571429,3575.857143,0.018744
0.972381,0.000030,0.000035,0.027554,0.212723,295.127489,11129.511520,178.285714,3754.142857,0.019185
0.972375,0.000031,0.000035,0.027560,0.215992,297.898320,11427.409840,187.142857,3941.285714,0.019636
0.972368,0.000031,0.000035,0.027565,0.219374,300.826065,11728.235905,196.571429,4137.857143,0.020094
0.972362,0.000031,0.000036,0.027571,0.222874,303.919634,12032.155540,210.428571,4348.285714,0.020558
0.972355,0.000032,0.000036,0.027577,0.226495,307.188593,12339.344132,221.000000,4569.285714,0.021029
0.972348,0.000032,0.000037,0.027582,0.230242,310.643352,12649.987484,229.714286,4799.000000,0.021504
0.972342,0.000033,0.000037,0.027588,0.234117,314.295204,12964.282688,235.000000,5034.000000,0.021985
0.972335,0.000034,0.000037,0.027594,0.238126,318.156898,13282.439586,261.285714,5295.285714,0.022468
0.972327,0.000034,0.000038,0.027601,0.242270,322.241687,13604.681272,272.285714,5567.571429,0.022953
0.972320,0.000035,0.000038,0.027607,0.246553,326.564301,13931.245573,288.428571,5856.000000,0.023439
0.972312,0.000036,0.000039,0.027613,0.250978,331.140933,14262.386506,313.000000,6169.000000,0.023924
0.972304,0.000036,0.000040,0.027620,0.255548,335.988544,14598.375050,315.857143,6484.857143,0.024407
0.972296,0.000037,0.000040,0.027627,0.260265,341.126539,14939.501590,342.285714,6827.142857,0.024886
0.972288,0.000038,0.000041,0.027634,0.265130,346.575398,15286.076987,355.857143,7183.000000,0.025361
0.972279,0.000039,0.000042,0.027641,0.270147,352.358416,15638.435403,400.428571,7583.428571,0.025828
0.972270,0.000040,0.000042,0.027648,0.275315,358.499599,15996.935003,415.142857,7998.571429,0.026286
0.972261,0.000041,0.000043,0.027655,0.280636,365.025983,16361.960986,446.142857,8444.714286,0.026732
0.972252,0.000042,0.000044,0.027663,0.286108,371.966791,16733.927777,473.428571,8918.142857,0.027163
0.972243,0.000043,0.000045,0.027670,0.291732,379.353778,17113.281555,499.857143,9418.000000,0.027578
0.972233,0.000044,0.000046,0.027678,0.297505,387.221504,17500.503060,524.142857,9942.142857,0.027973
