S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.985461,0.000023,0.000028,0.014488,0.218364,23.563957,23.563957,3.285714,12.714286,-0.000812
0.985456,0.000023,0.000028,0.014493,0.218225,23.431131,46.995088,3.428571,16.142857,-0.000733
0.985452,0.000023,0.000027,0.014498,0.218114,23.315513,70.310601,2.857143,19.000000,-0.000565
0.985447,0.000023,0.000027,0.014502,0.218032,23.214525,93.525126,3.571429,22.571429,-0.000380
0.985443,0.000023,0.000027,0.014507,0.217984,23.126046,116.651173,4.142857,26.714286,-0.000178
0.985439,0.000023,0.000027,0.014512,0.217972,23.048344,139.699517,5.285714,32.000000,0.000038
0.985434,0.000022,0.000027,0.014516,0.217997,22.979984,162.679501,6.714286,38.714286,0.000267
0.985430,0.000022,0.000027,0.014521,0.218063,22.919777,185.599278,9.142857,47.857143,0.000509
0.985425,0.000022,0.000027,0.014525,0.218171,22.866730,208.466008,12.428571,60.285714,0.000759
0.985421,0.000022,0.000027,0.014530,0.218322,22.820000,231.286009,12.857143,73.142857,0.001018
0.985417,0.000022,0.000027,0.014534,0.218518,22.778895,254.064904,14.142857,87.285714,0.001286
0.985412,0.000022,0.000027,0.014539,0.218761,22.742824,276.807728,16.714286,104.000000,0.001560
0.985408,0.000022,0.000027,0.014543,0.219051,22.711278,299.519006,18.142857,122.142857,0.001839
0.985403,0.000022,0.000027,0.014548,0.219390,22.683831,322.202837,18.857143,141.000000,0.002123
0.985399,0.000022,0.000027,0.014552,0.219778,22.660125,344.862961,20.571429,161.571429,0.002411
0.985395,0.000022,0.000027,0.014557,0.220217,22.639845,367.502807,21.428571,183.000000,0.002702
0.985390,0.000022,0.000027,0.014561,0.220706,22.622739,390.125546,25.428571,208.428571,0.002996
0.985386,0.000022,0.000027,0.014566,0.221247,22.608572,412.734118,25.714286,234.142857,0.003291
0.985382,0.000022,0.000027,0.014570,0.221840,22.597158,435.331276,24.571429,258.714286,0.003587
0.985377,0.000022,0.000027,0.014574,0.222486,22.588342,457.919618,24.285714,283.000000,0.003885
0.985373,0.000022,0.000027,0.014579,0.223184,22.581995,480.501613,24.857143,307.857143,0.004182
0.985369,0.000022,0.000027,0.014583,0.223936,22.578007,503.079620,23.571429,331.428571,0.004480
0.985364,0.000022,0.000027,0.014587,0.224742,22.576292,525.655912,21.857143,353.285714,0.004778
0.985360,0.000022,0.000027,0.014592,0.225601,22.576786,548.232698,20.000000,373.285714,0.005077
0.985355,0.000022,0.000027,0.014596,0.226515,22.579445,570.812144,20.000000,393.285714,0.005375
0.985351,0.000022,0.000027,0.014600,0.227485,22.584238,593.396382,19.571429,412.857143,0.005674
0.985347,0.000022,0.000027,0.014605,0.228510,22.591149,615.987531,19.428571,432.285714,0.005973
0.985342,0.000022,0.000027,0.014609,0.229591,22.600176,638.587707,18.142857,450.428571,0.006272
0.985338,0.000022,0.000027,0.014614,0.230728,22.611340,661.199048,20.428571,470.857143,0.006573
0.985333,0.000022,0.000027,0.014618,0.231924,22.624662,683.823709,20.285714,491.142857,0.006874
0.985329,0.000022,0.000027,0.014622,0.233177,22.640181,706.463890,20.285714,511.428571,0.007176
0.985324,0.000022,0.000027,0.014627,0.234490,22.657948,729.121838,20.142857,531.571429,0.007479
0.985320,0.000022,0.000027,0.014631,0.235863,22.678029,751.799867,20.714286,552.285714,0.007785
0.985315,0.000022,0.000027,0.014636,0.237296,22.700494,774.500360,19.285714,571.571429,0.008092
0.985311,0.000022,0.000027,0.014640,0.238792,22.725430,797.225791,17.714286,589.285714,0.008402
0.985306,0.000022,0.000027,0.014645,0.240351,22.752935,819.978726,14.714286,604.000000,0.008716
0.985301,0.000023,0.000027,0.014649,0.241974,22.783123,842.761848,13.000000,617.000000,0.009034
0.985297,0.000023,0.000027,0.014654,0.243665,22.816119,865.577967,11.142857,628.142857,0.009356
0.985292,0.000023,0.000027,0.014658,0.245423,22.852063,888.430030,9.285714,637.428571,0.009684
0.985287,0.000023,0.000027,0.014663,0.247251,22.891108,911.321138,7.142857,644.571429,0.010018
0.985283,0.000023,0.000027,0.014668,0.249152,22.933430,934.254568,7.285714,651.857143,0.010359
0.985278,0.000023,0.000027,0.014672,0.251127,22.979218,957.233786,7.857143,659.714286,0.010708
0.985273,0.000023,0.000027,0.014677,0.253180,23.028671,980.262456,6.285714,666.000000,0.011065
0.985269,0.000023,0.000027,0.014681,0.255312,23.082012,1003.344468,5.428571,671.428571,0.011432
0.985264,0.000023,0.000027,0.014686,0.257527,23.139488,1026.483956,5.428571,676.857143,0.011809
0.985259,0.000023,0.000027,0.014690,0.259828,23.201367,1049.685323,5.000000,681.857143,0.012197
0.985254,0.000023,0.000027,0.014695,0.262218,23.267941,1072.953264,5.000000,686.857143,0.012597
0.985250,0.000024,0.000027,0.014699,0.264702,23.339530,1096.292794,5.142857,692.000000,0.013010
0.985245,0.000024,0.000028,0.014704,0.267283,23.416480,1119.709274,4.571429,696.571429,0.013438
0.985240,0.000024,0.000028,0.014709,0.269965,23.499173,1143.208447,4.714286,701.285714,0.013882
0.985235,0.000024,0.000028,0.014713,0.272754,23.588030,1166.796477,5.428571,706.714286,0.014342
0.985230,0.000024,0.000028,0.014718,0.275655,23.683507,1190.479984,5.714286,712.428571,0.014821
0.985225,0.000024,0.000028,0.014723,0.278673,23.786105,1214.266089,6.285714,718.714286,0.015320
0.985220,0.000024,0.000028,0.014727,0.281814,23.896371,1238.162459,6.428571,725.142857,0.015840
0.985215,0.000025,0.000028,0.014732,0.285085,24.014908,1262.177368,7.142857,732.285714,0.016383
0.985210,0.000025,0.000028,0.014737,0.288492,24.142374,1286.319742,6.857143,739.142857,0.016950
0.985205,0.000025,0.000029,0.014741,0.292043,24.279493,1310.599235,6.571429,745.714286,0.017545
0.985200,0.000025,0.000029,0.014746,0.295747,24.427062,1335.026297,6.857143,752.571429,0.018168
0.985195,0.000026,0.000029,0.014751,0.299611,24.585960,1359.612257,6.714286,759.285714,0.018822
0.985189,0.000026,0.000029,0.014756,0.303646,24.757154,1384.369411,7.571429,766.857143,0.019509
0.985184,0.000026,0.000029,0.014761,0.307861,24.941713,1409.311124,8.428571,775.285714,0.020232
0.985178,0.000026,0.000030,0.014766,0.312268,25.140796,1434.451920,7.000000,782.285714,0.020993
0.985173,0.000027,0.000030,0.014771,0.316878,25.355695,1459.807615,7.714286,790.000000,0.021794
0.985167,0.000027,0.000030,0.014776,0.321703,25.587848,1485.395462,9.285714,799.285714,0.022638
0.985161,0.000028,0.000030,0.014781,0.326758,25.838825,1511.234287,10.000000,809.285714,0.023527
0.985155,0.000028,0.000031,0.014786,0.332055,26.110352,1537.344639,10.428571,819.714286,0.024464
0.985149,0.000028,0.000031,0.014791,0.337609,26.404332,1563.748971,10.142857,829.857143,0.025449
0.985143,0.000029,0.000031,0.014797,0.343437,26.722856,1590.471827,9.285714,839.142857,0.026484
0.985137,0.000029,0.000032,0.014802,0.349553,27.068254,1617.540081,11.142857,850.285714,0.027572
0.985130,0.000030,0.000032,0.014808,0.355975,27.443083,1644.983163,11.714286,862.000000,0.028711
0.985123,0.000031,0.000033,0.014813,0.362718,27.850120,1672.833284,10.428571,872.428571,0.029900
0.985117,0.000031,0.000033,0.014819,0.369798,28.292424,1701.125708,9.714286,882.142857,0.031136
0.985110,0.000032,0.000034,0.014825,0.377230,28.773363,1729.899071,9.285714,891.428571,0.032416
0.985102,0.000033,0.000034,0.014831,0.385029,29.296621,1759.195692,9.571429,901.000000,0.033735
0.985095,0.000033,0.000035,0.014836,0.393206,29.866240,1789.061932,12.142857,913.142857,0.035083
0.985087,0.000034,0.000036,0.014843,0.401770,30.486580,1819.548512,10.571429,923.714286,0.036447
0.985079,0.000035,0.000037,0.014849,0.410726,31.162350,1850.710861,12.428571,936.142857,0.037814
0.985071,0.000036,0.000038,0.014855,0.420074,31.898714,1882.609575,13.857143,950.000000,0.039166
0.985063,0.000037,0.000038,0.014861,0.429808,32.701186,1915.310761,15.857143,965.857143,0.040480
0.985054,0.000039,0.000040,0.014868,0.439915,33.575701,1948.886462,18.428571,984.285714,0.041731
0.985045,0.000040,0.000041,0.014874,0.450373,34.528554,1983.415017,18.000000,1002.285714,0.042889
0.985035,0.000042,0.000042,0.014881,0.461148,35.566415,2018.981431,19.000000,1021.285714,0.043922
0.985026,0.000043,0.000043,0.014888,0.472201,36.696439,2055.677870,21.285714,1042.571429,0.044799
0.985015,0.000045,0.000045,0.014895,0.483479,37.926179,2093.604049,24.714286,1067.285714,0.045486
0.985004,0.000047,0.000046,0.014903,0.494919,39.263555,2132.867605,27.714286,1095.000000,0.045947
0.984993,0.000049,0.000048,0.014911,0.506450,40.716798,2173.584403,29.428571,1124.428571,0.046149
0.984981,0.000051,0.000050,0.014919,0.517990,42.294479,2215.878881,30.857143,1155.285714,0.046063
0.984968,0.000053,0.000052,0.014927,0.529451,44.005649,2259.884531,37.428571,1192.714286,0.045669
0.984954,0.000056,0.000054,0.014936,0.540745,45.859713,2305.744244,36.857143,1229.571429,0.044947
0.984940,0.000059,0.000056,0.014945,0.551776,47.866108,2353.610351,38.571429,1268.142857,0.043886
0.984924,0.000062,0.000059,0.014955,0.562453,50.035030,2403.645381,43.428571,1311.571429,0.042489
0.984908,0.000065,0.000062,0.014965,0.572689,52.377086,2456.022467,49.142857,1360.714286,0.040763
0.984891,0.000069,0.000065,0.014975,0.582403,54.903176,2510.925642,54.857143,1415.571429,0.038722
0.984873,0.000073,0.000068,0.014986,0.591524,57.624473,2568.550116,57.000000,1472.571429,0.036387
0.984854,0.000077,0.000071,0.014998,0.599987,60.552350,2629.102465,56.714286,1529.285714,0.033786
0.984834,0.000081,0.000075,0.015010,0.607741,63.698702,2692.801168,57.428571,1586.714286,0.030955
0.984812,0.000086,0.000079,0.015023,0.614746,67.076091,2759.877259,60.142857,1646.857143,0.027934
0.984789,0.000091,0.000083,0.015037,0.620973,70.697376,2830.574635,58.571429,1705.428571,0.024762
0.984765,0.000096,0.000088,0.015051,0.626402,74.575433,2905.150068,57.285714,1762.714286,0.021477
0.984739,0.000102,0.000093,0.015066,0.631025,78.724065,2983.874134,63.714286,1826.428571,0.018120
0.984712,0.000108,0.000098,0.015082,0.634840,83.157671,3067.031805,66.428571,1892.857143,0.014729
0.984683,0.000115,0.000103,0.015098,0.637853,87.890076,3154.921880,71.142857,1964.000000,0.011336
0.984653,0.000122,0.000109,0.015116,0.640077,92.935682,3247.857562,76.142857,2040.142857,0.007973
0.984621,0.000129,0.000116,0.015135,0.641527,98.308771,3346.166333,81.714286,2121.857143,0.004667
0.984586,0.000137,0.000122,0.015154,0.642223,104.023756,3450.190090,92.000000,2213.857143,0.001440
0.984550,0.000145,0.000130,0.015175,0.642189,110.095369,3560.285458,106.428571,2320.285714,-0.001683
0.984512,0.000154,0.000137,0.015197,0.641450,116.537312,3676.822771,111.142857,2431.428571,-0.004688
0.984471,0.000163,0.000145,0.015221,0.640033,123.361682,3800.184452,121.714286,2553.142857,-0.007562
0.984429,0.000172,0.000154,0.015246,0.637966,130.581558,3930.766010,131.000000,2684.142857,-0.010293
0.984383,0.000182,0.000163,0.015272,0.635278,138.208362,4068.974372,141.714286,2825.857143,-0.012875
0.984335,0.000193,0.000172,0.015300,0.631999,146.253027,4215.227400,155.857143,2981.714286,-0.015306
0.984285,0.000204,0.000182,0.015329,0.628158,154.725928,4369.953327,176.857143,3158.571429,-0.017578
0.984232,0.000215,0.000193,0.015361,0.623787,163.635933,4533.589260,191.285714,3349.857143,-0.019689
0.984176,0.000227,0.000204,0.015394,0.618917,172.988815,4706.578076,210.714286,3560.571429,-0.021642
0.984117,0.000239,0.000215,0.015429,0.613579,182.790704,4889.368780,234.571429,3795.142857,-0.023440
0.984056,0.000252,0.000227,0.015466,0.607802,193.046237,5082.415017,266.571429,4061.714286,-0.025078
0.983991,0.000265,0.000240,0.015504,0.601622,203.757065,5286.172082,281.714286,4343.428571,-0.026550
0.983923,0.000278,0.000253,0.015546,0.595075,214.918103,5501.090184,289.571429,4633.000000,-0.027861
0.983852,0.000292,0.000267,0.015589,0.588196,226.524240,5727.614425,297.571429,4930.571429,-0.029035
0.983778,0.000307,0.000281,0.015635,0.581009,238.573596,5966.188020,351.714286,5282.285714,-0.030074
0.983700,0.000321,0.000295,0.015683,0.573553,251.065360,6217.253380,362.000000,5644.285714,-0.030957
0.983619,0.000337,0.000311,0.015733,0.565866,263.979083,6481.232463,372.857143,6017.142857,-0.031689
0.983535,0.000352,0.000326,0.015787,0.557984,277.300795,6758.533258,371.428571,6388.571429,-0.032293
0.983448,0.000368,0.000342,0.015842,0.549937,291.014816,7049.548074,399.285714,6787.857143,-0.032787
0.983357,0.000383,0.000359,0.015901,0.541754,305.111396,7354.659470,428.000000,7215.857143,-0.033167
0.983262,0.000400,0.000376,0.015962,0.533469,319.570897,7674.230367,450.000000,7665.857143,-0.033417
0.983164,0.000416,0.000393,0.016026,0.525120,334.366719,8008.597086,437.285714,8103.142857,-0.033547
0.983063,0.000432,0.000411,0.016093,0.516737,349.468102,8358.065187,446.285714,8549.428571,-0.033590
0.982958,0.000449,0.000429,0.016163,0.508343,364.857898,8722.923085,474.285714,9023.714286,-0.033558
0.982850,0.000466,0.000448,0.016236,0.499963,380.515272,9103.438358,502.571429,9526.285714,-0.033433
0.982739,0.000483,0.000466,0.016312,0.491627,396.409737,9499.848094,499.714286,10026.000000,-0.033204
0.982623,0.000499,0.000485,0.016392,0.483366,412.501665,9912.349759,475.571429,10501.571429,-0.032896
0.982505,0.000516,0.000505,0.016474,0.475197,428.758840,10341.108599,482.142857,10983.714286,-0.032546
0.982383,0.000533,0.000524,0.016560,0.467133,445.163079,10786.271678,511.857143,11495.571429,-0.032154
0.982258,0.000550,0.000543,0.016649,0.459190,461.690176,11247.961854,528.571429,12024.142857,-0.031719
0.982130,0.000567,0.000563,0.016741,0.451379,478.310086,11726.271939,578.428571,12602.571429,-0.031241
0.981998,0.000583,0.000583,0.016836,0.443717,494.998962,12221.270901,587.857143,13190.428571,-0.030712
0.981863,0.000600,0.000602,0.016935,0.436217,511.717605,12732.988506,615.285714,13805.714286,-0.030154
0.981725,0.000616,0.000622,0.017037,0.428886,528.443303,13261.431810,647.571429,14453.285714,-0.029557
0.981584,0.000632,0.000642,0.017142,0.421738,545.145279,13806.577088,634.142857,15087.428571,-0.028904
0.981440,0.000648,0.000661,0.017251,0.414788,561.781061,14368.358150,594.428571,15681.857143,-0.028227
0.981293,0.000664,0.000681,0.017363,0.408035,578.321383,14946.679532,593.000000,16274.857143,-0.027525
0.981142,0.000679,0.000700,0.017478,0.401491,594.746364,15541.425896,512.428571,16787.285714,-0.026819
0.980990,0.000695,0.000719,0.017597,0.395146,611.020474,16152.446370,540.857143,17328.142857,-0.026131
0.980834,0.000710,0.000738,0.017718,0.389000,627.149236,16779.595606,517.571429,17845.714286,-0.025441
0.980676,0.000724,0.000757,0.017843,0.383052,643.100305,17422.695911,523.000000,18368.714286,-0.024765
0.980515,0.000739,0.000775,0.017971,0.377295,658.865063,18081.560974,554.714286,18923.428571,-0.024107
0.980351,0.000753,0.000794,0.018102,0.371724,674.433493,18755.994467,593.571429,19517.000000,-0.023450
0.980185,0.000767,0.000812,0.018236,0.366341,689.789233,19445.783701,608.714286,20125.714286,-0.022799
0.980017,0.000780,0.000830,0.018373,0.361139,704.913017,20150.696717,659.285714,20785.000000,-0.022135
0.979847,0.000793,0.000847,0.018513,0.356127,719.794335,20870.491053,610.142857,21395.142857,-0.021464
0.979674,0.000806,0.000864,0.018656,0.351296,734.399365,21604.890418,629.714286,22024.857143,-0.020823
0.979499,0.000819,0.000881,0.018802,0.346636,748.735834,22353.626252,659.857143,22684.714286,-0.020194
0.979321,0.000831,0.000898,0.018950,0.342148,762.795100,23116.421352,660.000000,23344.714286,-0.019569
0.979142,0.000843,0.000914,0.019101,0.337827,776.561717,23892.983069,669.142857,24013.857143,-0.018960
0.978961,0.000854,0.000930,0.019255,0.333666,790.031292,24683.014361,692.857143,24706.714286,-0.018366
0.978778,0.000865,0.000945,0.019412,0.329660,803.200621,25486.214982,705.000000,25411.714286,-0.017789
0.978593,0.000876,0.000960,0.019570,0.325804,816.062315,26302.277297,739.857143,26151.571429,-0.017222
0.978406,0.000887,0.000975,0.019732,0.322094,828.616432,27130.893728,744.571429,26896.142857,-0.016652
0.978218,0.000897,0.000989,0.019896,0.318532,840.852410,27971.746138,717.000000,27613.142857,-0.016095
0.978028,0.000907,0.001004,0.020062,0.315107,852.762012,28824.508150,729.428571,28342.571429,-0.015554
0.977836,0.000916,0.001017,0.020231,0.311818,864.352538,29688.860688,706.571429,29049.142857,-0.015034
0.977643,0.000925,0.001030,0.020401,0.308655,875.616436,30564.477124,743.285714,29792.428571,-0.014540
0.977448,0.000934,0.001043,0.020574,0.305613,886.565866,31451.042991,763.857143,30556.285714,-0.014052
0.977252,0.000943,0.001056,0.020749,0.302691,897.197919,32348.240910,765.000000,31321.285714,-0.013572
0.977054,0.000951,0.001068,0.020927,0.299884,907.510013,33255.750923,768.428571,32089.714286,-0.013115
0.976856,0.000959,0.001080,0.021106,0.297184,917.503867,34173.254790,808.857143,32898.571429,-0.012678
0.976656,0.000967,0.001091,0.021287,0.294588,927.188357,35100.443147,842.571429,33741.142857,-0.012256
0.976454,0.000974,0.001102,0.021469,0.292090,936.563932,36037.007079,888.142857,34629.285714,-0.011842
