S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.975847,0.000054,0.000065,0.024034,0.158533,116.218418,116.218418,3.857143,10.428571,0.012960
0.975837,0.000053,0.000064,0.024045,0.160262,114.188287,230.406705,4.285714,14.714286,0.012289
0.975828,0.000052,0.000063,0.024057,0.161841,112.482284,342.888989,5.142857,19.857143,0.011156
0.975818,0.000052,0.000063,0.024068,0.163289,111.036995,453.925984,8.428571,28.285714,0.010171
0.975808,0.000051,0.000062,0.024079,0.164620,109.803524,563.729507,12.714286,41.000000,0.009304
0.975799,0.000050,0.000061,0.024090,0.165847,108.743708,672.473215,15.428571,56.428571,0.008533
0.975789,0.000050,0.000061,0.024100,0.166981,107.827632,780.300847,17.428571,73.857143,0.007841
0.975780,0.000050,0.000060,0.024110,0.168029,107.031768,887.332615,23.285714,97.142857,0.007214
0.975771,0.000049,0.000060,0.024120,0.168998,106.337459,993.670074,38.000000,135.142857,0.006643
0.975762,0.000049,0.000060,0.024130,0.169895,105.728986,1099.399060,49.285714,184.428571,0.006124
0.975752,0.000049,0.000059,0.024140,0.170725,105.193617,1204.592677,55.285714,239.714286,0.005648
0.975743,0.000049,0.000059,0.024150,0.171494,104.721389,1309.314066,66.571429,306.285714,0.005210
0.975734,0.000048,0.000059,0.024159,0.172206,104.304412,1413.618478,92.857143,399.142857,0.004809
0.975724,0.000048,0.000059,0.024169,0.172865,103.934969,1517.553447,107.000000,506.142857,0.004443
0.975715,0.000048,0.000058,0.024179,0.173476,103.607343,1621.160790,122.857143,629.000000,0.004108
0.975705,0.000048,0.000058,0.024189,0.174043,103.315990,1724.476781,123.714286,752.714286,0.003801
0.975695,0.000048,0.000058,0.024199,0.174569,103.057033,1827.533813,129.571429,882.285714,0.003520
0.975685,0.000048,0.000058,0.024209,0.175058,102.827293,1930.361107,146.428571,1028.714286,0.003263
0.975675,0.000048,0.000058,0.024219,0.175512,102.623987,2032.985093,172.428571,1201.142857,0.003032
0.975666,0.000048,0.000058,0.024229,0.175935,102.443794,2135.428887,180.000000,1381.142857,0.002822
0.975656,0.000047,0.000058,0.024239,0.176330,102.285509,2237.714396,216.142857,1597.285714,0.002632
0.975646,0.000047,0.000057,0.024249,0.176700,102.146318,2339.860714,231.000000,1828.285714,0.002463
0.975637,0.000047,0.000057,0.024258,0.177047,102.024298,2441.885011,237.285714,2065.571429,0.002311
0.975627,0.000047,0.000057,0.024268,0.177373,101.918040,2543.803051,245.571429,2311.142857,0.002174
0.975618,0.000047,0.000057,0.024277,0.177681,101.826497,2645.629548,262.857143,2574.000000,0.002052
0.975609,0.000047,0.000057,0.024287,0.177973,101.747890,2747.377438,261.571429,2835.571429,0.001944
0.975599,0.000047,0.000057,0.024296,0.178250,101.681308,2849.058746,262.857143,3098.428571,0.001847
0.975590,0.000047,0.000057,0.024306,0.178514,101.625591,2950.684337,256.571429,3355.000000,0.001762
0.975581,0.000047,0.000057,0.024315,0.178766,101.580206,3052.264543,259.428571,3614.428571,0.001686
0.975571,0.000047,0.000057,0.024324,0.179009,101.544132,3153.808675,253.428571,3867.857143,0.001620
0.975562,0.000047,0.000057,0.024334,0.179243,101.517112,3255.325787,260.857143,4128.714286,0.001563
0.975553,0.000047,0.000057,0.024343,0.179469,101.497855,3356.823642,245.142857,4373.857143,0.001513
0.975543,0.000047,0.000057,0.024352,0.179688,101.486349,3458.309992,246.714286,4620.571429,0.001470
0.975534,0.000047,0.000057,0.024362,0.179902,101.481996,3559.791988,245.142857,4865.714286,0.001433
0.975525,0.000047,0.000057,0.024371,0.180111,101.483719,3661.275707,220.857143,5086.571429,0.001401
0.975515,0.000047,0.000057,0.024381,0.180316,101.491373,3762.767080,204.714286,5291.285714,0.001373
0.975506,0.000047,0.000057,0.024390,0.180517,101.504927,3864.272006,200.714286,5492.000000,0.001351
0.975496,0.000047,0.000057,0.024400,0.180716,101.523497,3965.795503,176.714286,5668.714286,0.001332
0.975486,0.000047,0.000057,0.024409,0.180911,101.547013,4067.342516,160.428571,5829.142857,0.001316
0.975476,0.000047,0.000057,0.024419,0.181105,101.575127,4168.917643,141.285714,5970.428571,0.001303
0.975467,0.000047,0.000057,0.024429,0.181298,101.607636,4270.525278,123.428571,6093.857143,0.001294
0.975457,0.000047,0.000057,0.024439,0.181490,101.644620,4372.169898,116.714286,6210.571429,0.001288
0.975447,0.000047,0.000057,0.024449,0.181681,101.685812,4473.855710,107.428571,6318.000000,0.001285
0.975437,0.000047,0.000057,0.024458,0.181872,101.731294,4575.587004,107.857143,6425.857143,0.001286
0.975427,0.000047,0.000057,0.024468,0.182063,101.781222,4677.368225,120.142857,6546.000000,0.001289
0.975417,0.000048,0.000057,0.024478,0.182256,101.835323,4779.203548,127.428571,6673.428571,0.001295
0.975408,0.000048,0.000057,0.024487,0.182449,101.893052,4881.096600,118.714286,6792.142857,0.001301
0.975398,0.000048,0.000057,0.024497,0.182644,101.954242,4983.050842,107.714286,6899.857143,0.001308
0.975388,0.000048,0.000057,0.024507,0.182840,102.018977,5085.069820,103.428571,7003.285714,0.001318
0.975379,0.000048,0.000057,0.024516,0.183038,102.087195,5187.157015,99.714286,7103.000000,0.001329
0.975369,0.000048,0.000058,0.024526,0.183238,102.158779,5289.315794,94.000000,7197.000000,0.001341
0.975359,0.000048,0.000058,0.024536,0.183439,102.233401,5391.549195,77.857143,7274.857143,0.001354
0.975349,0.000048,0.000058,0.024545,0.183643,102.311165,5493.860360,67.428571,7342.285714,0.001369
0.975339,0.000048,0.000058,0.024555,0.183850,102.392224,5596.252584,64.000000,7406.285714,0.001386
0.975329,0.000048,0.000058,0.024565,0.184059,102.476853,5698.729437,71.571429,7477.857143,0.001406
0.975320,0.000048,0.000058,0.024575,0.184272,102.564740,5801.294177,67.428571,7545.285714,0.001426
0.975310,0.000048,0.000058,0.024584,0.184488,102.655759,5903.949936,58.714286,7604.000000,0.001447
0.975300,0.000048,0.000058,0.024594,0.184707,102.750050,6006.699986,55.000000,7659.000000,0.001470
0.975290,0.000048,0.000058,0.024604,0.184931,102.847723,6109.547709,54.714286,7713.714286,0.001495
0.975280,0.000048,0.000058,0.024614,0.185158,102.948885,6212.496594,57.142857,7770.857143,0.001522
0.975270,0.000048,0.000058,0.024623,0.185390,103.053526,6315.550120,57.714286,7828.571429,0.001550
0.975260,0.000048,0.000058,0.024633,0.185626,103.161490,6418.711610,50.714286,7879.285714,0.001579
0.975251,0.000049,0.000058,0.024643,0.185867,103.272970,6521.984580,49.142857,7928.428571,0.001609
0.975241,0.000049,0.000058,0.024653,0.186113,103.388077,6625.372657,49.142857,7977.571429,0.001642
0.975231,0.000049,0.000058,0.024662,0.186365,103.506895,6728.879552,49.428571,8027.000000,0.001677
0.975221,0.000049,0.000058,0.024672,0.186622,103.629570,6832.509122,52.142857,8079.142857,0.001713
0.975211,0.000049,0.000058,0.024682,0.186885,103.755999,6936.265121,47.571429,8126.714286,0.001750
0.975201,0.000049,0.000058,0.024691,0.187153,103.886291,7040.151412,43.714286,8170.428571,0.001789
0.975191,0.000049,0.000059,0.024701,0.187429,104.020750,7144.172162,47.000000,8217.428571,0.001831
0.975181,0.000049,0.000059,0.024711,0.187711,104.159447,7248.331609,48.285714,8265.714286,0.001875
0.975171,0.000049,0.000059,0.024721,0.188001,104.302606,7352.634214,53.000000,8318.714286,0.001921
0.975161,0.000049,0.000059,0.024730,0.188298,104.450203,7457.084417,51.857143,8370.571429,0.001969
0.975151,0.000049,0.000059,0.024740,0.188603,104.602637,7561.687054,59.857143,8430.428571,0.002020
0.975142,0.000050,0.000059,0.024750,0.188916,104.759928,7666.446981,62.428571,8492.857143,0.002072
0.975132,0.000050,0.000059,0.024760,0.189238,104.922256,7771.369237,65.714286,8558.571429,0.002126
0.975122,0.000050,0.000059,0.024769,0.189568,105.089514,7876.458751,59.142857,8617.714286,0.002182
0.975112,0.000050,0.000059,0.024779,0.189908,105.262086,7981.720837,60.000000,8677.714286,0.002240
0.975102,0.000050,0.000059,0.024789,0.190258,105.440272,8087.161110,63.714286,8741.428571,0.002302
0.975092,0.000050,0.000059,0.024798,0.190617,105.624374,8192.785484,70.142857,8811.571429,0.002366
0.975082,0.000050,0.000060,0.024808,0.190988,105.814136,8298.599620,60.571429,8872.142857,0.002431
0.975072,0.000050,0.000060,0.024818,0.191368,106.010002,8404.609622,59.000000,8931.142857,0.002498
