S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.978651,0.000012,0.000015,0.021323,0.147715,201.370722,201.370722,0.714286,2.857143,0.041935
0.978649,0.000011,0.000015,0.021325,0.152995,195.796678,397.167400,0.571429,3.428571,0.042431
0.978647,0.000011,0.000014,0.021328,0.158712,191.659196,588.826595,1.142857,4.571429,0.044310
0.978645,0.000011,0.000014,0.021330,0.164828,188.536366,777.362961,1.285714,5.857143,0.045829
0.978642,0.000011,0.000014,0.021333,0.171330,186.153715,963.516676,1.285714,7.142857,0.047194
0.978640,0.000011,0.000014,0.021335,0.178228,184.330314,1147.846990,1.428571,8.571429,0.048530
0.978638,0.000011,0.000014,0.021337,0.185546,182.946136,1330.793126,1.714286,10.285714,0.049920
0.978636,0.000011,0.000014,0.021339,0.193316,181.922019,1512.715145,1.714286,12.000000,0.051428
0.978634,0.000011,0.000013,0.021342,0.201585,181.207206,1693.922351,1.857143,13.857143,0.053108
0.978631,0.000011,0.000013,0.021344,0.210411,180.771549,1874.693901,1.428571,15.285714,0.055014
0.978629,0.000012,0.000013,0.021346,0.219865,180.600645,2055.294546,1.285714,16.571429,0.057196
0.978626,0.000012,0.000013,0.021349,0.230033,180.692909,2235.987455,1.285714,17.857143,0.059706
0.978624,0.000012,0.000013,0.021351,0.241015,181.057975,2417.045429,1.285714,19.142857,0.062590
0.978621,0.000012,0.000014,0.021353,0.252931,181.716086,2598.761515,1.000000,20.142857,0.065890
0.978618,0.000012,0.000014,0.021356,0.265916,182.698249,2781.459765,0.857143,21.000000,0.069637
0.978616,0.000013,0.000014,0.021358,0.280118,184.047025,2965.506790,0.714286,21.714286,0.073844
0.978613,0.000013,0.000014,0.021360,0.295698,185.817855,3151.324645,0.571429,22.285714,0.078503
0.978610,0.000013,0.000014,0.021362,0.312816,188.080844,3339.405489,0.714286,23.000000,0.083574
0.978607,0.000014,0.000014,0.021365,0.331628,190.922884,3530.328373,0.714286,23.714286,0.088985
0.978604,0.000014,0.000014,0.021367,0.352264,194.449968,3724.778342,0.857143,24.571429,0.094626
0.978600,0.000015,0.000015,0.021370,0.374811,198.789471,3923.567813,0.714286,25.285714,0.100349
0.978597,0.000016,0.000015,0.021373,0.399293,204.092007,4127.659820,0.571429,25.857143,0.105966
0.978593,0.000016,0.000016,0.021375,0.425645,210.532362,4338.192182,0.857143,26.714286,0.111256
0.978588,0.000017,0.000016,0.021378,0.453691,218.308814,4556.500996,0.857143,27.571429,0.115962
0.978584,0.000019,0.000017,0.021381,0.483128,227.640140,4784.141136,0.714286,28.285714,0.119794
0.978579,0.000020,0.000018,0.021384,0.513519,238.759963,5022.901099,0.714286,29.000000,0.122440
0.978573,0.000021,0.000019,0.021387,0.544303,251.908908,5274.810007,0.571429,29.571429,0.123584
0.978567,0.000023,0.000020,0.021390,0.574826,267.326352,5542.136359,0.857143,30.428571,0.122943
0.978561,0.000025,0.000021,0.021393,0.604398,285.244707,5827.381066,2.000000,32.428571,0.120319
0.978553,0.000027,0.000023,0.021397,0.632363,305.889269,6133.270336,5.142857,37.571429,0.115639
0.978545,0.000030,0.000024,0.021401,0.658165,329.485213,6462.755549,11.714286,49.285714,0.108978
0.978536,0.000033,0.000026,0.021405,0.681399,356.270795,6819.026343,15.000000,64.285714,0.100544
0.978525,0.000036,0.000029,0.021410,0.701821,386.514074,7205.540418,20.000000,84.285714,0.090635
0.978514,0.000040,0.000031,0.021415,0.719333,420.529017,7626.069435,26.000000,110.285714,0.079578
0.978502,0.000044,0.000034,0.021420,0.733953,458.688890,8084.758325,37.571429,147.857143,0.067678
0.978488,0.000048,0.000037,0.021426,0.745764,501.435217,8586.193541,58.857143,206.714286,0.055190
0.978473,0.000053,0.000041,0.021433,0.754881,549.282231,9135.475772,82.000000,288.714286,0.042298
0.978456,0.000059,0.000045,0.021440,0.761417,602.817618,9738.293391,102.142857,390.857143,0.029126
0.978438,0.000065,0.000049,0.021448,0.765463,662.698495,10400.991886,119.142857,510.000000,0.015740
0.978417,0.000072,0.000054,0.021456,0.767069,729.641736,11130.633622,129.142857,639.142857,0.002174
0.978395,0.000080,0.000060,0.021466,0.766240,804.408929,11935.042551,172.571429,811.714286,-0.011557
0.978369,0.000088,0.000066,0.021476,0.762929,887.777247,12822.819798,245.571429,1057.285714,-0.025441
0.978342,0.000097,0.000073,0.021488,0.757037,980.505667,13803.325465,331.285714,1388.571429,-0.039446
0.978312,0.000107,0.000081,0.021501,0.748418,1083.290494,14886.615959,446.285714,1834.857143,-0.053509
0.978278,0.000118,0.000089,0.021515,0.736887,1196.704434,16083.320393,628.714286,2463.571429,-0.067532
0.978243,0.000130,0.000098,0.021530,0.722231,1321.117445,17404.437838,794.428571,3258.000000,-0.081371
0.978204,0.000142,0.000108,0.021546,0.704238,1456.641364,18861.079202,919.428571,4177.428571,-0.094833
0.978161,0.000155,0.000119,0.021565,0.682726,1603.061777,20464.140979,1160.857143,5338.285714,-0.107713
0.978116,0.000168,0.000131,0.021585,0.657575,1759.718622,22223.859601,1509.142857,6847.428571,-0.119809
0.978068,0.000181,0.000143,0.021608,0.628772,1925.472562,24149.332163,1915.000000,8762.428571,-0.130930
0.978017,0.000194,0.000156,0.021633,0.596452,2098.687694,26248.019856,2353.000000,11115.428571,-0.140926
0.977964,0.000207,0.000169,0.021660,0.560930,2277.221067,28525.240924,2723.285714,13838.714286,-0.149690
0.977909,0.000219,0.000183,0.021690,0.522718,2458.506241,30983.747164,3016.857143,16855.571429,-0.157162
0.977853,0.000229,0.000196,0.021721,0.482512,2639.607599,33623.354764,3200.428571,20056.000000,-0.163320
0.977797,0.000239,0.000209,0.021755,0.441158,2817.390934,36440.745697,3442.571429,23498.571429,-0.168185
0.977740,0.000246,0.000222,0.021791,0.399584,2988.533555,39429.279252,3706.142857,27204.714286,-0.171803
0.977685,0.000252,0.000234,0.021829,0.358722,3149.792470,42579.071722,4003.571429,31208.285714,-0.174215
0.977630,0.000256,0.000245,0.021869,0.319431,3298.127887,45877.199609,4267.000000,35475.285714,-0.175461
0.977576,0.000258,0.000255,0.021911,0.282433,3430.938195,49308.137803,4542.000000,40017.285714,-0.175583
0.977524,0.000259,0.000264,0.021954,0.248262,3546.072053,52854.209857,4736.714286,44754.000000,-0.174628
0.977473,0.000257,0.000271,0.021999,0.217252,3642.037984,56496.247841,4852.714286,49606.714286,-0.172636
0.977424,0.000255,0.000276,0.022045,0.189547,3717.983363,60214.231204,4908.142857,54514.857143,-0.169661
0.977377,0.000251,0.000281,0.022091,0.165126,3773.723957,63987.955161,5077.142857,59592.000000,-0.165792
0.977332,0.000246,0.000283,0.022138,0.143835,3809.432869,67797.388030,5159.571429,64751.571429,-0.161118
0.977289,0.000241,0.000284,0.022186,0.125444,3825.991695,71623.379725,5252.142857,70003.714286,-0.155715
0.977248,0.000234,0.000284,0.022233,0.109669,3824.576196,75447.955921,5282.142857,75285.857143,-0.149692
0.977209,0.000228,0.000283,0.022280,0.096211,3806.720432,79254.676353,5227.571429,80513.428571,-0.143142
0.977171,0.000221,0.000281,0.022327,0.084775,3774.193344,83028.869697,5150.285714,85663.714286,-0.136174
0.977136,0.000213,0.000277,0.022374,0.075080,3728.811477,86757.681173,5084.571429,90748.285714,-0.128902
0.977101,0.000206,0.000273,0.022420,0.066872,3672.343995,90430.025168,4959.428571,95707.714286,-0.121429
0.977068,0.000199,0.000268,0.022465,0.059926,3606.580048,94036.605216,4819.428571,100527.142857,-0.113844
