S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.950949,0.000098,0.000069,0.048884,0.997645,541.951364,541.951364,5.285714,19.142857,-0.080361
0.950931,0.000099,0.000071,0.048899,0.997456,552.162494,1094.113858,8.428571,27.571429,-0.077042
0.950911,0.000102,0.000073,0.048914,0.997254,569.185952,1663.299810,11.000000,38.571429,-0.076514
0.950889,0.000106,0.000076,0.048929,0.997037,593.650917,2256.950727,16.000000,54.571429,-0.076295
0.950865,0.000111,0.000080,0.048945,0.996803,626.299467,2883.250193,26.000000,80.571429,-0.076576
0.950838,0.000117,0.000085,0.048960,0.996548,667.970391,3551.220584,38.000000,118.571429,-0.077550
0.950808,0.000125,0.000092,0.048975,0.996269,719.576884,4270.797469,51.142857,169.714286,-0.079410
0.950776,0.000135,0.000100,0.048990,0.995958,782.080537,5052.878006,75.000000,244.714286,-0.082347
0.950740,0.000146,0.000109,0.049005,0.995606,856.467070,5909.345076,110.857143,355.571429,-0.086545
0.950700,0.000159,0.000121,0.049021,0.995201,943.724307,6853.069383,149.571429,505.142857,-0.092171
0.950655,0.000174,0.000133,0.049038,0.994726,1044.825944,7897.895327,197.000000,702.142857,-0.099363
0.950604,0.000191,0.000148,0.049057,0.994158,1160.730323,9058.625650,279.714286,981.857143,-0.108230
0.950548,0.000210,0.000165,0.049078,0.993469,1292.393636,10351.019286,415.571429,1397.428571,-0.118844
0.950484,0.000231,0.000184,0.049101,0.992616,1440.781912,11791.801198,593.714286,1991.142857,-0.131244
0.950412,0.000255,0.000205,0.049128,0.991545,1606.870487,13398.671685,825.285714,2816.428571,-0.145441
0.950333,0.000281,0.000229,0.049157,0.990177,1791.648091,15190.319776,1097.428571,3913.857143,-0.161429
0.950245,0.000310,0.000255,0.049190,0.988405,1996.083513,17186.403290,1346.285714,5260.142857,-0.179176
0.950147,0.000342,0.000284,0.049227,0.986070,2221.052384,19407.455674,1623.571429,6883.714286,-0.198669
0.950041,0.000377,0.000315,0.049267,0.982947,2467.317199,21874.772873,1996.857143,8880.571429,-0.219918
0.949923,0.000416,0.000349,0.049311,0.978698,2735.437263,24610.210136,2489.285714,11369.857143,-0.242882
0.949794,0.000458,0.000386,0.049362,0.972820,3025.574284,27635.784420,2980.714286,14350.571429,-0.267409
0.949653,0.000502,0.000426,0.049419,0.964556,3337.191249,30972.975669,3562.000000,17912.571429,-0.293266
0.949499,0.000549,0.000469,0.049484,0.952768,3668.888531,34641.864200,4183.571429,22096.142857,-0.319989
0.949332,0.000597,0.000513,0.049557,0.935756,4017.957307,38659.821507,4721.000000,26817.142857,-0.346761
0.949155,0.000645,0.000559,0.049640,0.911076,4379.988655,43039.810162,5152.000000,31969.142857,-0.372601
0.948969,0.000691,0.000607,0.049733,0.875382,4748.814696,47788.624858,5858.285714,37827.428571,-0.396486
0.948778,0.000733,0.000653,0.049835,0.824572,5116.635045,52905.259903,6607.285714,44434.714286,-0.417027
0.948586,0.000768,0.000699,0.049947,0.754734,5473.691476,58378.951379,7372.285714,51807.000000,-0.433023
0.948397,0.000794,0.000742,0.050067,0.664257,5808.892014,64187.843393,7977.428571,59784.428571,-0.444060
0.948216,0.000810,0.000780,0.050194,0.556666,6110.605608,70298.449001,8344.285714,68128.714286,-0.450760
0.948047,0.000813,0.000813,0.050327,0.441772,6367.953831,76666.402832,8531.000000,76659.714286,-0.454055
0.947891,0.000805,0.000839,0.050464,0.332717,6572.076003,83238.478834,8497.857143,85157.571429,-0.453946
0.947750,0.000787,0.000858,0.050605,0.240206,6717.051430,89955.530265,8469.285714,93626.857143,-0.449232
0.947623,0.000760,0.000869,0.050748,0.168741,6800.450445,96755.980710,8212.285714,101839.142857,-0.438420
0.947509,0.000728,0.000871,0.050892,0.117213,6823.317228,103579.297938,7772.714286,109611.857143,-0.420908
0.947406,0.000691,0.000867,0.051036,0.081635,6789.762763,110369.060702,7314.428571,116926.285714,-0.397638
0.947311,0.000653,0.000856,0.051180,0.057591,6706.010707,117075.071408,6989.285714,123915.571429,-0.370317
0.947223,0.000614,0.000840,0.051322,0.041437,6579.488329,123654.559738,6642.428571,130558.000000,-0.340611
0.947141,0.000577,0.000820,0.051462,0.030533,6418.038238,130072.597975,6364.142857,136922.142857,-0.309944
