S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.967302,0.000521,0.000871,0.031306,0.059483,9741.814075,9741.814075,561.428571,169960.000000,0.010491
0.967210,0.000509,0.000830,0.031451,0.060070,9283.764331,19025.578406,577.428571,170537.428571,0.018184
0.967118,0.000498,0.000796,0.031588,0.061537,8899.117407,27924.695813,582.571429,171120.000000,0.031169
0.967028,0.000488,0.000766,0.031718,0.063670,8560.303901,36484.999714,547.285714,171667.285714,0.040192
0.966941,0.000478,0.000738,0.031843,0.066329,8251.966415,44736.966129,534.857143,172202.142857,0.046332
0.966857,0.000467,0.000713,0.031964,0.069409,7965.490725,52702.456855,560.285714,172762.428571,0.050320
0.966774,0.000457,0.000688,0.032081,0.072829,7696.082988,60398.539843,590.714286,173353.142857,0.052694
0.966695,0.000446,0.000666,0.032194,0.076525,7441.166679,67839.706522,616.428571,173969.571429,0.053872
0.966617,0.000435,0.000644,0.032304,0.080444,7199.345318,75039.051840,625.285714,174594.857143,0.054181
0.966542,0.000424,0.000623,0.032411,0.084541,6969.870387,82008.922227,635.714286,175230.571429,0.053877
0.966468,0.000414,0.000604,0.032514,0.088783,6752.352040,88761.274266,718.857143,175949.428571,0.053163
0.966397,0.000404,0.000586,0.032613,0.093143,6546.365558,95307.639824,794.285714,176743.714286,0.052195
0.966327,0.000395,0.000568,0.032710,0.097601,6351.587825,101659.227649,836.285714,177580.000000,0.051076
0.966258,0.000386,0.000552,0.032805,0.102140,6167.719932,107826.947581,893.571429,178278.428571,0.049892
0.966189,0.000378,0.000536,0.032897,0.106752,5994.489112,113821.436693,965.571429,178867.571429,0.048707
0.966122,0.000370,0.000522,0.032987,0.111429,5831.663334,119653.100027,1129.285714,179406.714286,0.047575
0.966056,0.000362,0.000508,0.033074,0.116173,5678.814500,125331.914528,1149.428571,179966.000000,0.046519
0.965990,0.000356,0.000495,0.033159,0.120982,5535.737963,130867.652491,1205.714286,180581.571429,0.045550
0.965926,0.000349,0.000483,0.033242,0.125861,5402.068715,136269.721205,1250.714286,181242.142857,0.044684
0.965862,0.000343,0.000472,0.033322,0.130814,5277.459109,141547.180314,1281.571429,181933.571429,0.043925
0.965800,0.000338,0.000462,0.033400,0.135849,5161.629798,146708.810112,1319.000000,182857.571429,0.043274
0.965738,0.000333,0.000452,0.033476,0.140974,5054.192852,151763.002964,1308.000000,183951.857143,0.042731
0.965677,0.000329,0.000443,0.033551,0.146199,4954.753447,156717.756411,1173.714286,185125.571429,0.042279
0.965616,0.000325,0.000435,0.033624,0.151529,4863.079515,161580.835925,1218.571429,186344.142857,0.041917
0.965556,0.000322,0.000427,0.033695,0.156977,4778.774513,166359.610438,1261.857143,187606.000000,0.041650
0.965495,0.000319,0.000421,0.033766,0.162553,4701.523302,171061.133740,1294.285714,188900.285714,0.041460
0.965435,0.000316,0.000414,0.033835,0.168265,4631.102372,175692.236113,1428.857143,190329.142857,0.041347
0.965375,0.000314,0.000409,0.033903,0.174126,4567.176963,180259.413076,1508.285714,191837.428571,0.041305
0.965314,0.000312,0.000403,0.033970,0.180145,4509.530619,184768.943694,1607.285714,193444.714286,0.041326
0.965254,0.000311,0.000399,0.034037,0.186333,4457.896458,189226.840152,1640.000000,195084.714286,0.041404
0.965193,0.000310,0.000395,0.034102,0.192700,4412.105548,193638.945700,1691.142857,196775.857143,0.041531
0.965132,0.000309,0.000391,0.034168,0.199255,4372.019719,198010.965419,1809.571429,198585.428571,0.041707
0.965071,0.000309,0.000388,0.034232,0.206009,4337.495342,202348.460761,1961.714286,200547.142857,0.041928
0.965009,0.000309,0.000385,0.034296,0.212971,4308.359374,206656.820135,2041.428571,202588.571429,0.042186
0.964947,0.000310,0.000383,0.034360,0.220151,4284.577622,210941.397757,2202.285714,204790.857143,0.042476
0.964885,0.000311,0.000382,0.034423,0.227556,4266.058647,215207.456404,2363.714286,207154.571429,0.042797
0.964821,0.000312,0.000380,0.034487,0.235196,4252.625025,219460.081429,2322.000000,209476.571429,0.043138
0.964757,0.000314,0.000380,0.034550,0.243075,4244.381431,223704.462860,2442.142857,211918.714286,0.043495
0.964692,0.000316,0.000379,0.034613,0.251201,4241.324221,227945.787082,2621.000000,214539.714286,0.043867
0.964627,0.000318,0.000380,0.034675,0.259578,4243.537058,232189.324140,2921.285714,217461.000000,0.044251
0.964560,0.000321,0.000380,0.034738,0.268211,4251.007452,236440.331592,3169.857143,220630.857143,0.044635
0.964493,0.000325,0.000381,0.034801,0.277100,4263.666125,240703.997718,3211.571429,223842.428571,0.045012
0.964425,0.000329,0.000383,0.034864,0.286244,4281.781606,244985.779323,3480.428571,227322.857143,0.045379
0.964355,0.000333,0.000385,0.034927,0.295642,4305.383416,249291.162739,3689.285714,231012.142857,0.045729
0.964284,0.000338,0.000388,0.034991,0.305289,4334.569378,253625.732118,3841.571429,234853.714286,0.046054
0.964211,0.000343,0.000391,0.035055,0.315177,4369.564222,257995.296340,4077.714286,238931.428571,0.046347
0.964137,0.000349,0.000395,0.035120,0.325296,4410.502065,262405.798405,4269.142857,243200.571429,0.046605
0.964061,0.000355,0.000399,0.035185,0.335634,4457.769755,266863.568160,4668.142857,247868.714286,0.046819
0.963983,0.000362,0.000404,0.035251,0.346176,4511.474600,271375.042760,4932.571429,252801.285714,0.046975
0.963903,0.000370,0.000409,0.035318,0.356899,4571.735484,275946.778244,5006.285714,257807.571429,0.047066
