S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.994850,0.000082,0.000087,0.004981,0.279492,966.025119,966.025119,0.142857,0.142857,-0.016099
0.994845,0.000082,0.000087,0.004985,0.276250,971.461197,1937.486316,0.142857,0.285714,-0.016116
0.994840,0.000082,0.000088,0.004990,0.273048,977.198026,2914.684341,0.142857,0.428571,-0.016042
0.994834,0.000082,0.000088,0.004995,0.269882,983.239333,3897.923674,0.285714,0.714286,-0.015981
0.994827,0.000082,0.000089,0.005001,0.266750,989.589576,4887.513251,2.857143,3.571429,-0.015933
0.994820,0.000083,0.000090,0.005007,0.263649,996.253732,5883.766983,2.857143,6.428571,-0.015896
0.994813,0.000083,0.000090,0.005014,0.260578,1003.237334,6887.004318,3.000000,9.428571,-0.015871
0.994805,0.000083,0.000091,0.005021,0.257533,1010.546445,7897.550762,2.857143,12.285714,-0.015858
0.994796,0.000083,0.000092,0.005029,0.254513,1018.187580,8915.738343,2.857143,15.142857,-0.015855
0.994787,0.000084,0.000092,0.005037,0.251517,1026.167663,9941.906005,3.285714,18.428571,-0.015862
0.994778,0.000084,0.000093,0.005045,0.248541,1034.493911,10976.399916,3.285714,21.714286,-0.015879
0.994767,0.000084,0.000094,0.005054,0.245585,1043.173698,12019.573615,0.857143,22.571429,-0.015905
0.994757,0.000085,0.000095,0.005064,0.242648,1052.214757,13071.788371,1.428571,24.000000,-0.015939
0.994745,0.000085,0.000095,0.005074,0.239727,1061.624881,14133.413252,1.428571,25.428571,-0.015981
0.994734,0.000086,0.000096,0.005084,0.236823,1071.411856,15204.825108,1.571429,27.000000,-0.016029
0.994721,0.000086,0.000097,0.005095,0.233933,1081.583406,16286.408513,1.571429,28.571429,-0.016084
0.994708,0.000087,0.000098,0.005107,0.231058,1092.147080,17378.555593,1.142857,29.714286,-0.016144
0.994695,0.000087,0.000099,0.005119,0.228196,1103.110216,18481.665809,1.000000,30.714286,-0.016208
0.994681,0.000088,0.000100,0.005131,0.225348,1114.479819,19596.145628,1.000000,31.714286,-0.016276
0.994666,0.000088,0.000101,0.005144,0.222514,1126.262411,20722.408040,0.428571,32.142857,-0.016346
0.994651,0.000089,0.000102,0.005158,0.219693,1138.464023,21860.872063,0.285714,32.428571,-0.016416
0.994635,0.000090,0.000104,0.005172,0.216885,1151.090042,23011.962105,0.142857,32.571429,-0.016487
0.994619,0.000090,0.000105,0.005186,0.214092,1164.145145,24176.107250,0.428571,33.000000,-0.016557
0.994602,0.000091,0.000106,0.005201,0.211314,1177.633129,25353.740379,0.428571,33.428571,-0.016624
0.994584,0.000092,0.000107,0.005217,0.208551,1191.556933,26545.297311,1.285714,34.714286,-0.016687
