S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.965634,0.000052,0.000060,0.034255,0.269202,40.481258,40.481258,38.714286,1771.857143,0.002518
0.965625,0.000051,0.000059,0.034264,0.269698,40.342369,80.823626,33.000000,1804.857143,0.002561
0.965616,0.000051,0.000059,0.034274,0.270211,40.248653,121.072280,29.142857,1834.000000,0.002641
0.965606,0.000051,0.000059,0.034284,0.270739,40.192915,161.265195,29.857143,1863.857143,0.002705
0.965596,0.000051,0.000059,0.034294,0.271279,40.169195,201.434390,27.142857,1891.000000,0.002756
0.965587,0.000051,0.000059,0.034304,0.271829,40.172836,241.607226,27.857143,1918.857143,0.002793
0.965577,0.000051,0.000059,0.034313,0.272385,40.199975,281.807201,26.285714,1945.142857,0.002817
0.965567,0.000051,0.000059,0.034323,0.272945,40.247425,322.054626,22.714286,1967.857143,0.002828
0.965557,0.000051,0.000059,0.034333,0.273507,40.312689,362.367315,22.571429,1990.428571,0.002826
0.965547,0.000051,0.000059,0.034343,0.274068,40.393643,402.760957,19.857143,2010.285714,0.002812
0.965537,0.000051,0.000060,0.034352,0.274626,40.488494,443.249451,16.000000,2026.285714,0.002788
0.965527,0.000051,0.000060,0.034362,0.275179,40.595806,483.845257,13.571429,2039.857143,0.002753
0.965517,0.000051,0.000060,0.034372,0.275724,40.714381,524.559638,10.857143,2050.714286,0.002710
0.965507,0.000051,0.000060,0.034382,0.276261,40.843231,565.402869,10.285714,2061.000000,0.002658
0.965497,0.000052,0.000060,0.034391,0.276787,40.981519,606.384388,9.428571,2070.428571,0.002599
0.965486,0.000052,0.000060,0.034401,0.277302,41.128516,647.512904,8.857143,2079.285714,0.002534
0.965476,0.000052,0.000061,0.034411,0.277803,41.283620,688.796523,9.285714,2088.571429,0.002464
0.965465,0.000052,0.000061,0.034421,0.278291,41.446296,730.242819,8.142857,2096.714286,0.002390
0.965455,0.000052,0.000061,0.034432,0.278763,41.616068,771.858888,7.000000,2103.714286,0.002314
0.965444,0.000053,0.000061,0.034442,0.279221,41.792604,813.651492,10.857143,2114.571429,0.002235
0.965433,0.000053,0.000062,0.034452,0.279663,41.975626,855.627118,12.571429,2127.142857,0.002154
0.965423,0.000053,0.000062,0.034462,0.280089,42.164798,897.791915,13.000000,2140.142857,0.002072
0.965412,0.000053,0.000062,0.034473,0.280499,42.359852,940.151767,13.571429,2153.714286,0.001991
