S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.877341,0.000008,0.000012,0.122639,0.285780,19.693817,19.693817,1.714286,6.285714,0.007684
0.877338,0.000008,0.000012,0.122642,0.287348,19.527447,39.221264,1.571429,7.857143,0.007614
0.877336,0.000008,0.000012,0.122644,0.288898,19.382584,58.603848,2.000000,9.857143,0.007506
0.877335,0.000008,0.000012,0.122646,0.290432,19.256936,77.860784,3.000000,12.857143,0.007416
0.877333,0.000008,0.000012,0.122647,0.291954,19.148526,97.009310,3.428571,16.285714,0.007343
0.877331,0.000008,0.000012,0.122649,0.293468,19.055675,116.064985,4.428571,20.714286,0.007284
0.877330,0.000008,0.000012,0.122651,0.294975,18.976913,135.041898,5.857143,26.571429,0.007241
0.877328,0.000008,0.000012,0.122653,0.296480,18.910945,153.952843,5.428571,32.000000,0.007210
0.877326,0.000008,0.000012,0.122655,0.297983,18.856718,172.809561,8.571429,40.571429,0.007190
0.877324,0.000008,0.000012,0.122657,0.299488,18.813200,191.622761,9.857143,50.428571,0.007181
0.877322,0.000008,0.000012,0.122659,0.300996,18.779560,210.402321,11.142857,61.571429,0.007179
0.877320,0.000008,0.000012,0.122661,0.302509,18.755060,229.157381,14.285714,75.857143,0.007183
0.877318,0.000008,0.000011,0.122663,0.304027,18.739022,247.896403,18.285714,94.142857,0.007193
0.877316,0.000008,0.000011,0.122665,0.305552,18.730823,266.627226,19.571429,113.714286,0.007207
0.877314,0.000008,0.000011,0.122666,0.307085,18.729998,285.357224,25.142857,138.857143,0.007224
0.877312,0.000008,0.000011,0.122668,0.308627,18.736003,304.093227,26.857143,165.714286,0.007245
0.877310,0.000008,0.000012,0.122670,0.310177,18.748471,322.841698,30.714286,196.428571,0.007267
0.877309,0.000008,0.000012,0.122672,0.311737,18.766999,341.608697,34.285714,230.714286,0.007289
0.877307,0.000008,0.000012,0.122674,0.313305,18.791258,360.399955,39.571429,270.285714,0.007313
0.877305,0.000008,0.000012,0.122676,0.314884,18.820895,379.220850,40.000000,310.285714,0.007338
