S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.794619,0.000026,0.000020,0.205336,0.790510,15.988371,15.988371,2.571429,6.000000,0.228410
0.794612,0.000028,0.000020,0.205340,0.828335,16.558104,32.546475,2.571429,8.571429,0.226321
0.794604,0.000031,0.000021,0.205344,0.854873,17.588605,50.135080,2.857143,11.428571,0.188369
0.794595,0.000033,0.000023,0.205348,0.875075,19.006882,69.141962,3.285714,14.714286,0.166038
0.794585,0.000037,0.000025,0.205353,0.891176,20.810777,89.952740,4.571429,19.285714,0.150305
0.794574,0.000041,0.000028,0.205358,0.904229,23.026470,112.979210,5.285714,24.571429,0.136567
0.794561,0.000045,0.000031,0.205363,0.914829,25.693438,138.672648,8.142857,32.714286,0.122963
0.794546,0.000051,0.000035,0.205368,0.923391,28.859100,167.531748,10.285714,43.000000,0.108956
0.794529,0.000057,0.000040,0.205374,0.930244,32.574462,200.106210,15.714286,58.714286,0.094520
0.794510,0.000064,0.000045,0.205381,0.935658,36.893591,236.999800,21.142857,79.857143,0.079778
0.794487,0.000073,0.000051,0.205389,0.939849,41.871679,278.871479,28.428571,108.285714,0.064832
0.794462,0.000083,0.000058,0.205397,0.942988,47.565522,326.437001,36.857143,145.142857,0.049760
0.794434,0.000094,0.000066,0.205407,0.945200,54.034071,380.471072,46.142857,191.285714,0.034587
0.794401,0.000106,0.000075,0.205418,0.946571,61.334738,441.805810,69.571429,260.857143,0.019361
0.794364,0.000120,0.000085,0.205430,0.947158,69.537781,511.343591,84.714286,345.571429,0.004148
0.794323,0.000136,0.000096,0.205445,0.946986,78.719928,590.063519,93.714286,439.285714,-0.011055
0.794276,0.000154,0.000109,0.205462,0.946048,88.964105,679.027624,105.285714,544.571429,-0.026296
0.794223,0.000174,0.000123,0.205481,0.944302,100.360700,779.388325,128.857143,673.428571,-0.041629
0.794164,0.000196,0.000138,0.205502,0.941669,113.024086,892.412410,148.142857,821.571429,-0.057119
0.794098,0.000220,0.000155,0.205527,0.938027,127.082190,1019.494600,171.142857,992.714286,-0.072855
0.794024,0.000247,0.000174,0.205555,0.933199,142.698344,1162.192945,180.285714,1173.000000,-0.088945
0.793942,0.000277,0.000196,0.205586,0.926938,160.040316,1322.233261,205.428571,1378.428571,-0.105526
0.793850,0.000310,0.000219,0.205621,0.918905,179.317034,1501.550296,232.857143,1611.285714,-0.122662
0.793748,0.000346,0.000245,0.205660,0.908656,200.778111,1702.328406,245.571429,1856.857143,-0.140297
0.793635,0.000386,0.000275,0.205704,0.895616,224.682016,1927.010423,255.000000,2111.857143,-0.158355
0.793510,0.000430,0.000307,0.205753,0.879048,251.280987,2178.291410,272.285714,2384.142857,-0.176649
0.793372,0.000478,0.000343,0.205806,0.858052,280.832488,2459.123898,269.000000,2653.142857,-0.194834
0.793221,0.000529,0.000383,0.205866,0.831587,313.457240,2772.581138,290.000000,2943.142857,-0.212566
0.793057,0.000583,0.000427,0.205933,0.798513,349.181843,3121.762981,307.428571,3250.571429,-0.229331
0.792882,0.000637,0.000474,0.206007,0.757793,387.823440,3509.586422,312.714286,3563.285714,-0.244612
0.792696,0.000691,0.000524,0.206089,0.708719,428.869965,3938.456387,338.428571,3901.714286,-0.258265
0.792503,0.000740,0.000576,0.206181,0.651162,471.442135,4409.898522,421.285714,4323.000000,-0.270013
0.792307,0.000782,0.000629,0.206282,0.586052,514.590750,4924.489272,427.000000,4750.000000,-0.279413
0.792112,0.000816,0.000681,0.206392,0.515594,556.876153,5481.365425,463.000000,5213.000000,-0.286630
0.791923,0.000838,0.000730,0.206510,0.442877,596.830538,6078.195963,506.285714,5719.285714,-0.291921
0.791742,0.000848,0.000774,0.206636,0.371539,633.017848,6711.213811,545.142857,6264.428571,-0.295353
0.791573,0.000846,0.000812,0.206769,0.304948,664.088154,7375.301964,617.714286,6882.142857,-0.296985
0.791417,0.000834,0.000842,0.206907,0.245644,689.114513,8064.416477,665.857143,7548.000000,-0.296552
0.791274,0.000812,0.000865,0.207049,0.195045,707.536142,8771.952619,684.000000,8232.000000,-0.294028
0.791145,0.000783,0.000879,0.207194,0.153318,719.005650,9490.958269,750.571429,8982.571429,-0.289878
0.791027,0.000748,0.000884,0.207340,0.119786,723.591538,10214.549806,837.000000,9819.571429,-0.283995
0.790919,0.000711,0.000882,0.207487,0.093431,721.892166,10936.441972,839.714286,10659.285714,-0.275983
0.790821,0.000671,0.000873,0.207634,0.073033,714.547538,11650.989511,841.571429,11500.857143,-0.266276
0.790731,0.000632,0.000859,0.207778,0.057377,702.344231,12353.333741,832.857143,12333.714286,-0.255343
0.790648,0.000593,0.000839,0.207920,0.045413,686.156961,13039.490702,799.428571,13133.142857,-0.243277
0.790570,0.000556,0.000815,0.208059,0.036285,666.916264,13706.406966,715.000000,13848.142857,-0.230377
0.790497,0.000521,0.000789,0.208194,0.029301,645.344211,14351.751177,651.714286,14499.857143,-0.217234
0.790428,0.000488,0.000760,0.208324,0.023928,622.102038,14973.853215,589.142857,15089.000000,-0.204352
0.790364,0.000457,0.000730,0.208449,0.019756,597.579910,15571.433126,619.428571,15708.428571,-0.191910
0.790303,0.000428,0.000700,0.208570,0.016495,572.340555,16143.773681,600.571429,16309.000000,-0.179452
0.790246,0.000401,0.000668,0.208685,0.013933,546.888385,16690.662066,543.285714,16852.285714,-0.167170
0.790192,0.000376,0.000637,0.208795,0.011901,521.404719,17212.066785,573.000000,17425.285714,-0.155467
0.790141,0.000352,0.000606,0.208900,0.010277,496.173156,17708.239941,570.857143,17996.142857,-0.144068
0.790093,0.000331,0.000576,0.209000,0.008971,471.440057,18179.679997,548.142857,18544.285714,-0.132903
0.790048,0.000311,0.000547,0.209094,0.007914,447.375799,18627.055796,511.714286,19056.000000,-0.122020
0.790005,0.000292,0.000518,0.209184,0.007055,424.145766,19051.201561,429.285714,19485.285714,-0.111517
0.789965,0.000275,0.000491,0.209269,0.006351,401.773462,19452.975024,378.428571,19863.714286,-0.101640
0.789927,0.000259,0.000465,0.209349,0.005772,380.218770,19833.193794,373.571429,20237.285714,-0.092307
0.789892,0.000244,0.000439,0.209425,0.005292,359.546168,20192.739962,320.571429,20557.857143,-0.083368
0.789858,0.000230,0.000415,0.209497,0.004894,339.728016,20532.467978,303.428571,20861.285714,-0.074894
0.789826,0.000217,0.000392,0.209565,0.004563,320.731107,20853.199085,300.857143,21162.142857,-0.066816
