S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.997755,0.000110,0.000121,0.002014,0.438057,174.304211,174.304211,1.571429,10.142857,-0.042367
0.997735,0.000109,0.000121,0.002035,0.427628,174.347886,348.652096,0.571429,10.714286,-0.041041
0.997714,0.000109,0.000121,0.002056,0.417967,174.669220,523.321317,0.714286,11.428571,-0.038267
0.997693,0.000109,0.000121,0.002077,0.409010,175.228976,698.550292,0.714286,12.142857,-0.035716
0.997672,0.000109,0.000122,0.002098,0.400700,175.992463,874.542755,0.857143,13.000000,-0.033365
0.997650,0.000109,0.000123,0.002118,0.392985,176.928562,1051.471317,1.428571,14.428571,-0.031196
0.997629,0.000109,0.000123,0.002139,0.385816,178.008975,1229.480291,1.857143,16.285714,-0.029193
0.997607,0.000109,0.000124,0.002159,0.379150,179.207722,1408.688013,1.857143,18.142857,-0.027340
0.997586,0.000109,0.000125,0.002180,0.372945,180.500795,1589.188808,3.000000,21.142857,-0.025626
0.997564,0.000110,0.000126,0.002201,0.367164,181.865667,1771.054475,3.142857,24.285714,-0.024041
0.997541,0.000110,0.000127,0.002221,0.361773,183.281277,1954.335752,3.714286,28.000000,-0.022574
0.997519,0.000111,0.000128,0.002242,0.356740,184.727786,2139.063538,4.857143,32.857143,-0.021215
0.997497,0.000111,0.000129,0.002263,0.352036,186.186451,2325.249988,4.714286,37.571429,-0.019954
0.997474,0.000112,0.000130,0.002284,0.347637,187.639844,2512.889832,9.000000,46.571429,-0.018783
0.997451,0.000112,0.000131,0.002306,0.343517,189.071434,2701.961266,11.571429,58.142857,-0.017695
0.997429,0.000112,0.000132,0.002327,0.339655,190.465969,2892.427235,13.571429,71.714286,-0.016680
0.997406,0.000113,0.000133,0.002349,0.336034,191.809490,3084.236725,18.000000,89.714286,-0.015731
0.997383,0.000113,0.000134,0.002370,0.332636,193.089216,3277.325940,21.571429,111.285714,-0.014840
0.997360,0.000113,0.000135,0.002392,0.329446,194.293793,3471.619733,26.000000,137.285714,-0.014001
0.997337,0.000114,0.000135,0.002414,0.326450,195.413313,3667.033046,35.857143,173.142857,-0.013208
0.997314,0.000114,0.000136,0.002436,0.323637,196.439085,3863.472131,44.571429,217.714286,-0.012457
0.997291,0.000114,0.000137,0.002459,0.320997,197.364055,4060.836186,59.857143,277.571429,-0.011742
0.997267,0.000114,0.000137,0.002481,0.318519,198.182336,4259.018522,75.857143,353.428571,-0.011060
0.997244,0.000114,0.000138,0.002504,0.316195,198.889534,4457.908056,94.857143,448.285714,-0.010407
0.997221,0.000114,0.000138,0.002526,0.314018,199.482542,4657.390598,120.571429,568.857143,-0.009781
0.997199,0.000114,0.000138,0.002549,0.311981,199.959331,4857.349928,150.857143,719.714286,-0.009179
0.997176,0.000114,0.000139,0.002571,0.310077,200.319053,5057.668981,190.285714,910.000000,-0.008600
0.997153,0.000114,0.000139,0.002594,0.308301,200.561689,5258.230670,236.571429,1146.571429,-0.008043
0.997130,0.000114,0.000139,0.002617,0.306647,200.688121,5458.918791,279.142857,1425.714286,-0.007504
0.997108,0.000113,0.000139,0.002640,0.305110,200.700444,5659.619235,334.000000,1759.714286,-0.006983
0.997086,0.000113,0.000139,0.002663,0.303686,200.600877,5860.220111,371.571429,2131.285714,-0.006479
0.997063,0.000113,0.000139,0.002685,0.302370,200.393389,6060.613500,409.714286,2541.000000,-0.005987
0.997041,0.000112,0.000139,0.002708,0.301160,200.081891,6260.695391,449.142857,2990.142857,-0.005510
0.997019,0.000112,0.000138,0.002731,0.300051,199.670740,6460.366131,477.714286,3467.857143,-0.005044
0.996997,0.000111,0.000138,0.002754,0.299041,199.165043,6659.531173,523.285714,3991.142857,-0.004591
0.996975,0.000111,0.000138,0.002776,0.298126,198.569092,6858.100266,561.857143,4553.000000,-0.004151
0.996954,0.000110,0.000137,0.002799,0.297304,197.888410,7055.988676,591.142857,5144.142857,-0.003720
0.996932,0.000109,0.000137,0.002822,0.296572,197.128783,7253.117459,615.285714,5759.428571,-0.003298
0.996911,0.000109,0.000136,0.002844,0.295928,196.296218,7449.413677,608.285714,6367.714286,-0.002883
0.996890,0.000108,0.000135,0.002867,0.295371,195.397549,7644.811226,616.285714,6984.000000,-0.002476
0.996869,0.000108,0.000135,0.002889,0.294897,194.437883,7839.249110,602.000000,7586.000000,-0.002076
0.996848,0.000107,0.000134,0.002912,0.294507,193.424311,8032.673421,550.428571,8136.428571,-0.001681
0.996827,0.000106,0.000133,0.002934,0.294199,192.364116,8225.037537,500.000000,8636.428571,-0.001291
0.996806,0.000106,0.000132,0.002956,0.293971,191.262678,8416.300215,445.142857,9081.571429,-0.000907
0.996785,0.000105,0.000132,0.002978,0.293823,190.125021,8606.425236,410.142857,9491.714286,-0.000529
0.996765,0.000104,0.000131,0.003000,0.293752,188.954634,8795.379870,398.000000,9889.714286,-0.000158
0.996745,0.000103,0.000130,0.003022,0.293757,187.754853,8983.134723,393.285714,10283.000000,0.000208
0.996725,0.000103,0.000129,0.003044,0.293838,186.529641,9169.664364,391.571429,10674.571429,0.000571
0.996704,0.000102,0.000128,0.003065,0.293994,185.282951,9354.947315,394.000000,11068.571429,0.000933
0.996685,0.000101,0.000127,0.003087,0.294225,184.018741,9538.966057,389.000000,11457.571429,0.001294
0.996665,0.000101,0.000127,0.003108,0.294531,182.741232,9721.707288,382.714286,11840.285714,0.001658
0.996645,0.000100,0.000126,0.003129,0.294914,181.454182,9903.161470,374.428571,12214.714286,0.002023
0.996626,0.000099,0.000125,0.003150,0.295373,180.161155,10083.322625,366.714286,12581.428571,0.002391
0.996606,0.000099,0.000124,0.003171,0.295909,178.866171,10262.188796,327.142857,12908.571429,0.002764
0.996587,0.000098,0.000123,0.003192,0.296524,177.573434,10439.762229,307.142857,13215.714286,0.003143
0.996568,0.000097,0.000122,0.003213,0.297220,176.284906,10616.047136,290.857143,13506.571429,0.003529
0.996549,0.000097,0.000121,0.003233,0.297999,175.003140,10791.050275,279.571429,13786.142857,0.003926
0.996530,0.000096,0.000120,0.003254,0.298863,173.730433,10964.780708,276.428571,14062.571429,0.004333
0.996511,0.000096,0.000119,0.003274,0.299815,172.469125,11137.249833,269.714286,14332.285714,0.004752
