S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.851658,0.000006,0.000006,0.148330,0.232132,1271.577444,1271.577444,5.571429,30.571429,-0.008902
0.851658,0.000006,0.000006,0.148331,0.230545,1268.308556,2539.886000,5.857143,36.428571,-0.008302
0.851657,0.000006,0.000005,0.148332,0.229187,1266.110215,3805.996214,4.571429,41.000000,-0.007106
0.851656,0.000006,0.000005,0.148333,0.228035,1264.901772,5070.897987,6.285714,47.285714,-0.006011
0.851655,0.000006,0.000005,0.148334,0.227070,1264.613383,6335.511370,7.142857,54.428571,-0.005007
0.851654,0.000006,0.000005,0.148335,0.226277,1265.184660,7600.696029,7.142857,61.571429,-0.004086
0.851653,0.000005,0.000006,0.148336,0.225640,1266.563517,8867.259547,9.714286,71.285714,-0.003237
0.851652,0.000005,0.000006,0.148337,0.225146,1268.705194,10135.964741,10.000000,81.285714,-0.002455
0.851651,0.000005,0.000006,0.148338,0.224783,1271.571410,11407.536151,12.428571,93.714286,-0.001731
0.851650,0.000005,0.000006,0.148339,0.224542,1275.129653,12682.665804,13.000000,106.714286,-0.001059
0.851649,0.000005,0.000006,0.148340,0.224414,1279.352557,13962.018361,14.285714,121.000000,-0.000433
0.851648,0.000005,0.000006,0.148341,0.224392,1284.217375,15246.235735,20.285714,141.285714,0.000151
0.851647,0.000005,0.000006,0.148342,0.224467,1289.705530,16535.941265,28.428571,169.714286,0.000699
0.851646,0.000005,0.000006,0.148343,0.224635,1295.802226,17831.743491,36.142857,205.857143,0.001216
0.851645,0.000005,0.000006,0.148344,0.224891,1302.496111,19134.239602,45.714286,251.571429,0.001704
0.851644,0.000005,0.000006,0.148345,0.225229,1309.778999,20444.018601,54.571429,306.142857,0.002168
0.851643,0.000005,0.000006,0.148346,0.225647,1317.645621,21761.664221,65.000000,371.142857,0.002610
0.851642,0.000006,0.000006,0.148347,0.226141,1326.093433,23087.757655,68.000000,439.142857,0.003034
