S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.981651,0.000005,0.000006,0.018337,0.160034,41.942231,41.942231,3.285714,12.000000,0.015785
0.981650,0.000005,0.000006,0.018338,0.162156,41.308927,83.251158,2.857143,14.857143,0.015820
0.981649,0.000005,0.000006,0.018339,0.164333,40.789330,124.040488,3.714286,18.571429,0.015961
0.981648,0.000005,0.000006,0.018340,0.166540,40.359214,164.399701,3.714286,22.285714,0.015943
0.981648,0.000005,0.000006,0.018341,0.168759,39.999865,204.399566,4.285714,26.571429,0.015820
0.981647,0.000005,0.000006,0.018342,0.170978,39.696918,244.096484,5.285714,31.857143,0.015644
0.981646,0.000005,0.000006,0.018343,0.173194,39.439474,283.535958,5.857143,37.714286,0.015462
0.981645,0.000005,0.000006,0.018344,0.175406,39.219385,322.755344,5.857143,43.571429,0.015312
0.981644,0.000005,0.000006,0.018345,0.177623,39.030681,361.786025,5.571429,49.142857,0.015225
0.981643,0.000005,0.000006,0.018347,0.179854,38.869082,400.655107,4.285714,53.428571,0.015225
0.981642,0.000005,0.000006,0.018348,0.182115,38.731606,439.386713,5.571429,59.000000,0.015324
0.981641,0.000005,0.000006,0.018349,0.184419,38.616217,478.002930,4.857143,63.857143,0.015526
0.981640,0.000005,0.000006,0.018350,0.186785,38.521578,516.524508,3.714286,67.571429,0.015826
0.981639,0.000005,0.000006,0.018351,0.189227,38.446822,554.971330,5.571429,73.142857,0.016212
0.981638,0.000005,0.000006,0.018351,0.191760,38.391376,593.362706,9.142857,82.285714,0.016665
0.981637,0.000005,0.000006,0.018352,0.194393,38.354852,631.717558,9.142857,91.428571,0.017161
0.981636,0.000005,0.000006,0.018353,0.197135,38.336969,670.054527,13.285714,104.714286,0.017677
0.981635,0.000005,0.000006,0.018354,0.199988,38.337468,708.391994,13.428571,118.142857,0.018189
0.981634,0.000005,0.000006,0.018355,0.202955,38.356103,746.748097,15.285714,133.428571,0.018679
0.981633,0.000005,0.000006,0.018356,0.206031,38.392598,785.140695,17.000000,150.428571,0.019131
0.981632,0.000005,0.000006,0.018357,0.209214,38.446647,823.587342,16.714286,167.142857,0.019537
0.981631,0.000005,0.000006,0.018358,0.212496,38.517919,862.105261,15.000000,182.142857,0.019893
0.981630,0.000005,0.000006,0.018359,0.215871,38.606096,900.711357,19.714286,201.857143,0.020201
0.981629,0.000005,0.000006,0.018360,0.219335,38.710853,939.422210,22.571429,224.428571,0.020465
0.981628,0.000005,0.000006,0.018361,0.222880,38.831926,978.254136,25.428571,249.857143,0.020693
0.981627,0.000005,0.000006,0.018362,0.226503,38.969125,1017.223261,28.714286,278.571429,0.020893
0.981626,0.000005,0.000006,0.018363,0.230201,39.122374,1056.345636,37.857143,316.428571,0.021076
