S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.983811,0.000056,0.000065,0.016068,0.209959,912.446178,912.446178,14.142857,38.000000,0.011497
0.983800,0.000056,0.000065,0.016079,0.211866,915.198233,1827.644412,19.571429,57.571429,0.011147
0.983788,0.000057,0.000066,0.016090,0.213681,918.749755,2746.394167,19.142857,76.714286,0.010526
0.983776,0.000057,0.000066,0.016101,0.215403,923.049933,3669.444100,52.857143,129.571429,0.009901
0.983764,0.000058,0.000066,0.016112,0.217028,928.056291,4597.500391,51.428571,181.000000,0.009278
0.983752,0.000058,0.000067,0.016123,0.218556,933.730635,5531.231025,78.571429,259.571429,0.008661
0.983740,0.000059,0.000067,0.016134,0.219986,940.040234,6471.271260,78.000000,337.571429,0.008051
0.983727,0.000059,0.000068,0.016146,0.221319,946.951632,7418.222892,200.857143,538.428571,0.007451
0.983715,0.000060,0.000068,0.016157,0.222554,954.435365,8372.658256,397.571429,936.000000,0.006867
0.983702,0.000061,0.000069,0.016169,0.223695,962.469913,9335.128169,482.000000,1418.000000,0.006301
0.983689,0.000061,0.000069,0.016180,0.224743,971.029853,10306.158023,622.714286,2040.714286,0.005752
0.983676,0.000062,0.000070,0.016192,0.225700,980.093182,11286.251205,776.428571,2817.142857,0.005224
0.983663,0.000063,0.000071,0.016204,0.226569,989.641995,12275.893199,853.285714,3670.428571,0.004717
0.983650,0.000064,0.000071,0.016216,0.227353,999.655963,13275.549163,938.285714,4608.714286,0.004232
0.983636,0.000064,0.000072,0.016227,0.228055,1010.119616,14285.668779,934.428571,5543.142857,0.003768
0.983623,0.000065,0.000073,0.016240,0.228680,1021.016447,15306.685226,868.285714,6411.428571,0.003326
0.983609,0.000066,0.000074,0.016252,0.229229,1032.323507,16339.008733,937.428571,7348.857143,0.002903
0.983595,0.000067,0.000075,0.016264,0.229706,1044.027682,17383.036415,945.285714,8294.142857,0.002501
0.983581,0.000067,0.000075,0.016276,0.230114,1056.110629,18439.147043,986.571429,9280.714286,0.002119
0.983567,0.000068,0.000076,0.016289,0.230456,1068.555557,19507.702600,1059.571429,10340.285714,0.001755
0.983552,0.000069,0.000077,0.016302,0.230736,1081.347771,20589.050372,1118.571429,11458.857143,0.001411
0.983537,0.000070,0.000078,0.016315,0.230957,1094.472347,21683.522718,1161.000000,12619.857143,0.001085
0.983523,0.000071,0.000079,0.016328,0.231122,1107.914238,22791.436957,1194.428571,13814.285714,0.000776
0.983507,0.000072,0.000080,0.016341,0.231233,1121.659801,23913.096757,1190.285714,15004.571429,0.000484
0.983492,0.000073,0.000081,0.016354,0.231294,1135.693761,25048.790518,1182.285714,16186.857143,0.000208
0.983477,0.000073,0.000082,0.016368,0.231307,1150.003254,26198.793772,1125.285714,17312.142857,-0.000053
0.983461,0.000074,0.000083,0.016382,0.231275,1164.571881,27363.365653,1093.000000,18405.142857,-0.000299
0.983445,0.000075,0.000084,0.016396,0.231200,1179.382149,28542.747803,1150.571429,19555.714286,-0.000532
