S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.884747,0.000296,0.000381,0.114576,0.222891,3835.572059,3835.572059,110.142857,261.285714,-0.000073
0.884692,0.000292,0.000376,0.114640,0.222878,3785.449076,7621.021134,142.142857,385.714286,-0.000115
0.884637,0.000289,0.000371,0.114703,0.222851,3738.078115,11359.099249,167.571429,535.571429,-0.000204
0.884583,0.000286,0.000367,0.114764,0.222808,3693.195032,15052.294281,240.857143,758.714286,-0.000296
0.884530,0.000283,0.000363,0.114825,0.222748,3650.457672,18702.751953,258.142857,1016.857143,-0.000390
0.884476,0.000280,0.000358,0.114886,0.222673,3609.673085,22312.425037,311.428571,1328.285714,-0.000488
0.884424,0.000277,0.000355,0.114945,0.222580,3570.606831,25883.031868,384.142857,1712.428571,-0.000588
0.884371,0.000274,0.000351,0.115004,0.222469,3533.044037,29416.075905,458.285714,2170.714286,-0.000689
0.884320,0.000271,0.000347,0.115062,0.222341,3496.800570,32912.876475,535.428571,2706.142857,-0.000794
0.884268,0.000268,0.000344,0.115119,0.222195,3461.747132,36374.623607,679.285714,3385.428571,-0.000901
0.884218,0.000266,0.000340,0.115176,0.222030,3427.690357,39802.313964,811.571429,4197.000000,-0.001012
0.884167,0.000263,0.000337,0.115232,0.221845,3394.541744,43196.855708,1019.428571,5216.428571,-0.001118
0.884117,0.000261,0.000334,0.115288,0.221644,3362.065820,46558.921528,1092.428571,6308.857143,-0.001225
0.884068,0.000258,0.000331,0.115343,0.221423,3330.310040,49889.231568,1339.000000,7647.857143,-0.001340
0.884019,0.000256,0.000328,0.115397,0.221182,3299.102923,53188.334490,1607.857143,9255.714286,-0.001453
0.883971,0.000253,0.000325,0.115451,0.220922,3268.334896,56456.669387,1860.571429,11116.285714,-0.001567
0.883923,0.000251,0.000322,0.115505,0.220642,3237.965622,59694.635008,2182.000000,13298.285714,-0.001681
0.883875,0.000249,0.000319,0.115557,0.220344,3207.880269,62902.515278,2481.714286,15780.000000,-0.001788
0.883828,0.000246,0.000316,0.115610,0.220028,3177.978057,66080.493335,2686.857143,18466.857143,-0.001895
0.883782,0.000244,0.000313,0.115662,0.219693,3148.314716,69228.808051,3051.000000,21517.857143,-0.002002
0.883736,0.000242,0.000310,0.115713,0.219342,3118.728479,72347.536530,3321.571429,24839.428571,-0.002108
0.883690,0.000239,0.000307,0.115764,0.218971,3089.260382,75436.796912,3703.142857,28542.571429,-0.002222
0.883645,0.000237,0.000304,0.115814,0.218582,3059.869795,78496.666706,4194.428571,32737.000000,-0.002336
0.883601,0.000234,0.000301,0.115864,0.218173,3030.451469,81527.118175,4631.571429,37368.571429,-0.002438
0.883556,0.000232,0.000298,0.115913,0.217750,3000.930030,84528.048205,4913.000000,42281.571429,-0.002528
0.883513,0.000230,0.000295,0.115963,0.217312,2971.315310,87499.363515,5135.285714,47416.857143,-0.002613
0.883470,0.000227,0.000292,0.116011,0.216861,2941.616414,90440.979929,5381.428571,52798.285714,-0.002692
0.883427,0.000225,0.000289,0.116059,0.216398,2911.765866,93352.745795,5524.714286,58323.000000,-0.002764
0.883385,0.000222,0.000286,0.116107,0.215924,2881.777935,96234.523730,5643.428571,63966.428571,-0.002826
0.883343,0.000220,0.000283,0.116154,0.215441,2851.605864,99086.129593,5639.571429,69606.000000,-0.002878
0.883302,0.000217,0.000280,0.116201,0.214951,2821.259007,101907.388600,5556.285714,75162.285714,-0.002925
0.883261,0.000215,0.000277,0.116247,0.214454,2790.773450,104698.162050,5507.285714,80669.571429,-0.002969
0.883220,0.000212,0.000274,0.116293,0.213951,2760.115743,107458.277793,5401.714286,86071.285714,-0.003007
0.883181,0.000210,0.000271,0.116339,0.213442,2729.284937,110187.562730,5230.857143,91302.142857,-0.003045
0.883141,0.000207,0.000268,0.116383,0.212928,2698.340871,112885.903600,5169.714286,96471.857143,-0.003079
0.883103,0.000205,0.000265,0.116428,0.212410,2667.202702,115553.106302,4957.571429,101429.428571,-0.003107
0.883065,0.000202,0.000262,0.116472,0.211889,2635.932658,118189.038960,4761.285714,106190.714286,-0.003135
0.883027,0.000199,0.000259,0.116515,0.211363,2604.541118,120793.580078,4594.285714,110785.000000,-0.003165
0.882990,0.000197,0.000256,0.116558,0.210834,2573.037017,123366.617095,4465.571429,115250.571429,-0.003198
0.882953,0.000194,0.000252,0.116600,0.210299,2541.433620,125908.050715,4401.142857,119651.714286,-0.003230
0.882917,0.000192,0.000249,0.116642,0.209761,2509.697431,128417.748146,4256.285714,123908.000000,-0.003258
0.882882,0.000189,0.000246,0.116683,0.209219,2477.866922,130895.615069,4121.142857,128029.142857,-0.003287
0.882846,0.000187,0.000243,0.116724,0.208673,2445.966793,133341.581862,4054.857143,132084.000000,-0.003318
0.882812,0.000184,0.000240,0.116764,0.208123,2413.980281,135755.562142,3964.285714,136048.285714,-0.003350
0.882778,0.000181,0.000237,0.116804,0.207569,2381.943487,138137.505629,3948.428571,139996.714286,-0.003384
0.882744,0.000179,0.000233,0.116844,0.207010,2349.840982,140487.346611,3916.428571,143913.142857,-0.003415
0.882711,0.000176,0.000230,0.116883,0.206448,2317.682381,142805.028992,3852.714286,147765.857143,-0.003445
0.882679,0.000174,0.000227,0.116921,0.205881,2285.500684,145090.529675,3843.142857,151609.000000,-0.003471
0.882647,0.000171,0.000224,0.116959,0.205313,2253.260480,147343.790155,3676.142857,155285.142857,-0.003493
0.882615,0.000168,0.000221,0.116996,0.204741,2221.042154,149564.832310,3616.428571,158901.571429,-0.003517
0.882584,0.000166,0.000217,0.117033,0.204167,2188.826970,151753.659279,3551.000000,162452.571429,-0.003537
0.882554,0.000163,0.000214,0.117069,0.203592,2156.610809,153910.270089,3379.142857,165831.714286,-0.003552
0.882524,0.000161,0.000211,0.117105,0.203016,2124.441690,156034.711779,3229.857143,169061.571429,-0.003566
0.882494,0.000158,0.000208,0.117140,0.202438,2092.331156,158127.042935,3101.714286,172163.285714,-0.003583
0.882465,0.000156,0.000205,0.117175,0.201859,2060.302298,160187.345233,3067.000000,175230.285714,-0.003609
0.882437,0.000153,0.000201,0.117209,0.201275,2028.363778,162215.709011,3167.428571,178397.714286,-0.003630
0.882409,0.000151,0.000198,0.117242,0.200691,1996.453962,164212.162973,3004.571429,181402.285714,-0.003642
0.882381,0.000148,0.000195,0.117276,0.200107,1964.668924,166176.831897,2937.142857,184339.428571,-0.003652
0.882354,0.000146,0.000192,0.117308,0.199522,1932.985221,168109.817118,2775.142857,187114.571429,-0.003658
0.882328,0.000143,0.000189,0.117340,0.198938,1901.448263,170011.265381,2671.857143,189786.428571,-0.003665
0.882302,0.000141,0.000186,0.117372,0.198354,1870.060494,171881.325875,2598.000000,192384.428571,-0.003671
0.882276,0.000138,0.000183,0.117403,0.197771,1838.825947,173720.151822,2506.857143,194891.285714,-0.003672
0.882251,0.000136,0.000180,0.117433,0.197189,1807.752055,175527.903877,2323.428571,197214.714286,-0.003668
0.882227,0.000133,0.000176,0.117463,0.196609,1776.881731,177304.785607,2212.857143,199427.571429,-0.003663
0.882203,0.000131,0.000173,0.117493,0.196032,1746.206942,179050.992549,2062.000000,201489.571429,-0.003657
0.882179,0.000129,0.000170,0.117522,0.195456,1715.757587,180766.750136,1996.714286,203486.285714,-0.003649
0.882156,0.000126,0.000167,0.117550,0.194884,1685.520653,182452.270789,1863.142857,205349.428571,-0.003638
0.882133,0.000124,0.000164,0.117578,0.194315,1655.528371,184107.799159,1789.142857,207138.571429,-0.003624
0.882111,0.000122,0.000161,0.117606,0.193749,1625.774106,185733.573265,1644.000000,208782.571429,-0.003605
0.882089,0.000119,0.000159,0.117633,0.193188,1596.288619,187329.861884,1552.285714,210334.857143,-0.003585
0.882068,0.000117,0.000156,0.117659,0.192632,1567.073410,188896.935295,1485.000000,211819.857143,-0.003562
0.882047,0.000115,0.000153,0.117686,0.192080,1538.132805,190435.068100,1393.857143,213213.714286,-0.003533
0.882026,0.000113,0.000150,0.117711,0.191535,1509.480841,191944.548941,1277.142857,214490.857143,-0.003500
0.882006,0.000110,0.000147,0.117736,0.190996,1481.134620,193425.683561,1193.285714,215684.142857,-0.003464
0.881986,0.000108,0.000144,0.117761,0.190465,1453.098293,194878.781854,1125.142857,216809.285714,-0.003428
0.881967,0.000106,0.000142,0.117785,0.189939,1425.383166,196304.165020,1171.857143,217981.142857,-0.003388
0.881948,0.000104,0.000139,0.117809,0.189422,1397.971713,197702.136734,1092.428571,219073.571429,-0.003338
0.881929,0.000102,0.000136,0.117832,0.188914,1370.896821,199073.033555,1034.000000,220107.571429,-0.003282
0.881911,0.000100,0.000133,0.117855,0.188416,1344.162515,200417.196070,957.142857,221064.714286,-0.003222
0.881893,0.000098,0.000131,0.117878,0.187929,1317.781323,201734.977393,927.428571,221992.142857,-0.003157
0.881876,0.000096,0.000128,0.117900,0.187453,1291.752878,203026.730271,909.285714,222901.428571,-0.003086
0.881859,0.000094,0.000126,0.117922,0.186989,1266.081943,204292.812214,867.428571,223768.857143,-0.003006
0.881842,0.000092,0.000123,0.117943,0.186539,1240.778586,205533.590800,783.285714,224552.142857,-0.002919
0.881825,0.000090,0.000121,0.117963,0.186103,1215.856683,206749.447483,751.428571,225303.571429,-0.002826
0.881809,0.000089,0.000118,0.117984,0.185683,1191.313619,207940.761102,701.428571,226005.000000,-0.002726
0.881794,0.000087,0.000116,0.118004,0.185279,1167.157868,209107.918969,681.857143,226686.857143,-0.002619
0.881778,0.000085,0.000114,0.118023,0.184892,1143.389789,210251.308758,652.428571,227339.285714,-0.002503
0.881763,0.000083,0.000111,0.118043,0.184524,1120.015435,211371.324194,631.857143,227971.142857,-0.002380
0.881748,0.000082,0.000109,0.118061,0.184176,1097.037656,212468.361849,610.285714,228581.428571,-0.002247
0.881734,0.000080,0.000107,0.118080,0.183849,1074.460445,213542.822294,550.857143,229132.285714,-0.002105
0.881720,0.000078,0.000105,0.118098,0.183544,1052.291848,214595.114142,539.285714,229671.571429,-0.001956
0.881706,0.000077,0.000102,0.118115,0.183262,1030.528104,215625.642246,532.285714,230203.857143,-0.001798
0.881692,0.000075,0.000100,0.118133,0.183006,1009.171083,216634.813329,512.857143,230716.714286,-0.001629
0.881679,0.000073,0.000098,0.118149,0.182775,988.224451,217623.037780,476.714286,231193.428571,-0.001450
0.881666,0.000072,0.000096,0.118166,0.182573,967.691454,218590.729234,451.571429,231645.000000,-0.001261
0.881653,0.000070,0.000094,0.118182,0.182399,947.571503,219538.300737,434.142857,232079.142857,-0.001063
0.881641,0.000069,0.000092,0.118198,0.182256,927.864027,220466.164764,422.857143,232502.000000,-0.000854
