S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.983837,0.000011,0.000012,0.016140,0.239215,20.870746,20.870746,9.142857,35.000000,-0.000641
0.983835,0.000011,0.000012,0.016142,0.239098,20.805825,41.676571,11.285714,46.285714,-0.000585
0.983833,0.000011,0.000012,0.016144,0.239002,20.749507,62.426078,12.714286,59.000000,-0.000478
0.983831,0.000011,0.000012,0.016146,0.238924,20.700553,83.126631,14.571429,73.571429,-0.000384
0.983829,0.000011,0.000012,0.016148,0.238862,20.657928,103.784560,12.571429,86.142857,-0.000300
0.983827,0.000010,0.000012,0.016150,0.238815,20.620773,124.405333,14.428571,100.571429,-0.000223
0.983825,0.000010,0.000012,0.016152,0.238781,20.588360,144.993693,16.000000,116.571429,-0.000151
0.983823,0.000010,0.000012,0.016154,0.238760,20.560074,165.553767,20.428571,137.000000,-0.000085
0.983821,0.000010,0.000012,0.016156,0.238751,20.535390,186.089158,21.571429,158.571429,-0.000022
0.983819,0.000010,0.000012,0.016158,0.238752,20.513861,206.603019,21.000000,179.571429,0.000039
0.983817,0.000010,0.000012,0.016160,0.238765,20.495104,227.098123,21.000000,200.571429,0.000097
0.983815,0.000010,0.000012,0.016162,0.238787,20.478788,247.576911,20.142857,220.714286,0.000154
0.983813,0.000010,0.000012,0.016164,0.238820,20.464628,268.041539,17.285714,238.000000,0.000209
0.983811,0.000010,0.000012,0.016166,0.238863,20.452379,288.493918,15.142857,253.142857,0.000262
0.983809,0.000010,0.000012,0.016169,0.238916,20.441827,308.935745,12.428571,265.571429,0.000315
0.983807,0.000010,0.000012,0.016171,0.238978,20.432785,329.368530,10.714286,276.285714,0.000367
0.983805,0.000010,0.000012,0.016173,0.239049,20.425092,349.793623,11.000000,287.285714,0.000418
0.983803,0.000010,0.000012,0.016175,0.239130,20.418607,370.212230,12.285714,299.571429,0.000468
0.983801,0.000010,0.000012,0.016177,0.239219,20.413205,390.625435,11.571429,311.142857,0.000517
0.983799,0.000010,0.000012,0.016179,0.239318,20.408777,411.034212,11.285714,322.428571,0.000565
0.983797,0.000010,0.000012,0.016181,0.239425,20.405229,431.439441,11.428571,333.857143,0.000612
0.983795,0.000010,0.000012,0.016183,0.239541,20.402477,451.841918,10.428571,344.285714,0.000658
0.983793,0.000010,0.000012,0.016185,0.239665,20.400446,472.242363,8.857143,353.142857,0.000703
0.983791,0.000010,0.000012,0.016187,0.239797,20.399071,492.641434,8.285714,361.428571,0.000747
0.983789,0.000010,0.000012,0.016189,0.239937,20.398296,513.039731,6.285714,367.714286,0.000790
0.983787,0.000010,0.000012,0.016191,0.240085,20.398070,533.437800,6.000000,373.714286,0.000832
0.983785,0.000010,0.000012,0.016193,0.240241,20.398347,553.836148,6.285714,380.000000,0.000873
0.983783,0.000010,0.000012,0.016195,0.240404,20.399089,574.235237,6.142857,386.142857,0.000913
0.983781,0.000010,0.000012,0.016197,0.240574,20.400261,594.635498,4.285714,390.428571,0.000953
0.983779,0.000010,0.000012,0.016199,0.240752,20.401832,615.037330,5.000000,395.428571,0.000991
0.983777,0.000010,0.000012,0.016201,0.240936,20.403774,635.441104,4.571429,400.000000,0.001028
0.983775,0.000010,0.000012,0.016203,0.241128,20.406064,655.847168,4.000000,404.000000,0.001065
0.983773,0.000010,0.000012,0.016205,0.241326,20.408682,676.255850,4.857143,408.857143,0.001100
0.983771,0.000010,0.000012,0.016207,0.241531,20.411607,696.667457,4.428571,413.285714,0.001135
0.983769,0.000010,0.000012,0.016209,0.241742,20.414825,717.082282,4.857143,418.142857,0.001169
0.983767,0.000010,0.000012,0.016211,0.241959,20.418322,737.500605,5.000000,423.142857,0.001202
0.983765,0.000010,0.000012,0.016213,0.242183,20.422085,757.922690,4.857143,428.000000,0.001234
0.983763,0.000010,0.000012,0.016215,0.242412,20.426105,778.348795,4.428571,432.428571,0.001266
0.983761,0.000010,0.000012,0.016217,0.242648,20.430372,798.779166,4.285714,436.714286,0.001297
0.983759,0.000010,0.000012,0.016219,0.242889,20.434879,819.214045,3.428571,440.142857,0.001327
0.983757,0.000010,0.000012,0.016221,0.243136,20.439620,839.653664,3.000000,443.142857,0.001357
0.983755,0.000010,0.000012,0.016223,0.243388,20.444590,860.098254,2.285714,445.428571,0.001386
0.983753,0.000010,0.000012,0.016225,0.243646,20.449786,880.548040,2.285714,447.714286,0.001415
0.983751,0.000010,0.000012,0.016227,0.243910,20.455204,901.003244,2.571429,450.285714,0.001443
0.983749,0.000010,0.000012,0.016229,0.244179,20.460844,921.464088,2.285714,452.571429,0.001471
0.983747,0.000010,0.000012,0.016231,0.244453,20.466704,941.930792,2.000000,454.571429,0.001498
0.983745,0.000010,0.000012,0.016233,0.244732,20.472785,962.403577,2.285714,456.857143,0.001526
0.983743,0.000010,0.000012,0.016235,0.245017,20.479086,982.882663,3.142857,460.000000,0.001552
0.983741,0.000010,0.000012,0.016237,0.245306,20.485611,1003.368274,3.142857,463.142857,0.001579
0.983739,0.000010,0.000012,0.016239,0.245601,20.492362,1023.860636,5.857143,469.000000,0.001606
0.983737,0.000010,0.000012,0.016241,0.245901,20.499341,1044.359977,7.000000,476.000000,0.001632
0.983734,0.000010,0.000012,0.016243,0.246207,20.506552,1064.866529,8.857143,484.857143,0.001658
0.983732,0.000010,0.000012,0.016245,0.246517,20.514001,1085.380530,11.285714,496.142857,0.001685
0.983730,0.000010,0.000012,0.016247,0.246832,20.521693,1105.902223,13.857143,510.000000,0.001711
0.983728,0.000010,0.000012,0.016249,0.247153,20.529633,1126.431856,15.000000,525.000000,0.001737
0.983726,0.000010,0.000012,0.016251,0.247479,20.537829,1146.969686,15.571429,540.571429,0.001764
0.983724,0.000010,0.000012,0.016253,0.247810,20.546289,1167.515974,13.142857,553.714286,0.001790
0.983722,0.000010,0.000012,0.016256,0.248146,20.555018,1188.070992,12.571429,566.285714,0.001817
0.983720,0.000010,0.000012,0.016258,0.248488,20.564026,1208.635018,12.142857,578.428571,0.001844
0.983718,0.000010,0.000012,0.016260,0.248835,20.573324,1229.208342,10.428571,588.857143,0.001872
0.983716,0.000010,0.000012,0.016262,0.249188,20.582920,1249.791262,9.571429,598.428571,0.001900
