S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.935326,0.000002,0.000001,0.064671,0.306443,29.811436,29.811436,1.571429,5.714286,-0.012126
0.935326,0.000002,0.000001,0.064671,0.303866,29.130409,58.941845,1.571429,7.285714,-0.011556
0.935326,0.000002,0.000001,0.064671,0.301554,28.538095,87.479939,1.714286,9.000000,-0.010400
0.935326,0.000001,0.000001,0.064671,0.299485,28.023754,115.503693,2.285714,11.285714,-0.009334
0.935325,0.000001,0.000001,0.064672,0.297638,27.578329,143.082022,2.285714,13.571429,-0.008350
0.935325,0.000001,0.000001,0.064672,0.295994,27.194153,170.276175,2.285714,15.857143,-0.007444
0.935325,0.000001,0.000001,0.064672,0.294536,26.864708,197.140883,2.428571,18.285714,-0.006607
0.935325,0.000001,0.000001,0.064673,0.293248,26.584431,223.725315,1.857143,20.142857,-0.005836
0.935325,0.000001,0.000001,0.064673,0.292117,26.348562,250.073877,1.714286,21.857143,-0.005124
0.935324,0.000001,0.000001,0.064673,0.291129,26.153013,276.226889,1.428571,23.285714,-0.004467
0.935324,0.000001,0.000001,0.064673,0.290273,25.994263,302.221153,0.714286,24.000000,-0.003861
0.935324,0.000001,0.000001,0.064673,0.289538,25.869280,328.090433,0.857143,24.857143,-0.003301
0.935324,0.000001,0.000001,0.064673,0.288915,25.775439,353.865873,0.714286,25.571429,-0.002785
0.935324,0.000001,0.000001,0.064673,0.288394,25.710471,379.576344,0.428571,26.000000,-0.002308
0.935324,0.000001,0.000001,0.064674,0.287968,25.672411,405.248755,1.142857,27.142857,-0.001867
0.935324,0.000001,0.000001,0.064674,0.287628,25.659554,430.908309,2.142857,29.285714,-0.001461
0.935324,0.000001,0.000001,0.064674,0.287369,25.670427,456.578736,3.857143,33.142857,-0.001086
0.935323,0.000001,0.000001,0.064674,0.287183,25.703752,482.282488,4.714286,37.857143,-0.000740
0.935323,0.000001,0.000001,0.064674,0.287066,25.758429,508.040917,5.571429,43.428571,-0.000421
0.935323,0.000001,0.000001,0.064675,0.287011,25.833510,533.874426,6.428571,49.857143,-0.000127
0.935323,0.000001,0.000001,0.064675,0.287014,25.928180,559.802607,6.571429,56.428571,0.000144
0.935322,0.000001,0.000001,0.064675,0.287070,26.041747,585.844354,8.571429,65.000000,0.000393
0.935322,0.000001,0.000001,0.064676,0.287175,26.173619,612.017973,9.285714,74.285714,0.000622
0.935322,0.000001,0.000001,0.064676,0.287325,26.323303,638.341276,11.428571,85.714286,0.000832
0.935321,0.000001,0.000001,0.064676,0.287516,26.490390,664.831666,12.285714,98.000000,0.001023
0.935321,0.000001,0.000001,0.064677,0.287744,26.674546,691.506212,13.000000,111.000000,0.001199
0.935321,0.000001,0.000001,0.064677,0.288007,26.875509,718.381720,13.000000,124.000000,0.001358
0.935320,0.000001,0.000001,0.064677,0.288301,27.093076,745.474796,16.000000,140.000000,0.001503
0.935320,0.000001,0.000001,0.064677,0.288624,27.327099,772.801895,16.714286,156.714286,0.001634
0.935320,0.000001,0.000001,0.064678,0.288972,27.577486,800.379380,17.857143,174.571429,0.001752
0.935320,0.000001,0.000001,0.064678,0.289344,27.844191,828.223571,15.285714,189.857143,0.001857
0.935319,0.000001,0.000001,0.064678,0.289736,28.127214,856.350785,15.714286,205.571429,0.001951
0.935319,0.000001,0.000001,0.064678,0.290146,28.426588,884.777373,16.000000,221.571429,0.002033
0.935319,0.000001,0.000001,0.064678,0.290573,28.742387,913.519760,17.142857,238.714286,0.002105
0.935319,0.000001,0.000001,0.064679,0.291014,29.074718,942.594478,18.714286,257.428571,0.002167
0.935319,0.000001,0.000001,0.064679,0.291468,29.423721,972.018199,19.857143,277.285714,0.002220
0.935318,0.000001,0.000001,0.064679,0.291931,29.789564,1001.807763,25.428571,302.714286,0.002264
0.935318,0.000001,0.000001,0.064679,0.292404,30.172440,1031.980203,30.857143,333.571429,0.002299
0.935318,0.000001,0.000001,0.064679,0.292883,30.572573,1062.552776,33.571429,367.142857,0.002326
0.935318,0.000001,0.000001,0.064679,0.293367,30.990214,1093.542989,35.142857,402.285714,0.002345
0.935318,0.000001,0.000001,0.064680,0.293855,31.425633,1124.968622,40.571429,442.857143,0.002357
0.935317,0.000001,0.000002,0.064680,0.294345,31.879119,1156.847742,43.142857,486.000000,0.002362
0.935317,0.000001,0.000002,0.064680,0.294836,32.350988,1189.198730,46.571429,532.571429,0.002360
0.935317,0.000001,0.000002,0.064680,0.295326,32.841570,1222.040299,44.000000,576.571429,0.002353
0.935317,0.000001,0.000002,0.064680,0.295815,33.351218,1255.391517,46.428571,623.000000,0.002339
0.935317,0.000001,0.000002,0.064680,0.296301,33.880294,1289.271811,46.428571,669.428571,0.002320
0.935316,0.000001,0.000002,0.064681,0.296783,34.429182,1323.700993,45.000000,714.428571,0.002295
0.935316,0.000001,0.000002,0.064681,0.297259,34.998278,1358.699271,43.571429,758.000000,0.002266
0.935316,0.000002,0.000002,0.064681,0.297729,35.587991,1394.287263,42.142857,800.142857,0.002232
0.935316,0.000002,0.000002,0.064681,0.298193,36.198744,1430.486007,39.285714,839.428571,0.002194
0.935315,0.000002,0.000002,0.064681,0.298648,36.830970,1467.316977,40.000000,879.428571,0.002152
0.935315,0.000002,0.000002,0.064682,0.299094,37.485110,1504.802086,38.000000,917.428571,0.002106
0.935315,0.000002,0.000002,0.064682,0.299531,38.161618,1542.963704,39.285714,956.714286,0.002057
0.935314,0.000002,0.000002,0.064682,0.299957,38.860953,1581.824657,42.714286,999.428571,0.002004
0.935314,0.000002,0.000002,0.064683,0.300373,39.583583,1621.408240,45.714286,1045.142857,0.001949
0.935313,0.000002,0.000002,0.064683,0.300776,40.329981,1661.738221,53.857143,1099.000000,0.001892
0.935313,0.000002,0.000002,0.064683,0.301168,41.100626,1702.838847,62.428571,1161.428571,0.001832
0.935313,0.000002,0.000002,0.064684,0.301547,41.896003,1744.734850,71.857143,1233.285714,0.001770
0.935312,0.000002,0.000002,0.064684,0.301914,42.716595,1787.451445,92.428571,1325.714286,0.001706
0.935312,0.000002,0.000002,0.064684,0.302266,43.562887,1831.014332,111.000000,1436.714286,0.001641
0.935311,0.000002,0.000002,0.064685,0.302606,44.435381,1875.449713,117.857143,1554.571429,0.001574
0.935311,0.000002,0.000002,0.064685,0.302931,45.334567,1920.784279,140.714286,1695.285714,0.001507
0.935310,0.000002,0.000002,0.064686,0.303242,46.260918,1967.045197,180.714286,1876.000000,0.001439
0.935310,0.000002,0.000002,0.064686,0.303539,47.214943,2014.260140,175.714286,2051.714286,0.001371
0.935309,0.000002,0.000002,0.064686,0.303822,48.197131,2062.457271,205.142857,2256.857143,0.001303
0.935309,0.000002,0.000002,0.064687,0.304090,49.207953,2111.665223,225.428571,2482.285714,0.001235
0.935308,0.000002,0.000002,0.064687,0.304345,50.247884,2161.913108,255.428571,2737.714286,0.001167
0.935308,0.000002,0.000002,0.064688,0.304584,51.317397,2213.230504,279.000000,3016.714286,0.001099
0.935307,0.000002,0.000002,0.064688,0.304810,52.416960,2265.647464,297.000000,3313.714286,0.001032
0.935307,0.000002,0.000003,0.064689,0.305022,53.547031,2319.194495,316.000000,3629.714286,0.000967
0.935306,0.000002,0.000003,0.064689,0.305220,54.708015,2373.902510,390.000000,4019.714286,0.000902
0.935305,0.000002,0.000003,0.064690,0.305404,55.900346,2429.802856,438.571429,4458.285714,0.000838
0.935305,0.000002,0.000003,0.064690,0.305576,57.124448,2486.927304,496.714286,4955.000000,0.000776
0.935304,0.000002,0.000003,0.064690,0.305734,58.380759,2545.308063,514.428571,5469.428571,0.000715
0.935304,0.000003,0.000003,0.064691,0.305879,59.669687,2604.977750,534.142857,6003.571429,0.000657
0.935303,0.000003,0.000003,0.064691,0.306013,60.991618,2665.969367,549.000000,6552.571429,0.000600
0.935303,0.000003,0.000003,0.064692,0.306134,62.346933,2728.316300,544.857143,7097.428571,0.000545
0.935302,0.000003,0.000003,0.064692,0.306244,63.735984,2792.052284,545.714286,7643.142857,0.000492
0.935302,0.000003,0.000003,0.064693,0.306343,65.159107,2857.211391,541.428571,8184.571429,0.000442
0.935301,0.000003,0.000003,0.064693,0.306432,66.616634,2923.828025,516.142857,8700.714286,0.000393
0.935300,0.000003,0.000003,0.064694,0.306510,68.108860,2991.936885,499.428571,9200.142857,0.000348
0.935300,0.000003,0.000003,0.064694,0.306580,69.636048,3061.572933,496.285714,9696.428571,0.000304
0.935299,0.000003,0.000003,0.064694,0.306640,71.198461,3132.771394,485.142857,10181.571429,0.000263
0.935299,0.000003,0.000003,0.064695,0.306691,72.796336,3205.567730,476.714286,10658.285714,0.000224
0.935298,0.000003,0.000004,0.064695,0.306735,74.429897,3279.997626,460.142857,11118.428571,0.000188
0.935297,0.000003,0.000004,0.064696,0.306771,76.099350,3356.096976,433.428571,11551.857143,0.000154
0.935297,0.000003,0.000004,0.064696,0.306801,77.804875,3433.901852,403.000000,11954.857143,0.000123
0.935296,0.000003,0.000004,0.064697,0.306824,79.546623,3513.448475,376.285714,12331.142857,0.000094
0.935295,0.000003,0.000004,0.064697,0.306841,81.324724,3594.773199,351.000000,12682.142857,0.000068
0.935295,0.000004,0.000004,0.064698,0.306852,83.139281,3677.912480,336.571429,13018.714286,0.000044
0.935294,0.000004,0.000004,0.064699,0.306859,84.990393,3762.902873,309.857143,13328.571429,0.000022
0.935293,0.000004,0.000004,0.064699,0.306862,86.878143,3849.781016,270.428571,13599.000000,0.000003
0.935292,0.000004,0.000004,0.064700,0.306860,88.802561,3938.583577,245.142857,13844.142857,-0.000014
0.935292,0.000004,0.000004,0.064700,0.306856,90.763659,4029.347235,236.714286,14080.857143,-0.000029
0.935291,0.000004,0.000004,0.064701,0.306848,92.761432,4122.108668,238.857143,14319.714286,-0.000041
0.935290,0.000004,0.000004,0.064702,0.306838,94.795874,4216.904542,236.428571,14556.142857,-0.000052
0.935289,0.000004,0.000005,0.064702,0.306826,96.866969,4313.771510,214.571429,14770.714286,-0.000061
0.935288,0.000004,0.000005,0.064703,0.306812,98.974653,4412.746163,196.428571,14967.142857,-0.000067
0.935288,0.000004,0.000005,0.064703,0.306798,101.118851,4513.865015,180.857143,15148.000000,-0.000072
0.935287,0.000004,0.000005,0.064704,0.306782,103.299482,4617.164497,154.714286,15302.714286,-0.000075
