S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.984338,0.000027,0.000029,0.015605,0.312445,251.827961,251.827961,104.714286,285.857143,0.000441
0.984333,0.000027,0.000029,0.015611,0.312540,251.743776,503.571737,123.000000,408.857143,0.000441
0.984328,0.000027,0.000029,0.015616,0.312635,251.661383,755.233120,154.285714,563.142857,0.000441
0.984323,0.000027,0.000029,0.015621,0.312729,251.580718,1006.813838,216.142857,779.285714,0.000439
0.984318,0.000027,0.000029,0.015626,0.312824,251.501696,1258.315534,266.571429,1045.857143,0.000438
0.984312,0.000027,0.000029,0.015631,0.312917,251.424282,1509.739816,369.285714,1415.142857,0.000435
0.984307,0.000027,0.000029,0.015636,0.313011,251.348379,1761.088195,424.285714,1839.428571,0.000432
0.984302,0.000027,0.000029,0.015641,0.313103,251.273956,2012.362150,492.714286,2332.142857,0.000428
0.984297,0.000027,0.000029,0.015647,0.313195,251.200956,2263.563106,559.857143,2892.000000,0.000424
0.984292,0.000027,0.000029,0.015652,0.313286,251.129322,2514.692428,597.428571,3489.428571,0.000419
0.984287,0.000027,0.000029,0.015657,0.313375,251.059003,2765.751431,595.857143,4085.285714,0.000414
0.984282,0.000027,0.000029,0.015662,0.313464,250.989976,3016.741407,608.857143,4694.142857,0.000409
0.984277,0.000027,0.000029,0.015667,0.313551,250.922170,3267.663577,548.000000,5242.142857,0.000403
0.984272,0.000027,0.000029,0.015672,0.313638,250.855582,3518.519159,515.428571,5757.571429,0.000397
0.984267,0.000027,0.000029,0.015676,0.313723,250.790159,3769.309318,452.857143,6210.428571,0.000391
0.984262,0.000027,0.000029,0.015681,0.313806,250.725878,4020.035196,385.857143,6596.285714,0.000384
0.984258,0.000027,0.000029,0.015686,0.313888,250.662721,4270.697917,346.714286,6943.000000,0.000378
0.984253,0.000027,0.000029,0.015691,0.313969,250.600652,4521.298568,300.428571,7243.428571,0.000371
0.984248,0.000027,0.000029,0.015696,0.314048,250.539640,4771.838209,242.142857,7485.571429,0.000364
0.984243,0.000027,0.000029,0.015701,0.314125,250.479669,5022.317878,188.428571,7674.000000,0.000356
0.984238,0.000027,0.000029,0.015706,0.314201,250.420718,5272.738595,146.857143,7820.857143,0.000349
0.984233,0.000027,0.000029,0.015711,0.314276,250.362768,5523.101364,122.000000,7942.857143,0.000341
0.984228,0.000027,0.000029,0.015716,0.314348,250.305803,5773.407167,115.285714,8058.142857,0.000334
0.984223,0.000027,0.000029,0.015721,0.314420,250.249792,6023.656958,94.000000,8152.142857,0.000327
0.984218,0.000027,0.000029,0.015726,0.314489,250.194730,6273.851689,99.428571,8251.571429,0.000319
0.984213,0.000027,0.000029,0.015731,0.314557,250.140591,6523.992279,96.142857,8347.714286,0.000312
0.984208,0.000027,0.000029,0.015736,0.314624,250.087361,6774.079641,101.857143,8449.571429,0.000304
0.984203,0.000027,0.000029,0.015741,0.314688,250.035023,7024.114664,105.000000,8554.571429,0.000297
0.984198,0.000027,0.000029,0.015746,0.314751,249.983560,7274.098224,103.571429,8658.142857,0.000289
0.984193,0.000027,0.000029,0.015751,0.314813,249.932957,7524.031182,102.428571,8760.571429,0.000282
0.984188,0.000027,0.000029,0.015756,0.314873,249.883202,7773.914384,103.428571,8864.000000,0.000275
0.984183,0.000027,0.000029,0.015761,0.314932,249.834276,8023.748659,96.571429,8960.571429,0.000267
0.984178,0.000027,0.000029,0.015766,0.314988,249.786170,8273.534830,97.142857,9057.714286,0.000260
0.984173,0.000027,0.000029,0.015771,0.315044,249.738870,8523.273700,97.000000,9154.714286,0.000253
0.984168,0.000027,0.000029,0.015776,0.315098,249.692363,8772.966063,98.000000,9252.714286,0.000246
0.984163,0.000027,0.000029,0.015781,0.315150,249.646637,9022.612700,100.000000,9352.714286,0.000239
0.984158,0.000027,0.000029,0.015786,0.315201,249.601681,9272.214381,107.000000,9459.714286,0.000233
0.984153,0.000027,0.000029,0.015791,0.315251,249.557479,9521.771860,107.142857,9566.857143,0.000226
0.984148,0.000027,0.000029,0.015796,0.315299,249.514022,9771.285882,105.000000,9671.857143,0.000220
0.984144,0.000027,0.000029,0.015801,0.315346,249.471298,10020.757180,104.285714,9776.142857,0.000213
0.984139,0.000027,0.000029,0.015806,0.315391,249.429294,10270.186474,96.857143,9873.000000,0.000207
0.984134,0.000027,0.000029,0.015811,0.315435,249.388001,10519.574475,93.428571,9966.428571,0.000201
0.984129,0.000027,0.000029,0.015816,0.315478,249.347409,10768.921884,89.000000,10055.428571,0.000195
0.984124,0.000027,0.000029,0.015821,0.315519,249.307503,11018.229387,77.857143,10133.285714,0.000189
0.984119,0.000027,0.000029,0.015826,0.315559,249.268278,11267.497664,71.000000,10204.285714,0.000183
0.984114,0.000027,0.000029,0.015831,0.315598,249.229721,11516.727385,63.857143,10268.142857,0.000178
0.984109,0.000026,0.000029,0.015836,0.315636,249.191822,11765.919207,55.428571,10323.571429,0.000172
0.984104,0.000026,0.000029,0.015841,0.315673,249.154572,12015.073779,46.285714,10369.857143,0.000167
0.984099,0.000026,0.000029,0.015846,0.315708,249.117962,12264.191741,39.285714,10409.142857,0.000162
0.984094,0.000026,0.000029,0.015851,0.315743,249.081983,12513.273724,36.142857,10445.285714,0.000157
0.984089,0.000026,0.000029,0.015856,0.315776,249.046625,12762.320348,33.285714,10478.571429,0.000152
0.984084,0.000026,0.000029,0.015861,0.315808,249.011879,13011.332227,29.571429,10508.142857,0.000147
0.984079,0.000026,0.000029,0.015866,0.315840,248.977736,13260.309962,27.142857,10535.285714,0.000142
0.984074,0.000026,0.000029,0.015871,0.315870,248.944187,13509.254150,26.428571,10561.714286,0.000138
0.984069,0.000026,0.000029,0.015876,0.315899,248.911224,13758.165374,24.714286,10586.428571,0.000133
0.984064,0.000026,0.000029,0.015881,0.315927,248.878838,14007.044212,21.285714,10607.714286,0.000129
0.984059,0.000026,0.000029,0.015886,0.315955,248.847020,14255.891232,19.571429,10627.285714,0.000124
0.984054,0.000026,0.000029,0.015891,0.315981,248.815762,14504.706994,17.000000,10644.285714,0.000120
0.984049,0.000026,0.000029,0.015896,0.316007,248.785057,14753.492050,14.714286,10659.000000,0.000116
0.984044,0.000026,0.000029,0.015901,0.316031,248.754895,15002.246945,12.714286,10671.714286,0.000112
0.984039,0.000026,0.000029,0.015906,0.316055,248.725269,15250.972214,10.428571,10682.142857,0.000109
0.984034,0.000026,0.000029,0.015911,0.316078,248.696172,15499.668387,9.285714,10691.428571,0.000105
0.984029,0.000026,0.000029,0.015916,0.316101,248.667597,15748.335983,9.571429,10701.000000,0.000102
0.984024,0.000026,0.000029,0.015921,0.316122,248.639534,15996.975518,9.142857,10710.142857,0.000098
0.984019,0.000026,0.000029,0.015926,0.316143,248.611978,16245.587496,9.857143,10720.000000,0.000095
0.984014,0.000026,0.000029,0.015931,0.316163,248.584921,16494.172418,9.571429,10729.571429,0.000091
0.984009,0.000026,0.000029,0.015936,0.316183,248.558356,16742.730774,9.000000,10738.571429,0.000088
0.984004,0.000026,0.000029,0.015941,0.316201,248.532276,16991.263050,9.428571,10748.000000,0.000085
0.983999,0.000026,0.000029,0.015946,0.316220,248.506674,17239.769724,8.857143,10756.857143,0.000082
0.983994,0.000026,0.000029,0.015951,0.316237,248.481544,17488.251268,9.285714,10766.142857,0.000080
0.983989,0.000026,0.000029,0.015956,0.316254,248.456878,17736.708146,9.000000,10775.142857,0.000077
0.983984,0.000026,0.000029,0.015961,0.316270,248.432671,17985.140816,7.428571,10782.571429,0.000074
0.983979,0.000026,0.000029,0.015966,0.316286,248.408915,18233.549732,6.428571,10789.000000,0.000072
0.983974,0.000026,0.000029,0.015971,0.316301,248.385606,18481.935338,6.428571,10795.428571,0.000069
0.983969,0.000026,0.000029,0.015975,0.316316,248.362737,18730.298075,6.857143,10802.285714,0.000067
0.983964,0.000026,0.000029,0.015980,0.316330,248.340303,18978.638378,8.571429,10810.857143,0.000064
0.983959,0.000026,0.000029,0.015985,0.316344,248.318297,19226.956675,11.571429,10822.428571,0.000062
0.983954,0.000026,0.000029,0.015990,0.316357,248.296715,19475.253390,15.428571,10837.857143,0.000060
0.983949,0.000026,0.000029,0.015995,0.316370,248.275550,19723.528941,18.857143,10856.714286,0.000058
0.983944,0.000026,0.000029,0.016000,0.316382,248.254798,19971.783739,22.285714,10879.000000,0.000056
0.983939,0.000026,0.000029,0.016005,0.316394,248.234453,20220.018192,25.857143,10904.857143,0.000054
0.983934,0.000026,0.000029,0.016010,0.316406,248.214509,20468.232700,28.000000,10932.857143,0.000052
0.983929,0.000026,0.000029,0.016015,0.316417,248.194961,20716.427661,28.142857,10961.000000,0.000050
