S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.984356,0.000021,0.000031,0.015592,0.174592,98.308284,98.308284,5.000000,17.285714,0.014659
0.984352,0.000020,0.000030,0.015597,0.176705,93.618912,191.927197,6.285714,23.571429,0.016281
0.984348,0.000020,0.000029,0.015603,0.179329,89.946500,281.873696,6.714286,30.285714,0.019300
0.984344,0.000020,0.000028,0.015608,0.182386,87.031380,368.905076,7.285714,37.571429,0.021695
0.984340,0.000020,0.000027,0.015613,0.185800,84.689757,453.594833,8.000000,45.571429,0.023527
0.984336,0.000020,0.000026,0.015618,0.189504,82.789607,536.384440,5.571429,51.142857,0.024865
0.984332,0.000020,0.000026,0.015622,0.193438,81.235142,617.619582,7.000000,58.142857,0.025782
0.984329,0.000020,0.000026,0.015626,0.197549,79.955663,697.575246,8.857143,67.000000,0.026351
0.984325,0.000020,0.000025,0.015630,0.201793,78.898666,776.473911,14.857143,81.857143,0.026636
0.984321,0.000020,0.000025,0.015634,0.206130,78.024569,854.498480,25.000000,106.857143,0.026698
0.984317,0.000020,0.000025,0.015639,0.210530,77.303203,931.801683,32.428571,139.285714,0.026589
0.984313,0.000020,0.000024,0.015643,0.214969,76.711449,1008.513132,31.714286,171.000000,0.026350
0.984309,0.000020,0.000024,0.015647,0.219424,76.231511,1084.744643,34.285714,205.285714,0.026016
0.984305,0.000020,0.000024,0.015651,0.223880,75.849333,1160.593976,38.000000,243.285714,0.025620
0.984301,0.000020,0.000024,0.015655,0.228327,75.553856,1236.147832,41.285714,284.571429,0.025189
0.984297,0.000020,0.000024,0.015660,0.232757,75.336328,1311.484160,40.714286,325.285714,0.024746
0.984292,0.000020,0.000024,0.015664,0.237165,75.189826,1386.673986,33.142857,358.428571,0.024303
0.984288,0.000020,0.000024,0.015668,0.241551,75.108896,1461.782882,35.285714,393.714286,0.023876
0.984284,0.000020,0.000024,0.015672,0.245914,75.089085,1536.871967,45.714286,439.428571,0.023481
0.984280,0.000020,0.000024,0.015676,0.250259,75.126880,1611.998848,51.142857,490.571429,0.023128
0.984276,0.000020,0.000024,0.015680,0.254593,75.219640,1687.218487,51.571429,542.142857,0.022821
0.984272,0.000021,0.000024,0.015683,0.258921,75.365372,1762.583859,48.714286,590.857143,0.022565
0.984268,0.000021,0.000024,0.015687,0.263252,75.562614,1838.146473,52.428571,643.285714,0.022366
0.984264,0.000021,0.000024,0.015691,0.267597,75.810337,1913.956810,57.000000,700.285714,0.022230
0.984259,0.000021,0.000024,0.015695,0.271966,76.108001,1990.064812,52.285714,752.571429,0.022156
0.984255,0.000021,0.000024,0.015699,0.276371,76.455466,2066.520277,53.571429,806.142857,0.022145
0.984251,0.000022,0.000025,0.015703,0.280823,76.852873,2143.373150,60.142857,866.285714,0.022198
0.984246,0.000022,0.000025,0.015707,0.285337,77.300673,2220.673823,80.857143,947.142857,0.022321
0.984242,0.000022,0.000025,0.015711,0.289927,77.799719,2298.473542,81.142857,1028.285714,0.022510
0.984237,0.000022,0.000025,0.015715,0.294605,78.351182,2376.824724,96.857143,1125.142857,0.022762
0.984233,0.000023,0.000025,0.015720,0.299387,78.956526,2455.781250,98.142857,1223.285714,0.023080
0.984228,0.000023,0.000025,0.015724,0.304287,79.617545,2535.398794,104.285714,1327.571429,0.023459
0.984223,0.000023,0.000026,0.015728,0.309320,80.336287,2615.735082,112.714286,1440.285714,0.023900
0.984218,0.000024,0.000026,0.015733,0.314500,81.115208,2696.850289,108.714286,1549.000000,0.024400
0.984213,0.000024,0.000026,0.015737,0.319841,81.957078,2778.807367,102.857143,1651.857143,0.024955
0.984208,0.000024,0.000026,0.015742,0.325357,82.864957,2861.672325,100.000000,1751.857143,0.025565
0.984202,0.000025,0.000027,0.015746,0.331064,83.842386,2945.514710,77.857143,1829.714286,0.026218
0.984197,0.000025,0.000027,0.015751,0.336970,84.892790,3030.407500,124.285714,1954.000000,0.026924
0.984191,0.000026,0.000027,0.015756,0.343094,86.020464,3116.427964,139.142857,2093.142857,0.027683
0.984186,0.000026,0.000028,0.015760,0.349448,87.230178,3203.658142,146.142857,2239.285714,0.028477
0.984180,0.000027,0.000028,0.015765,0.356042,88.527012,3292.185153,161.428571,2400.714286,0.029308
0.984174,0.000027,0.000029,0.015770,0.362887,89.916749,3382.101902,154.714286,2555.428571,0.030166
0.984168,0.000028,0.000029,0.015775,0.369990,91.405247,3473.507149,191.142857,2746.571429,0.031052
0.984162,0.000028,0.000030,0.015780,0.377364,92.999338,3566.506488,218.000000,2964.571429,0.031970
0.984156,0.000029,0.000030,0.015785,0.385014,94.706812,3661.213300,195.571429,3160.142857,0.032896
0.984150,0.000030,0.000031,0.015790,0.392941,96.535597,3757.748897,182.285714,3342.428571,0.033822
0.984143,0.000031,0.000031,0.015795,0.401149,98.494452,3856.243348,171.000000,3513.428571,0.034751
0.984137,0.000031,0.000032,0.015800,0.409638,100.592858,3956.836207,168.285714,3681.714286,0.035675
0.984130,0.000032,0.000033,0.015805,0.418404,102.841178,4059.677385,174.285714,3856.000000,0.036590
0.984122,0.000033,0.000034,0.015811,0.427446,105.250903,4164.928288,168.000000,4024.000000,0.037486
0.984115,0.000034,0.000034,0.015817,0.436753,107.834452,4272.762740,146.714286,4170.714286,0.038346
0.984107,0.000035,0.000035,0.015822,0.446312,110.604773,4383.367513,162.428571,4333.142857,0.039170
0.984099,0.000036,0.000036,0.015829,0.456112,113.576819,4496.944333,168.428571,4501.571429,0.039954
