S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.885531,0.000025,0.000030,0.114413,0.297497,13.911641,13.911641,31.428571,123.571429,-0.003828
0.885527,0.000025,0.000030,0.114418,0.296697,13.759218,27.670859,33.285714,156.857143,-0.003699
0.885523,0.000025,0.000029,0.114423,0.295953,13.615587,41.286446,31.714286,188.571429,-0.003475
0.885518,0.000024,0.000029,0.114429,0.295248,13.480810,54.767257,37.857143,226.428571,-0.003277
0.885513,0.000024,0.000029,0.114434,0.294589,13.353917,68.121173,40.714286,267.142857,-0.003064
0.885509,0.000024,0.000028,0.114439,0.293975,13.234551,81.355724,43.285714,310.428571,-0.002870
0.885504,0.000024,0.000028,0.114444,0.293398,13.122486,94.478210,49.285714,359.714286,-0.002665
0.885500,0.000024,0.000028,0.114449,0.292870,13.016885,107.495095,49.142857,408.857143,-0.002443
0.885495,0.000023,0.000028,0.114454,0.292386,12.917662,120.412757,50.571429,459.428571,-0.002236
0.885491,0.000023,0.000028,0.114459,0.291944,12.824458,133.237215,52.571429,512.000000,-0.002006
0.885486,0.000023,0.000027,0.114463,0.291557,12.736604,145.973819,47.857143,559.857143,-0.001764
0.885482,0.000023,0.000027,0.114468,0.291216,12.654157,158.627975,46.285714,606.142857,-0.001535
0.885478,0.000023,0.000027,0.114472,0.290923,12.576673,171.204648,43.000000,649.142857,-0.001305
0.885474,0.000023,0.000027,0.114477,0.290677,12.503964,183.708612,40.142857,689.285714,-0.001093
0.885469,0.000023,0.000027,0.114481,0.290472,12.435885,196.144497,39.571429,728.857143,-0.000889
0.885465,0.000023,0.000027,0.114486,0.290311,12.372095,208.516592,37.714286,766.571429,-0.000685
0.885461,0.000022,0.000026,0.114490,0.290190,12.312422,220.829014,36.000000,802.571429,-0.000473
0.885457,0.000022,0.000026,0.114495,0.290116,12.256536,233.085550,31.142857,833.714286,-0.000264
0.885452,0.000022,0.000026,0.114499,0.290082,12.204441,245.289991,29.000000,862.714286,-0.000066
0.885448,0.000022,0.000026,0.114504,0.290089,12.155858,257.445848,25.714286,888.428571,0.000126
0.885444,0.000022,0.000026,0.114508,0.290134,12.110716,269.556564,24.000000,912.428571,0.000295
0.885439,0.000022,0.000026,0.114513,0.290210,12.068956,281.625521,25.428571,937.857143,0.000420
