S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.861475,0.000009,0.000011,0.138506,0.265903,66.363640,66.363640,0.571429,6.571429,-0.037900
0.861473,0.000008,0.000011,0.138509,0.258505,64.757139,131.120779,0.571429,7.142857,-0.035608
0.861471,0.000008,0.000010,0.138511,0.252253,63.337135,194.457914,0.571429,7.714286,-0.030477
0.861470,0.000008,0.000010,0.138512,0.247008,62.083766,256.541680,0.714286,8.428571,-0.025805
0.861469,0.000008,0.000010,0.138514,0.242653,60.979829,317.521509,3.714286,12.142857,-0.021557
0.861467,0.000007,0.000010,0.138516,0.239085,60.009976,377.531485,3.857143,16.000000,-0.017698
0.861466,0.000007,0.000010,0.138517,0.236214,59.161085,436.692570,5.000000,21.000000,-0.014198
0.861464,0.000007,0.000009,0.138519,0.233962,58.421425,495.113995,6.285714,27.285714,-0.011028
0.861462,0.000007,0.000009,0.138521,0.232261,57.780660,552.894654,7.428571,34.714286,-0.008165
0.861461,0.000007,0.000009,0.138523,0.231050,57.229668,610.124322,9.142857,43.857143,-0.005582
0.861459,0.000007,0.000009,0.138525,0.230277,56.760317,666.884640,10.714286,54.571429,-0.003260
0.861457,0.000007,0.000009,0.138526,0.229895,56.365359,723.249999,10.285714,64.857143,-0.001176
0.861456,0.000007,0.000009,0.138528,0.229861,56.038490,779.288489,11.714286,76.571429,0.000689
0.861455,0.000007,0.000009,0.138529,0.230138,55.773980,835.062469,14.428571,91.000000,0.002352
0.861453,0.000007,0.000009,0.138531,0.230694,55.566702,890.629171,16.714286,107.714286,0.003832
0.861452,0.000007,0.000009,0.138532,0.231499,55.412233,946.041404,23.285714,131.000000,0.005144
0.861450,0.000007,0.000009,0.138534,0.232525,55.306403,1001.347807,28.714286,159.714286,0.006304
0.861449,0.000007,0.000009,0.138535,0.233749,55.245743,1056.593549,38.857143,198.571429,0.007325
0.861448,0.000007,0.000009,0.138536,0.235149,55.226909,1111.820459,47.571429,246.142857,0.008221
0.861446,0.000007,0.000009,0.138538,0.236706,55.247106,1167.067565,57.285714,303.428571,0.009004
0.861445,0.000007,0.000009,0.138539,0.238403,55.303674,1222.371239,61.571429,365.000000,0.009686
0.861443,0.000007,0.000009,0.138540,0.240223,55.394495,1277.765734,66.857143,431.857143,0.010277
0.861442,0.000007,0.000009,0.138542,0.242154,55.517411,1333.283145,64.428571,496.285714,0.010786
0.861440,0.000007,0.000009,0.138543,0.244182,55.670865,1388.954010,65.714286,562.000000,0.011223
0.861438,0.000007,0.000009,0.138545,0.246297,55.853253,1444.807263,69.428571,631.428571,0.011595
0.861437,0.000008,0.000009,0.138547,0.248487,56.063165,1500.870427,74.714286,706.142857,0.011909
0.861435,0.000008,0.000009,0.138548,0.250744,56.299437,1557.169864,85.285714,791.428571,0.012170
0.861433,0.000008,0.000009,0.138550,0.253060,56.560674,1613.730538,81.000000,872.428571,0.012387
0.861432,0.000008,0.000009,0.138551,0.255427,56.846238,1670.576775,78.000000,950.428571,0.012565
0.861430,0.000008,0.000009,0.138553,0.257839,57.155462,1727.732238,85.571429,1036.000000,0.012708
0.861428,0.000008,0.000009,0.138555,0.260290,57.487456,1785.219694,91.714286,1127.714286,0.012818
0.861426,0.000008,0.000009,0.138556,0.262775,57.841496,1843.061190,86.285714,1214.000000,0.012902
0.861425,0.000008,0.000009,0.138558,0.265289,58.217335,1901.278526,83.571429,1297.571429,0.012964
0.861423,0.000008,0.000010,0.138559,0.267829,58.614501,1959.893027,78.285714,1375.857143,0.013005
0.861421,0.000008,0.000010,0.138561,0.270390,59.032952,2018.925979,88.857143,1464.714286,0.013028
0.861419,0.000008,0.000010,0.138563,0.272969,59.472226,2078.398205,100.571429,1565.285714,0.013035
0.861417,0.000009,0.000010,0.138564,0.275564,59.932086,2138.330290,107.000000,1672.285714,0.013030
0.861416,0.000009,0.000010,0.138566,0.278172,60.412751,2198.743041,129.428571,1801.714286,0.013013
0.861414,0.000009,0.000010,0.138567,0.280790,60.914072,2259.657113,159.428571,1961.142857,0.012985
0.861412,0.000009,0.000010,0.138569,0.283416,61.435645,2321.092757,162.857143,2124.000000,0.012949
0.861410,0.000009,0.000010,0.138571,0.286049,61.978034,2383.070792,170.571429,2294.571429,0.012908
0.861409,0.000009,0.000010,0.138572,0.288688,62.541419,2445.612211,183.285714,2477.857143,0.012860
0.861407,0.000009,0.000010,0.138574,0.291331,63.125871,2508.738082,188.714286,2666.571429,0.012807
0.861405,0.000009,0.000010,0.138575,0.293976,63.731898,2572.469981,203.142857,2869.714286,0.012750
0.861403,0.000009,0.000010,0.138577,0.296623,64.359298,2636.829278,183.571429,3053.285714,0.012690
0.861401,0.000010,0.000011,0.138579,0.299272,65.009016,2701.838294,170.571429,3223.857143,0.012628
0.861399,0.000010,0.000011,0.138580,0.301920,65.681609,2767.519902,173.142857,3397.000000,0.012564
0.861397,0.000010,0.000011,0.138582,0.304568,66.377344,2833.897246,172.857143,3569.857143,0.012496
0.861395,0.000010,0.000011,0.138584,0.307213,67.096588,2900.993834,153.428571,3723.285714,0.012427
0.861393,0.000010,0.000011,0.138585,0.309857,67.840390,2968.834224,149.000000,3872.285714,0.012356
0.861391,0.000010,0.000011,0.138587,0.312498,68.609056,3037.443280,130.428571,4002.714286,0.012284
0.861389,0.000010,0.000011,0.138589,0.315136,69.403618,3106.846898,122.142857,4124.857143,0.012211
0.861387,0.000011,0.000011,0.138591,0.317769,70.224756,3177.071654,115.857143,4240.714286,0.012136
0.861385,0.000011,0.000012,0.138593,0.320398,71.073400,3248.145055,118.857143,4359.571429,0.012060
0.861382,0.000011,0.000012,0.138595,0.323021,71.950319,3320.095373,119.714286,4479.285714,0.011982
0.861380,0.000011,0.000012,0.138597,0.325638,72.856659,3392.952033,133.285714,4612.571429,0.011902
0.861378,0.000011,0.000012,0.138599,0.328248,73.793202,3466.745234,138.142857,4750.714286,0.011820
0.861375,0.000011,0.000012,0.138601,0.330851,74.761232,3541.506466,149.857143,4900.571429,0.011737
0.861373,0.000012,0.000012,0.138603,0.333445,75.761831,3617.268297,160.714286,5061.285714,0.011652
0.861370,0.000012,0.000012,0.138606,0.336030,76.796150,3694.064447,163.142857,5224.428571,0.011566
0.861368,0.000012,0.000013,0.138608,0.338606,77.865636,3771.930083,168.714286,5393.142857,0.011477
0.861365,0.000012,0.000013,0.138610,0.341171,78.971542,3850.901625,165.714286,5558.857143,0.011386
0.861362,0.000012,0.000013,0.138612,0.343724,80.115720,3931.017345,186.714286,5745.571429,0.011292
0.861360,0.000013,0.000013,0.138614,0.346265,81.299029,4012.316374,171.285714,5916.857143,0.011195
0.861357,0.000013,0.000013,0.138617,0.348792,82.523519,4094.839893,157.714286,6074.571429,0.011096
