S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.994014,0.000001,0.000001,0.005984,0.395754,9.360952,9.360952,1.428571,5.571429,0.006223
0.994014,0.000001,0.000001,0.005984,0.397242,9.265100,18.626052,1.714286,7.285714,0.006291
0.994013,0.000001,0.000001,0.005985,0.398766,9.181241,27.807293,1.714286,9.000000,0.006395
0.994013,0.000001,0.000001,0.005985,0.400308,9.107665,36.914958,1.857143,10.857143,0.006427
0.994013,0.000001,0.000001,0.005985,0.401852,9.042974,45.957932,2.142857,13.000000,0.006401
0.994013,0.000001,0.000001,0.005985,0.403385,8.986013,54.943946,1.857143,14.857143,0.006328
0.994013,0.000001,0.000001,0.005985,0.404898,8.935820,63.879765,1.857143,16.714286,0.006220
0.994013,0.000001,0.000001,0.005986,0.406383,8.891583,72.771348,1.571429,18.285714,0.006087
0.994012,0.000001,0.000001,0.005986,0.407835,8.852617,81.623965,1.142857,19.428571,0.005935
0.994012,0.000001,0.000001,0.005986,0.409249,8.818334,90.442299,1.000000,20.428571,0.005772
0.994012,0.000001,0.000001,0.005986,0.410626,8.788228,99.230527,0.857143,21.285714,0.005604
0.994012,0.000001,0.000001,0.005986,0.411962,8.761863,107.992389,1.000000,22.285714,0.005435
0.994012,0.000001,0.000001,0.005986,0.413259,8.738856,116.731245,1.000000,23.285714,0.005268
0.994012,0.000001,0.000001,0.005987,0.414517,8.718875,125.450121,2.428571,25.714286,0.005108
0.994011,0.000001,0.000001,0.005987,0.415738,8.701627,134.151747,2.857143,28.571429,0.004955
0.994011,0.000001,0.000001,0.005987,0.416924,8.686854,142.838601,5.714286,34.285714,0.004812
0.994011,0.000001,0.000001,0.005987,0.418077,8.674329,151.512930,7.428571,41.714286,0.004680
0.994011,0.000001,0.000001,0.005987,0.419201,8.663850,160.176780,9.000000,50.714286,0.004559
0.994011,0.000001,0.000001,0.005987,0.420298,8.655240,168.832020,8.285714,59.000000,0.004450
0.994011,0.000001,0.000001,0.005988,0.421370,8.648343,177.480363,9.428571,68.428571,0.004354
0.994010,0.000001,0.000001,0.005988,0.422421,8.643019,186.123382,9.857143,78.285714,0.004268
0.994010,0.000001,0.000001,0.005988,0.423453,8.639144,194.762526,10.000000,88.285714,0.004195
0.994010,0.000001,0.000001,0.005988,0.424469,8.636610,203.399135,8.142857,96.428571,0.004133
0.994010,0.000001,0.000001,0.005988,0.425472,8.635321,212.034456,6.714286,103.142857,0.004081
0.994010,0.000001,0.000001,0.005988,0.426464,8.635193,220.669649,6.000000,109.142857,0.004040
0.994010,0.000001,0.000001,0.005989,0.427448,8.636152,229.305802,7.714286,116.857143,0.004008
0.994009,0.000001,0.000001,0.005989,0.428426,8.638134,237.943936,7.142857,124.000000,0.003986
0.994009,0.000001,0.000001,0.005989,0.429400,8.641082,246.585018,5.571429,129.571429,0.003972
0.994009,0.000001,0.000001,0.005989,0.430372,8.644948,255.229966,5.000000,134.571429,0.003967
0.994009,0.000001,0.000001,0.005989,0.431345,8.649690,263.879656,3.857143,138.428571,0.003969
0.994009,0.000001,0.000001,0.005989,0.432319,8.655274,272.534929,4.142857,142.571429,0.003979
0.994009,0.000001,0.000001,0.005990,0.433298,8.661670,281.196599,3.285714,145.857143,0.003996
0.994008,0.000001,0.000001,0.005990,0.434282,8.668854,289.865453,1.714286,147.571429,0.004020
0.994008,0.000001,0.000001,0.005990,0.435273,8.676807,298.542260,1.000000,148.571429,0.004051
0.994008,0.000001,0.000001,0.005990,0.436273,8.685515,307.227774,0.714286,149.285714,0.004088
0.994008,0.000001,0.000001,0.005990,0.437284,8.694967,315.922742,2.142857,151.428571,0.004131
0.994008,0.000001,0.000001,0.005990,0.438306,8.705158,324.627899,2.142857,153.571429,0.004180
0.994008,0.000001,0.000001,0.005991,0.439342,8.716083,333.343983,1.571429,155.142857,0.004235
0.994007,0.000001,0.000001,0.005991,0.440392,8.727745,342.071728,1.714286,156.857143,0.004296
0.994007,0.000001,0.000001,0.005991,0.441459,8.740147,350.811875,3.571429,160.428571,0.004363
0.994007,0.000001,0.000001,0.005991,0.442544,8.753297,359.565172,3.714286,164.142857,0.004436
0.994007,0.000001,0.000001,0.005991,0.443648,8.767204,368.332375,3.857143,168.000000,0.004515
0.994007,0.000001,0.000001,0.005992,0.444773,8.781881,377.114256,2.714286,170.714286,0.004599
0.994006,0.000001,0.000001,0.005992,0.445920,8.797344,385.911600,2.714286,173.428571,0.004690
0.994006,0.000001,0.000001,0.005992,0.447090,8.813613,394.725213,2.714286,176.142857,0.004787
0.994006,0.000001,0.000001,0.005992,0.448286,8.830708,403.555922,2.714286,178.857143,0.004890
0.994006,0.000001,0.000001,0.005992,0.449509,8.848653,412.404575,0.714286,179.571429,0.005000
0.994006,0.000001,0.000001,0.005992,0.450761,8.867476,421.272051,0.714286,180.285714,0.005116
0.994006,0.000001,0.000001,0.005993,0.452042,8.887206,430.159257,0.857143,181.142857,0.005239
0.994005,0.000001,0.000001,0.005993,0.453356,8.907874,439.067131,1.142857,182.285714,0.005368
0.994005,0.000001,0.000001,0.005993,0.454703,8.929517,447.996647,1.857143,184.142857,0.005505
0.994005,0.000001,0.000001,0.005993,0.456086,8.952171,456.948818,2.714286,186.857143,0.005649
0.994005,0.000001,0.000001,0.005993,0.457506,8.975878,465.924697,2.571429,189.428571,0.005800
0.994005,0.000001,0.000001,0.005993,0.458965,9.000682,474.925379,2.571429,192.000000,0.005959
0.994005,0.000001,0.000001,0.005994,0.460465,9.026630,483.952009,2.714286,194.714286,0.006126
0.994004,0.000001,0.000001,0.005994,0.462009,9.053771,493.005780,2.428571,197.142857,0.006301
0.994004,0.000001,0.000001,0.005994,0.463598,9.082161,502.087941,2.142857,199.285714,0.006485
0.994004,0.000001,0.000001,0.005994,0.465234,9.111855,511.199795,1.857143,201.142857,0.006677
0.994004,0.000001,0.000001,0.005994,0.466920,9.142915,520.342710,1.000000,202.142857,0.006878
0.994004,0.000001,0.000001,0.005994,0.468658,9.175406,529.518116,1.000000,203.142857,0.007088
0.994003,0.000001,0.000001,0.005995,0.470450,9.209398,538.727514,1.142857,204.285714,0.007308
0.994003,0.000001,0.000001,0.005995,0.472299,9.244963,547.972477,3.285714,207.571429,0.007537
0.994003,0.000001,0.000001,0.005995,0.474207,9.282181,557.254659,3.285714,210.857143,0.007776
0.994003,0.000001,0.000001,0.005995,0.476177,9.321135,566.575793,3.571429,214.428571,0.008026
0.994003,0.000001,0.000001,0.005995,0.478211,9.361912,575.937706,3.714286,218.142857,0.008287
0.994003,0.000001,0.000001,0.005995,0.480312,9.404608,585.342314,3.857143,222.000000,0.008558
0.994002,0.000001,0.000001,0.005996,0.482483,9.449322,594.791636,4.000000,226.000000,0.008841
0.994002,0.000001,0.000001,0.005996,0.484727,9.496162,604.287797,4.142857,230.142857,0.009136
0.994002,0.000001,0.000001,0.005996,0.487047,9.545239,613.833036,2.285714,232.428571,0.009443
0.994002,0.000001,0.000001,0.005996,0.489446,9.596676,623.429712,2.571429,235.000000,0.009763
0.994002,0.000001,0.000001,0.005996,0.491927,9.650601,633.080313,2.142857,237.142857,0.010096
0.994001,0.000001,0.000001,0.005997,0.494492,9.707151,642.787464,2.000000,239.142857,0.010442
0.994001,0.000001,0.000001,0.005997,0.497147,9.766472,652.553936,2.142857,241.285714,0.010802
0.994001,0.000001,0.000001,0.005997,0.499893,9.828719,662.382655,3.714286,245.000000,0.011176
0.994001,0.000001,0.000001,0.005997,0.502735,9.894060,672.276715,3.571429,248.571429,0.011565
0.994001,0.000001,0.000001,0.005997,0.505676,9.962670,682.239385,3.000000,251.571429,0.011969
0.994000,0.000001,0.000001,0.005998,0.508719,10.034738,692.274123,2.714286,254.285714,0.012389
0.994000,0.000001,0.000001,0.005998,0.511868,10.110468,702.384591,2.714286,257.000000,0.012825
0.994000,0.000001,0.000001,0.005998,0.515127,10.190074,712.574665,2.285714,259.285714,0.013277
0.994000,0.000001,0.000001,0.005998,0.518500,10.273787,722.848453,2.000000,261.285714,0.013746
0.993999,0.000001,0.000001,0.005998,0.521991,10.361854,733.210306,0.428571,261.714286,0.014232
