S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.987932,0.000009,0.000011,0.012049,0.201353,197.189806,197.189806,0.142857,1.000000,0.019181
0.987930,0.000009,0.000011,0.012051,0.204437,196.325705,393.515510,0.428571,1.428571,0.019183
0.987928,0.000009,0.000011,0.012052,0.207593,195.716970,589.232481,0.428571,1.857143,0.019396
0.987926,0.000009,0.000011,0.012054,0.210818,195.345472,784.577952,0.714286,2.571429,0.019597
0.987924,0.000009,0.000011,0.012056,0.214114,195.196666,979.774618,1.000000,3.571429,0.019790
0.987922,0.000009,0.000011,0.012058,0.217478,195.259157,1175.033775,1.285714,4.857143,0.019977
0.987920,0.000009,0.000011,0.012060,0.220913,195.524336,1370.558111,2.000000,6.857143,0.020164
0.987919,0.000009,0.000011,0.012061,0.224419,195.986088,1566.544199,3.285714,10.142857,0.020352
0.987917,0.000010,0.000011,0.012063,0.227998,196.640562,1763.184762,4.285714,14.428571,0.020544
0.987915,0.000010,0.000011,0.012065,0.231651,197.485993,1960.670754,5.857143,20.285714,0.020744
0.987913,0.000010,0.000011,0.012067,0.235382,198.522549,2159.193303,6.428571,26.714286,0.020953
0.987911,0.000010,0.000011,0.012069,0.239193,199.752244,2358.945547,7.142857,33.857143,0.021173
0.987909,0.000010,0.000011,0.012071,0.243088,201.178842,2560.124389,8.000000,41.857143,0.021407
0.987906,0.000010,0.000011,0.012072,0.247071,202.807819,2762.932208,8.000000,49.857143,0.021656
0.987904,0.000010,0.000011,0.012074,0.251145,204.646331,2967.578540,9.142857,59.000000,0.021919
0.987902,0.000010,0.000011,0.012076,0.255316,206.703210,3174.281750,13.285714,72.285714,0.022198
0.987900,0.000011,0.000011,0.012078,0.259586,208.988964,3383.270713,17.571429,89.857143,0.022492
0.987898,0.000011,0.000011,0.012080,0.263962,211.515815,3594.786528,26.142857,116.000000,0.022801
0.987895,0.000011,0.000012,0.012082,0.268446,214.297728,3809.084256,32.571429,148.571429,0.023122
0.987893,0.000011,0.000012,0.012084,0.273043,217.350456,4026.434712,36.714286,185.285714,0.023453
0.987891,0.000011,0.000012,0.012086,0.277757,220.691598,4247.126310,47.000000,232.285714,0.023792
0.987888,0.000012,0.000012,0.012088,0.282589,224.340676,4471.466986,59.428571,291.714286,0.024135
0.987886,0.000012,0.000012,0.012090,0.287542,228.319188,4699.786173,70.428571,362.142857,0.024476
0.987883,0.000012,0.000013,0.012092,0.292617,232.650662,4932.436835,86.142857,448.285714,0.024811
0.987880,0.000012,0.000013,0.012094,0.297813,237.360764,5169.797599,95.571429,543.857143,0.025133
0.987878,0.000013,0.000013,0.012097,0.303129,242.477291,5412.274889,100.285714,644.142857,0.025435
0.987875,0.000013,0.000013,0.012099,0.308559,248.030249,5660.305139,105.000000,749.142857,0.025708
0.987872,0.000013,0.000014,0.012101,0.314099,254.051916,5914.357055,118.000000,867.142857,0.025945
0.987869,0.000014,0.000014,0.012103,0.319738,260.576917,6174.933973,134.571429,1001.714286,0.026136
0.987865,0.000014,0.000014,0.012106,0.325468,267.642183,6442.576155,144.428571,1146.142857,0.026272
0.987862,0.000015,0.000015,0.012108,0.331274,275.286838,6717.862993,154.857143,1301.000000,0.026342
0.987859,0.000015,0.000015,0.012111,0.337139,283.552290,7001.415283,173.428571,1474.428571,0.026337
0.987855,0.000016,0.000016,0.012113,0.343045,292.482254,7293.897537,188.571429,1663.000000,0.026248
0.987851,0.000016,0.000016,0.012116,0.348970,302.122441,7596.019978,202.285714,1865.285714,0.026064
0.987847,0.000017,0.000017,0.012119,0.354888,312.520527,7908.540504,227.571429,2092.857143,0.025779
0.987843,0.000018,0.000017,0.012122,0.360774,323.726324,8232.266829,240.571429,2333.428571,0.025386
0.987839,0.000018,0.000018,0.012125,0.366597,335.790913,8568.057742,268.714286,2602.142857,0.024879
0.987834,0.000019,0.000019,0.012128,0.372328,348.767444,8916.825185,286.285714,2888.428571,0.024255
0.987829,0.000020,0.000020,0.012131,0.377934,362.709948,9279.535134,304.857143,3193.285714,0.023512
0.987824,0.000021,0.000020,0.012134,0.383383,377.673858,9657.208992,313.285714,3506.571429,0.022652
0.987819,0.000022,0.000021,0.012138,0.388644,393.715214,10050.924206,326.571429,3833.142857,0.021676
0.987814,0.000023,0.000022,0.012141,0.393684,410.890934,10461.815140,367.428571,4200.571429,0.020590
0.987808,0.000024,0.000023,0.012145,0.398473,429.259399,10891.074539,396.571429,4597.142857,0.019402
0.987802,0.000025,0.000024,0.012149,0.402985,448.878344,11339.952882,425.000000,5022.142857,0.018119
0.987795,0.000027,0.000025,0.012153,0.407192,469.806033,11809.758915,444.428571,5466.571429,0.016752
0.987788,0.000028,0.000027,0.012157,0.411072,492.100337,12301.859253,470.142857,5936.714286,0.015311
0.987781,0.000029,0.000028,0.012162,0.414605,515.819482,12817.678734,500.714286,6437.428571,0.013811
0.987773,0.000031,0.000029,0.012166,0.417776,541.021457,13358.700191,532.142857,6969.571429,0.012263
0.987766,0.000033,0.000031,0.012171,0.420571,567.763547,13926.463738,578.142857,7547.714286,0.010679
0.987757,0.000034,0.000032,0.012176,0.422981,596.103081,14522.566819,638.285714,8186.000000,0.009074
0.987748,0.000036,0.000034,0.012182,0.425000,626.097022,15148.663841,696.000000,8882.000000,0.007460
0.987739,0.000038,0.000036,0.012188,0.426627,657.800509,15806.464350,769.285714,9651.285714,0.005847
0.987729,0.000040,0.000037,0.012194,0.427861,691.268678,16497.733028,851.142857,10502.428571,0.004247
0.987719,0.000042,0.000039,0.012200,0.428706,726.555858,17224.288886,901.285714,11403.714286,0.002670
0.987708,0.000044,0.000041,0.012206,0.429169,763.712092,17988.000979,946.285714,12350.000000,0.001125
0.987697,0.000047,0.000043,0.012213,0.429257,802.786247,18790.787225,1027.428571,13377.428571,-0.000381
0.987685,0.000049,0.000046,0.012221,0.428982,843.828700,19634.615925,1103.857143,14481.285714,-0.001841
0.987672,0.000052,0.000048,0.012229,0.428355,886.885142,20521.501068,1166.428571,15647.714286,-0.003250
0.987659,0.000054,0.000050,0.012237,0.427390,931.997258,21453.498325,1239.285714,16887.000000,-0.004603
