S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.992715,0.000001,0.000001,0.007283,0.231087,5.539110,5.539110,0.428571,1.428571,-0.008193
0.992715,0.000001,0.000001,0.007283,0.229631,5.412913,10.952023,0.571429,2.000000,-0.007868
0.992714,0.000001,0.000001,0.007284,0.228303,5.302529,16.254552,0.857143,2.857143,-0.007195
0.992714,0.000001,0.000001,0.007284,0.227096,5.206133,21.460685,1.000000,3.857143,-0.006556
0.992714,0.000001,0.000001,0.007284,0.226002,5.122196,26.582881,1.000000,4.857143,-0.005950
0.992714,0.000001,0.000001,0.007284,0.225014,5.049427,31.632309,1.000000,5.857143,-0.005375
0.992714,0.000001,0.000001,0.007284,0.224127,4.986736,36.619044,1.000000,6.857143,-0.004828
0.992713,0.000001,0.000001,0.007285,0.223335,4.933193,41.552238,0.571429,7.428571,-0.004309
0.992713,0.000001,0.000001,0.007285,0.222632,4.888011,46.440249,0.714286,8.142857,-0.003816
0.992713,0.000001,0.000001,0.007285,0.222014,4.850514,51.290762,0.428571,8.571429,-0.003348
0.992713,0.000001,0.000001,0.007285,0.221476,4.820124,56.110886,0.285714,8.857143,-0.002903
0.992713,0.000001,0.000001,0.007285,0.221013,4.796348,60.907234,0.285714,9.142857,-0.002481
0.992713,0.000001,0.000001,0.007285,0.220622,4.778760,65.685994,0.285714,9.428571,-0.002080
0.992713,0.000001,0.000001,0.007286,0.220297,4.766995,70.452988,0.285714,9.714286,-0.001701
0.992712,0.000001,0.000001,0.007286,0.220037,4.760741,75.213729,0.285714,10.000000,-0.001342
0.992712,0.000001,0.000001,0.007286,0.219837,4.759729,79.973458,1.000000,11.000000,-0.001003
0.992712,0.000001,0.000001,0.007286,0.219693,4.763730,84.737188,1.000000,12.000000,-0.000684
0.992712,0.000001,0.000001,0.007286,0.219602,4.772549,89.509738,1.428571,13.428571,-0.000383
0.992712,0.000001,0.000001,0.007286,0.219562,4.786022,94.295759,1.428571,14.857143,-0.000100
0.992712,0.000001,0.000001,0.007286,0.219568,4.804009,99.099768,1.571429,16.428571,0.000165
0.992712,0.000001,0.000001,0.007287,0.219618,4.826396,103.926164,1.571429,18.000000,0.000412
0.992711,0.000001,0.000001,0.007287,0.219709,4.853091,108.779255,2.571429,20.571429,0.000643
0.992711,0.000001,0.000001,0.007287,0.219838,4.884018,113.663273,1.857143,22.428571,0.000857
0.992711,0.000001,0.000001,0.007287,0.220003,4.919125,118.582398,2.000000,24.428571,0.001054
0.992711,0.000001,0.000001,0.007287,0.220200,4.958369,123.540766,1.571429,26.000000,0.001237
0.992711,0.000001,0.000001,0.007287,0.220428,5.001726,128.542493,2.142857,28.142857,0.001404
0.992710,0.000001,0.000001,0.007288,0.220683,5.049186,133.591679,2.000000,30.142857,0.001556
0.992710,0.000001,0.000001,0.007288,0.220963,5.100751,138.692430,2.571429,32.714286,0.001695
0.992710,0.000001,0.000001,0.007288,0.221266,5.156436,143.848866,1.571429,34.285714,0.001819
0.992710,0.000001,0.000001,0.007288,0.221590,5.216267,149.065133,1.571429,35.857143,0.001930
0.992710,0.000001,0.000001,0.007288,0.221932,5.280281,154.345414,2.142857,38.000000,0.002029
0.992709,0.000001,0.000001,0.007289,0.222291,5.348525,159.693939,4.857143,42.857143,0.002114
0.992709,0.000001,0.000001,0.007289,0.222663,5.421058,165.114997,5.000000,47.857143,0.002188
0.992709,0.000001,0.000001,0.007289,0.223048,5.497948,170.612945,5.857143,53.714286,0.002251
0.992709,0.000001,0.000001,0.007289,0.223443,5.579273,176.192218,5.285714,59.000000,0.002303
0.992709,0.000001,0.000001,0.007289,0.223847,5.665121,181.857339,5.285714,64.285714,0.002344
0.992708,0.000001,0.000001,0.007289,0.224258,5.755587,187.612926,5.000000,69.285714,0.002375
0.992708,0.000001,0.000001,0.007290,0.224674,5.850776,193.463702,4.714286,74.000000,0.002397
0.992708,0.000001,0.000001,0.007290,0.225093,5.950802,199.414504,2.142857,76.142857,0.002409
0.992708,0.000001,0.000001,0.007290,0.225514,6.055788,205.470293,1.428571,77.571429,0.002413
0.992707,0.000001,0.000001,0.007290,0.225936,6.165863,211.636155,0.714286,78.285714,0.002408
0.992707,0.000001,0.000001,0.007290,0.226356,6.281163,217.917319,0.714286,79.000000,0.002396
0.992707,0.000001,0.000001,0.007291,0.226775,6.401836,224.319155,0.714286,79.714286,0.002376
0.992707,0.000001,0.000001,0.007291,0.227190,6.528036,230.847191,0.714286,80.428571,0.002349
0.992707,0.000001,0.000001,0.007291,0.227600,6.659923,237.507114,0.285714,80.714286,0.002316
0.992706,0.000001,0.000001,0.007291,0.228004,6.797668,244.304781,0.285714,81.000000,0.002276
0.992706,0.000001,0.000001,0.007291,0.228401,6.941446,251.246227,1.000000,82.000000,0.002230
0.992706,0.000001,0.000001,0.007291,0.228790,7.091441,258.337669,1.428571,83.428571,0.002179
0.992706,0.000001,0.000001,0.007292,0.229170,7.247845,265.585513,3.142857,86.571429,0.002122
0.992705,0.000001,0.000001,0.007292,0.229540,7.410855,272.996368,3.285714,89.857143,0.002061
0.992705,0.000001,0.000001,0.007292,0.229899,7.580677,280.577045,3.714286,93.571429,0.001995
0.992705,0.000001,0.000001,0.007292,0.230246,7.757522,288.334567,4.857143,98.428571,0.001925
0.992704,0.000002,0.000002,0.007293,0.230581,7.941608,296.276175,5.285714,103.714286,0.001851
0.992704,0.000002,0.000002,0.007293,0.230903,8.133159,304.409335,6.000000,109.714286,0.001773
0.992704,0.000002,0.000002,0.007293,0.231211,8.332406,312.741741,6.571429,116.285714,0.001692
0.992703,0.000002,0.000002,0.007293,0.231504,8.539585,321.281326,6.000000,122.285714,0.001608
0.992703,0.000002,0.000002,0.007294,0.231783,8.754936,330.036262,6.000000,128.285714,0.001522
0.992703,0.000002,0.000002,0.007294,0.232046,8.978704,339.014966,7.000000,135.285714,0.001433
0.992702,0.000002,0.000002,0.007294,0.232293,9.211141,348.226106,6.714286,142.000000,0.001341
0.992702,0.000002,0.000002,0.007294,0.232524,9.452500,357.678606,6.428571,148.428571,0.001248
0.992702,0.000002,0.000002,0.007295,0.232739,9.703041,367.381647,5.571429,154.000000,0.001153
0.992701,0.000002,0.000002,0.007295,0.232936,9.963020,377.344667,8.142857,162.142857,0.001057
