S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.926970,0.000014,0.000016,0.073000,0.161245,6.583493,6.583493,0.285714,16.285714,0.001163
0.926968,0.000014,0.000015,0.073003,0.161402,6.530721,13.114214,0.428571,16.714286,0.002653
0.926965,0.000014,0.000015,0.073005,0.161963,6.491022,19.605236,0.571429,17.285714,0.005543
0.926963,0.000014,0.000015,0.073008,0.162907,6.463375,26.068611,0.714286,18.000000,0.008265
0.926960,0.000014,0.000015,0.073011,0.164217,6.447002,32.515613,0.714286,18.714286,0.010833
0.926958,0.000014,0.000015,0.073013,0.165881,6.441329,38.956942,0.714286,19.428571,0.013262
0.926955,0.000014,0.000015,0.073016,0.167887,6.445950,45.402892,0.857143,20.285714,0.015565
0.926953,0.000014,0.000015,0.073018,0.170230,6.460609,51.863502,0.714286,21.000000,0.017753
0.926950,0.000014,0.000015,0.073021,0.172902,6.485184,58.348686,0.571429,21.571429,0.019834
0.926947,0.000014,0.000015,0.073023,0.175902,6.519671,64.868357,0.428571,22.000000,0.021816
0.926945,0.000014,0.000015,0.073026,0.179227,6.564177,71.432535,0.428571,22.428571,0.023701
0.926942,0.000014,0.000016,0.073028,0.182876,6.618915,78.051450,0.571429,23.000000,0.025493
0.926939,0.000014,0.000016,0.073031,0.186846,6.684198,84.735648,0.571429,23.571429,0.027189
0.926936,0.000015,0.000016,0.073033,0.191137,6.760436,91.496084,0.428571,24.000000,0.028787
0.926933,0.000015,0.000016,0.073036,0.195747,6.848139,98.344223,0.285714,24.285714,0.030282
0.926930,0.000015,0.000016,0.073039,0.200672,6.947913,105.292137,0.285714,24.571429,0.031668
0.926927,0.000015,0.000017,0.073041,0.205906,7.060464,112.352600,0.857143,25.428571,0.032938
0.926923,0.000016,0.000017,0.073044,0.211443,7.186590,119.539191,0.714286,26.142857,0.034084
0.926920,0.000016,0.000017,0.073047,0.217272,7.327195,126.866386,0.857143,27.000000,0.035098
0.926916,0.000017,0.000018,0.073050,0.223381,7.483279,134.349665,0.857143,27.857143,0.035972
0.926912,0.000017,0.000018,0.073052,0.229754,7.655944,142.005609,0.857143,28.714286,0.036700
0.926909,0.000018,0.000019,0.073055,0.236371,7.846397,149.852005,0.857143,29.571429,0.037276
0.926905,0.000018,0.000019,0.073058,0.243210,8.055946,157.907951,0.857143,30.428571,0.037696
0.926901,0.000019,0.000020,0.073061,0.250247,8.286000,166.193951,0.428571,30.857143,0.037957
0.926896,0.000020,0.000020,0.073064,0.257454,8.538076,174.732027,0.428571,31.285714,0.038060
0.926892,0.000020,0.000021,0.073067,0.264799,8.813790,183.545817,0.142857,31.428571,0.038005
0.926887,0.000021,0.000022,0.073071,0.272251,9.114870,192.660688,0.428571,31.857143,0.037797
0.926882,0.000022,0.000022,0.073074,0.279777,9.443142,202.103830,0.714286,32.571429,0.037439
0.926876,0.000023,0.000023,0.073077,0.287340,9.800528,211.904358,1.142857,33.714286,0.036941
0.926871,0.000024,0.000024,0.073081,0.294906,10.189048,222.093406,2.000000,35.714286,0.036308
0.926865,0.000025,0.000025,0.073085,0.302439,10.610779,232.704185,1.857143,37.571429,0.035551
0.926858,0.000026,0.000026,0.073089,0.309906,11.067920,243.772105,3.285714,40.857143,0.034684
0.926852,0.000028,0.000027,0.073093,0.317274,11.562732,255.334837,4.428571,45.285714,0.033716
0.926845,0.000029,0.000029,0.073098,0.324513,12.097505,267.432341,5.428571,50.714286,0.032659
0.926837,0.000031,0.000030,0.073102,0.331592,12.674545,280.106886,5.714286,56.428571,0.031530
0.926829,0.000032,0.000031,0.073107,0.338489,13.296344,293.403230,9.000000,65.428571,0.030342
0.926821,0.000034,0.000033,0.073112,0.345180,13.965314,307.368544,10.857143,76.285714,0.029106
0.926812,0.000036,0.000035,0.073117,0.351647,14.683854,322.052399,13.000000,89.285714,0.027838
0.926803,0.000038,0.000036,0.073123,0.357874,15.454781,337.507180,21.000000,110.285714,0.026547
0.926793,0.000040,0.000038,0.073129,0.363848,16.280124,353.787304,19.857143,130.142857,0.025239
0.926782,0.000043,0.000040,0.073135,0.369558,17.162585,370.949889,26.428571,156.571429,0.023928
0.926771,0.000045,0.000043,0.073141,0.374998,18.104738,389.054626,31.000000,187.571429,0.022620
0.926759,0.000048,0.000045,0.073148,0.380161,19.108997,408.163624,35.428571,223.000000,0.021317
0.926746,0.000051,0.000048,0.073156,0.385044,20.177499,428.341122,36.285714,259.285714,0.020021
0.926732,0.000054,0.000050,0.073164,0.389642,21.312819,449.653942,39.428571,298.714286,0.018739
0.926718,0.000057,0.000053,0.073172,0.393957,22.517380,472.171322,40.428571,339.142857,0.017472
0.926702,0.000060,0.000056,0.073181,0.397986,23.794619,495.965941,48.142857,387.285714,0.016221
0.926686,0.000064,0.000059,0.073191,0.401729,25.146742,521.112684,48.000000,435.285714,0.014976
0.926669,0.000068,0.000063,0.073201,0.405185,26.575992,547.688676,46.000000,481.285714,0.013737
0.926650,0.000072,0.000066,0.073211,0.408351,28.085545,575.774221,45.428571,526.714286,0.012504
0.926631,0.000076,0.000070,0.073223,0.411227,29.679441,605.453662,48.285714,575.000000,0.011274
0.926611,0.000081,0.000074,0.073235,0.413810,31.362099,636.815760,53.285714,628.285714,0.010040
0.926589,0.000086,0.000078,0.073247,0.416097,33.136947,669.952708,53.714286,682.000000,0.008794
0.926566,0.000091,0.000083,0.073261,0.418083,35.006309,704.959017,46.428571,728.428571,0.007528
0.926542,0.000096,0.000087,0.073275,0.419761,36.977059,741.936076,52.428571,780.857143,0.006240
0.926516,0.000102,0.000092,0.073290,0.421123,39.055919,780.991995,59.571429,840.428571,0.004926
0.926489,0.000108,0.000097,0.073305,0.422162,41.246666,822.238661,58.571429,899.000000,0.003572
0.926461,0.000114,0.000103,0.073322,0.422866,43.558003,865.796664,70.000000,969.000000,0.002170
