S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.863335,0.000082,0.000055,0.136528,0.704765,158.083300,158.083300,3.428571,8.142857,-0.041438
0.863320,0.000083,0.000056,0.136542,0.696142,160.006377,318.089677,5.714286,13.857143,-0.043048
0.863303,0.000084,0.000057,0.136557,0.686553,163.297985,481.387662,11.428571,25.285714,-0.046930
0.863286,0.000085,0.000058,0.136571,0.675944,167.998106,649.385768,18.428571,43.714286,-0.050826
0.863267,0.000087,0.000060,0.136585,0.664287,174.171986,823.557754,22.571429,66.285714,-0.054647
0.863248,0.000090,0.000063,0.136599,0.651571,181.906239,1005.463993,30.571429,96.857143,-0.058321
0.863228,0.000094,0.000066,0.136612,0.637806,191.303839,1196.767831,48.571429,145.428571,-0.061794
0.863206,0.000098,0.000070,0.136625,0.623021,202.479231,1399.247063,64.714286,210.142857,-0.065018
0.863183,0.000103,0.000075,0.136639,0.607265,215.553354,1614.800417,80.428571,290.571429,-0.067954
0.863158,0.000109,0.000080,0.136654,0.590608,230.646346,1845.446763,90.857143,381.428571,-0.070580
0.863131,0.000115,0.000086,0.136668,0.573134,247.869967,2093.316730,115.000000,496.428571,-0.072884
0.863101,0.000122,0.000093,0.136684,0.554945,267.318360,2360.635090,135.142857,631.571429,-0.074852
0.863070,0.000130,0.000100,0.136700,0.536160,289.060409,2649.695499,165.000000,796.571429,-0.076474
0.863036,0.000138,0.000109,0.136718,0.516908,313.129635,2962.825134,187.571429,984.142857,-0.077741
0.863000,0.000147,0.000118,0.136736,0.497334,339.516931,3302.342065,219.571429,1203.714286,-0.078655
0.862962,0.000156,0.000128,0.136755,0.477582,368.161442,3670.503507,258.000000,1461.714286,-0.079229
0.862922,0.000165,0.000138,0.136775,0.457799,398.945578,4069.449085,318.000000,1779.714286,-0.079475
0.862879,0.000175,0.000150,0.136796,0.438127,431.690837,4501.139922,377.714286,2157.428571,-0.079402
0.862835,0.000185,0.000162,0.136819,0.418706,466.161075,4967.300997,439.428571,2596.857143,-0.079015
0.862788,0.000195,0.000174,0.136843,0.399664,502.064692,5469.365689,479.857143,3076.714286,-0.078336
0.862739,0.000205,0.000187,0.136870,0.381115,539.062391,6008.428079,545.714286,3622.428571,-0.077411
0.862688,0.000215,0.000200,0.136898,0.363147,576.764251,6585.192331,616.571429,4239.000000,-0.076284
0.862635,0.000224,0.000213,0.136928,0.345831,614.750115,7199.942446,703.857143,4942.857143,-0.074982
0.862580,0.000233,0.000226,0.136960,0.329220,652.575353,7852.517798,794.428571,5737.285714,-0.073533
0.862524,0.000241,0.000239,0.136995,0.313354,689.791758,8542.309557,867.142857,6604.428571,-0.071950
0.862467,0.000249,0.000252,0.137032,0.298258,725.963131,9268.272688,936.714286,7541.142857,-0.070262
0.862408,0.000256,0.000264,0.137072,0.283942,760.668116,10028.940804,982.428571,8523.571429,-0.068486
0.862349,0.000262,0.000275,0.137114,0.270409,793.526487,10822.467291,994.571429,9518.142857,-0.066644
0.862289,0.000267,0.000286,0.137158,0.257646,824.197793,11646.665084,1018.142857,10536.285714,-0.064776
0.862228,0.000271,0.000296,0.137205,0.245630,852.364062,12499.029146,1029.000000,11565.285714,-0.062898
0.862168,0.000275,0.000304,0.137253,0.234337,877.773041,13376.802187,1008.000000,12573.285714,-0.061011
0.862108,0.000277,0.000312,0.137303,0.223737,900.233141,14277.035328,987.428571,13560.714286,-0.059143
0.862048,0.000279,0.000319,0.137354,0.213793,919.577099,15196.612427,988.428571,14549.142857,-0.057324
0.861990,0.000280,0.000325,0.137406,0.204466,935.670221,16132.282649,998.714286,15547.857143,-0.055553
0.861932,0.000280,0.000329,0.137460,0.195720,948.439786,17080.722434,991.285714,16539.142857,-0.053816
0.861875,0.000279,0.000332,0.137514,0.187523,957.877693,18038.600128,984.285714,17523.428571,-0.052121
0.861820,0.000277,0.000334,0.137569,0.179838,963.994839,19002.594967,1002.142857,18525.571429,-0.050486
0.861767,0.000274,0.000335,0.137624,0.172630,966.813708,19969.408675,1046.000000,19571.571429,-0.048913
0.861714,0.000271,0.000335,0.137679,0.165866,966.395509,20935.804184,1088.714286,20660.285714,-0.047376
0.861664,0.000267,0.000334,0.137735,0.159521,962.870471,21898.674654,1099.000000,21759.285714,-0.045849
0.861614,0.000262,0.000332,0.137791,0.153572,956.421427,22855.096081,1101.000000,22860.285714,-0.044337
0.861567,0.000257,0.000329,0.137847,0.147994,947.222813,23802.318894,1112.428571,23972.714286,-0.042843
0.861520,0.000252,0.000324,0.137903,0.142767,935.470675,24737.789569,1079.714286,25052.428571,-0.041351
0.861475,0.000246,0.000320,0.137959,0.137873,921.408903,25659.198472,1059.857143,26112.285714,-0.039871
0.861432,0.000240,0.000314,0.138014,0.133289,905.231695,26564.430168,1046.571429,27158.857143,-0.038409
0.861391,0.000233,0.000308,0.138068,0.128998,887.149575,27451.579743,1030.142857,28189.000000,-0.036955
0.861351,0.000226,0.000301,0.138122,0.124985,867.386733,28318.966476,1009.000000,29198.000000,-0.035500
0.861313,0.000219,0.000294,0.138175,0.121234,846.170531,29165.137007,978.857143,30176.857143,-0.034042
0.861276,0.000212,0.000286,0.138226,0.117731,823.720684,29988.857691,958.000000,31134.857143,-0.032586
0.861241,0.000205,0.000278,0.138277,0.114464,800.227810,30789.085501,954.857143,32089.714286,-0.031129
0.861207,0.000198,0.000269,0.138326,0.111421,775.887779,31564.973279,927.000000,33016.714286,-0.029650
0.861175,0.000190,0.000260,0.138374,0.108593,750.935033,32315.908312,865.714286,33882.428571,-0.028141
0.861144,0.000183,0.000252,0.138421,0.105973,725.590945,33041.499257,788.714286,34671.142857,-0.026615
0.861115,0.000176,0.000243,0.138467,0.103550,700.026023,33741.525279,735.571429,35406.714286,-0.025085
0.861087,0.000169,0.000234,0.138511,0.101315,674.370129,34415.895409,686.571429,36093.285714,-0.023546
0.861060,0.000162,0.000225,0.138553,0.099262,648.773864,35064.669273,611.857143,36705.142857,-0.021994
0.861035,0.000155,0.000216,0.138594,0.097383,623.374691,35688.043963,566.142857,37271.285714,-0.020434
0.861011,0.000148,0.000208,0.138634,0.095670,598.265984,36286.309947,513.714286,37785.000000,-0.018866
0.860988,0.000142,0.000199,0.138671,0.094118,573.553977,36859.863924,467.000000,38252.000000,-0.017291
0.860967,0.000136,0.000191,0.138707,0.092721,549.317612,37409.181536,437.000000,38689.000000,-0.015708
