S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.983059,0.000007,0.000007,0.016927,0.224980,31.889097,31.889097,0.428571,5.000000,0.010224
0.983058,0.000007,0.000007,0.016928,0.226763,31.905061,63.794158,0.857143,5.857143,0.010210
0.983057,0.000007,0.000007,0.016930,0.228561,31.966627,95.760785,0.571429,6.428571,0.010222
0.983056,0.000007,0.000007,0.016931,0.230368,32.072007,127.832792,0.571429,7.000000,0.010199
0.983054,0.000007,0.000007,0.016932,0.232177,32.220002,160.052794,0.571429,7.571429,0.010139
0.983053,0.000007,0.000007,0.016933,0.233983,32.409916,192.462709,0.571429,8.142857,0.010042
0.983052,0.000007,0.000007,0.016935,0.235777,32.641494,225.104204,0.428571,8.571429,0.009905
0.983050,0.000007,0.000007,0.016936,0.237552,32.914871,258.019075,0.428571,9.000000,0.009727
0.983049,0.000007,0.000007,0.016937,0.239300,33.230524,291.249599,0.000000,9.000000,0.009508
0.983048,0.000007,0.000007,0.016939,0.241013,33.589246,324.838845,0.428571,9.428571,0.009247
0.983046,0.000007,0.000007,0.016940,0.242683,33.992113,358.830958,0.714286,10.142857,0.008944
0.983045,0.000007,0.000007,0.016941,0.244301,34.440463,393.271421,1.000000,11.142857,0.008600
0.983043,0.000007,0.000007,0.016942,0.245859,34.935873,428.207294,1.000000,12.142857,0.008216
0.983042,0.000007,0.000007,0.016943,0.247348,35.480140,463.687434,1.000000,13.142857,0.007792
0.983040,0.000007,0.000007,0.016945,0.248760,36.075268,499.762703,1.000000,14.142857,0.007331
0.983039,0.000008,0.000008,0.016946,0.250088,36.723446,536.486149,3.000000,17.142857,0.006834
0.983037,0.000008,0.000008,0.016947,0.251324,37.427040,573.913189,2.714286,19.857143,0.006305
0.983036,0.000008,0.000008,0.016949,0.252461,38.188544,612.101733,2.428571,22.285714,0.005746
0.983034,0.000008,0.000008,0.016950,0.253492,39.010586,651.112319,3.714286,26.000000,0.005159
0.983032,0.000008,0.000008,0.016951,0.254413,39.895907,691.008226,3.714286,29.714286,0.004550
0.983030,0.000008,0.000008,0.016953,0.255219,40.847302,731.855529,4.142857,33.857143,0.003922
0.983028,0.000009,0.000009,0.016954,0.255904,41.867624,773.723153,4.571429,38.428571,0.003280
0.983027,0.000009,0.000009,0.016956,0.256468,42.959733,816.682885,2.714286,41.142857,0.002627
0.983024,0.000009,0.000009,0.016957,0.256906,44.126441,860.809327,2.857143,44.000000,0.001969
0.983022,0.000009,0.000009,0.016959,0.257219,45.370537,906.179864,3.000000,47.000000,0.001310
0.983020,0.000010,0.000010,0.016961,0.257407,46.694694,952.874558,1.714286,48.714286,0.000655
0.983018,0.000010,0.000010,0.016962,0.257470,48.101421,1000.975979,2.142857,50.857143,0.000009
0.983016,0.000010,0.000010,0.016964,0.257411,49.593084,1050.569062,1.714286,52.571429,-0.000623
0.983013,0.000010,0.000011,0.016966,0.257232,51.171794,1101.740857,1.571429,54.142857,-0.001238
0.983011,0.000011,0.000011,0.016967,0.256938,52.839418,1154.580275,1.428571,55.571429,-0.001830
0.983008,0.000011,0.000011,0.016969,0.256533,54.597517,1209.177791,3.428571,59.000000,-0.002398
0.983006,0.000011,0.000012,0.016971,0.256023,56.447367,1265.625158,3.285714,62.285714,-0.002936
0.983003,0.000012,0.000012,0.016973,0.255414,58.389819,1324.014978,4.000000,66.285714,-0.003443
0.983000,0.000012,0.000012,0.016975,0.254714,60.425395,1384.440373,6.000000,72.285714,-0.003915
0.982997,0.000013,0.000013,0.016977,0.253928,62.554242,1446.994614,6.285714,78.571429,-0.004352
0.982995,0.000013,0.000013,0.016979,0.253064,64.776051,1511.770665,6.142857,84.714286,-0.004753
0.982991,0.000013,0.000014,0.016981,0.252131,67.090128,1578.860793,7.142857,91.857143,-0.005115
0.982988,0.000014,0.000014,0.016984,0.251135,69.495430,1648.356223,5.000000,96.857143,-0.005440
0.982985,0.000014,0.000015,0.016986,0.250085,71.990408,1720.346631,8.428571,105.285714,-0.005728
0.982981,0.000015,0.000015,0.016988,0.248987,74.573337,1794.919968,19.285714,124.571429,-0.005980
0.982978,0.000015,0.000016,0.016991,0.247848,77.242262,1872.162230,20.571429,145.142857,-0.006195
0.982974,0.000016,0.000016,0.016993,0.246677,79.994484,1952.156714,21.142857,166.285714,-0.006376
0.982970,0.000016,0.000017,0.016996,0.245479,82.827207,2034.983921,23.571429,189.857143,-0.006524
0.982967,0.000017,0.000018,0.016999,0.244260,85.737464,2120.721385,26.000000,215.857143,-0.006640
0.982963,0.000018,0.000018,0.017002,0.243027,88.722034,2209.443420,26.428571,242.285714,-0.006728
0.982958,0.000018,0.000019,0.017005,0.241785,91.777433,2301.220852,34.428571,276.714286,-0.006788
0.982954,0.000019,0.000020,0.017008,0.240538,94.900403,2396.121255,26.428571,303.142857,-0.006822
0.982950,0.000019,0.000020,0.017011,0.239292,98.086811,2494.208067,26.285714,329.428571,-0.006833
0.982945,0.000020,0.000021,0.017014,0.238051,101.333178,2595.541245,29.714286,359.142857,-0.006823
0.982940,0.000021,0.000022,0.017018,0.236817,104.635892,2700.177137,35.571429,394.714286,-0.006795
0.982936,0.000021,0.000022,0.017021,0.235595,107.991334,2808.168471,41.857143,436.571429,-0.006749
0.982931,0.000022,0.000023,0.017025,0.234386,111.395884,2919.564355,44.000000,480.571429,-0.006688
0.982926,0.000022,0.000024,0.017028,0.233194,114.845833,3034.410188,43.857143,524.428571,-0.006613
0.982920,0.000023,0.000024,0.017032,0.232021,118.337575,3152.747763,52.857143,577.285714,-0.006527
0.982915,0.000024,0.000025,0.017036,0.230869,121.868048,3274.615811,65.571429,642.857143,-0.006431
0.982909,0.000024,0.000026,0.017040,0.229738,125.434146,3400.049957,83.571429,726.428571,-0.006326
0.982904,0.000025,0.000027,0.017045,0.228630,129.033016,3529.082972,99.428571,825.857143,-0.006214
0.982898,0.000026,0.000027,0.017049,0.227546,132.661692,3661.744665,116.714286,942.571429,-0.006095
0.982892,0.000026,0.000028,0.017053,0.226487,136.317511,3798.062176,138.428571,1081.000000,-0.005971
0.982886,0.000027,0.000029,0.017058,0.225454,139.998124,3938.060299,161.285714,1242.285714,-0.005844
0.982880,0.000028,0.000030,0.017063,0.224446,143.701242,4081.761542,189.571429,1431.857143,-0.005712
0.982873,0.000028,0.000030,0.017068,0.223465,147.425030,4229.186571,202.000000,1633.857143,-0.005578
0.982867,0.000029,0.000031,0.017073,0.222510,151.166908,4380.353479,227.428571,1861.285714,-0.005441
0.982860,0.000030,0.000032,0.017078,0.221582,154.925710,4535.279189,242.857143,2104.142857,-0.005302
0.982854,0.000031,0.000033,0.017083,0.220681,158.699514,4693.978703,262.000000,2366.142857,-0.005162
0.982847,0.000031,0.000033,0.017089,0.219807,162.487204,4856.465907,268.000000,2634.142857,-0.005022
0.982840,0.000032,0.000034,0.017094,0.218959,166.287101,5022.753009,278.714286,2912.857143,-0.004880
0.982832,0.000033,0.000035,0.017100,0.218138,170.098481,5192.851490,283.714286,3196.571429,-0.004739
0.982825,0.000033,0.000036,0.017106,0.217342,173.920330,5366.771819,294.857143,3491.428571,-0.004599
0.982817,0.000034,0.000037,0.017112,0.216573,177.752418,5544.524237,282.857143,3774.285714,-0.004458
0.982810,0.000035,0.000037,0.017118,0.215829,181.593235,5726.117472,307.142857,4081.428571,-0.004320
0.982802,0.000035,0.000038,0.017124,0.215111,185.444207,5911.561679,300.000000,4381.428571,-0.004182
0.982794,0.000036,0.000039,0.017131,0.214417,189.303795,6100.865474,330.285714,4711.714286,-0.004047
0.982786,0.000037,0.000040,0.017137,0.213747,193.173758,6294.039232,349.857143,5061.571429,-0.003913
0.982778,0.000038,0.000041,0.017144,0.213102,197.053940,6491.093172,358.000000,5419.571429,-0.003781
0.982769,0.000038,0.000041,0.017151,0.212479,200.944122,6692.037294,401.857143,5821.428571,-0.003652
0.982761,0.000039,0.000042,0.017158,0.211880,204.846397,6896.883691,462.000000,6283.428571,-0.003524
0.982752,0.000040,0.000043,0.017165,0.211302,208.762435,7105.646126,458.857143,6742.285714,-0.003396
0.982744,0.000041,0.000044,0.017172,0.210748,212.690184,7318.336311,467.142857,7209.428571,-0.003267
0.982735,0.000041,0.000045,0.017179,0.210216,216.631121,7534.967432,466.571429,7676.000000,-0.003139
0.982726,0.000042,0.000045,0.017187,0.209705,220.585853,7755.553285,478.571429,8154.571429,-0.003014
0.982716,0.000043,0.000046,0.017195,0.209217,224.556104,7980.109390,501.142857,8655.714286,-0.002890
0.982707,0.000043,0.000047,0.017202,0.208749,228.543725,8208.653115,507.285714,9163.000000,-0.002765
0.982698,0.000044,0.000048,0.017210,0.208303,232.549474,8441.202589,473.428571,9636.428571,-0.002641
0.982688,0.000045,0.000049,0.017218,0.207878,236.572761,8677.775350,497.285714,10133.714286,-0.002520
0.982678,0.000046,0.000050,0.017227,0.207473,240.617941,8918.393291,529.142857,10662.857143,-0.002400
0.982668,0.000046,0.000050,0.017235,0.207089,244.687236,9163.080527,535.142857,11198.000000,-0.002279
0.982658,0.000047,0.000051,0.017243,0.206725,248.781266,9411.861793,526.714286,11724.714286,-0.002158
0.982648,0.000048,0.000052,0.017252,0.206381,252.901298,9664.763091,495.000000,12219.714286,-0.002035
0.982638,0.000049,0.000053,0.017261,0.206058,257.048123,9921.811214,474.000000,12693.714286,-0.001914
0.982627,0.000049,0.000054,0.017270,0.205755,261.224298,10183.035512,479.571429,13173.285714,-0.001795
0.982617,0.000050,0.000055,0.017279,0.205471,265.433362,10448.468874,500.571429,13673.857143,-0.001674
0.982606,0.000051,0.000055,0.017288,0.205208,269.678622,10718.147496,454.571429,14128.428571,-0.001552
0.982595,0.000052,0.000056,0.017297,0.204965,273.958922,10992.106418,430.285714,14558.714286,-0.001429
0.982583,0.000053,0.000057,0.017307,0.204742,278.277911,11270.384329,388.000000,14946.714286,-0.001306
0.982572,0.000053,0.000058,0.017316,0.204540,282.637140,11553.021469,372.000000,15318.714286,-0.001183
0.982561,0.000054,0.000059,0.017326,0.204357,287.040754,11840.062223,339.571429,15658.285714,-0.001059
0.982549,0.000055,0.000060,0.017336,0.204195,291.490678,12131.552901,287.428571,15945.714286,-0.000932
0.982537,0.000056,0.000061,0.017346,0.204054,295.988724,12427.541624,198.571429,16144.285714,-0.000804
0.982525,0.000057,0.000062,0.017357,0.203934,300.535616,12728.077240,175.428571,16319.714286,-0.000677
0.982513,0.000058,0.000063,0.017367,0.203835,305.138204,13033.215444,145.285714,16465.000000,-0.000550
0.982500,0.000058,0.000064,0.017378,0.203756,309.799309,13343.014753,140.142857,16605.142857,-0.000422
0.982487,0.000059,0.000065,0.017389,0.203698,314.523838,13657.538590,127.571429,16732.714286,-0.000292
0.982475,0.000060,0.000066,0.017399,0.203661,319.314925,13976.853515,107.714286,16840.428571,-0.000161
0.982462,0.000061,0.000067,0.017411,0.203645,324.175808,14301.029323,116.142857,16956.571429,-0.000028
0.982448,0.000062,0.000068,0.017422,0.203652,329.112137,14630.141460,113.714286,17070.285714,0.000107
0.982435,0.000063,0.000069,0.017433,0.203680,334.127300,14964.268760,111.857143,17182.142857,0.000244
0.982421,0.000064,0.000070,0.017445,0.203731,339.225559,15303.494319,122.428571,17304.571429,0.000383
0.982407,0.000065,0.000071,0.017457,0.203804,344.412154,15647.906472,128.428571,17433.000000,0.000526
0.982393,0.000066,0.000072,0.017469,0.203901,349.691409,15997.597881,133.285714,17566.285714,0.000672
0.982379,0.000067,0.000073,0.017481,0.204022,355.068054,16352.665935,131.000000,17697.285714,0.000821
0.982364,0.000068,0.000074,0.017493,0.204168,360.546596,16713.212531,128.142857,17825.428571,0.000973
