S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.983513,0.000129,0.000160,0.016198,0.212364,114.828014,114.828014,6.142857,22.857143,0.009084
0.983488,0.000128,0.000158,0.016225,0.213884,113.975049,228.803063,9.714286,32.571429,0.009222
0.983463,0.000128,0.000157,0.016251,0.215465,113.256991,342.060053,11.142857,43.714286,0.009543
0.983438,0.000128,0.000157,0.016278,0.217110,112.658469,454.718522,14.000000,57.714286,0.009863
0.983413,0.000127,0.000156,0.016304,0.218818,112.166174,566.884696,15.714286,73.428571,0.010183
0.983387,0.000127,0.000155,0.016330,0.220591,111.769042,678.653739,15.714286,89.142857,0.010504
0.983362,0.000127,0.000155,0.016356,0.222430,111.459583,790.113321,28.857143,118.000000,0.010832
0.983337,0.000127,0.000155,0.016381,0.224338,111.229246,901.342567,38.571429,156.571429,0.011161
0.983311,0.000127,0.000154,0.016407,0.226315,111.070840,1012.413407,39.428571,196.000000,0.011487
0.983285,0.000128,0.000154,0.016433,0.228361,110.980571,1123.393978,51.000000,247.000000,0.011816
0.983260,0.000128,0.000154,0.016458,0.230479,110.953905,1234.347883,64.142857,311.142857,0.012148
0.983234,0.000128,0.000154,0.016484,0.232670,110.987136,1345.335019,76.714286,387.857143,0.012480
0.983208,0.000129,0.000154,0.016509,0.234935,111.077698,1456.412717,92.714286,480.571429,0.012808
0.983182,0.000129,0.000155,0.016534,0.237274,111.221492,1567.634209,93.714286,574.285714,0.013126
0.983156,0.000130,0.000155,0.016560,0.239686,111.417019,1679.051228,96.571429,670.857143,0.013440
0.983129,0.000130,0.000155,0.016585,0.242173,111.663181,1790.714409,104.285714,775.142857,0.013752
0.983103,0.000131,0.000156,0.016611,0.244734,111.957965,1902.672374,105.428571,880.571429,0.014058
0.983076,0.000132,0.000156,0.016637,0.247370,112.300717,2014.973091,108.428571,989.000000,0.014360
0.983048,0.000132,0.000157,0.016663,0.250081,112.691084,2127.664175,114.428571,1103.428571,0.014661
0.983021,0.000133,0.000157,0.016689,0.252869,113.129355,2240.793530,126.714286,1230.142857,0.014958
0.982994,0.000134,0.000158,0.016715,0.255733,113.614169,2354.407699,128.571429,1358.714286,0.015249
0.982966,0.000135,0.000159,0.016741,0.258674,114.147035,2468.554734,142.714286,1501.428571,0.015536
0.982938,0.000136,0.000159,0.016767,0.261691,114.726979,2583.281713,146.428571,1647.857143,0.015817
0.982909,0.000137,0.000160,0.016793,0.264786,115.354749,2698.636463,152.571429,1800.428571,0.016094
0.982881,0.000138,0.000161,0.016820,0.267958,116.032725,2814.669188,173.000000,1973.428571,0.016372
0.982852,0.000140,0.000162,0.016846,0.271208,116.760504,2931.429692,182.428571,2155.857143,0.016641
0.982823,0.000141,0.000163,0.016873,0.274536,117.538363,3048.968055,185.857143,2341.714286,0.016903
0.982794,0.000142,0.000164,0.016900,0.277941,118.369490,3167.337545,204.714286,2546.428571,0.017161
0.982764,0.000144,0.000166,0.016927,0.281424,119.252593,3286.590138,201.714286,2748.142857,0.017405
0.982734,0.000145,0.000167,0.016954,0.284981,120.188703,3406.778841,196.000000,2944.142857,0.017638
0.982703,0.000147,0.000168,0.016982,0.288612,121.179343,3527.958183,189.285714,3133.428571,0.017863
0.982672,0.000149,0.000170,0.017010,0.292316,122.225257,3650.183440,174.714286,3308.142857,0.018084
0.982640,0.000150,0.000171,0.017038,0.296094,123.331386,3773.514826,180.571429,3488.714286,0.018306
0.982608,0.000152,0.000173,0.017067,0.299947,124.498981,3898.013807,176.571429,3665.285714,0.018516
0.982575,0.000154,0.000175,0.017096,0.303870,125.726807,4023.740614,148.428571,3813.714286,0.018715
