S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.987331,0.000043,0.000060,0.012566,0.163441,295.097588,295.097588,4.000000,12.285714,0.046894
0.987321,0.000043,0.000059,0.012577,0.169853,288.363510,583.461099,5.285714,17.571429,0.046526
0.987311,0.000044,0.000058,0.012588,0.176562,283.135149,866.596247,7.285714,24.857143,0.047092
0.987301,0.000044,0.000057,0.012598,0.183546,279.136403,1145.732651,11.000000,35.857143,0.047483
0.987291,0.000045,0.000056,0.012607,0.190793,276.164417,1421.897068,13.428571,49.285714,0.047794
0.987282,0.000045,0.000056,0.012617,0.198304,274.070856,1695.967924,17.142857,66.428571,0.048139
0.987272,0.000046,0.000056,0.012627,0.206099,272.747938,1968.715861,24.000000,90.428571,0.048628
0.987261,0.000047,0.000056,0.012636,0.214217,272.118521,2240.834383,31.714286,122.142857,0.049365
0.987251,0.000048,0.000056,0.012646,0.222718,272.129259,2512.963641,38.285714,160.428571,0.050430
0.987241,0.000049,0.000056,0.012655,0.231678,272.745761,2785.709403,39.857143,200.285714,0.051876
0.987230,0.000050,0.000056,0.012665,0.241187,273.949666,3059.659069,41.428571,241.714286,0.053722
0.987219,0.000051,0.000056,0.012674,0.251342,275.736630,3335.395698,43.285714,285.000000,0.055951
0.987207,0.000052,0.000057,0.012684,0.262243,278.115711,3613.511410,48.571429,333.571429,0.058518
0.987196,0.000053,0.000057,0.012694,0.273985,281.109408,3894.620818,54.857143,388.428571,0.061345
0.987184,0.000055,0.000058,0.012703,0.286648,284.754426,4179.375244,53.428571,441.857143,0.064339
0.987171,0.000056,0.000059,0.012713,0.300297,289.103760,4468.479004,50.285714,492.142857,0.067404
0.987158,0.000058,0.000060,0.012723,0.314974,294.229626,4762.708630,65.428571,557.571429,0.070437
0.987145,0.000060,0.000061,0.012734,0.330693,300.224617,5062.933247,80.285714,637.857143,0.073336
0.987131,0.000062,0.000063,0.012744,0.347437,307.204522,5370.137769,94.142857,732.000000,0.076012
0.987116,0.000065,0.000064,0.012755,0.365160,315.311205,5685.448974,120.714286,852.714286,0.078384
0.987100,0.000068,0.000066,0.012766,0.383779,324.710448,6010.159422,123.285714,976.000000,0.080392
0.987083,0.000071,0.000068,0.012778,0.403185,335.597146,6345.756569,147.571429,1123.571429,0.081997
0.987065,0.000075,0.000071,0.012789,0.423241,348.192088,6693.948656,184.571429,1308.142857,0.083177
0.987045,0.000079,0.000074,0.012802,0.443793,362.746733,7056.695390,284.714286,1592.857143,0.083872
0.987024,0.000084,0.000077,0.012814,0.464647,379.520193,7436.215582,327.857143,1920.714286,0.084025
0.987002,0.000089,0.000081,0.012828,0.485595,398.795464,7835.011046,402.571429,2323.285714,0.083614
0.986977,0.000095,0.000086,0.012841,0.506419,420.871963,8255.883009,516.000000,2839.285714,0.082578
0.986950,0.000103,0.000091,0.012856,0.526877,446.055307,8701.938316,654.285714,3493.571429,0.080802
0.986921,0.000110,0.000097,0.012872,0.546703,474.631733,9176.570049,739.714286,4233.285714,0.078188
0.986889,0.000119,0.000103,0.012888,0.565630,506.895926,9683.465975,846.571429,5079.857143,0.074644
0.986854,0.000129,0.000111,0.012905,0.583382,543.125534,10226.591509,928.142857,6008.000000,0.070059
0.986816,0.000141,0.000119,0.012924,0.599685,583.584156,10810.175665,971.000000,6979.000000,0.064373
0.986774,0.000153,0.000128,0.012945,0.614290,628.574017,11438.749683,1063.000000,8042.000000,0.057525
0.986728,0.000167,0.000138,0.012967,0.626945,678.356450,12117.106133,1064.857143,9106.857143,0.049499
0.986678,0.000182,0.000150,0.012991,0.637444,733.272754,12850.378887,1110.142857,10217.000000,0.040361
0.986623,0.000198,0.000162,0.013017,0.645601,793.709212,13644.088099,1184.857143,11401.857143,0.030183
0.986563,0.000217,0.000175,0.013045,0.651255,860.032208,14504.120307,1197.428571,12599.285714,0.019118
0.986498,0.000236,0.000190,0.013075,0.654285,932.656100,15436.776407,1200.142857,13799.428571,0.007397
0.986427,0.000258,0.000206,0.013109,0.654602,1012.054832,16448.831238,1250.142857,15049.571429,-0.004725
0.986351,0.000280,0.000224,0.013145,0.652148,1098.716299,17547.547537,1359.142857,16408.714286,-0.016978
0.986268,0.000305,0.000243,0.013184,0.646899,1193.096283,18740.643820,1521.714286,17930.428571,-0.029055
0.986179,0.000331,0.000264,0.013226,0.638875,1295.456927,20036.100748,1625.000000,19555.428571,-0.040639
0.986083,0.000358,0.000287,0.013272,0.628147,1405.983376,21442.084124,1730.428571,21285.857143,-0.051463
0.985980,0.000387,0.000311,0.013322,0.614834,1524.779713,22966.863837,1893.285714,23179.142857,-0.061290
0.985870,0.000416,0.000337,0.013376,0.599119,1651.671775,24618.535612,2034.571429,25213.714286,-0.069890
0.985754,0.000447,0.000364,0.013435,0.581262,1786.148766,26404.684378,2083.714286,27297.428571,-0.077188
0.985631,0.000477,0.000393,0.013499,0.561544,1927.814663,28332.499041,2279.142857,29576.571429,-0.083159
0.985501,0.000508,0.000424,0.013568,0.540313,2075.831394,30408.330435,2451.571429,32028.142857,-0.087813
0.985366,0.000538,0.000455,0.013641,0.517923,2229.387770,32637.718206,2754.285714,34782.428571,-0.091155
0.985225,0.000568,0.000487,0.013720,0.494794,2387.089030,35024.807235,2939.285714,37721.714286,-0.093148
0.985079,0.000597,0.000520,0.013805,0.471354,2547.326296,37572.133532,2992.428571,40714.142857,-0.093977
0.984928,0.000624,0.000553,0.013895,0.447959,2708.776200,40280.909732,3130.000000,43844.142857,-0.093818
0.984774,0.000650,0.000586,0.013991,0.424953,2869.836088,43150.745819,3199.142857,47043.285714,-0.092785
0.984616,0.000675,0.000618,0.014092,0.402612,3029.057134,46179.802954,3280.571429,50323.857143,-0.091054
0.984455,0.000697,0.000650,0.014198,0.381153,3185.055857,49364.858811,3365.142857,53689.000000,-0.088696
0.984291,0.000718,0.000681,0.014310,0.360769,3336.283123,52701.141934,3283.428571,56972.428571,-0.085878
0.984126,0.000737,0.000710,0.014427,0.341544,3481.809840,56182.951775,3318.000000,60290.428571,-0.082814
0.983959,0.000754,0.000739,0.014548,0.323521,3620.785030,59803.736805,3412.285714,63702.714286,-0.079486
0.983791,0.000769,0.000766,0.014675,0.306752,3752.105369,63555.842173,3283.714286,66986.428571,-0.075942
0.983622,0.000782,0.000791,0.014806,0.291222,3875.176221,67431.018394,3143.000000,70129.428571,-0.072364
0.983452,0.000793,0.000814,0.014941,0.276879,3989.716367,71420.734761,3087.285714,73216.714286,-0.068852
0.983283,0.000802,0.000836,0.015079,0.263652,4095.599700,75516.334461,3138.285714,76355.000000,-0.065435
0.983113,0.000810,0.000855,0.015222,0.251471,4192.747365,79709.081826,3249.285714,79604.285714,-0.062082
0.982944,0.000816,0.000873,0.015367,0.240280,4281.025031,83990.106856,3266.857143,82871.142857,-0.058820
0.982775,0.000821,0.000890,0.015515,0.229997,4360.615803,88350.722660,3413.285714,86284.428571,-0.055711
0.982606,0.000824,0.000904,0.015665,0.220547,4431.723192,92782.445852,3650.142857,89934.571429,-0.052711
0.982439,0.000826,0.000917,0.015818,0.211874,4494.443163,97276.889015,3771.714286,93706.285714,-0.049812
0.982272,0.000827,0.000928,0.015973,0.203911,4549.083415,101825.972431,3990.000000,97696.285714,-0.047028
0.982106,0.000827,0.000938,0.016129,0.196606,4595.872997,106421.845428,4112.428571,101808.714286,-0.044337
0.981941,0.000826,0.000946,0.016287,0.189905,4635.137356,111056.982784,4235.142857,106043.857143,-0.041774
0.981778,0.000824,0.000952,0.016446,0.183753,4667.277689,115724.260473,4491.571429,110535.428571,-0.039339
0.981616,0.000821,0.000957,0.016606,0.178104,4692.635428,120416.895901,4748.285714,115283.714286,-0.036992
