S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.979690,0.000010,0.000013,0.020287,0.115330,216.246764,216.246764,0.142857,3.142857,0.020312
0.979689,0.000010,0.000012,0.020289,0.117403,209.475269,425.722033,0.285714,3.428571,0.019568
0.979687,0.000010,0.000012,0.020291,0.119386,204.135795,629.857828,0.428571,3.857143,0.018478
0.979685,0.000009,0.000012,0.020293,0.121288,199.877733,829.735561,0.428571,4.285714,0.017517
0.979684,0.000009,0.000012,0.020295,0.123119,196.454370,1026.189931,0.857143,5.142857,0.016671
0.979682,0.000009,0.000011,0.020297,0.124888,193.687901,1219.877832,3.285714,8.428571,0.015930
0.979680,0.000009,0.000011,0.020299,0.126601,191.447380,1411.325212,10.142857,18.571429,0.015284
0.979679,0.000009,0.000011,0.020301,0.128268,189.634548,1600.959759,34.857143,53.428571,0.014722
0.979677,0.000009,0.000011,0.020303,0.129894,188.174235,1789.133994,92.142857,145.571429,0.014234
0.979675,0.000009,0.000011,0.020305,0.131485,187.007724,1976.141718,132.857143,278.428571,0.013812
0.979674,0.000009,0.000011,0.020307,0.133048,186.089594,2162.231312,187.857143,466.285714,0.013449
0.979672,0.000009,0.000011,0.020308,0.134588,185.383310,2347.614623,241.285714,707.571429,0.013138
0.979670,0.000009,0.000011,0.020310,0.136109,184.859546,2532.474169,247.714286,955.285714,0.012873
0.979669,0.000009,0.000011,0.020312,0.137615,184.495111,2716.969280,257.571429,1212.857143,0.012651
0.979667,0.000009,0.000011,0.020314,0.139111,184.270539,2901.239819,246.428571,1459.285714,0.012465
0.979665,0.000009,0.000011,0.020315,0.140601,184.170014,3085.409832,202.142857,1661.428571,0.012314
0.979663,0.000009,0.000011,0.020317,0.142087,184.180656,3269.590488,177.142857,1838.571429,0.012193
0.979661,0.000009,0.000011,0.020319,0.143573,184.291304,3453.881792,137.571429,1976.142857,0.012100
0.979660,0.000009,0.000011,0.020321,0.145063,184.492934,3638.374726,100.857143,2077.000000,0.012033
0.979658,0.000009,0.000011,0.020322,0.146558,184.777926,3823.152652,109.000000,2186.000000,0.011990
0.979656,0.000009,0.000011,0.020324,0.148062,185.139553,4008.292205,110.714286,2296.714286,0.011970
0.979654,0.000009,0.000011,0.020326,0.149578,185.572533,4193.864737,115.285714,2412.000000,0.011970
