S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.990525,0.000002,0.000001,0.009472,0.937833,51.274031,51.274031,1.285714,7.428571,-0.009177
0.990525,0.000002,0.000001,0.009472,0.937298,49.624838,100.898869,0.428571,7.857143,-0.007522
0.990525,0.000002,0.000001,0.009473,0.936949,48.377681,149.276549,0.428571,8.285714,-0.004451
0.990524,0.000001,0.000001,0.009473,0.936772,47.463907,196.740456,0.428571,8.714286,-0.001644
0.990524,0.000001,0.000001,0.009473,0.936754,46.832943,243.573399,0.142857,8.857143,0.000924
0.990524,0.000001,0.000001,0.009474,0.936881,46.447364,290.020763,0.285714,9.142857,0.003276
0.990523,0.000001,0.000001,0.009474,0.937141,46.279506,336.300269,0.142857,9.285714,0.005433
0.990523,0.000001,0.000001,0.009474,0.937522,46.309099,382.609368,1.571429,10.857143,0.007410
0.990523,0.000001,0.000001,0.009474,0.938010,46.521592,429.130960,2.000000,12.857143,0.009223
0.990523,0.000001,0.000001,0.009475,0.938594,46.906956,476.037916,2.142857,15.000000,0.010882
0.990522,0.000001,0.000001,0.009475,0.939264,47.458811,523.496727,2.142857,17.142857,0.012397
0.990522,0.000002,0.000001,0.009475,0.940009,48.173795,571.670522,2.285714,19.428571,0.013774
0.990522,0.000002,0.000001,0.009475,0.940817,49.051096,620.721618,6.571429,26.000000,0.015017
0.990521,0.000002,0.000001,0.009476,0.941681,50.092097,670.813715,6.714286,32.714286,0.016130
0.990521,0.000002,0.000001,0.009476,0.942589,51.300151,722.113867,24.428571,57.142857,0.017114
0.990521,0.000002,0.000001,0.009476,0.943533,52.680340,774.794207,31.714286,88.857143,0.017968
0.990520,0.000002,0.000001,0.009477,0.944504,54.239377,829.033584,40.285714,129.142857,0.018693
0.990520,0.000002,0.000002,0.009477,0.945493,55.985495,885.019079,62.428571,191.571429,0.019286
0.990519,0.000002,0.000002,0.009477,0.946492,57.928344,942.947423,67.142857,258.714286,0.019746
0.990519,0.000002,0.000002,0.009477,0.947493,60.078977,1003.026400,84.285714,343.000000,0.020070
0.990519,0.000002,0.000002,0.009478,0.948489,62.449791,1065.476191,103.857143,446.857143,0.020258
0.990518,0.000002,0.000002,0.009478,0.949472,65.054487,1130.530678,99.428571,546.285714,0.020309
0.990518,0.000002,0.000002,0.009478,0.950437,67.908093,1198.438771,106.571429,652.857143,0.020222
0.990517,0.000002,0.000002,0.009479,0.951377,71.026944,1269.465715,107.285714,760.142857,0.019999
0.990517,0.000002,0.000002,0.009479,0.952287,74.428679,1343.894395,105.142857,865.285714,0.019640
0.990516,0.000002,0.000002,0.009479,0.953162,78.132258,1422.026653,105.714286,971.000000,0.019150
0.990515,0.000003,0.000002,0.009480,0.953997,82.157990,1504.184642,125.714286,1096.714286,0.018533
0.990515,0.000003,0.000002,0.009480,0.954789,86.527500,1590.712142,120.142857,1216.857143,0.017794
0.990514,0.000003,0.000002,0.009481,0.955534,91.263769,1681.975911,139.714286,1356.571429,0.016940
0.990513,0.000003,0.000003,0.009481,0.956228,96.391164,1778.367074,149.714286,1506.285714,0.015978
0.990512,0.000003,0.000003,0.009482,0.956871,101.935410,1880.302484,176.285714,1682.571429,0.014919
0.990512,0.000003,0.000003,0.009482,0.957460,107.922645,1988.225129,181.714286,1537.000000,0.013770
0.990511,0.000004,0.000003,0.009482,0.957993,114.382128,2102.607257,212.285714,1422.000000,0.012541
0.990510,0.000004,0.000003,0.009483,0.958469,121.343665,2223.950922,193.714286,1288.428571,0.011242
0.990509,0.000004,0.000003,0.009484,0.958888,128.838347,2352.789269,216.428571,1177.571429,0.009884
0.990508,0.000004,0.000004,0.009484,0.959248,136.898699,2489.687968,206.714286,1057.000000,0.008476
0.990507,0.000005,0.000004,0.009485,0.959551,145.558454,2635.246422,238.571429,968.285714,0.007028
0.990506,0.000005,0.000004,0.009485,0.959794,154.852785,2790.099207,285.000000,926.000000,0.005545
0.990504,0.000005,0.000004,0.009486,0.959979,164.819659,2954.918866,289.285714,1215.285714,0.004039
0.990503,0.000006,0.000005,0.009487,0.960104,175.494960,3130.413826,288.714286,1504.000000,0.002520
0.990501,0.000006,0.000005,0.009488,0.960172,186.917323,3317.331149,306.285714,1810.285714,0.000991
0.990500,0.000006,0.000005,0.009488,0.960180,199.126547,3516.457695,296.571429,2106.857143,-0.000541
0.990498,0.000007,0.000006,0.009489,0.960130,212.163418,3728.621114,308.285714,2415.142857,-0.002073
