S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.988299,0.000038,0.000046,0.011617,0.390588,290.481708,290.481708,9.000000,29.142857,-0.022194
0.988291,0.000038,0.000045,0.011626,0.385305,288.088107,578.569815,14.000000,43.142857,-0.021542
0.988283,0.000037,0.000045,0.011634,0.380384,286.328103,864.897918,16.285714,59.428571,-0.020266
0.988276,0.000037,0.000045,0.011642,0.375753,285.049547,1149.947464,22.857143,82.285714,-0.019217
0.988269,0.000037,0.000045,0.011650,0.371369,284.143004,1434.090468,30.857143,113.142857,-0.018298
0.988261,0.000037,0.000045,0.011657,0.367209,283.528354,1717.618822,36.571429,149.714286,-0.017451
0.988254,0.000037,0.000045,0.011665,0.363259,283.145781,2000.764603,43.714286,193.428571,-0.016641
0.988247,0.000037,0.000045,0.011672,0.359511,282.949664,2283.714267,51.000000,244.428571,-0.015853
0.988239,0.000037,0.000045,0.011680,0.355958,282.904603,2566.618870,61.714286,306.142857,-0.015081
0.988232,0.000037,0.000045,0.011687,0.352596,282.982632,2849.601502,72.714286,378.857143,-0.014324
0.988224,0.000037,0.000045,0.011694,0.349418,283.161371,3132.762873,81.714286,460.571429,-0.013584
0.988217,0.000037,0.000045,0.011702,0.346420,283.422667,3416.185540,94.714286,555.285714,-0.012862
0.988209,0.000037,0.000045,0.011709,0.343594,283.751607,3699.937147,109.142857,664.428571,-0.012162
0.988202,0.000037,0.000045,0.011717,0.340934,284.135878,3984.073025,123.714286,788.142857,-0.011486
0.988194,0.000037,0.000045,0.011724,0.338432,284.565239,4268.638264,137.714286,925.857143,-0.010837
0.988187,0.000037,0.000045,0.011732,0.336082,285.031106,4553.669370,157.428571,1083.285714,-0.010214
0.988179,0.000037,0.000045,0.011739,0.333874,285.526272,4839.195642,175.428571,1258.714286,-0.009622
0.988171,0.000037,0.000045,0.011747,0.331802,286.044708,5125.240350,186.571429,1445.285714,-0.009058
0.988164,0.000037,0.000045,0.011754,0.329858,286.581304,5411.821654,201.428571,1646.714286,-0.008521
0.988156,0.000037,0.000045,0.011762,0.328035,287.131735,5698.953389,214.714286,1861.428571,-0.008011
0.988149,0.000037,0.000045,0.011769,0.326326,287.692273,5986.645662,246.428571,2107.857143,-0.007526
0.988141,0.000037,0.000046,0.011776,0.324726,288.259769,6274.905431,284.857143,2392.714286,-0.007071
0.988133,0.000037,0.000046,0.011784,0.323225,288.831780,6563.737211,284.142857,2676.857143,-0.006639
0.988126,0.000037,0.000046,0.011791,0.321821,289.405992,6853.143203,320.000000,2996.857143,-0.006229
0.988118,0.000037,0.000046,0.011799,0.320506,289.980588,7143.123791,336.857143,3333.714286,-0.005842
0.988110,0.000037,0.000046,0.011807,0.319276,290.553991,7433.677782,362.428571,3696.142857,-0.005476
0.988103,0.000037,0.000046,0.011814,0.318126,291.124925,7724.802707,378.714286,4074.857143,-0.005132
0.988095,0.000037,0.000046,0.011822,0.317050,291.692397,8016.495103,375.571429,4450.428571,-0.004807
0.988087,0.000037,0.000046,0.011829,0.316044,292.255535,8308.750638,367.428571,4817.857143,-0.004495
0.988080,0.000037,0.000046,0.011837,0.315107,292.813452,8601.564090,389.857143,5207.714286,-0.004202
0.988072,0.000038,0.000046,0.011844,0.314231,293.365723,8894.929813,367.428571,5575.142857,-0.003924
0.988064,0.000038,0.000046,0.011852,0.313415,293.911810,9188.841623,360.142857,5935.285714,-0.003660
0.988056,0.000038,0.000046,0.011859,0.312656,294.451384,9483.293007,336.285714,6271.571429,-0.003407
0.988049,0.000038,0.000047,0.011867,0.311951,294.984025,9778.277032,339.571429,6611.142857,-0.003164
0.988041,0.000038,0.000047,0.011875,0.311298,295.509522,10073.786554,334.714286,6945.857143,-0.002931
0.988033,0.000038,0.000047,0.011882,0.310694,296.027642,10369.814196,346.285714,7292.142857,-0.002708
0.988026,0.000038,0.000047,0.011890,0.310138,296.538339,10666.352534,340.857143,7633.000000,-0.002493
0.988018,0.000038,0.000047,0.011897,0.309628,297.041401,10963.393935,373.285714,8006.285714,-0.002285
0.988010,0.000038,0.000047,0.011905,0.309161,297.536896,11260.930831,379.857143,8386.142857,-0.002088
0.988002,0.000038,0.000047,0.011912,0.308736,298.024888,11558.955719,379.142857,8765.285714,-0.001899
0.987995,0.000038,0.000047,0.011920,0.308350,298.505465,11857.461183,369.571429,9134.857143,-0.001715
0.987987,0.000038,0.000047,0.011928,0.308004,298.978665,12156.439849,370.428571,9505.285714,-0.001538
0.987979,0.000038,0.000047,0.011935,0.307695,299.444627,12455.884475,359.000000,9864.285714,-0.001367
