S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.649762,0.000188,0.000206,0.349845,0.522482,353.824423,353.824423,4.285714,12.142857,-0.048984
0.649726,0.000187,0.000207,0.349880,0.510261,354.854851,708.679275,5.285714,17.428571,-0.047773
0.649689,0.000186,0.000208,0.349917,0.498606,356.209173,1064.888447,5.285714,22.714286,-0.045470
0.649651,0.000186,0.000209,0.349955,0.487526,357.840991,1422.729438,7.571429,30.285714,-0.043188
0.649612,0.000185,0.000210,0.349993,0.477025,359.707366,1782.436804,9.857143,40.142857,-0.040932
0.649573,0.000185,0.000211,0.350031,0.467103,361.768269,2144.205073,14.142857,54.285714,-0.038706
0.649534,0.000185,0.000212,0.350068,0.457756,363.986363,2508.191436,21.142857,75.428571,-0.036517
0.649495,0.000186,0.000214,0.350105,0.448975,366.326831,2874.518266,30.714286,106.142857,-0.034371
0.649457,0.000186,0.000215,0.350142,0.440749,368.757284,3243.275551,41.714286,147.857143,-0.032277
0.649419,0.000186,0.000217,0.350178,0.433064,371.247532,3614.523083,58.142857,206.000000,-0.030240
0.649381,0.000187,0.000218,0.350214,0.425900,373.769668,3988.292750,83.285714,289.285714,-0.028270
0.649343,0.000187,0.000220,0.350250,0.419239,376.298642,4364.591392,101.000000,390.285714,-0.026370
0.649306,0.000188,0.000221,0.350286,0.413059,378.810793,4743.402185,129.714286,520.000000,-0.024546
0.649268,0.000188,0.000222,0.350321,0.407337,381.285447,5124.687632,158.714286,678.714286,-0.022805
0.649230,0.000189,0.000224,0.350357,0.402048,383.703776,5508.391409,193.571429,872.285714,-0.021147
0.649193,0.000189,0.000225,0.350393,0.397169,386.048817,5894.440226,247.000000,1119.285714,-0.019579
0.649155,0.000190,0.000227,0.350429,0.392673,388.307384,6282.747610,273.428571,1392.714286,-0.018097
0.649117,0.000190,0.000228,0.350465,0.388538,390.465605,6673.213216,336.142857,1728.857143,-0.016702
0.649079,0.000191,0.000229,0.350501,0.384737,392.513652,7065.726868,394.142857,2123.000000,-0.015397
0.649040,0.000191,0.000230,0.350538,0.381248,394.442390,7460.169258,464.000000,2587.000000,-0.014177
0.649002,0.000192,0.000231,0.350575,0.378048,396.244078,7856.413336,555.714286,3142.714286,-0.013040
0.648963,0.000192,0.000232,0.350613,0.375116,397.913975,8254.327312,623.142857,3765.857143,-0.011979
0.648924,0.000193,0.000233,0.350650,0.372433,399.450330,8653.777641,621.142857,4387.000000,-0.010989
0.648885,0.000193,0.000234,0.350688,0.369979,400.846957,9054.624598,725.857143,5112.857143,-0.010072
0.648846,0.000193,0.000235,0.350726,0.367737,402.104480,9456.729079,750.857143,5863.714286,-0.009224
0.648806,0.000194,0.000235,0.350765,0.365690,403.222547,9859.951626,784.285714,6648.000000,-0.008436
0.648767,0.000194,0.000236,0.350804,0.363824,404.202031,10264.153657,802.571429,7450.571429,-0.007706
0.648727,0.000194,0.000236,0.350842,0.362123,405.046452,10669.200109,764.857143,8215.428571,-0.007031
0.648688,0.000194,0.000237,0.350882,0.360575,405.757733,11074.957842,759.428571,8974.857143,-0.006410
0.648648,0.000194,0.000237,0.350921,0.359167,406.337649,11481.295491,760.285714,9735.142857,-0.005838
