S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.985024,0.000064,0.000082,0.014829,0.216927,39.644534,39.644534,2.142857,10.571429,0.065262
0.985012,0.000063,0.000080,0.014845,0.228013,38.602546,78.247080,1.571429,12.142857,0.069636
0.984999,0.000063,0.000079,0.014860,0.241442,37.848626,116.095705,1.285714,13.428571,0.079677
0.984986,0.000063,0.000078,0.014873,0.257198,37.339342,153.435048,1.142857,14.571429,0.088362
0.984973,0.000063,0.000077,0.014887,0.275205,37.043684,190.478731,1.428571,16.000000,0.095565
0.984959,0.000064,0.000077,0.014900,0.295322,36.939128,227.417859,2.285714,18.285714,0.101277
0.984944,0.000066,0.000077,0.014913,0.317358,37.009031,264.426890,2.285714,20.571429,0.105582
0.984927,0.000068,0.000077,0.014927,0.341069,37.241384,301.668274,1.857143,22.428571,0.108338
0.984912,0.000070,0.000078,0.014940,0.366053,37.632842,339.301116,46.428571,68.857143,0.110024
0.984895,0.000072,0.000079,0.014953,0.392133,38.175920,377.477036,46.428571,115.285714,0.111038
0.984877,0.000075,0.000081,0.014966,0.418988,38.869386,416.346421,55.142857,170.428571,0.111310
0.984859,0.000079,0.000083,0.014980,0.446327,39.716012,456.062433,60.142857,230.571429,0.111040
0.984839,0.000082,0.000085,0.014994,0.473869,40.721426,496.783859,59.714286,290.285714,0.110287
0.984818,0.000087,0.000087,0.015008,0.501320,41.895350,538.679209,61.142857,351.428571,0.109075
0.984797,0.000091,0.000090,0.015022,0.528406,43.250838,581.930046,61.714286,413.142857,0.107585
0.984772,0.000096,0.000093,0.015038,0.554939,44.797419,626.727466,18.428571,431.571429,0.105637
0.984747,0.000102,0.000097,0.015055,0.580587,46.555805,673.283270,20.000000,451.571429,0.103063
0.984719,0.000108,0.000101,0.015072,0.605132,48.547501,721.830771,12.714286,464.285714,0.100004
0.984690,0.000115,0.000106,0.015089,0.628378,50.793763,772.624534,8.285714,472.571429,0.096415
0.984659,0.000122,0.000111,0.015107,0.650161,53.319025,825.943558,11.428571,484.000000,0.092304
0.984626,0.000131,0.000117,0.015126,0.670367,56.147085,882.090643,11.571429,495.571429,0.087697
0.984591,0.000140,0.000123,0.015146,0.688919,59.302463,941.393106,12.714286,508.285714,0.082611
0.984552,0.000149,0.000131,0.015168,0.705776,62.810226,1004.203331,13.142857,521.428571,0.077076
0.984511,0.000160,0.000139,0.015190,0.720930,66.696864,1070.900196,15.571429,537.000000,0.071131
0.984467,0.000172,0.000148,0.015214,0.734398,70.990292,1141.890488,20.000000,557.000000,0.064828
0.984419,0.000185,0.000158,0.015239,0.746220,75.720361,1217.610849,27.428571,584.428571,0.058230
0.984367,0.000199,0.000168,0.015266,0.756452,80.918436,1298.529285,36.428571,620.857143,0.051413
0.984311,0.000214,0.000180,0.015295,0.765164,86.615870,1385.145155,42.571429,663.428571,0.044441
0.984250,0.000230,0.000193,0.015327,0.772423,92.851476,1477.996631,57.142857,720.571429,0.037412
0.984185,0.000248,0.000207,0.015360,0.778317,99.654905,1577.651536,55.285714,775.857143,0.030335
0.984114,0.000267,0.000223,0.015396,0.782891,107.095845,1684.747381,105.000000,880.857143,0.023266
0.984038,0.000288,0.000240,0.015434,0.786226,115.217567,1799.964948,138.571429,1019.428571,0.016393
0.983956,0.000311,0.000258,0.015476,0.788402,124.062368,1924.027316,162.714286,1182.142857,0.009802
0.983867,0.000335,0.000278,0.015520,0.789496,133.677655,2057.704971,182.285714,1364.428571,0.003557
0.983771,0.000361,0.000300,0.015568,0.789584,144.111471,2201.816442,196.428571,1560.857143,-0.002271
0.983667,0.000390,0.000323,0.015619,0.788742,155.410264,2357.226706,203.857143,1764.714286,-0.007669
0.983556,0.000420,0.000349,0.015675,0.787029,167.636920,2524.863626,223.285714,1988.000000,-0.012531
0.983436,0.000453,0.000376,0.015735,0.784541,180.799946,2705.663572,200.428571,2188.428571,-0.016843
0.983307,0.000488,0.000406,0.015799,0.781334,194.957911,2900.621483,196.428571,2384.857143,-0.020722
0.983168,0.000525,0.000437,0.015869,0.777460,210.161920,3110.783403,199.857143,2584.714286,-0.024152
0.983020,0.000565,0.000471,0.015944,0.772977,226.440178,3337.223581,195.857143,2780.571429,-0.027188
0.982860,0.000607,0.000507,0.016025,0.767918,243.854029,3581.077610,214.428571,2995.000000,-0.029923
0.982689,0.000652,0.000546,0.016113,0.762311,262.456115,3843.533725,246.714286,3241.714286,-0.032421
0.982506,0.000699,0.000587,0.016207,0.756169,282.321603,4125.855327,307.285714,3549.000000,-0.034598
0.982311,0.000749,0.000631,0.016309,0.749553,303.416294,4429.271621,325.714286,3874.714286,-0.036441
0.982102,0.000802,0.000678,0.016418,0.742488,325.775491,4755.047112,352.714286,4227.428571,-0.038118
0.981879,0.000858,0.000727,0.016535,0.734977,349.457046,5104.504158,397.714286,4625.142857,-0.039676
0.981643,0.000916,0.000779,0.016662,0.727031,374.493708,5478.997866,443.571429,5068.714286,-0.041110
0.981391,0.000978,0.000834,0.016797,0.718659,400.919880,5879.917746,490.000000,5558.714286,-0.042421
0.981125,0.001042,0.000892,0.016941,0.709877,428.743205,6308.660951,523.000000,6081.714286,-0.043624
0.980843,0.001108,0.000953,0.017096,0.700690,457.988183,6766.649134,551.714286,6633.428571,-0.044853
0.980544,0.001178,0.001017,0.017261,0.691063,488.782783,7255.431917,621.428571,7254.857143,-0.046146
0.980228,0.001250,0.001084,0.017437,0.680986,521.171398,7776.603315,691.285714,7946.142857,-0.047407
0.979895,0.001326,0.001155,0.017624,0.670466,555.156957,8331.760272,747.000000,8693.142857,-0.048567
0.979544,0.001403,0.001229,0.017824,0.659525,590.677622,8922.437894,769.714286,9462.857143,-0.049616
0.979175,0.001483,0.001306,0.018036,0.648183,627.684704,9550.122598,774.714286,10237.571429,-0.050661
0.978787,0.001565,0.001386,0.018262,0.636420,666.229248,10216.351846,806.428571,11044.000000,-0.051664
0.978381,0.001648,0.001469,0.018501,0.624274,706.152885,10922.504731,795.857143,11839.857143,-0.052564
0.977957,0.001733,0.001555,0.018755,0.611762,747.386581,11669.891313,787.714286,12627.571429,-0.053365
0.977515,0.001819,0.001643,0.019023,0.598925,789.747526,12459.638839,752.000000,13379.571429,-0.054035
0.977055,0.001905,0.001733,0.019307,0.585802,833.073137,13292.711975,706.714286,14086.285714,-0.054747
0.976577,0.001991,0.001826,0.019606,0.572357,877.476417,14170.188392,745.857143,14832.142857,-0.055517
0.976082,0.002077,0.001920,0.019920,0.558624,922.767762,15092.956154,772.571429,15604.714286,-0.056165
0.975571,0.002163,0.002016,0.020250,0.544661,968.709797,16061.665951,783.000000,16387.714286,-0.056796
0.975043,0.002248,0.002113,0.020596,0.530453,1015.352738,17077.018689,872.142857,17259.857143,-0.057403
