S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.984015,0.000038,0.000043,0.015905,0.236496,137.701099,137.701099,0.571429,3.000000,0.004345
0.984008,0.000037,0.000043,0.015912,0.237281,138.007960,275.709059,0.714286,3.714286,0.004326
0.984001,0.000037,0.000043,0.015919,0.238062,138.460650,414.169709,0.714286,4.428571,0.004280
0.983993,0.000037,0.000043,0.015926,0.238834,139.036897,553.206605,0.571429,5.000000,0.004203
0.983986,0.000038,0.000043,0.015933,0.239590,139.718337,692.924942,1.285714,6.285714,0.004104
0.983979,0.000038,0.000043,0.015940,0.240329,140.489690,833.414633,1.571429,7.857143,0.003991
0.983971,0.000038,0.000044,0.015948,0.241047,141.338135,974.752767,1.857143,9.714286,0.003869
0.983963,0.000038,0.000044,0.015955,0.241745,142.252837,1117.005604,3.000000,12.714286,0.003744
0.983956,0.000038,0.000044,0.015962,0.242420,143.224587,1260.230191,5.571429,18.285714,0.003619
0.983948,0.000038,0.000045,0.015969,0.243074,144.245494,1404.475684,8.285714,26.571429,0.003497
0.983940,0.000039,0.000045,0.015977,0.243707,145.308741,1549.784426,11.714286,38.285714,0.003379
0.983932,0.000039,0.000045,0.015984,0.244320,146.408413,1696.192838,14.285714,52.571429,0.003267
0.983924,0.000039,0.000046,0.015991,0.244913,147.539335,1843.732174,17.714286,70.285714,0.003161
0.983916,0.000039,0.000046,0.015999,0.245489,148.696981,1992.429154,20.714286,91.000000,0.003063
0.983908,0.000040,0.000046,0.016006,0.246048,149.877348,2142.306503,24.285714,115.285714,0.002974
0.983900,0.000040,0.000047,0.016014,0.246592,151.076878,2293.383381,24.571429,139.857143,0.002892
0.983892,0.000040,0.000047,0.016021,0.247122,152.292268,2445.675649,28.000000,161.714286,0.002818
0.983884,0.000040,0.000047,0.016029,0.247640,153.520854,2599.196503,30.571429,186.142857,0.002752
0.983875,0.000041,0.000048,0.016036,0.248148,154.760073,2753.956576,29.571429,209.571429,0.002694
0.983867,0.000041,0.000048,0.016044,0.248646,156.007614,2909.964190,30.285714,233.714286,0.002644
0.983858,0.000041,0.000049,0.016052,0.249136,157.261482,3067.225672,35.428571,263.000000,0.002601
0.983850,0.000042,0.000049,0.016060,0.249619,158.519887,3225.745559,40.142857,297.000000,0.002565
0.983841,0.000042,0.000049,0.016068,0.250096,159.781250,3385.526809,57.428571,348.285714,0.002536
0.983832,0.000042,0.000050,0.016076,0.250570,161.044398,3546.571207,77.857143,426.142857,0.002514
0.983824,0.000043,0.000050,0.016084,0.251040,162.307831,3708.879038,92.285714,518.428571,0.002498
0.983815,0.000043,0.000051,0.016092,0.251509,163.570232,3872.449270,107.428571,625.857143,0.002487
0.983806,0.000043,0.000051,0.016100,0.251977,164.830646,4037.279916,140.571429,766.428571,0.002482
0.983797,0.000043,0.000051,0.016109,0.252445,166.088162,4203.368078,155.000000,921.428571,0.002483
0.983788,0.000044,0.000052,0.016117,0.252914,167.341783,4370.709862,189.571429,1111.000000,0.002488
0.983778,0.000044,0.000052,0.016125,0.253385,168.590738,4539.300599,196.571429,1307.571429,0.002498
0.983769,0.000044,0.000052,0.016134,0.253859,169.833980,4709.134579,211.857143,1519.428571,0.002512
0.983760,0.000045,0.000053,0.016143,0.254337,171.070934,4880.205512,222.000000,1741.428571,0.002530
0.983750,0.000045,0.000053,0.016151,0.254819,172.301074,5052.506587,244.142857,1985.571429,0.002553
0.983741,0.000045,0.000054,0.016160,0.255306,173.524122,5226.030709,270.142857,2255.714286,0.002579
0.983731,0.000046,0.000054,0.016169,0.255799,174.739840,5400.770549,308.714286,2564.428571,0.002609
0.983722,0.000046,0.000054,0.016178,0.256299,175.947600,5576.718149,300.571429,2865.000000,0.002642
0.983712,0.000046,0.000055,0.016187,0.256807,177.146542,5753.864690,300.714286,3165.714286,0.002678
0.983702,0.000047,0.000055,0.016196,0.257322,178.336658,5932.201349,310.285714,3476.000000,0.002717
0.983692,0.000047,0.000055,0.016205,0.257845,179.518019,6111.719368,328.714286,3804.714286,0.002759
0.983682,0.000047,0.000056,0.016214,0.258378,180.690707,6292.410074,352.000000,4156.714286,0.002805
0.983672,0.000048,0.000056,0.016224,0.258920,181.854236,6474.264310,326.285714,4483.000000,0.002852
0.983662,0.000048,0.000057,0.016233,0.259472,183.008370,6657.272681,339.571429,4822.571429,0.002902
0.983652,0.000048,0.000057,0.016242,0.260035,184.153673,6841.426354,348.000000,5170.571429,0.002955
0.983642,0.000049,0.000057,0.016252,0.260609,185.290343,7026.716697,368.000000,5538.571429,0.003011
0.983632,0.000049,0.000058,0.016261,0.261196,186.418324,7213.135020,351.714286,5890.285714,0.003069
0.983622,0.000049,0.000058,0.016271,0.261794,187.537542,7400.672562,350.714286,6241.000000,0.003130
0.983612,0.000050,0.000058,0.016281,0.262405,188.648591,7589.321153,357.857143,6598.857143,0.003193
0.983601,0.000050,0.000059,0.016290,0.263030,189.752004,7779.073157,371.428571,6970.285714,0.003258
0.983591,0.000050,0.000059,0.016300,0.263668,190.847825,7969.920982,346.857143,7317.142857,0.003326
0.983580,0.000050,0.000059,0.016310,0.264321,191.936321,8161.857303,349.428571,7666.571429,0.003396
0.983570,0.000051,0.000060,0.016320,0.264989,193.018079,8354.875382,329.000000,7995.571429,0.003469
0.983559,0.000051,0.000060,0.016330,0.265673,194.093699,8548.969081,337.571429,8333.142857,0.003544
0.983549,0.000051,0.000060,0.016340,0.266372,195.164287,8744.133369,356.285714,8689.428571,0.003623
0.983538,0.000052,0.000061,0.016350,0.267089,196.230225,8940.363594,341.285714,9030.714286,0.003704
0.983527,0.000052,0.000061,0.016360,0.267822,197.291904,9137.655497,335.714286,9366.428571,0.003787
0.983516,0.000052,0.000061,0.016370,0.268574,198.350039,9336.005536,316.714286,9683.142857,0.003872
0.983506,0.000053,0.000062,0.016380,0.269343,199.405644,9535.411180,327.142857,10010.285714,0.003961
0.983495,0.000053,0.000062,0.016390,0.270133,200.460037,9735.871217,343.285714,10353.571429,0.004053
0.983484,0.000053,0.000062,0.016401,0.270942,201.513959,9937.385176,339.142857,10692.714286,0.004149
0.983473,0.000054,0.000063,0.016411,0.271771,202.567998,10139.953174,324.000000,11016.714286,0.004246
0.983462,0.000054,0.000063,0.016421,0.272622,203.623022,10343.576196,306.285714,11323.000000,0.004346
0.983451,0.000054,0.000063,0.016432,0.273495,204.680344,10548.256540,307.142857,11630.142857,0.004450
0.983439,0.000055,0.000064,0.016442,0.274391,205.741247,10753.997787,299.571429,11929.714286,0.004558
0.983428,0.000055,0.000064,0.016453,0.275310,206.807019,10960.804806,303.857143,12233.571429,0.004670
0.983417,0.000055,0.000064,0.016464,0.276254,207.879139,11168.683945,310.428571,12544.000000,0.004785
0.983405,0.000056,0.000065,0.016475,0.277224,208.959012,11377.642957,317.285714,12861.285714,0.004904
0.983394,0.000056,0.000065,0.016485,0.278220,210.047813,11587.690770,304.142857,13165.428571,0.005027
0.983382,0.000056,0.000065,0.016496,0.279243,211.147266,11798.838036,322.714286,13488.142857,0.005154
0.983370,0.000057,0.000066,0.016507,0.280294,212.259079,12011.097115,320.571429,13808.714286,0.005286
0.983359,0.000057,0.000066,0.016518,0.281376,213.385049,12224.482164,342.714286,14151.428571,0.005423
0.983347,0.000057,0.000066,0.016529,0.282487,214.526525,12439.008689,314.142857,14465.571429,0.005563
0.983335,0.000058,0.000067,0.016541,0.283631,215.684918,12654.693607,296.571429,14762.142857,0.005707
0.983323,0.000058,0.000067,0.016552,0.284807,216.862314,12871.555922,277.285714,15039.428571,0.005857
0.983311,0.000059,0.000067,0.016563,0.286017,218.060971,13089.616892,270.714286,15310.142857,0.006012
0.983299,0.000059,0.000068,0.016575,0.287262,219.283028,13308.899921,249.714286,15559.857143,0.006172
0.983286,0.000059,0.000068,0.016586,0.288544,220.530684,13529.430605,232.285714,15792.142857,0.006338
0.983274,0.000060,0.000068,0.016598,0.289864,221.806595,13751.237200,224.714286,16016.857143,0.006510
0.983261,0.000060,0.000069,0.016609,0.291224,223.113462,13974.350662,215.571429,16232.428571,0.006688
0.983249,0.000061,0.000069,0.016621,0.292625,224.454024,14198.804686,206.857143,16439.285714,0.006873
0.983236,0.000061,0.000070,0.016633,0.294069,225.831263,14424.635949,201.857143,16641.142857,0.007065
0.983223,0.000062,0.000070,0.016645,0.295558,227.248334,14651.884283,197.857143,16839.000000,0.007263
0.983210,0.000062,0.000071,0.016657,0.297094,228.708476,14880.592759,191.142857,17030.142857,0.007469
0.983197,0.000063,0.000071,0.016669,0.298678,230.215083,15110.807843,182.142857,17212.285714,0.007681
0.983184,0.000063,0.000072,0.016681,0.300312,231.771645,15342.579488,164.714286,17377.000000,0.007902
0.983171,0.000064,0.000072,0.016693,0.301998,233.382389,15575.961877,171.285714,17548.285714,0.008131
0.983157,0.000064,0.000073,0.016706,0.303740,235.051821,15811.013698,178.142857,17726.428571,0.008368
0.983144,0.000065,0.000073,0.016718,0.305538,236.784224,16047.797923,176.857143,17903.285714,0.008613
0.983130,0.000066,0.000074,0.016731,0.307395,238.584124,16286.382046,172.428571,18075.714286,0.008867
0.983116,0.000066,0.000074,0.016743,0.309313,240.456560,16526.838606,172.285714,18248.000000,0.009130
0.983102,0.000067,0.000075,0.016756,0.311296,242.407125,16769.245731,181.428571,18429.428571,0.009402
0.983088,0.000068,0.000075,0.016769,0.313345,244.441474,17013.687206,182.285714,18611.714286,0.009682
0.983074,0.000068,0.000076,0.016782,0.315462,246.565231,17260.252436,169.571429,18781.285714,0.009971
0.983059,0.000069,0.000077,0.016795,0.317651,248.784646,17509.037082,159.285714,18940.571429,0.010268
0.983045,0.000070,0.000078,0.016808,0.319913,251.106746,17760.143829,155.428571,19096.000000,0.010575
0.983030,0.000071,0.000078,0.016821,0.322252,253.538989,18013.682817,153.571429,19249.571429,0.010891
0.983015,0.000071,0.000079,0.016835,0.324671,256.089397,18269.772215,159.428571,19409.000000,0.011216
0.982999,0.000072,0.000080,0.016848,0.327171,258.766308,18528.538523,160.142857,19569.142857,0.011549
0.982984,0.000073,0.000081,0.016862,0.329755,261.578620,18790.117143,165.285714,19734.428571,0.011891
0.982968,0.000074,0.000082,0.016876,0.332427,264.536000,19054.653144,174.571429,19909.000000,0.012240
0.982952,0.000075,0.000083,0.016890,0.335188,267.648299,19322.301443,172.285714,20081.285714,0.012595
0.982936,0.000076,0.000084,0.016904,0.338040,270.926185,19593.227628,176.000000,20257.285714,0.012955
0.982920,0.000078,0.000085,0.016918,0.340986,274.381284,19867.608912,182.285714,20439.571429,0.013321
0.982903,0.000079,0.000086,0.016932,0.344027,278.025601,20145.634513,182.142857,20621.714286,0.013688
0.982886,0.000080,0.000087,0.016947,0.347164,281.872016,20427.506529,185.857143,20807.571429,0.014058
0.982869,0.000081,0.000088,0.016961,0.350399,285.934619,20713.441148,198.428571,21006.000000,0.014427
0.982851,0.000083,0.000090,0.016976,0.353732,290.228413,21003.669561,217.142857,21223.142857,0.014794
0.982833,0.000084,0.000091,0.016991,0.357163,294.768510,21298.438070,223.000000,21446.142857,0.015155
0.982815,0.000086,0.000092,0.017007,0.360691,299.571204,21598.009274,238.000000,21684.142857,0.015507
0.982796,0.000088,0.000094,0.017022,0.364315,304.654183,21902.663457,259.285714,21943.428571,0.015847
0.982777,0.000089,0.000096,0.017038,0.368031,310.035328,22212.698785,271.142857,22214.571429,0.016170
0.982757,0.000091,0.000097,0.017054,0.371837,315.733411,22528.432196,285.142857,22499.714286,0.016471
0.982736,0.000093,0.000099,0.017071,0.375726,321.768007,22850.200203,293.000000,22792.714286,0.016745
0.982716,0.000096,0.000101,0.017088,0.379692,328.159070,23178.359273,292.285714,23085.000000,0.016986
0.982694,0.000098,0.000103,0.017105,0.383727,334.928241,23513.287514,303.714286,23388.714286,0.017189
0.982672,0.000100,0.000106,0.017122,0.387822,342.097072,23855.384586,298.571429,23687.285714,0.017345
0.982649,0.000103,0.000108,0.017140,0.391963,349.687620,24205.072206,295.142857,23982.428571,0.017449
0.982626,0.000105,0.000110,0.017159,0.396139,357.724451,24562.796657,315.142857,24297.571429,0.017494
0.982602,0.000108,0.000113,0.017177,0.400333,366.231704,24929.028361,328.142857,24625.714286,0.017469
0.982577,0.000111,0.000116,0.017196,0.404526,375.232048,25304.260409,327.428571,24953.142857,0.017364
0.982551,0.000114,0.000119,0.017216,0.408698,384.748460,25689.008870,324.000000,25277.142857,0.017170
0.982524,0.000117,0.000122,0.017236,0.412825,394.804842,26083.813712,327.285714,25604.428571,0.016879
0.982497,0.000121,0.000125,0.017257,0.416881,405.426426,26489.240138,352.142857,25956.571429,0.016481
0.982469,0.000125,0.000129,0.017278,0.420838,416.635027,26905.875165,352.857143,26309.428571,0.015963
0.982439,0.000129,0.000132,0.017300,0.424663,428.450806,27334.325970,351.428571,26660.857143,0.015314
0.982409,0.000133,0.000136,0.017322,0.428321,440.894023,27775.219993,352.714286,27013.571429,0.014527
0.982378,0.000137,0.000140,0.017345,0.431777,453.984423,28229.204416,365.714286,27379.285714,0.013590
0.982345,0.000141,0.000144,0.017369,0.434990,467.739311,28696.943727,380.000000,27759.285714,0.012493
0.982312,0.000146,0.000149,0.017393,0.437917,482.170896,29179.114623,377.285714,28136.571429,0.011226
0.982277,0.000151,0.000154,0.017418,0.440516,497.289194,29676.403817,378.571429,28515.142857,0.009782
0.982242,0.000156,0.000158,0.017444,0.442739,513.105120,30189.508937,411.285714,28926.428571,0.008155
0.982205,0.000161,0.000164,0.017470,0.444540,529.622717,30719.131654,434.714286,29361.142857,0.006337
0.982167,0.000167,0.000169,0.017498,0.445869,546.839672,31265.971325,459.285714,29820.428571,0.004327
0.982127,0.000172,0.000174,0.017526,0.446678,564.750635,31830.721960,499.571429,30320.000000,0.002125
0.982086,0.000178,0.000180,0.017555,0.446919,583.338592,32414.060552,508.857143,30828.857143,-0.000264
0.982044,0.000184,0.000186,0.017585,0.446548,602.581973,33016.642526,532.142857,31361.000000,-0.002831
0.982001,0.000190,0.000192,0.017617,0.445520,622.454294,33639.096820,566.428571,31927.428571,-0.005561
0.981956,0.000197,0.000199,0.017649,0.443800,642.915464,34282.012283,578.714286,32506.142857,-0.008429
0.981910,0.000203,0.000205,0.017683,0.441358,663.918861,34945.931144,602.000000,33108.142857,-0.011409
0.981862,0.000209,0.000212,0.017717,0.438174,685.410468,35631.341612,631.571429,33739.714286,-0.014463
0.981813,0.000216,0.000218,0.017753,0.434238,707.325335,36338.666947,658.857143,34398.571429,-0.017547
0.981763,0.000222,0.000225,0.017790,0.429552,729.592173,37068.259120,703.285714,35101.857143,-0.020610
0.981711,0.000228,0.000232,0.017828,0.424137,752.128918,37820.388038,741.571429,35843.428571,-0.023594
0.981659,0.000234,0.000239,0.017868,0.418027,774.847522,38595.235560,792.571429,36636.000000,-0.026440
0.981605,0.000240,0.000246,0.017908,0.411272,797.653738,39392.889299,848.142857,37484.142857,-0.029085
0.981550,0.000246,0.000253,0.017950,0.403942,820.445795,40213.335094,896.000000,38380.142857,-0.031466
0.981495,0.000252,0.000260,0.017993,0.396120,843.119022,41056.454116,941.714286,39321.857143,-0.033532
0.981438,0.000258,0.000267,0.018037,0.387900,865.570329,41922.024445,998.142857,40320.000000,-0.035240
0.981381,0.000263,0.000274,0.018082,0.379386,887.695403,42809.719848,1048.571429,41368.571429,-0.036556
0.981323,0.000268,0.000281,0.018128,0.370685,909.394328,43719.114176,1109.000000,42477.571429,-0.037459
0.981265,0.000272,0.000287,0.018175,0.361909,930.564872,44649.679048,1131.428571,43609.000000,-0.037940
0.981206,0.000276,0.000294,0.018224,0.353162,951.115012,45600.794060,1153.142857,44762.142857,-0.038016
0.981147,0.000280,0.000300,0.018273,0.344540,970.965456,46571.759516,1188.000000,45950.142857,-0.037712
0.981087,0.000284,0.000306,0.018324,0.336129,990.043428,47561.802944,1213.142857,47163.285714,-0.037057
0.981026,0.000287,0.000311,0.018375,0.328002,1008.282274,48570.085218,1204.714286,48368.000000,-0.036088
0.980966,0.000290,0.000317,0.018427,0.320220,1025.631383,49595.716601,1198.285714,49566.285714,-0.034853
0.980905,0.000293,0.000322,0.018481,0.312829,1042.049217,50637.765818,1158.142857,50724.428571,-0.033405
0.980843,0.000295,0.000327,0.018535,0.305858,1057.515920,51695.281739,1169.714286,51894.142857,-0.031800
0.980782,0.000298,0.000331,0.018590,0.299326,1072.020075,52767.301814,1187.857143,53082.000000,-0.030073
0.980720,0.000299,0.000335,0.018645,0.293244,1085.556309,53852.858123,1186.285714,54268.285714,-0.028258
0.980658,0.000301,0.000339,0.018702,0.287613,1098.132564,54950.990686,1198.142857,55466.428571,-0.026392
0.980596,0.000303,0.000343,0.018759,0.282429,1109.766268,56060.756954,1216.000000,56682.428571,-0.024503
0.980534,0.000304,0.000346,0.018816,0.277682,1120.481615,57181.238569,1226.000000,57908.428571,-0.022611
0.980471,0.000305,0.000349,0.018874,0.273359,1130.309342,58311.547911,1219.714286,59128.142857,-0.020734
0.980409,0.000306,0.000352,0.018933,0.269445,1139.288095,59450.836006,1217.285714,60345.428571,-0.018891
0.980347,0.000307,0.000354,0.018992,0.265922,1147.462811,60598.298817,1232.428571,61577.857143,-0.017091
0.980284,0.000308,0.000357,0.019051,0.262772,1154.881234,61753.180050,1248.000000,62825.857143,-0.015339
0.980222,0.000309,0.000359,0.019111,0.259978,1161.593292,62914.773343,1253.285714,64079.142857,-0.013639
0.980159,0.000309,0.000361,0.019171,0.257524,1167.651349,64082.424692,1250.142857,65329.285714,-0.012002
0.980096,0.000310,0.000362,0.019232,0.255389,1173.115457,65255.540149,1191.285714,66675.857143,-0.010402
0.980034,0.000310,0.000364,0.019292,0.253568,1178.027244,66433.567394,1340.000000,67911.142857,-0.008846
