S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.990055,0.000102,0.000122,0.009721,0.239332,141.171811,141.171811,1.714286,3.142857,-0.001541
0.990034,0.000102,0.000122,0.009742,0.239051,141.155135,282.326947,1.571429,4.714286,-0.001343
0.990014,0.000102,0.000122,0.009762,0.238843,141.186864,423.513811,1.857143,6.571429,-0.000971
0.989993,0.000102,0.000122,0.009783,0.238698,141.259836,564.773647,6.428571,13.000000,-0.000649
0.989973,0.000102,0.000122,0.009803,0.238608,141.368014,706.141661,6.428571,19.428571,-0.000370
0.989952,0.000102,0.000122,0.009823,0.238564,141.506438,847.648099,6.285714,25.714286,-0.000130
0.989932,0.000103,0.000122,0.009844,0.238560,141.671118,989.319217,9.714286,35.428571,0.000073
0.989911,0.000103,0.000122,0.009864,0.238591,141.858652,1131.177868,11.714286,47.142857,0.000245
0.989890,0.000103,0.000122,0.009884,0.238649,142.066208,1273.244076,15.857143,63.000000,0.000387
0.989870,0.000103,0.000122,0.009905,0.238731,142.291440,1415.535516,22.714286,85.714286,0.000504
0.989849,0.000103,0.000123,0.009925,0.238833,142.532196,1558.067711,24.714286,110.428571,0.000600
0.989828,0.000104,0.000123,0.009946,0.238950,142.786591,1700.854302,25.142857,135.571429,0.000676
0.989807,0.000104,0.000123,0.009966,0.239078,143.053121,1843.907423,29.000000,164.571429,0.000729
0.989786,0.000104,0.000123,0.009987,0.239215,143.330706,1987.238129,44.571429,209.142857,0.000767
0.989765,0.000104,0.000124,0.010007,0.239358,143.617915,2130.856043,41.428571,250.571429,0.000794
0.989743,0.000105,0.000124,0.010028,0.239504,143.913608,2274.769652,47.714286,298.285714,0.000807
0.989722,0.000105,0.000124,0.010049,0.239652,144.216891,2418.986543,50.714286,349.000000,0.000807
0.989701,0.000105,0.000124,0.010069,0.239798,144.527026,2563.513568,62.857143,411.857143,0.000796
0.989680,0.000105,0.000125,0.010090,0.239942,144.843340,2708.356909,74.142857,486.000000,0.000778
0.989658,0.000106,0.000125,0.010111,0.240082,145.164935,2853.521843,76.571429,562.571429,0.000757
0.989637,0.000106,0.000125,0.010132,0.240218,145.490921,2999.012765,73.714286,636.285714,0.000727
0.989616,0.000106,0.000126,0.010153,0.240347,145.821096,3144.833861,96.571429,732.857143,0.000689
0.989594,0.000106,0.000126,0.010174,0.240470,146.154970,3290.988830,102.000000,834.857143,0.000644
0.989573,0.000107,0.000126,0.010195,0.240583,146.492272,3437.481102,135.428571,970.285714,0.000596
0.989551,0.000107,0.000126,0.010216,0.240687,146.832395,3584.313497,137.857143,1108.142857,0.000547
0.989530,0.000107,0.000127,0.010237,0.240782,147.174886,3731.488384,166.714286,1274.857143,0.000490
0.989508,0.000107,0.000127,0.010258,0.240866,147.519867,3879.008251,202.142857,1477.000000,0.000432
0.989486,0.000108,0.000127,0.010279,0.240940,147.866762,4026.875013,221.000000,1698.000000,0.000378
0.989465,0.000108,0.000128,0.010300,0.241005,148.214763,4175.089776,229.428571,1927.428571,0.000327
0.989443,0.000108,0.000128,0.010321,0.241060,148.563446,4323.653223,242.285714,2169.714286,0.000280
0.989421,0.000109,0.000128,0.010342,0.241107,148.912182,4472.565404,232.714286,2402.428571,0.000232
0.989399,0.000109,0.000128,0.010364,0.241145,149.260797,4621.826202,250.857143,2653.285714,0.000183
0.989377,0.000109,0.000129,0.010385,0.241174,149.609076,4771.435278,246.000000,2899.285714,0.000135
0.989355,0.000109,0.000129,0.010407,0.241194,149.956799,4921.392078,264.857143,3164.142857,0.000082
0.989333,0.000109,0.000129,0.010428,0.241204,150.304196,5071.696273,288.285714,3452.428571,0.000027
0.989311,0.000110,0.000130,0.010450,0.241204,150.651180,5222.347453,315.285714,3767.714286,-0.000029
0.989289,0.000110,0.000130,0.010471,0.241193,150.997734,5373.345187,350.142857,4117.857143,-0.000083
0.989267,0.000110,0.000130,0.010493,0.241174,151.343526,5524.688713,369.285714,4487.142857,-0.000130
0.989244,0.000110,0.000131,0.010515,0.241146,151.687860,5676.376573,373.428571,4860.571429,-0.000173
0.989222,0.000111,0.000131,0.010536,0.241110,152.030431,5828.407004,384.000000,5244.571429,-0.000211
0.989200,0.000111,0.000131,0.010558,0.241069,152.370738,5980.777742,368.000000,5612.571429,-0.000241
0.989177,0.000111,0.000131,0.010580,0.241022,152.708108,6133.485850,346.428571,5959.000000,-0.000267
0.989155,0.000111,0.000132,0.010602,0.240971,153.042241,6286.528091,320.142857,6279.142857,-0.000289
0.989132,0.000112,0.000132,0.010624,0.240916,153.372699,6439.900790,279.714286,6558.857143,-0.000309
0.989110,0.000112,0.000132,0.010646,0.240858,153.699427,6593.600217,256.142857,6815.000000,-0.000335
0.989087,0.000112,0.000133,0.010668,0.240794,154.022968,6747.623185,255.000000,7070.000000,-0.000363
0.989065,0.000112,0.000133,0.010690,0.240725,154.343458,6901.966643,246.285714,7316.285714,-0.000390
0.989042,0.000112,0.000133,0.010713,0.240651,154.660636,7056.627279,235.000000,7551.285714,-0.000416
0.989019,0.000113,0.000133,0.010735,0.240573,154.974474,7211.601753,229.571429,7780.857143,-0.000443
0.988996,0.000113,0.000134,0.010757,0.240489,155.285081,7366.886834,230.000000,8010.857143,-0.000472
0.988974,0.000113,0.000134,0.010780,0.240400,155.592758,7522.479592,247.571429,8258.428571,-0.000501
0.988951,0.000113,0.000134,0.010802,0.240306,155.897379,7678.376970,246.000000,8504.428571,-0.000524
0.988928,0.000113,0.000134,0.010824,0.240209,156.198267,7834.575237,226.142857,8730.571429,-0.000540
0.988905,0.000114,0.000135,0.010847,0.240109,156.495026,7991.070263,203.142857,8933.714286,-0.000555
0.988882,0.000114,0.000135,0.010869,0.240007,156.787603,8147.857866,183.142857,9116.857143,-0.000570
0.988859,0.000114,0.000135,0.010892,0.239901,157.076087,8304.933953,168.571429,9285.428571,-0.000585
0.988836,0.000114,0.000135,0.010915,0.239793,157.360485,8462.294438,152.428571,9437.857143,-0.000597
0.988813,0.000114,0.000136,0.010937,0.239684,157.640454,8619.934892,119.857143,9557.714286,-0.000607
0.988790,0.000115,0.000136,0.010960,0.239572,157.916015,8777.850907,105.428571,9663.142857,-0.000620
0.988766,0.000115,0.000136,0.010983,0.239458,158.187480,8936.038387,95.714286,9758.857143,-0.000635
0.988743,0.000115,0.000136,0.011005,0.239341,158.455001,9094.493388,92.857143,9851.714286,-0.000651
0.988720,0.000115,0.000137,0.011028,0.239221,158.718614,9253.212001,88.428571,9940.142857,-0.000665
0.988697,0.000115,0.000137,0.011051,0.239099,158.978210,9412.190211,80.857143,10021.000000,-0.000678
0.988674,0.000115,0.000137,0.011074,0.238974,159.233692,9571.423903,72.000000,10093.000000,-0.000692
0.988650,0.000116,0.000137,0.011097,0.238847,159.485216,9730.909119,75.142857,10168.142857,-0.000706
0.988627,0.000116,0.000138,0.011120,0.238717,159.732798,9890.641917,70.714286,10238.857143,-0.000718
0.988604,0.000116,0.000138,0.011143,0.238586,159.976303,10050.618220,66.285714,10305.142857,-0.000731
0.988580,0.000116,0.000138,0.011166,0.238452,160.215862,10210.834082,70.857143,10376.000000,-0.000744
0.988557,0.000116,0.000138,0.011189,0.238316,160.451564,10371.285647,74.714286,10450.714286,-0.000757
0.988534,0.000116,0.000138,0.011212,0.238177,160.683230,10531.968876,70.000000,10520.714286,-0.000768
0.988510,0.000116,0.000139,0.011235,0.238037,160.910922,10692.879798,76.857143,10597.571429,-0.000780
0.988487,0.000117,0.000139,0.011258,0.237894,161.134675,10854.014474,77.857143,10675.428571,-0.000792
0.988463,0.000117,0.000139,0.011281,0.237750,161.354479,11015.368952,83.714286,10759.142857,-0.000802
0.988440,0.000117,0.000139,0.011304,0.237603,161.570302,11176.939254,85.142857,10844.285714,-0.000811
0.988416,0.000117,0.000139,0.011328,0.237456,161.781934,11338.721188,78.428571,10922.714286,-0.000818
0.988393,0.000117,0.000139,0.011351,0.237307,161.989237,11500.710425,70.571429,10993.285714,-0.000825
0.988369,0.000117,0.000140,0.011374,0.237157,162.192322,11662.902747,70.571429,11063.857143,-0.000831
0.988345,0.000117,0.000140,0.011397,0.237006,162.391152,11825.293899,63.142857,11127.000000,-0.000836
0.988322,0.000117,0.000140,0.011421,0.236855,162.585603,11987.879502,54.428571,11181.428571,-0.000841
0.988298,0.000118,0.000140,0.011444,0.236702,162.775680,12150.655182,47.142857,11228.571429,-0.000845
0.988275,0.000118,0.000140,0.011467,0.236549,162.961418,12313.616600,41.285714,11269.857143,-0.000849
0.988251,0.000118,0.000140,0.011491,0.236396,163.142845,12476.759445,36.142857,11306.000000,-0.000853
0.988227,0.000118,0.000141,0.011514,0.236241,163.320016,12640.079461,33.857143,11339.857143,-0.000858
0.988204,0.000118,0.000141,0.011538,0.236086,163.492976,12803.572437,32.428571,11372.285714,-0.000863
0.988180,0.000118,0.000141,0.011561,0.235930,163.661812,12967.234249,35.428571,11407.714286,-0.000868
0.988156,0.000118,0.000141,0.011585,0.235773,163.826577,13131.060827,38.714286,11446.428571,-0.000874
0.988132,0.000118,0.000141,0.011608,0.235615,163.987322,13295.048149,44.714286,11491.142857,-0.000879
0.988109,0.000118,0.000141,0.011632,0.235457,164.144089,13459.192238,51.428571,11542.571429,-0.000885
0.988085,0.000118,0.000141,0.011655,0.235297,164.296897,13623.489135,58.714286,11601.285714,-0.000890
0.988061,0.000119,0.000142,0.011679,0.235136,164.445764,13787.934899,66.571429,11667.857143,-0.000895
0.988037,0.000119,0.000142,0.011702,0.234975,164.590673,13952.525571,73.000000,11740.857143,-0.000898
0.988013,0.000119,0.000142,0.011726,0.234814,164.731493,14117.257064,72.571429,11813.428571,-0.000900
0.987990,0.000119,0.000142,0.011750,0.234652,164.868222,14282.125286,75.857143,11889.285714,-0.000901
0.987966,0.000119,0.000142,0.011773,0.234490,165.000792,14447.126078,72.571429,11961.857143,-0.000901
0.987942,0.000119,0.000142,0.011797,0.234328,165.129207,14612.255284,72.857143,12034.714286,-0.000901
0.987918,0.000119,0.000142,0.011821,0.234167,165.253453,14777.508737,69.571429,12104.285714,-0.000900
0.987894,0.000119,0.000142,0.011845,0.234005,165.373524,14942.882261,67.285714,12171.571429,-0.000898
0.987870,0.000119,0.000142,0.011868,0.233845,165.489460,15108.371721,65.857143,12237.428571,-0.000897
0.987846,0.000119,0.000143,0.011892,0.233684,165.601387,15273.973108,70.142857,12307.571429,-0.000896
0.987822,0.000119,0.000143,0.011916,0.233524,165.709361,15439.682469,73.428571,12381.000000,-0.000895
0.987798,0.000119,0.000143,0.011940,0.233364,165.813383,15605.495851,76.285714,12457.285714,-0.000893
0.987774,0.000119,0.000143,0.011964,0.233204,165.913463,15771.409314,78.857143,12536.142857,-0.000890
0.987750,0.000120,0.000143,0.011987,0.233045,166.009655,15937.418969,83.428571,12619.571429,-0.000887
0.987726,0.000120,0.000143,0.012011,0.232887,166.102020,16103.520989,89.000000,12708.571429,-0.000884
0.987702,0.000120,0.000143,0.012035,0.232729,166.190603,16269.711592,95.142857,12803.714286,-0.000881
0.987678,0.000120,0.000143,0.012059,0.232572,166.275444,16435.987036,101.857143,12905.571429,-0.000877
0.987654,0.000120,0.000143,0.012083,0.232416,166.356569,16602.343605,108.000000,13013.571429,-0.000873
0.987630,0.000120,0.000143,0.012107,0.232261,166.434145,16768.777750,122.285714,13135.857143,-0.000869
