S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.977779,0.000022,0.000026,0.022173,0.259543,642.102225,642.102225,0.714286,4.428571,0.046429
0.977775,0.000022,0.000026,0.022177,0.268466,630.540327,1272.642552,0.571429,5.000000,0.046871
0.977771,0.000022,0.000026,0.022182,0.277953,621.508822,1894.151374,0.571429,5.571429,0.048778
0.977767,0.000022,0.000025,0.022187,0.288045,614.652383,2508.803757,2.428571,8.000000,0.050790
0.977762,0.000022,0.000025,0.022191,0.298785,609.740421,3118.544178,4.285714,12.285714,0.052918
0.977758,0.000022,0.000025,0.022195,0.310219,606.627313,3725.171491,4.285714,16.571429,0.055170
0.977753,0.000022,0.000025,0.022200,0.322395,605.227211,4330.398702,3.857143,20.428571,0.057551
0.977749,0.000022,0.000025,0.022204,0.335364,605.498746,4935.897448,3.857143,24.285714,0.060067
0.977744,0.000023,0.000025,0.022208,0.349173,607.436356,5543.333804,12.285714,36.571429,0.062720
0.977739,0.000023,0.000025,0.022213,0.363870,611.066038,6154.399842,12.285714,48.857143,0.065507
0.977734,0.000024,0.000025,0.022217,0.379498,616.443596,6770.843437,18.142857,67.000000,0.068420
0.977729,0.000024,0.000026,0.022221,0.396093,623.654678,7394.498116,23.571429,90.571429,0.071443
0.977723,0.000025,0.000026,0.022226,0.413677,632.815260,8027.313376,31.285714,121.857143,0.074543
0.977718,0.000026,0.000026,0.022230,0.432254,644.072305,8671.385682,38.857143,160.714286,0.077674
0.977711,0.000027,0.000027,0.022235,0.451801,657.603886,9328.989567,57.714286,218.428571,0.080769
0.977705,0.000028,0.000028,0.022240,0.472263,673.618984,10002.608551,57.428571,275.857143,0.083734
0.977698,0.000029,0.000028,0.022244,0.493539,692.355351,10694.963902,80.714286,356.571429,0.086454
0.977691,0.000030,0.000029,0.022249,0.515483,714.078376,11409.042278,99.000000,455.571429,0.088789
0.977684,0.000031,0.000030,0.022254,0.537891,739.076853,12148.119131,119.571429,575.142857,0.090580
0.977676,0.000033,0.000032,0.022259,0.560512,767.659527,12915.778658,144.428571,719.571429,0.091660
0.977668,0.000035,0.000033,0.022265,0.583050,800.150668,13715.929326,175.428571,895.000000,0.091869
0.977659,0.000037,0.000034,0.022270,0.605180,836.885678,14552.815004,199.857143,1094.857143,0.091066
0.977649,0.000039,0.000036,0.022276,0.626568,878.206644,15431.021648,263.142857,1358.000000,0.089148
0.977638,0.000042,0.000038,0.022282,0.646897,924.460947,16355.482596,302.714286,1660.714286,0.086064
0.977627,0.000044,0.000040,0.022289,0.665886,975.996309,17331.478905,276.714286,1937.428571,0.081816
