S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.981604,0.000009,0.000008,0.018380,0.650605,45.049573,45.049573,2.142857,8.571429,0.024632
0.981602,0.000009,0.000008,0.018381,0.656204,46.528126,91.577699,2.000000,10.571429,0.024812
0.981600,0.000009,0.000008,0.018383,0.661800,48.341954,139.919653,2.714286,13.285714,0.024901
0.981597,0.000010,0.000009,0.018384,0.667350,50.491867,190.411520,2.714286,16.000000,0.024802
0.981595,0.000010,0.000009,0.018386,0.672812,52.982972,243.394492,2.285714,18.285714,0.024497
0.981592,0.000011,0.000010,0.018387,0.678136,55.823491,299.217983,2.285714,20.571429,0.023971
0.981589,0.000012,0.000010,0.018389,0.683276,59.023743,358.241726,7.857143,28.428571,0.023219
0.981586,0.000012,0.000011,0.018391,0.688186,62.595710,420.837436,7.285714,35.714286,0.022243
0.981583,0.000013,0.000011,0.018393,0.692822,66.551892,487.389328,14.714286,50.428571,0.021053
0.981579,0.000014,0.000012,0.018395,0.697146,70.905865,558.295193,21.571429,72.000000,0.019664
0.981575,0.000015,0.000013,0.018397,0.701125,75.671686,633.966879,31.000000,103.000000,0.018095
0.981571,0.000016,0.000014,0.018399,0.704730,80.864697,714.831576,31.000000,134.000000,0.016368
0.981567,0.000017,0.000015,0.018401,0.707937,86.500885,801.332461,35.571429,169.571429,0.014502
0.981562,0.000019,0.000016,0.018404,0.710727,92.598488,893.930948,39.714286,209.285714,0.012518
0.981557,0.000020,0.000017,0.018406,0.713084,99.177147,993.108095,63.571429,272.857143,0.010434
0.981551,0.000021,0.000018,0.018409,0.714996,106.261277,1099.369372,62.857143,335.714286,0.008265
0.981545,0.000023,0.000020,0.018412,0.716453,113.874851,1213.244223,84.571429,420.285714,0.006026
0.981539,0.000025,0.000021,0.018415,0.717445,122.047928,1335.292151,94.000000,514.285714,0.003728
0.981532,0.000026,0.000023,0.018419,0.717964,130.811297,1466.103448,110.000000,624.285714,0.001384
0.981525,0.000028,0.000024,0.018423,0.718005,140.199944,1606.303391,118.571429,742.857143,-0.000996
0.981517,0.000030,0.000026,0.018427,0.717561,150.250488,1756.553879,122.714286,865.571429,-0.003401
0.981508,0.000032,0.000028,0.018431,0.716627,161.002218,1917.556097,112.571429,978.142857,-0.005820
0.981499,0.000035,0.000030,0.018436,0.715197,172.493139,2090.049236,127.285714,1105.428571,-0.008241
0.981490,0.000037,0.000032,0.018441,0.713270,184.767648,2274.816884,113.714286,1219.142857,-0.010651
0.981480,0.000040,0.000034,0.018447,0.710841,197.864317,2472.681202,117.142857,1336.285714,-0.013037
0.981469,0.000042,0.000036,0.018452,0.707910,211.825275,2684.506477,124.714286,1461.000000,-0.015384
0.981457,0.000045,0.000039,0.018459,0.704479,226.691125,2911.197601,133.571429,1594.571429,-0.017680
