S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.820849,0.000069,0.000074,0.179008,0.638000,126.129903,126.129903,2.571429,9.142857,-0.003610
0.820833,0.000070,0.000075,0.179022,0.637166,127.886988,254.016891,4.428571,13.571429,-0.003702
0.820817,0.000072,0.000076,0.179035,0.636288,129.891649,383.908540,8.571429,22.142857,-0.003909
0.820799,0.000074,0.000077,0.179049,0.635357,132.145189,516.053729,12.000000,34.142857,-0.004158
0.820782,0.000076,0.000079,0.179064,0.634361,134.649832,650.703562,19.285714,53.428571,-0.004446
0.820763,0.000078,0.000081,0.179079,0.633294,137.408148,788.111710,23.571429,77.000000,-0.004773
0.820744,0.000080,0.000082,0.179094,0.632145,140.423562,928.535272,30.142857,107.142857,-0.005143
0.820725,0.000082,0.000084,0.179109,0.630902,143.699887,1072.235160,43.857143,151.000000,-0.005551
0.820705,0.000085,0.000086,0.179124,0.629559,147.240928,1219.476088,56.000000,207.000000,-0.005998
0.820686,0.000087,0.000089,0.179139,0.628105,151.051399,1370.527487,79.714286,286.714286,-0.006479
0.820666,0.000090,0.000091,0.179154,0.626533,155.135256,1525.662743,97.714286,384.428571,-0.006983
0.820645,0.000093,0.000093,0.179169,0.624837,159.497022,1685.159765,111.000000,495.428571,-0.007507
0.820624,0.000096,0.000096,0.179184,0.623013,164.140908,1849.300672,116.428571,611.857143,-0.008047
0.820601,0.000099,0.000099,0.179201,0.621057,169.071183,2018.371855,119.714286,731.571429,-0.008602
0.820578,0.000102,0.000102,0.179218,0.618965,174.291372,2192.663227,117.142857,848.714286,-0.009170
0.820554,0.000106,0.000105,0.179235,0.616731,179.805266,2372.468493,120.142857,968.857143,-0.009744
0.820528,0.000109,0.000109,0.179254,0.614358,185.614771,2558.083263,112.857143,1081.714286,-0.010320
0.820502,0.000113,0.000112,0.179273,0.611841,191.722708,2749.805971,111.714286,1193.428571,-0.010903
0.820475,0.000117,0.000116,0.179292,0.609179,198.130541,2947.936512,115.714286,1309.142857,-0.011487
0.820447,0.000121,0.000120,0.179312,0.606371,204.839044,3152.775556,125.000000,1434.142857,-0.012063
0.820418,0.000125,0.000124,0.179333,0.603421,211.847457,3364.623012,132.000000,1566.142857,-0.012629
0.820389,0.000129,0.000128,0.179354,0.600327,219.155248,3583.778260,146.142857,1712.285714,-0.013183
0.820358,0.000134,0.000133,0.179375,0.597094,226.759932,3810.538192,162.000000,1874.285714,-0.013723
0.820327,0.000138,0.000138,0.179397,0.593724,234.658971,4045.197163,186.142857,2060.428571,-0.014242
0.820295,0.000143,0.000142,0.179420,0.590224,242.846968,4288.044131,206.571429,2267.000000,-0.014736
0.820262,0.000148,0.000147,0.179444,0.586596,251.319212,4539.363343,233.000000,2500.000000,-0.015205
0.820227,0.000152,0.000152,0.179468,0.582849,260.068013,4799.431356,256.428571,2756.428571,-0.015641
0.820192,0.000157,0.000158,0.179493,0.578991,269.085340,5068.516696,279.571429,3036.000000,-0.016052
0.820156,0.000162,0.000163,0.179519,0.575024,278.363525,5346.880221,313.000000,3349.000000,-0.016437
0.820119,0.000168,0.000169,0.179545,0.570957,287.891629,5634.771850,347.857143,3696.857143,-0.016784
0.820080,0.000173,0.000174,0.179573,0.566801,297.655978,5932.427828,372.428571,4069.285714,-0.017100
0.820041,0.000178,0.000180,0.179600,0.562560,307.647247,6240.075075,410.714286,4480.000000,-0.017388
0.820001,0.000184,0.000186,0.179630,0.558243,317.849545,6557.924620,444.571429,4924.571429,-0.017625
