S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.948560,0.000014,0.000016,0.051410,0.289582,15.820670,15.820670,1.428571,4.857143,0.006934
0.948557,0.000014,0.000016,0.051412,0.291009,15.846347,31.667017,1.714286,6.571429,0.007044
0.948555,0.000015,0.000016,0.051415,0.292489,15.874454,47.541471,1.857143,8.428571,0.007304
0.948552,0.000015,0.000016,0.051417,0.294032,15.905191,63.446662,2.000000,10.428571,0.007607
0.948549,0.000015,0.000016,0.051420,0.295647,15.938767,79.385429,2.000000,12.428571,0.007953
0.948545,0.000015,0.000016,0.051423,0.297344,15.975401,95.360830,1.857143,14.285714,0.008344
0.948542,0.000015,0.000016,0.051427,0.299134,16.015326,111.376156,2.428571,16.714286,0.008781
0.948539,0.000015,0.000016,0.051430,0.301026,16.058790,127.434947,2.571429,19.285714,0.009266
0.948536,0.000015,0.000017,0.051433,0.303033,16.106062,143.541009,2.428571,21.714286,0.009803
0.948532,0.000015,0.000017,0.051436,0.305167,16.157436,159.698445,2.428571,24.142857,0.010393
0.948529,0.000015,0.000017,0.051439,0.307441,16.213235,175.911680,3.142857,27.285714,0.011041
0.948526,0.000015,0.000017,0.051442,0.309869,16.273807,192.185487,3.571429,30.857143,0.011750
0.948523,0.000015,0.000017,0.051445,0.312466,16.339543,208.525030,3.857143,34.714286,0.012523
0.948520,0.000015,0.000017,0.051448,0.315249,16.410872,224.935902,3.285714,38.000000,0.013365
0.948517,0.000016,0.000017,0.051451,0.318236,16.488275,241.424177,3.142857,41.142857,0.014282
0.948514,0.000016,0.000017,0.051454,0.321447,16.572288,257.996465,4.000000,45.142857,0.015278
0.948510,0.000016,0.000017,0.051457,0.324901,16.663505,274.659970,4.857143,50.000000,0.016357
0.948507,0.000016,0.000017,0.051460,0.328622,16.762586,291.422556,4.571429,54.571429,0.017525
0.948504,0.000016,0.000017,0.051462,0.332634,16.870285,308.292841,4.571429,59.142857,0.018788
0.948501,0.000016,0.000017,0.051465,0.336963,16.987440,325.280281,4.571429,63.714286,0.020151
0.948497,0.000017,0.000018,0.051468,0.341638,17.114999,342.395281,4.857143,68.571429,0.021619
0.948494,0.000017,0.000018,0.051472,0.346688,17.254025,359.649306,4.857143,73.428571,0.023195
0.948490,0.000017,0.000018,0.051475,0.352146,17.405718,377.055023,3.857143,77.285714,0.024886
0.948487,0.000017,0.000018,0.051478,0.358043,17.571441,394.626464,2.714286,80.000000,0.026693
0.948483,0.000018,0.000018,0.051481,0.364416,17.752745,412.379209,2.428571,82.428571,0.028620
0.948479,0.000018,0.000018,0.051484,0.371301,17.951377,430.330587,2.000000,84.428571,0.030666
0.948476,0.000018,0.000019,0.051488,0.378734,18.169332,448.499918,1.857143,86.285714,0.032830
0.948472,0.000019,0.000019,0.051491,0.386751,18.408869,466.908788,1.428571,87.714286,0.035108
0.948467,0.000019,0.000019,0.051495,0.395387,18.672575,485.581363,1.285714,89.000000,0.037495
0.948463,0.000019,0.000019,0.051498,0.404677,18.963394,504.544756,1.571429,90.571429,0.039979
0.948459,0.000020,0.000020,0.051502,0.414650,19.284679,523.829436,1.714286,92.285714,0.042548
0.948454,0.000020,0.000020,0.051505,0.425332,19.640263,543.469699,1.857143,94.142857,0.045185
0.948450,0.000021,0.000021,0.051509,0.436739,20.034526,563.504225,2.428571,96.571429,0.047867
0.948445,0.000022,0.000021,0.051513,0.448882,20.472448,583.976673,2.571429,99.142857,0.050566
0.948440,0.000022,0.000021,0.051517,0.461758,20.959720,604.936393,2.714286,101.857143,0.053253
0.948435,0.000023,0.000022,0.051520,0.475353,21.502812,626.439204,2.714286,104.571429,0.055891
0.948429,0.000024,0.000023,0.051524,0.489635,22.109086,648.548291,3.000000,107.571429,0.058438
0.948424,0.000025,0.000023,0.051528,0.504559,22.786909,671.335200,4.571429,112.142857,0.060849
0.948418,0.000026,0.000024,0.051532,0.520057,23.545666,694.880866,5.142857,117.285714,0.063071
0.948411,0.000027,0.000025,0.051537,0.536044,24.395972,719.276838,6.285714,123.571429,0.065054
0.948405,0.000028,0.000026,0.051541,0.552415,25.349683,744.626521,7.428571,131.000000,0.066741
0.948398,0.000030,0.000027,0.051546,0.569048,26.419984,771.046505,8.000000,139.000000,0.068076
0.948390,0.000031,0.000028,0.051550,0.585804,27.621535,798.668040,9.428571,148.428571,0.069006
0.948382,0.000033,0.000030,0.051555,0.602535,28.970370,827.638410,10.000000,158.428571,0.069478
0.948373,0.000035,0.000031,0.051561,0.619082,30.484029,858.122439,10.000000,168.428571,0.069448
