S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.978447,0.000006,0.000007,0.021540,0.251419,78.113839,78.113839,0.428571,1.142857,0.001445
0.978446,0.000006,0.000007,0.021541,0.251691,77.857585,155.971424,0.285714,1.285714,0.001379
0.978445,0.000006,0.000007,0.021543,0.251938,77.621167,233.592590,0.142857,1.428571,0.001254
0.978444,0.000006,0.000007,0.021544,0.252163,77.402712,310.995302,0.142857,1.571429,0.001135
0.978443,0.000006,0.000007,0.021545,0.252367,77.200589,388.195891,0.142857,1.714286,0.001023
0.978442,0.000006,0.000007,0.021546,0.252549,77.013366,465.209257,0.428571,2.142857,0.000918
0.978440,0.000006,0.000007,0.021547,0.252713,76.839783,542.049040,0.428571,2.571429,0.000818
0.978439,0.000006,0.000007,0.021548,0.252858,76.678718,618.727758,0.428571,3.000000,0.000725
0.978438,0.000006,0.000007,0.021549,0.252987,76.529176,695.256933,0.571429,3.571429,0.000636
0.978437,0.000006,0.000007,0.021551,0.253099,76.390261,771.647194,0.857143,4.428571,0.000554
0.978436,0.000006,0.000007,0.021552,0.253196,76.261170,847.908364,0.857143,5.285714,0.000476
0.978435,0.000006,0.000007,0.021553,0.253279,76.141177,924.049541,1.714286,7.000000,0.000403
0.978434,0.000006,0.000007,0.021554,0.253348,76.029624,1000.079165,1.428571,8.428571,0.000335
0.978433,0.000006,0.000007,0.021555,0.253406,75.925912,1076.005077,1.428571,9.857143,0.000271
0.978432,0.000006,0.000007,0.021556,0.253451,75.829495,1151.834573,2.000000,11.857143,0.000211
0.978431,0.000006,0.000007,0.021557,0.253486,75.739874,1227.574447,1.857143,13.714286,0.000156
0.978429,0.000006,0.000006,0.021558,0.253510,75.656590,1303.231037,1.571429,15.285714,0.000104
0.978428,0.000006,0.000006,0.021559,0.253525,75.579223,1378.810260,1.571429,16.857143,0.000056
0.978427,0.000006,0.000006,0.021561,0.253531,75.507385,1454.317645,1.571429,18.428571,0.000011
0.978426,0.000006,0.000006,0.021562,0.253529,75.440719,1529.758364,1.571429,20.000000,-0.000030
0.978425,0.000006,0.000006,0.021563,0.253520,75.378894,1605.137257,1.571429,21.571429,-0.000068
0.978424,0.000006,0.000006,0.021564,0.253503,75.321604,1680.458861,0.857143,22.428571,-0.000103
0.978423,0.000006,0.000006,0.021565,0.253481,75.268567,1755.727429,1.857143,24.285714,-0.000136
0.978422,0.000006,0.000006,0.021566,0.253452,75.219521,1830.946949,1.857143,26.142857,-0.000166
0.978421,0.000006,0.000006,0.021567,0.253418,75.174220,1906.121169,1.857143,28.000000,-0.000193
0.978420,0.000006,0.000006,0.021568,0.253379,75.132439,1981.253608,1.142857,29.142857,-0.000218
