S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.896941,0.000156,0.000206,0.102697,0.201293,2811.679343,2811.679343,6.714286,11.285714,-0.002225
0.896912,0.000153,0.000202,0.102733,0.200935,2759.897012,5571.576355,13.857143,25.142857,-0.001799
0.896884,0.000151,0.000198,0.102767,0.200715,2712.207573,8283.783928,27.142857,52.285714,-0.001000
0.896856,0.000149,0.000195,0.102800,0.200614,2668.038843,10951.822771,51.142857,103.428571,-0.000308
0.896829,0.000147,0.000192,0.102832,0.200617,2626.910652,13578.733424,95.000000,198.428571,0.000296
0.896802,0.000145,0.000189,0.102864,0.200709,2588.419797,16167.153221,134.428571,332.857143,0.000824
0.896775,0.000143,0.000187,0.102895,0.200881,2552.228284,18719.381505,174.000000,506.857143,0.001288
0.896749,0.000142,0.000184,0.102925,0.201123,2518.049156,21237.430661,211.714286,718.571429,0.001695
0.896722,0.000140,0.000182,0.102956,0.201426,2485.638115,23723.068776,253.428571,972.000000,0.002053
0.896696,0.000138,0.000179,0.102986,0.201783,2454.784716,26177.853492,320.285714,1292.285714,0.002364
0.896670,0.000137,0.000177,0.103016,0.202188,2425.303242,28603.156734,467.142857,1759.428571,0.002632
0.896644,0.000135,0.000175,0.103045,0.202632,2397.027727,31000.184461,718.285714,2477.714286,0.002873
0.896619,0.000134,0.000173,0.103074,0.203116,2369.822975,33370.007437,922.142857,3399.857143,0.003094
0.896594,0.000133,0.000171,0.103103,0.203634,2343.580693,35713.588130,1140.142857,4540.000000,0.003294
0.896568,0.000131,0.000169,0.103131,0.204184,2318.205454,38031.793584,1328.285714,5868.285714,0.003470
0.896544,0.000130,0.000168,0.103159,0.204762,2293.606485,40325.400069,1665.571429,7533.857143,0.003632
0.896519,0.000129,0.000166,0.103187,0.205367,2269.708472,42595.108542,1892.285714,9426.142857,0.003792
0.896495,0.000127,0.000164,0.103214,0.206000,2246.459914,44841.568456,2072.285714,11498.428571,0.003943
0.896470,0.000126,0.000163,0.103241,0.206657,2223.814238,47065.382694,2174.714286,13673.142857,0.004082
0.896446,0.000125,0.000161,0.103268,0.207338,2201.722983,49267.105676,2361.714286,16034.857143,0.004209
0.896423,0.000124,0.000159,0.103294,0.208041,2180.138952,51447.244628,2550.285714,18585.142857,0.004330
0.896399,0.000123,0.000158,0.103320,0.208765,2159.023757,53606.268386,2770.000000,21355.142857,0.004447
0.896376,0.000121,0.000156,0.103346,0.209510,2138.347124,55744.615510,2939.714286,24294.857143,0.004558
0.896353,0.000120,0.000155,0.103372,0.210274,2118.076919,57862.692429,3221.000000,27515.857143,0.004664
0.896330,0.000119,0.000153,0.103397,0.211059,2098.186231,59960.878660,3449.571429,30965.428571,0.004770
0.896308,0.000118,0.000152,0.103422,0.211863,2078.653366,62039.532026,3729.714286,34695.142857,0.004871
0.896286,0.000117,0.000151,0.103447,0.212686,2059.455583,64098.987609,4033.285714,38728.428571,0.004975
0.896264,0.000116,0.000149,0.103471,0.213529,2040.579825,66139.567434,4269.571429,42998.000000,0.005083
0.896242,0.000115,0.000148,0.103495,0.214393,2022.021456,68161.588890,4404.571429,47402.571429,0.005195
0.896220,0.000114,0.000146,0.103520,0.215279,2003.779325,70165.368215,4428.857143,51831.428571,0.005306
0.896198,0.000113,0.000145,0.103544,0.216186,1985.846611,72151.214825,4452.285714,56283.714286,0.005411
0.896177,0.000112,0.000144,0.103567,0.217113,1968.207282,74119.422108,4558.714286,60842.428571,0.005520
0.896155,0.000111,0.000143,0.103591,0.218062,1950.859064,76070.281172,4502.428571,65344.857143,0.005638
0.896134,0.000110,0.000141,0.103614,0.219035,1933.809191,78004.090363,4308.857143,69653.714286,0.005750
0.896113,0.000109,0.000140,0.103638,0.220030,1917.050168,79921.140531,4192.857143,73846.571429,0.005855
0.896092,0.000108,0.000139,0.103661,0.221045,1900.558863,81821.699395,4275.857143,78122.428571,0.005960
0.896071,0.000108,0.000138,0.103683,0.222082,1884.322168,83706.021562,4354.285714,82476.714286,0.006078
0.896051,0.000107,0.000137,0.103706,0.223145,1868.351616,85574.373178,4183.142857,86659.857143,0.006199
0.896030,0.000106,0.000135,0.103729,0.224232,1852.655838,87427.029017,3942.428571,90602.285714,0.006316
0.896009,0.000105,0.000134,0.103751,0.225342,1837.228306,89264.257323,3766.571429,94368.857143,0.006432
0.895989,0.000104,0.000133,0.103773,0.226477,1822.059812,91086.317135,3634.857143,98003.714286,0.006553
0.895969,0.000103,0.000132,0.103795,0.227638,1807.151933,92893.469067,3403.428571,101407.142857,0.006678
0.895949,0.000103,0.000131,0.103817,0.228826,1792.513211,94685.982278,3040.142857,104447.285714,0.006803
0.895929,0.000102,0.000130,0.103839,0.230039,1778.141442,96464.123720,2723.142857,107170.428571,0.006922
0.895909,0.000101,0.000129,0.103860,0.231278,1764.012991,98228.136711,2702.142857,109872.571429,0.007045
0.895890,0.000101,0.000128,0.103882,0.232544,1750.120664,99978.257375,2630.571429,112503.142857,0.007178
0.895870,0.000100,0.000127,0.103903,0.233840,1736.468446,101714.725820,2497.142857,115000.285714,0.007313
0.895851,0.000099,0.000126,0.103924,0.235165,1723.056152,103437.781972,2371.714286,117372.000000,0.007450
0.895832,0.000098,0.000125,0.103945,0.236520,1709.880702,105147.662674,2273.571429,119645.571429,0.007590
0.895813,0.000098,0.000124,0.103966,0.237906,1696.939069,106844.601743,2199.714286,121845.285714,0.007735
0.895794,0.000097,0.000123,0.103986,0.239325,1684.230624,108528.832366,2119.714286,123965.000000,0.007886
0.895775,0.000097,0.000122,0.104007,0.240777,1671.756484,110200.588850,2022.142857,125987.142857,0.008040
0.895756,0.000096,0.000121,0.104027,0.242264,1659.516707,111860.105557,1931.000000,127918.142857,0.008199
0.895737,0.000095,0.000120,0.104047,0.243787,1647.508777,113507.614334,1882.428571,129800.571429,0.008364
0.895718,0.000095,0.000120,0.104067,0.245348,1635.733339,115143.347673,1820.000000,131620.571429,0.008534
