S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.861435,0.000027,0.000029,0.138509,0.398117,211.763313,211.763313,0.142857,1.000000,-0.005125
0.861430,0.000027,0.000029,0.138514,0.396889,209.169590,420.932904,0.000000,1.000000,-0.005076
0.861426,0.000026,0.000028,0.138520,0.395687,206.913811,627.846715,0.000000,1.000000,-0.004973
0.861421,0.000026,0.000028,0.138525,0.394510,204.972116,832.818831,0.285714,1.285714,-0.004875
0.861416,0.000026,0.000028,0.138531,0.393358,203.322853,1036.141684,0.285714,1.571429,-0.004780
0.861411,0.000025,0.000028,0.138536,0.392229,201.946395,1238.088079,0.285714,1.857143,-0.004687
0.861406,0.000025,0.000028,0.138541,0.391123,200.824896,1438.912975,0.285714,2.142857,-0.004595
0.861402,0.000025,0.000027,0.138546,0.390040,199.942128,1638.855103,0.857143,3.000000,-0.004502
0.861397,0.000025,0.000027,0.138551,0.388981,199.283303,1838.138405,1.857143,4.857143,-0.004408
0.861392,0.000025,0.000027,0.138556,0.387945,198.834974,2036.973379,2.142857,7.000000,-0.004313
0.861388,0.000025,0.000027,0.138560,0.386933,198.584947,2235.558326,3.285714,10.285714,-0.004215
0.861383,0.000025,0.000027,0.138565,0.385945,198.522034,2434.080360,5.428571,15.714286,-0.004115
0.861378,0.000025,0.000027,0.138570,0.384982,198.636062,2632.716422,6.285714,22.000000,-0.004012
0.861374,0.000025,0.000027,0.138574,0.384045,198.917811,2831.634233,10.000000,32.000000,-0.003907
0.861369,0.000025,0.000027,0.138579,0.383134,199.358784,3030.993018,9.428571,41.428571,-0.003799
0.861364,0.000025,0.000027,0.138584,0.382249,199.951447,3230.944465,11.857143,53.285714,-0.003687
0.861359,0.000025,0.000028,0.138588,0.381393,200.688610,3431.633075,18.428571,71.714286,-0.003573
0.861355,0.000025,0.000028,0.138593,0.380564,201.563808,3633.196882,18.571429,90.285714,-0.003455
0.861350,0.000025,0.000028,0.138598,0.379763,202.571335,3835.768217,28.000000,118.285714,-0.003335
0.861345,0.000025,0.000028,0.138603,0.378992,203.705502,4039.473719,37.714286,156.000000,-0.003214
0.861339,0.000025,0.000028,0.138607,0.378251,204.961419,4244.435138,49.285714,205.285714,-0.003090
0.861334,0.000025,0.000028,0.138612,0.377539,206.334644,4450.769782,58.142857,263.428571,-0.002963
0.861329,0.000025,0.000028,0.138617,0.376858,207.821040,4658.590822,78.285714,341.714286,-0.002835
0.861324,0.000025,0.000029,0.138622,0.376208,209.416615,4868.007437,92.714286,434.428571,-0.002707
0.861318,0.000026,0.000029,0.138627,0.375588,211.118254,5079.125691,105.857143,540.285714,-0.002576
