S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.863965,0.000041,0.000044,0.135949,0.325928,2449.093504,2449.093504,1.142857,3.000000,0.003103
0.863957,0.000041,0.000044,0.135958,0.326610,2437.586875,4886.680379,1.000000,3.857143,0.003251
0.863949,0.000041,0.000044,0.135966,0.327358,2428.503430,7315.183808,1.142857,4.857143,0.003555
0.863941,0.000041,0.000044,0.135975,0.328175,2421.732359,9736.916167,1.142857,5.857143,0.003865
0.863933,0.000041,0.000044,0.135983,0.329063,2417.184734,12154.100901,1.142857,6.857143,0.004180
0.863925,0.000041,0.000044,0.135991,0.330021,2414.791222,14568.892123,0.571429,7.428571,0.004498
0.863917,0.000041,0.000044,0.135998,0.331052,2414.500235,16983.392358,0.285714,7.714286,0.004817
0.863909,0.000041,0.000044,0.136006,0.332155,2416.276385,19399.668744,0.285714,8.000000,0.005135
0.863901,0.000041,0.000044,0.136014,0.333330,2420.099241,21819.767984,0.428571,8.428571,0.005451
0.863893,0.000041,0.000044,0.136022,0.334577,2425.962317,24245.730301,0.714286,9.142857,0.005762
0.863885,0.000041,0.000044,0.136030,0.335896,2433.872267,26679.602568,1.285714,10.428571,0.006067
0.863876,0.000041,0.000044,0.136038,0.337284,2443.848242,29123.450810,1.571429,12.000000,0.006365
0.863868,0.000042,0.000044,0.136046,0.338741,2455.921388,31579.372198,1.571429,13.571429,0.006652
0.863859,0.000042,0.000045,0.136054,0.340265,2470.134475,34049.506673,1.571429,15.142857,0.006929
0.863850,0.000042,0.000045,0.136062,0.341852,2486.541622,36536.048295,1.571429,16.714286,0.007192
0.863841,0.000043,0.000045,0.136071,0.343501,2505.208094,39041.256389,1.428571,18.142857,0.007440
0.863832,0.000043,0.000046,0.136079,0.345208,2526.210163,41567.466552,1.000000,19.142857,0.007672
0.863823,0.000044,0.000046,0.136087,0.346969,2549.635028,44117.101581,0.428571,19.571429,0.007885
0.863813,0.000044,0.000047,0.136096,0.348781,2575.580757,46692.682337,0.142857,19.714286,0.008077
0.863804,0.000045,0.000047,0.136104,0.350638,2604.156251,49296.838588,0.428571,20.142857,0.008246
0.863794,0.000045,0.000048,0.136113,0.352536,2635.481197,51932.319786,0.571429,20.714286,0.008391
0.863785,0.000046,0.000048,0.136121,0.354469,2669.685986,54602.005772,0.571429,21.285714,0.008509
0.863775,0.000047,0.000049,0.136129,0.356430,2706.911626,57308.917397,0.571429,21.857143,0.008599
0.863765,0.000048,0.000050,0.136138,0.358413,2747.309592,60056.226989,0.571429,22.428571,0.008658
0.863755,0.000049,0.000051,0.136146,0.360412,2791.041600,62847.268589,0.857143,23.285714,0.008684
0.863744,0.000049,0.000051,0.136155,0.362417,2838.279294,65685.547883,1.571429,24.857143,0.008677
0.863734,0.000050,0.000052,0.136164,0.364422,2889.203801,68574.751684,1.714286,26.571429,0.008634
0.863723,0.000051,0.000053,0.136172,0.366417,2944.005137,71518.756821,1.714286,28.285714,0.008553
0.863712,0.000053,0.000054,0.136181,0.368393,3002.881534,74521.638355,2.285714,30.571429,0.008434
0.863700,0.000054,0.000056,0.136190,0.370341,3066.038560,77587.676915,3.428571,34.000000,0.008275
0.863689,0.000055,0.000057,0.136199,0.372252,3133.687979,80721.364895,3.428571,37.428571,0.008077
0.863677,0.000057,0.000058,0.136209,0.374116,3206.046427,83927.411322,3.714286,41.142857,0.007838
0.863664,0.000058,0.000059,0.136218,0.375923,3283.333999,87210.745321,3.571429,44.714286,0.007558
0.863651,0.000060,0.000061,0.136228,0.377662,3365.772454,90576.517774,4.285714,49.000000,0.007239
0.863638,0.000061,0.000063,0.136239,0.379326,3453.583312,94030.101086,4.857143,53.857143,0.006881
0.863624,0.000063,0.000064,0.136249,0.380903,3546.985552,97577.086638,4.714286,58.571429,0.006487
0.863609,0.000065,0.000066,0.136260,0.382385,3646.193266,101223.279905,4.857143,63.428571,0.006057
0.863594,0.000067,0.000068,0.136271,0.383763,3751.413222,104974.693127,7.428571,70.857143,0.005594
0.863579,0.000069,0.000070,0.136283,0.385031,3862.842170,108837.535297,11.714286,82.571429,0.005101
0.863563,0.000071,0.000072,0.136295,0.386179,3980.663895,112818.199192,18.428571,101.000000,0.004582
0.863546,0.000073,0.000074,0.136307,0.387203,4105.046420,116923.245612,27.285714,128.285714,0.004040
0.863528,0.000076,0.000077,0.136319,0.388096,4236.139086,121159.384698,37.571429,165.857143,0.003479
0.863510,0.000078,0.000079,0.136332,0.388855,4374.070017,125533.454715,54.857143,220.714286,0.002903
0.863492,0.000081,0.000082,0.136346,0.389476,4518.943696,130052.398411,74.000000,294.714286,0.002316
0.863473,0.000083,0.000085,0.136359,0.389956,4670.838231,134723.236642,100.857143,395.571429,0.001723
0.863453,0.000086,0.000087,0.136373,0.390296,4829.804899,139553.041541,150.857143,546.428571,0.001128
0.863432,0.000089,0.000090,0.136388,0.390493,4995.866376,144548.907917,211.571429,758.000000,0.000535
0.863411,0.000092,0.000094,0.136403,0.390550,5169.012828,149717.920745,269.000000,1027.000000,-0.000053
0.863390,0.000095,0.000097,0.136418,0.390468,5349.203283,155067.124028,353.000000,1380.000000,-0.000630
0.863367,0.000099,0.000100,0.136434,0.390250,5536.367839,160603.491867,449.285714,1829.285714,-0.001194
0.863344,0.000102,0.000104,0.136450,0.389900,5730.404058,166333.895925,552.285714,2381.571429,-0.001743
0.863320,0.000106,0.000107,0.136467,0.389421,5931.184560,172265.080485,743.142857,3124.714286,-0.002273
0.863296,0.000109,0.000111,0.136484,0.388819,6138.558023,178403.638508,934.428571,4059.142857,-0.002781
0.863270,0.000113,0.000115,0.136502,0.388099,6352.340820,184755.979328,1177.714286,5236.857143,-0.003268
0.863244,0.000117,0.000119,0.136520,0.387267,6572.334690,191328.314018,1505.857143,6742.714286,-0.003730
0.863217,0.000120,0.000123,0.136539,0.386329,6798.326748,198126.640766,1933.142857,8675.857143,-0.004169
0.863190,0.000124,0.000127,0.136559,0.385290,7030.090344,205156.731110,2471.571429,11147.428571,-0.004582
0.863161,0.000128,0.000132,0.136579,0.384158,7267.387299,212424.118409,3124.857143,14272.285714,-0.004970
0.863131,0.000133,0.000136,0.136600,0.382939,7509.968626,219934.087035,3882.285714,18154.571429,-0.005332
0.863100,0.000137,0.000140,0.136622,0.381638,7757.580201,227691.667236,4785.714286,22940.285714,-0.005668
0.863069,0.000141,0.000145,0.136645,0.380263,8009.959667,235701.626903,5733.428571,28673.714286,-0.005979
0.863036,0.000145,0.000150,0.136669,0.378820,8266.839084,243968.465987,6838.857143,35512.571429,-0.006266
0.863003,0.000150,0.000154,0.136693,0.377314,8527.989675,252496.455662,8323.428571,43836.000000,-0.006532
0.862968,0.000154,0.000159,0.136719,0.375751,8793.186317,261289.641979,9859.285714,53695.285714,-0.006772
0.862932,0.000158,0.000164,0.136745,0.374137,9062.149771,270351.791750,11330.285714,65025.571429,-0.006990
0.862896,0.000163,0.000169,0.136773,0.372477,9334.658887,279686.450637,13379.428571,78405.000000,-0.007175
0.862858,0.000167,0.000174,0.136801,0.370783,9610.363261,289296.813898,13910.000000,92315.000000,-0.007328
0.862819,0.000172,0.000179,0.136830,0.369058,9888.899410,299185.713307,15526.857143,107841.857143,-0.007468
0.862779,0.000176,0.000184,0.136860,0.367306,10170.182697,309355.896005,17201.857143,125043.714286,-0.007586
0.862739,0.000181,0.000189,0.136891,0.365532,10453.961245,319809.857250,18685.285714,143729.000000,-0.007680
0.862697,0.000186,0.000195,0.136923,0.363743,10739.989111,330549.846361,20244.571429,163973.571429,-0.007753
0.862655,0.000190,0.000200,0.136956,0.361944,11028.063192,341577.909552,21802.571429,185776.142857,-0.007789
0.862611,0.000195,0.000205,0.136989,0.360146,11317.784753,352895.694306,21810.857143,207587.000000,-0.007806
0.862567,0.000199,0.000210,0.137024,0.358346,11608.964883,364504.659189,23643.571429,231230.571429,-0.007812
0.862521,0.000204,0.000216,0.137059,0.356553,11901.555837,376406.215026,24383.857143,255614.428571,-0.007791
0.862475,0.000209,0.000221,0.137095,0.354771,12195.238874,388601.453900,25169.571429,280784.000000,-0.007750
0.862428,0.000213,0.000226,0.137132,0.353005,12489.845165,401091.299065,25767.714286,306551.714286,-0.007686
0.862380,0.000218,0.000232,0.137170,0.351261,12785.141629,413876.440694,25869.714286,332421.428571,-0.007599
0.862332,0.000223,0.000237,0.137209,0.349542,13080.920927,426957.361621,25901.285714,358322.714286,-0.007499
0.862282,0.000227,0.000242,0.137249,0.347851,13377.082682,440334.444303,26080.857143,384403.571429,-0.007381
0.862231,0.000232,0.000248,0.137289,0.346193,13673.452676,454007.896980,25584.714286,409988.285714,-0.007244
0.862180,0.000236,0.000253,0.137331,0.344571,13969.852846,467977.749826,25129.000000,435117.285714,-0.007091
0.862128,0.000241,0.000258,0.137373,0.342990,14266.156666,482243.906492,24283.285714,459400.571429,-0.006931
0.862074,0.000245,0.000264,0.137416,0.341448,14562.349784,496806.256277,24120.285714,483520.857143,-0.006771
0.862020,0.000250,0.000269,0.137461,0.339945,14858.491630,511664.747907,24032.142857,507553.000000,-0.006601
0.861965,0.000255,0.000274,0.137506,0.338485,15154.506697,526819.254604,23632.142857,531185.142857,-0.006427
0.861909,0.000259,0.000280,0.137552,0.337067,15450.406506,542269.661110,23750.428571,554935.571429,-0.006254
0.861852,0.000264,0.000285,0.137599,0.335690,15746.291387,558015.952497,24143.000000,579078.571429,-0.006077
0.861794,0.000268,0.000291,0.137647,0.334357,16042.147364,574058.099862,24249.428571,603328.000000,-0.005899
0.861736,0.000273,0.000296,0.137696,0.333064,16338.052535,590396.152397,25038.428571,628366.428571,-0.005719
0.861676,0.000277,0.000301,0.137745,0.331816,16634.040683,607030.193079,25392.428571,653758.857143,-0.005535
0.861615,0.000282,0.000307,0.137796,0.330610,16930.140861,623960.333941,26124.571429,679883.428571,-0.005352
0.861554,0.000287,0.000312,0.137848,0.329447,17226.453456,641186.787397,26961.285714,706844.714286,-0.005161
0.861492,0.000291,0.000317,0.137900,0.328330,17522.904174,658709.691570,27062.428571,733907.142857,-0.004957
0.861428,0.000296,0.000323,0.137953,0.327261,17819.388724,676529.080294,26849.714286,760756.857143,-0.004748
0.861364,0.000300,0.000328,0.138008,0.326239,18115.954796,694645.035091,26827.428571,787584.285714,-0.004536
0.861299,0.000305,0.000333,0.138063,0.325267,18412.623947,713057.659038,26454.571429,814038.857143,-0.004322
0.861232,0.000309,0.000339,0.138119,0.324342,18709.454868,731767.113906,26268.571429,840307.428571,-0.004109
0.861165,0.000314,0.000344,0.138176,0.323466,19006.533226,750773.647132,26012.428571,866319.857143,-0.003894
0.861097,0.000319,0.000350,0.138235,0.322638,19303.881487,770077.528619,25488.000000,891807.857143,-0.003683
0.861028,0.000323,0.000355,0.138294,0.321856,19601.679856,789679.208475,25600.142857,917408.000000,-0.003476
0.860958,0.000328,0.000360,0.138354,0.321121,19900.025322,809579.233797,25321.285714,942729.285714,-0.003269
0.860887,0.000333,0.000366,0.138415,0.320431,20199.013228,829778.247025,25230.857143,967960.142857,-0.003066
