S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.800464,0.000008,0.000009,0.199520,0.326206,84.936551,84.936551,1.714286,6.000000,-0.000464
0.800462,0.000008,0.000009,0.199522,0.326104,84.910029,169.846580,1.857143,7.142857,0.000769
0.800460,0.000008,0.000009,0.199523,0.326544,85.045609,254.892188,1.857143,8.285714,0.003134
0.800459,0.000008,0.000009,0.199524,0.327482,85.326021,340.218210,3.571429,15.142857,0.005308
0.800457,0.000008,0.000009,0.199526,0.328882,85.738186,425.956396,4.428571,23.142857,0.007308
0.800456,0.000008,0.000009,0.199527,0.330708,86.272313,512.228709,5.142857,24.285714,0.009150
0.800454,0.000008,0.000009,0.199529,0.332932,86.921254,599.149964,5.285714,25.714286,0.010846
0.800453,0.000008,0.000009,0.199530,0.335526,87.679961,686.829924,5.571429,26.571429,0.012407
0.800451,0.000008,0.000009,0.199532,0.338464,88.545107,775.375031,5.571429,28.714286,0.013842
0.800449,0.000008,0.000009,0.199533,0.341725,89.514785,864.889817,5.857143,31.142857,0.015159
0.800447,0.000009,0.000009,0.199535,0.345284,90.588264,955.478081,4.428571,28.142857,0.016365
0.800446,0.000009,0.000009,0.199536,0.349124,91.766011,1047.244092,21.142857,76.714286,0.017466
0.800444,0.000009,0.000009,0.199538,0.353222,93.048930,1140.293022,20.857143,79.285714,0.018467
0.800442,0.000009,0.000010,0.199540,0.357561,94.439099,1234.732121,21.000000,82.000000,0.019374
0.800440,0.000009,0.000010,0.199541,0.362123,95.939165,1330.671286,20.571429,84.285714,0.020193
0.800438,0.000009,0.000010,0.199543,0.366890,97.552694,1428.223980,160.857143,226.857143,0.020933
0.800436,0.000010,0.000010,0.199544,0.371848,99.283834,1527.507815,176.428571,385.000000,0.021593
0.800434,0.000010,0.000010,0.199546,0.376978,101.136677,1628.644492,187.285714,554.000000,0.022173
0.800432,0.000010,0.000010,0.199548,0.382263,103.115896,1731.760388,173.571429,674.428571,0.022683
0.800430,0.000010,0.000011,0.199549,0.387690,105.227523,1836.987911,182.571429,857.000000,0.023126
0.800428,0.000010,0.000011,0.199551,0.393243,107.477332,1944.465243,188.285714,1045.285714,0.023505
0.800425,0.000011,0.000011,0.199553,0.398907,109.871862,2054.337104,198.857143,1244.142857,0.023822
0.800423,0.000011,0.000011,0.199555,0.404667,112.417756,2166.754861,65.428571,1309.571429,0.024077
0.800420,0.000011,0.000012,0.199557,0.410508,115.121969,2281.876830,58.571429,1368.142857,0.024276
0.800418,0.000012,0.000012,0.199559,0.416417,117.993358,2399.870188,53.000000,1421.142857,0.024429
0.800415,0.000012,0.000012,0.199561,0.422381,121.040658,2520.910846,56.142857,1477.285714,0.024534
0.800412,0.000012,0.000013,0.199563,0.428388,124.273222,2645.184068,53.142857,1530.428571,0.024591
0.800410,0.000013,0.000013,0.199565,0.434424,127.700976,2772.885044,57.857143,1588.285714,0.024604
0.800407,0.000013,0.000013,0.199567,0.440478,131.334617,2904.219661,63.571429,1651.857143,0.024575
0.800404,0.000014,0.000014,0.199569,0.446538,135.185487,3039.405148,66.857143,1718.714286,0.024506
0.800401,0.000014,0.000014,0.199571,0.452591,139.265611,3178.670758,63.285714,1782.000000,0.024397
0.800397,0.000014,0.000015,0.199574,0.458627,143.587849,3322.258607,70.428571,1852.428571,0.024251
