S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.962240,0.000004,0.000003,0.037753,0.250190,10.655615,10.655615,0.142857,2.142857,-0.020565
0.962239,0.000004,0.000003,0.037754,0.246332,10.511941,21.167556,0.142857,2.285714,-0.020089
0.962238,0.000004,0.000003,0.037755,0.242731,10.384842,31.552398,0.142857,2.428571,-0.018937
0.962238,0.000004,0.000003,0.037755,0.239370,10.272828,41.825226,1.428571,3.857143,-0.017831
0.962237,0.000004,0.000003,0.037756,0.236238,10.174608,51.999834,2.000000,5.857143,-0.016769
0.962237,0.000004,0.000003,0.037756,0.233319,10.089078,62.088912,2.857143,8.714286,-0.015748
0.962236,0.000003,0.000003,0.037757,0.230603,10.015285,72.104197,3.714286,12.428571,-0.014766
0.962236,0.000003,0.000003,0.037758,0.228080,9.952406,82.056603,3.714286,16.142857,-0.013819
0.962235,0.000003,0.000003,0.037758,0.225738,9.899736,91.956339,4.571429,20.714286,-0.012905
0.962235,0.000003,0.000003,0.037759,0.223569,9.856664,101.813004,4.714286,25.428571,-0.012022
0.962234,0.000003,0.000003,0.037759,0.221564,9.822669,111.635673,3.428571,28.857143,-0.011169
0.962233,0.000003,0.000003,0.037760,0.219716,9.797309,121.432982,3.285714,32.142857,-0.010342
0.962233,0.000003,0.000003,0.037761,0.218018,9.780204,131.213186,2.428571,34.571429,-0.009541
0.962232,0.000003,0.000003,0.037761,0.216463,9.771037,140.984223,1.571429,36.142857,-0.008764
0.962232,0.000003,0.000003,0.037762,0.215045,9.769546,150.753770,1.428571,37.571429,-0.008010
0.962231,0.000003,0.000003,0.037763,0.213759,9.775512,160.529282,0.571429,38.142857,-0.007277
0.962230,0.000003,0.000003,0.037763,0.212599,9.788766,170.318048,0.428571,38.571429,-0.006565
0.962230,0.000003,0.000003,0.037764,0.211561,9.809175,180.127223,0.428571,39.000000,-0.005871
0.962229,0.000003,0.000003,0.037764,0.210640,9.836642,189.963865,0.000000,39.000000,-0.005197
0.962229,0.000003,0.000003,0.037765,0.209833,9.871108,199.834973,0.142857,39.142857,-0.004540
0.962228,0.000003,0.000003,0.037766,0.209134,9.912541,209.747514,0.142857,39.285714,-0.003901
0.962227,0.000003,0.000003,0.037766,0.208542,9.960942,219.708456,0.571429,39.857143,-0.003279
0.962227,0.000003,0.000003,0.037767,0.208052,10.016339,229.724795,0.857143,40.714286,-0.002672
0.962226,0.000003,0.000003,0.037767,0.207661,10.078784,239.803579,0.857143,41.571429,-0.002083
0.962225,0.000003,0.000003,0.037768,0.207367,10.148360,249.951940,1.285714,42.857143,-0.001509
0.962225,0.000003,0.000003,0.037769,0.207165,10.225171,260.177111,1.285714,44.142857,-0.000951
0.962224,0.000003,0.000003,0.037769,0.207055,10.309345,270.486456,1.714286,45.857143,-0.000408
0.962224,0.000003,0.000003,0.037770,0.207031,10.401036,280.887492,2.428571,48.285714,0.000118
0.962223,0.000003,0.000003,0.037770,0.207093,10.500420,291.387912,2.571429,50.857143,0.000628
0.962222,0.000003,0.000003,0.037771,0.207238,10.607694,301.995606,2.857143,53.714286,0.001122
0.962222,0.000003,0.000003,0.037771,0.207462,10.723084,312.718690,3.571429,57.285714,0.001600
0.962221,0.000003,0.000004,0.037772,0.207764,10.846833,323.565523,3.714286,61.000000,0.002061
0.962220,0.000004,0.000004,0.037773,0.208140,10.979210,334.544733,4.000000,65.000000,0.002504
0.962220,0.000004,0.000004,0.037773,0.208589,11.120510,345.665242,4.571429,69.571429,0.002930
0.962219,0.000004,0.000004,0.037774,0.209108,11.271047,356.936289,3.857143,73.428571,0.003338
0.962218,0.000004,0.000004,0.037774,0.209693,11.431164,368.367453,3.714286,77.142857,0.003727
0.962218,0.000004,0.000004,0.037775,0.210343,11.601227,379.968681,3.428571,80.571429,0.004097
0.962217,0.000004,0.000004,0.037776,0.211054,11.781628,391.750309,3.571429,84.142857,0.004448
0.962216,0.000004,0.000004,0.037776,0.211824,11.972785,403.723094,3.285714,87.428571,0.004778
0.962215,0.000004,0.000004,0.037777,0.212650,12.175144,415.898238,4.285714,91.714286,0.005088
0.962215,0.000004,0.000004,0.037777,0.213528,12.389177,428.287415,3.571429,95.285714,0.005377
0.962214,0.000004,0.000004,0.037778,0.214456,12.615385,440.902800,5.000000,100.285714,0.005643
0.962213,0.000004,0.000004,0.037779,0.215430,12.854300,453.757100,5.285714,105.571429,0.005887
0.962212,0.000004,0.000004,0.037780,0.216446,13.106483,466.863583,6.857143,112.428571,0.006108
0.962211,0.000004,0.000004,0.037780,0.217501,13.372524,480.236107,6.285714,118.714286,0.006305
0.962210,0.000004,0.000004,0.037781,0.218592,13.653046,493.889153,7.000000,125.714286,0.006479
0.962209,0.000004,0.000005,0.037782,0.219715,13.948705,507.837859,6.714286,132.428571,0.006628
0.962208,0.000005,0.000005,0.037783,0.220865,14.260188,522.098047,8.285714,140.714286,0.006752
0.962207,0.000005,0.000005,0.037783,0.222038,14.588220,536.686267,19.000000,159.714286,0.006850
0.962206,0.000005,0.000005,0.037784,0.223231,14.933571,551.619838,20.428571,180.142857,0.006923
0.962205,0.000005,0.000005,0.037785,0.224439,15.297021,566.916859,18.571429,198.714286,0.006970
0.962204,0.000005,0.000005,0.037786,0.225658,15.679390,582.596249,43.142857,241.857143,0.006991
0.962203,0.000005,0.000005,0.037787,0.226882,16.081594,598.677843,42.857143,284.714286,0.006985
0.962202,0.000005,0.000005,0.037787,0.228108,16.504485,615.182328,71.571429,356.285714,0.006953
0.962201,0.000005,0.000006,0.037788,0.229331,16.949067,632.131395,71.571429,427.857143,0.006894
0.962200,0.000006,0.000006,0.037789,0.230545,17.416250,649.547644,61.000000,488.857143,0.006809
0.962198,0.000006,0.000006,0.037790,0.231746,17.907005,667.454650,69.428571,558.285714,0.006698
0.962197,0.000006,0.000006,0.037791,0.232930,18.422422,685.877072,70.571429,628.857143,0.006560
0.962196,0.000006,0.000006,0.037792,0.234090,18.963552,704.840624,47.285714,676.142857,0.006397
0.962195,0.000006,0.000006,0.037793,0.235224,19.531411,724.372035,55.142857,731.285714,0.006210
0.962193,0.000006,0.000007,0.037794,0.236325,20.127227,744.499262,30.285714,761.571429,0.005997
0.962192,0.000007,0.000007,0.037795,0.237388,20.752033,765.251296,36.000000,797.571429,0.005761
0.962190,0.000007,0.000007,0.037796,0.238411,21.407117,786.658412,34.428571,832.000000,0.005502
0.962189,0.000007,0.000007,0.037797,0.239387,22.093650,808.752062,23.857143,855.857143,0.005221
0.962187,0.000007,0.000007,0.037798,0.240312,22.812806,831.564868,22.714286,878.571429,0.004919
0.962185,0.000007,0.000008,0.037800,0.241183,23.565853,855.130721,21.142857,899.714286,0.004597
0.962183,0.000008,0.000008,0.037801,0.241995,24.354027,879.484748,32.142857,931.857143,0.004255
0.962182,0.000008,0.000008,0.037802,0.242744,25.178632,904.663380,27.285714,959.142857,0.003896
0.962180,0.000008,0.000008,0.037803,0.243427,26.040825,930.704205,19.571429,978.714286,0.003520
0.962178,0.000008,0.000009,0.037805,0.244040,26.941815,957.646020,19.571429,998.285714,0.003128
0.962176,0.000009,0.000009,0.037806,0.244581,27.882854,985.528874,22.714286,1021.000000,0.002723
0.962174,0.000009,0.000009,0.037808,0.245046,28.865152,1014.394026,27.285714,1048.285714,0.002306
